Rent (weekly) Ranges (RNTD01),lga,$0 - $49,$50 - $74,$75 - $99,$100 - $119,$120 - $139,$140 - $159,$160 - $179,$180 - $199,$200 - $224,$225 - $249,$250 - $274,$275 - $299,$300 - $349,$350 - $449,$450 - $549,$550 and over,Not stated,Not applicable,
,Moira (S),281,172,157,240,283,317,234,126,180,49,55,11,18,15,0,38,98,10076,
,Monash (C),508,423,304,285,257,374,681,976,2067,1716,1574,923,1348,806,172,266,486,49834,
,Moonee Valley (C),406,1175,540,543,624,975,884,894,1425,939,1053,593,766,409,90,173,465,34158,
,Moorabool (S),112,82,114,113,122,197,206,164,143,53,37,6,8,9,0,14,64,8738,
,Moreland (C),585,638,371,542,822,1378,1751,1782,2155,1309,1403,772,1100,682,126,236,518,43137,
,Mornington Peninsula (S),587,360,310,455,706,1109,1398,1146,1163,577,620,213,328,199,65,111,312,68281,
,Mount Alexander (S),118,117,56,99,132,182,195,164,127,21,21,8,7,3,0,10,47,6967,
,Moyne (S),282,83,59,109,96,118,88,70,83,7,26,3,14,23,3,16,55,6037,
,Murrindindi (S),108,66,47,81,125,103,87,60,67,17,11,6,10,3,3,13,46,6534,
,Nillumbik (S),158,54,91,54,66,54,70,106,204,179,219,89,162,141,38,29,69,18336,
,Northern Grampians (S),119,100,133,169,193,114,57,25,34,8,5,0,3,8,3,15,58,4989,
,Port Phillip (C),447,936,412,591,561,896,1273,1329,1946,1446,1801,1266,2354,2581,1088,1089,532,28674,
,Pyrenees (S),100,46,50,61,60,20,5,4,5,0,0,0,0,0,0,5,20,3000,
,Queenscliffe (B),36,23,9,10,20,27,41,41,37,17,11,3,5,3,0,3,13,2359,
,South Gippsland (S),300,137,134,165,213,242,188,93,66,22,18,6,13,6,0,23,78,12225,
,Southern Grampians (S),213,166,181,144,159,119,74,75,86,19,39,18,33,19,5,11,55,6369,
,Stonnington (C),486,674,276,300,284,566,999,1241,1552,1345,1481,981,1705,1823,646,815,466,29420,
,Strathbogie (S),138,51,56,99,88,94,54,17,25,9,6,5,0,0,0,6,49,4143,
,Surf Coast (S),150,41,46,71,74,123,119,142,214,100,150,74,132,91,7,15,55,12904,
,Swan Hill (RC),279,222,226,196,224,291,205,147,124,36,39,6,12,6,3,23,111,6678,
,Towong (S),96,38,60,60,50,40,24,13,11,7,8,0,0,0,0,0,14,2609,
,Wangaratta (RC),206,182,166,215,310,327,254,192,163,48,47,20,19,8,0,14,105,9276,
,Warrnambool (C),120,234,216,225,305,367,316,358,426,249,203,68,91,37,10,38,106,9381,
,Wellington (S),358,287,283,422,589,468,276,118,119,73,80,22,20,11,3,40,165,16340,
,West Wimmera (S),145,44,37,45,17,3,0,0,0,0,0,0,0,0,0,0,29,1925,
,Whitehorse (C),629,522,340,404,329,444,605,1071,1687,1398,1403,721,941,580,122,226,448,47593,
,Whittlesea (C),311,139,155,203,194,394,721,1224,1651,741,526,147,179,69,22,74,275,35560,
,Wodonga (RC),91,302,246,285,387,406,545,475,423,280,231,91,113,61,9,39,171,9157,
,Wyndham (C),222,162,167,200,332,657,1042,1445,1181,459,473,171,238,141,27,81,231,33677,
,Yarra (C),419,1179,654,706,506,608,772,728,796,640,993,915,2184,2386,621,462,509,19702,
,Yarra Ranges (S),481,253,212,297,379,575,731,840,1150,636,412,160,154,97,33,72,263,46918,
,Yarriambiack (S),111,76,72,68,33,17,0,0,4,0,0,0,0,0,0,4,30,3183,
,Unincorporated Vic,39,3,0,0,0,0,0,3,5,3,0,3,3,5,6,187,43,1224,
,Aramac (S),46,26,7,3,0,0,0,0,0,0,0,0,0,0,0,0,3,322,
,Atherton (S),95,76,70,144,185,191,121,127,144,38,45,11,8,5,3,15,48,3641,
,Aurukun (S),104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,123,
,Badu (IC),31,70,21,38,17,7,0,0,0,0,0,0,0,0,0,0,16,94,
,Balonne (S),209,65,45,54,68,31,42,31,28,5,0,0,4,0,0,6,33,1603,
,Bamaga (IC),84,36,44,23,0,0,0,0,0,0,0,0,0,0,0,0,8,33,
,Banana (S),328,180,151,167,137,151,80,64,65,27,40,14,36,43,8,12,117,4298,
,Barcaldine (S),77,31,6,39,16,10,0,0,3,0,0,0,0,0,0,0,9,679,
,Barcoo (S),25,11,13,3,0,0,0,0,0,0,0,0,0,0,0,3,4,188,
,Bauhinia (S),158,30,22,16,15,13,5,4,20,0,9,0,0,3,0,5,53,936,
,Beaudesert (S),281,95,99,186,198,245,191,221,377,203,433,208,322,158,14,24,125,19252,
,Belyando (S),459,359,176,92,53,72,18,29,32,7,15,6,15,14,39,119,114,2738,
,Bendemere (S),43,7,8,7,5,0,0,0,0,0,0,0,0,0,0,0,7,396,
,Biggenden (S),36,12,15,11,16,17,3,0,0,0,0,0,0,0,0,0,4,667,
,Blackall (S),52,11,13,53,18,5,0,0,4,0,0,0,0,0,0,3,9,716,
,Boigu (IC),56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,
,Boonah (S),113,28,27,53,74,80,77,61,39,12,14,0,9,0,0,3,20,3129,
,Booringa (S),79,22,26,25,18,7,3,0,0,0,0,0,0,0,0,0,7,777,
,Boulia (S),32,18,12,10,0,5,0,0,0,0,0,0,0,0,0,0,5,161,
,Bowen (S),211,106,73,187,183,226,139,93,93,35,46,13,33,23,15,20,116,4726,
,Brisbane (C),3163,5345,2829,3659,4605,5774,6470,7054,13071,12714,16952,9854,12809,9508,2693,2604,3283,278481,
,Broadsound (S),552,264,26,66,36,20,8,9,18,0,4,0,13,7,14,33,83,1847,
,Bulloo (S),25,3,15,6,4,0,0,0,0,0,0,0,0,0,0,0,7,164,
,Bundaberg (C),176,353,257,432,647,796,705,661,687,267,229,68,26,10,7,30,139,13787,
,Bungil (S),71,12,21,16,8,0,0,0,0,0,4,0,0,0,0,0,12,872,
,Burdekin (S),271,112,156,257,353,313,189,80,41,12,17,0,6,5,0,10,71,5927,
,Burke (S),30,16,6,7,4,5,0,0,0,0,0,0,0,0,0,0,11,229,
,Burnett (S),165,49,57,121,173,211,234,236,302,157,155,57,72,39,15,24,72,9764,
,Caboolture (S),396,536,376,506,515,858,1196,1628,2329,1625,1559,618,510,178,31,82,353,38385,
,Cairns (C),619,736,502,731,1166,1556,1748,1546,1900,1142,1890,939,1342,792,197,743,754,39794,
,Calliope (S),122,35,56,67,71,79,91,80,181,106,108,54,78,44,8,16,41,5323,
,Caloundra (C),359,317,211,251,291,404,429,525,1130,989,1418,913,1237,731,176,228,298,31005,
,Cambooya (S),39,3,5,15,22,38,32,31,22,9,14,6,10,4,0,0,5,1823,
,Cardwell (S),140,49,52,131,206,203,166,55,65,27,26,12,17,8,5,35,61,3420,
,Carpentaria (S),112,32,36,20,31,26,27,9,8,3,0,0,0,0,9,6,33,927,
,Charters Towers (C),107,75,73,96,149,138,103,68,71,18,27,3,3,7,4,9,39,2436,
,Cherbourg (S),25,102,88,12,0,0,0,0,0,0,0,0,0,0,0,3,9,27,
,Chinchilla (S),86,49,35,65,68,45,32,29,42,17,34,8,26,42,15,3,38,2153,
,Clifton (S),40,10,17,26,40,32,29,9,3,0,0,0,0,0,0,0,8,939,
,Cloncurry (S),149,78,67,37,43,16,10,19,22,5,12,10,8,12,3,4,35,854,
,Cook (S),135,52,23,37,32,42,34,29,35,4,12,3,12,12,5,13,72,1509,
,Cooloola (S),236,164,139,256,379,453,411,487,389,146,103,33,40,22,16,33,113,12921,
,Crow's Nest (S),76,15,25,41,41,60,37,31,34,23,54,50,64,7,0,0,17,4130,
,Croydon (S),10,0,7,8,4,0,0,0,0,0,0,0,0,0,0,0,8,115,
,Dalby (T),62,49,65,90,135,120,138,116,142,58,56,19,19,9,0,3,37,2946,
,Dalrymple (S),134,13,9,19,19,9,9,3,8,8,3,0,0,3,0,0,13,1516,
,Dauan (IC),3,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,
,Diamantina (S),18,4,21,25,0,0,0,0,0,0,0,0,0,0,0,3,13,129,
,Doomadgee (S),72,23,3,0,0,0,0,0,0,0,0,0,0,0,0,6,21,80,
,Douglas (S),123,68,69,104,81,169,102,89,139,79,171,82,113,131,38,449,178,4729,
,Duaringa (S),479,173,68,62,36,64,7,14,14,6,14,9,35,69,29,23,83,1899,
,Eacham (S),73,42,39,51,73,82,56,55,46,20,17,6,3,0,3,8,18,2316,
,Eidsvold (S),31,23,26,17,11,3,0,0,0,0,0,0,0,0,0,0,4,303,
,Emerald (S),253,214,103,115,111,97,60,63,131,81,93,52,197,153,36,12,121,4628,
,Erub (IC),51,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,
,Esk (S),137,36,44,100,107,183,136,84,91,39,36,7,8,5,0,4,47,5496,
,Etheridge (S),51,15,11,4,4,4,0,0,3,0,0,0,0,0,0,0,27,470,
,Fitzroy (S),92,36,45,68,67,78,67,84,66,31,37,7,11,0,0,7,22,3326,
,Flinders (S),87,50,19,41,25,5,0,0,0,0,0,0,0,3,0,3,13,721,
,Gatton (S),97,57,71,88,134,201,184,156,135,38,41,6,11,5,3,4,49,4782,
,Gayndah (S),56,35,45,45,59,45,21,5,9,0,0,0,0,0,0,4,28,943,
,Gladstone (C),125,200,183,207,270,337,443,314,483,238,310,104,111,33,16,23,119,8600,
,Gold Coast (C),1724,1564,847,1261,1232,1777,2069,2668,5886,5406,8055,5675,10231,7088,2151,2899,2329,158755,
,Goondiwindi (T),40,62,52,54,65,71,79,78,91,24,23,11,10,0,0,8,16,1297,
,Hammond (IC),26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,
,Herberton (S),85,33,31,76,71,67,39,24,13,0,3,0,0,0,0,5,35,2016,
,Hervey Bay (C),258,232,176,260,355,511,534,695,1047,597,519,152,152,92,50,148,205,19170,
,Hinchinbrook (S),218,103,156,239,220,120,65,27,21,3,9,7,3,5,3,3,57,4362,
,Hope Vale (S),58,66,29,3,0,0,0,0,0,0,0,0,0,0,0,0,12,50,
,Iama (IC),25,19,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,28,
,Ilfracombe (S),11,4,7,8,3,0,0,0,0,0,0,0,0,0,0,0,3,124,
,Inglewood (S),74,33,26,62,36,16,0,0,0,0,0,0,0,0,0,4,19,1070,
,Injinoo (S),47,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,
,Ipswich (C),372,673,495,695,948,1402,2069,2022,2008,1061,1643,367,214,106,24,97,487,38710,
,Isis (S),68,22,28,35,55,69,53,58,36,12,11,0,14,17,0,8,21,2848,
,Isisford (S),24,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,168,
,Jericho (S),53,19,6,9,4,0,0,0,0,0,0,0,0,0,0,0,10,404,
,Johnstone (S),189,92,127,273,336,338,195,121,134,31,47,7,20,19,4,23,76,5916,
,Jondaryan (S),138,26,42,83,105,140,136,71,64,21,29,10,19,6,3,9,43,4109,
,Kilcoy (S),36,6,21,13,33,34,36,48,29,12,4,3,4,0,0,0,8,1246,
,Kilkivan (S),50,16,37,34,32,26,16,12,4,0,3,0,0,0,0,0,18,1362,
,Kingaroy (S),93,75,90,92,128,158,172,140,130,41,32,11,5,0,0,12,33,3803,
,Kolan (S),54,18,24,45,52,45,29,9,8,0,0,0,0,0,5,6,19,1805,
,Kowanyama (S),152,18,6,4,0,5,0,0,0,0,0,0,0,0,0,0,6,21,
,Kubin (IC),6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,
,Laidley (S),89,23,33,72,89,101,154,146,128,54,47,8,8,6,0,12,30,4782,
,Livingstone (S),215,136,99,169,221,261,288,235,304,156,191,84,100,58,10,32,101,10092,
,Lockhart River (S),43,57,7,3,0,0,0,0,0,0,0,0,0,0,0,0,8,24,
,Logan (C),357,811,734,779,829,1221,1727,1978,3506,2217,1809,797,821,305,63,115,540,44305,
,Longreach (S),114,60,40,50,45,49,34,19,25,9,10,3,0,3,9,10,27,1334,
,Mabuiag (IC),7,10,15,3,3,0,0,0,0,3,0,0,0,0,0,0,3,21,
,Mackay (C),468,473,301,452,475,706,623,573,867,447,809,433,803,613,146,85,294,25484,
,McKinlay (S),43,21,5,14,5,0,3,0,0,0,0,0,0,0,0,0,13,364,
,Mapoon (S),25,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,
,Mareeba (S),321,174,165,220,194,209,155,91,93,44,36,9,9,17,0,16,111,5797,
,Maroochy (S),658,582,362,481,537,730,787,987,1893,1537,2039,1321,2032,1225,381,740,596,50428,
,Maryborough (C),134,159,146,269,363,344,351,427,286,71,53,4,13,5,3,31,90,8677,
,Mer (IC),37,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,13,43,
,Millmerran (S),99,27,28,51,48,35,18,9,3,0,0,0,0,0,0,3,22,1115,
,Mirani (S),75,23,45,51,45,30,18,9,17,4,8,6,5,5,0,8,27,1825,
,Miriam Vale (S),96,19,22,27,36,32,20,26,42,29,33,9,11,19,14,11,36,2486,
,Monto (S),64,41,33,49,43,13,7,0,0,0,0,0,0,4,0,4,7,1075,
,Mornington (S),151,42,9,12,0,5,0,4,0,0,0,0,0,0,0,4,10,57,
,Mount Isa (C),384,190,137,178,178,216,201,127,231,102,185,91,125,48,12,17,164,5603,
,Mount Morgan (S),24,23,35,74,73,23,14,3,0,0,0,0,3,0,0,4,19,1166,
,Mundubbera (S),88,56,33,27,38,32,4,0,0,0,0,0,0,0,0,0,21,791,
,Murgon (S),42,41,30,47,56,53,25,4,4,0,0,0,0,0,0,0,10,1212,
,Murilla (S),88,31,43,55,20,21,9,4,6,0,0,0,0,3,0,3,18,1038,
,Murweh (S),151,55,57,65,60,45,29,19,8,0,0,0,0,0,0,6,22,1691,
,Nanango (S),73,46,63,68,103,148,113,39,18,3,0,0,0,0,4,13,43,3637,
,Napranum (S),51,49,61,0,3,0,0,0,0,0,0,0,0,0,0,0,14,37,
,Nebo (S),321,70,9,20,0,9,3,3,3,0,6,0,6,3,3,12,46,665,
,New Mapoon (S),38,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,
,Noosa (S),257,158,96,131,150,208,202,289,616,557,818,468,545,438,208,742,260,19747,
