Rent (weekly) Ranges (RNTD01),lga,$0 - $49,$50 - $74,$75 - $99,$100 - $119,$120 - $139,$140 - $159,$160 - $179,$180 - $199,$200 - $224,$225 - $249,$250 - $274,$275 - $299,$300 - $349,$350 - $449,$450 - $549,$550 and over,Not stated,Not applicable,
,Berri and Barmera (DC),125,135,98,186,244,205,135,39,26,3,17,3,4,3,4,14,58,3663,
,Burnside (C),204,134,51,108,187,239,255,325,440,227,254,147,287,264,95,98,115,15259,
,Campbelltown (C),207,391,199,226,256,358,472,491,665,330,288,120,126,66,13,30,129,15344,
,Ceduna (DC),80,76,69,60,49,58,23,19,18,0,0,0,0,3,3,6,26,1108,
,Charles Sturt (C),646,1610,844,835,934,1142,1105,1057,1381,674,673,249,332,178,62,154,463,33551,
,Clare and Gilbert Valleys (DC),120,74,47,79,97,119,85,28,22,10,10,3,6,0,3,3,25,3060,
,Cleve (DC),53,23,17,14,14,8,6,3,3,0,3,0,3,8,3,9,13,836,
,Coober Pedy (DC),44,35,35,34,27,17,5,3,3,0,0,0,0,0,0,3,16,1100,
,Copper Coast (DC),126,116,70,157,179,190,114,58,35,9,5,3,5,0,4,19,47,5699,
,Elliston (DC),36,17,6,15,12,6,3,0,4,0,0,0,4,5,0,0,14,695,
,Flinders Ranges (DC),27,11,22,34,8,3,3,0,3,0,0,0,0,0,0,9,9,734,
,Franklin Harbour (DC),31,9,4,21,22,6,3,5,6,0,0,0,0,5,0,3,9,647,
,Gawler (T),120,166,122,126,121,260,267,195,247,126,76,16,6,7,7,19,68,6032,
,Goyder (DC),80,47,28,42,54,23,12,7,3,0,0,0,0,0,0,11,21,1802,
,Grant (DC),106,9,27,37,39,48,21,20,18,3,4,0,4,0,0,3,13,3195,
,Holdfast Bay (C),205,259,178,183,259,436,496,429,480,311,345,181,266,226,91,97,121,12763,
,Kangaroo Island (DC),69,42,45,52,67,73,22,22,15,0,5,0,0,4,3,11,25,2222,
,Karoonda East Murray (DC),38,10,14,10,7,3,0,0,0,0,0,0,0,0,0,0,3,532,
,Kimba (DC),43,16,19,13,8,0,0,0,0,0,0,0,0,0,0,0,0,469,
,Kingston (DC),64,24,16,35,35,33,12,6,0,0,0,0,0,0,0,0,12,1202,
,Le Hunte (DC),48,24,17,16,13,0,0,0,0,0,0,0,0,0,0,0,7,540,
,Light (RegC),75,32,19,47,48,90,75,46,39,19,19,4,5,3,0,7,22,4156,
,Lower Eyre Peninsula (DC),74,18,29,49,27,24,18,7,15,9,11,0,3,3,0,0,19,1844,
,Loxton Waikerie (DC),158,147,114,170,200,195,73,34,19,9,9,0,3,4,0,7,52,4140,
,Mallala (DC),69,15,11,22,32,32,33,23,20,10,6,7,7,0,0,3,15,2807,
,Maralinga Tjarutja (AC),13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,
,Marion (C),472,1336,670,602,537,668,666,758,1131,637,530,194,169,84,25,113,390,26625,
,Mid Murray (DC),108,89,60,105,81,79,36,17,12,3,3,0,0,3,3,12,31,5072,
,Mitcham (C),266,204,186,166,335,395,371,369,490,309,360,181,209,137,30,30,125,21540,
,Mount Barker (DC),134,151,84,105,109,158,194,308,345,163,100,46,39,20,3,25,63,8579,
,Mount Gambier (C),117,384,468,370,384,447,325,204,137,35,33,7,10,4,3,41,121,7479,
,Mount Remarkable (DC),58,30,17,24,20,9,3,0,0,0,0,0,0,0,0,3,14,1330,
,Murray Bridge (RC),148,272,231,216,249,310,250,157,94,27,8,0,16,10,8,24,81,5802,
,Naracoorte and Lucindale (DC),110,78,95,80,107,104,85,34,25,4,0,0,4,0,0,3,42,2898,
,Northern Areas (DC),87,46,42,58,47,18,5,3,3,0,0,0,3,0,0,9,22,1860,
,Norwood Payneham St Peters (C),271,518,223,233,330,460,501,459,538,329,400,213,333,206,67,59,205,11407,
,Onkaparinga (C),552,1139,725,702,747,1016,1579,1879,1632,565,453,125,120,80,10,119,403,50390,
,Orroroo/Carrieton (DC),16,9,5,6,3,0,0,0,0,0,0,0,0,0,0,0,6,432,
,Peterborough (DC),30,20,27,27,26,3,0,0,0,0,0,0,0,0,0,0,3,926,
,Playford (C),323,1318,752,739,1077,1322,1036,669,468,168,83,19,28,17,7,139,335,19752,
,Port Adelaide Enfield (C),667,2226,1183,1208,1305,1368,1369,1212,1354,686,625,230,204,93,28,195,586,32242,
,Port Augusta (C),122,261,197,295,359,235,84,26,33,12,15,4,10,3,3,27,135,4423,
,Port Lincoln (C),118,213,162,162,178,250,211,118,129,41,74,32,40,20,4,35,83,4287,
,Port Pirie City and Dists (M),174,325,222,275,333,194,92,30,35,7,5,0,6,4,0,43,71,5930,
,Prospect (C),98,172,91,120,198,219,244,208,284,162,186,77,106,50,15,17,58,6315,
,Renmark Paringa (DC),86,132,124,158,201,167,87,25,20,11,7,0,4,4,6,13,52,2981,
,Robe (DC),31,6,12,12,14,21,10,5,0,0,0,0,3,0,0,3,11,1132,
,Roxby Downs (M),50,23,63,111,94,32,11,3,19,21,52,28,65,98,4,3,45,736,
,Salisbury (C),464,992,661,785,879,1064,1390,1415,1289,374,385,140,128,80,18,111,460,36690,
,Southern Mallee (DC),72,28,21,34,18,0,0,0,0,0,0,0,0,0,0,6,16,879,
,Streaky Bay (DC),50,22,20,23,14,17,17,6,4,0,0,0,3,3,3,4,9,954,
,Tatiara (DC),137,61,68,62,91,83,29,8,17,3,4,0,0,3,0,3,34,2376,
,Tea Tree Gully (C),254,580,299,282,274,386,586,754,1100,616,395,101,115,58,14,51,180,31867,
,The Coorong (DC),193,75,66,66,65,46,17,3,6,0,0,0,0,0,0,0,38,2377,
,Tumby Bay (DC),56,34,27,27,34,19,13,3,3,3,0,0,3,3,5,6,12,1248,
,Unley (C),189,306,110,177,281,413,394,387,496,295,386,221,314,224,78,68,133,11874,
,Victor Harbor (C),73,63,45,52,107,162,194,145,115,36,18,3,3,6,0,9,36,6283,
,Wakefield (DC),106,43,40,54,76,78,56,6,5,0,0,0,0,0,0,4,23,2484,
,Walkerville (M),57,115,36,32,33,41,39,24,66,59,50,25,43,33,17,25,20,2433,
,Wattle Range (DC),134,141,117,193,184,109,43,14,11,0,0,0,0,0,0,8,58,4592,
,West Torrens (C),394,687,346,465,781,862,732,628,851,505,502,203,231,86,16,75,271,17574,
,Whyalla (C),147,719,523,866,504,145,70,47,88,11,30,8,21,29,11,59,164,6677,
,Yankalilla (DC),59,19,16,25,23,50,54,44,21,0,3,0,3,3,0,0,17,2980,
,Yorke Peninsula (DC),197,107,91,108,123,108,40,19,13,3,0,0,3,7,6,20,79,7934,
,Unincorporated SA,391,113,66,23,23,25,13,5,0,0,8,0,3,0,5,4,108,2163,
,Albany (C),213,298,224,281,302,462,491,325,262,138,114,43,27,19,9,39,129,10620,
,Armadale (C),171,256,193,199,370,648,702,456,326,111,78,31,41,22,3,35,121,16397,
,Ashburton (S),776,283,120,44,43,29,12,22,26,20,10,3,10,9,0,14,135,1512,
,Augusta-Margaret River (S),116,40,51,75,74,100,105,146,202,109,110,38,27,13,3,13,44,4706,
,Bassendean (T),64,150,101,79,106,198,219,185,150,65,39,14,11,3,0,19,45,4646,
,Bayswater (C),253,445,492,445,627,851,889,720,907,391,401,149,171,61,21,49,205,19240,
,Belmont (C),139,513,249,294,366,539,607,550,505,234,247,98,137,41,10,64,165,9761,
,Beverley (S),31,23,13,14,18,5,0,0,0,0,0,0,0,0,0,4,6,748,
,Boddington (S),23,4,13,14,28,10,3,5,6,0,3,0,0,0,0,0,8,536,
,Boyup Brook (S),40,16,11,23,13,4,4,0,0,0,0,0,0,0,0,0,3,632,
,Bridgetown-Greenbushes (S),37,22,20,41,47,63,31,17,18,3,0,0,0,0,0,3,10,1683,
,Brookton (S),30,11,5,17,12,3,0,3,0,0,0,0,0,0,0,0,4,370,
,Broome (S),336,184,124,207,133,157,89,66,97,50,79,62,155,234,79,111,164,4793,
,Broomehill (S),13,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,3,174,
,Bruce Rock (S),29,34,11,17,0,0,0,0,0,0,0,0,0,0,0,0,3,413,
,Bunbury (C),122,269,180,232,296,383,507,519,550,201,245,69,76,39,9,34,130,9620,
,Busselton (S),211,176,143,179,141,208,294,345,460,277,258,96,52,18,7,33,103,9931,
,Cambridge (T),93,20,35,97,119,133,124,106,173,113,145,103,189,208,110,96,31,8011,
,Canning (C),290,548,333,300,366,635,800,917,1151,615,584,212,328,185,41,105,266,23603,
,Capel (S),52,25,25,27,37,53,45,38,48,18,73,45,54,7,0,3,20,3240,
,Carnamah (S),39,19,15,14,10,3,0,4,0,0,0,0,0,0,0,0,9,267,
,Carnarvon (S),120,120,146,128,134,116,56,39,35,3,12,3,5,12,13,66,82,2571,
,Chapman Valley (S),35,11,3,9,4,7,0,0,0,0,0,0,0,0,0,0,3,336,
,Chittering (S),43,9,5,16,12,9,10,5,17,6,0,3,3,3,0,0,6,1368,
,Claremont (T),71,16,50,32,39,52,63,72,97,60,83,58,92,86,34,63,26,3316,
,Cockburn (C),210,486,323,284,378,469,570,582,785,447,556,216,207,78,12,62,220,23762,
,Collie (S),43,70,59,73,84,94,49,26,8,3,10,0,5,3,0,5,20,3049,
,Coolgardie (S),43,54,31,35,43,41,56,32,28,8,18,0,3,4,0,0,14,1316,
,Coorow (S),41,10,6,12,15,16,10,3,3,0,0,0,0,0,0,0,15,739,
,Corrigin (S),37,28,20,15,9,0,0,0,0,0,0,0,0,0,0,0,4,465,
,Cottesloe (T),39,32,8,15,15,32,31,22,52,40,38,48,109,123,66,124,19,2626,
,Cranbrook (S),51,24,17,25,13,0,0,0,0,0,0,0,0,0,0,0,9,405,
,Cuballing (S),13,3,3,5,0,3,0,0,0,0,0,0,0,0,0,0,5,323,
,Cue (S),16,6,3,5,3,0,0,0,0,0,0,0,0,0,0,0,3,109,
,Cunderdin (S),31,20,30,20,11,6,0,0,0,0,0,0,0,0,0,3,11,439,
,Dalwallinu (S),41,21,25,16,20,4,0,4,0,0,0,0,0,0,0,3,12,490,
,Dandaragan (S),90,22,17,27,35,47,36,23,17,4,3,0,0,0,3,5,26,2203,
,Dardanup (S),39,22,8,31,42,57,73,70,144,76,84,20,22,4,0,5,24,3213,
,Denmark (S),51,31,40,47,62,67,96,41,34,4,3,0,0,0,0,0,23,2265,
,Derby-West Kimberley (S),391,213,158,64,50,38,32,19,39,19,26,11,15,3,8,26,129,1252,
,Donnybrook-Balingup (S),41,13,38,39,48,56,48,12,10,4,3,0,3,0,0,0,13,1780,
,Dowerin (S),22,15,12,13,0,3,0,0,0,0,0,0,0,0,0,0,7,292,
,Dumbleyung (S),23,15,5,4,0,0,0,0,0,0,0,0,0,0,0,0,3,304,
,Dundas (S),53,38,21,19,11,5,0,4,0,0,0,0,0,0,0,7,24,542,
,East Fremantle (T),34,26,23,29,50,35,47,49,65,48,54,29,50,40,20,19,13,2369,
,East Pilbara (S),390,140,84,84,16,18,8,23,17,3,10,7,24,8,19,10,113,1695,
,Esperance (S),219,138,123,150,191,158,123,90,100,30,52,7,29,31,6,23,73,4307,
,Exmouth (S),62,49,44,36,29,24,31,31,44,20,26,8,19,14,6,59,30,1316,
,Fremantle (C),158,519,196,177,187,254,246,239,390,217,303,134,258,166,59,107,143,8922,
,Geraldton (C),135,262,217,315,414,368,283,164,146,62,60,30,25,16,5,31,112,5930,
,Gingin (S),63,16,13,29,30,31,33,20,30,6,3,0,3,0,0,4,12,3151,
,Gnowangerup (S),54,15,20,28,11,0,0,0,0,0,0,0,0,0,0,0,11,553,
,Goomalling (S),31,16,15,16,4,3,0,0,0,0,0,0,0,0,0,3,5,387,
,Gosnells (C),212,318,279,351,518,769,981,864,841,308,327,224,284,62,4,59,240,28655,
,Greenough (S),91,38,32,59,84,118,89,55,70,39,68,28,43,14,3,0,44,4202,
,Halls Creek (S),330,79,25,22,16,13,3,3,7,0,0,0,0,0,0,3,55,632,
,Harvey (S),107,62,70,125,139,177,183,134,172,79,111,38,48,6,3,6,53,6308,
,Irwin (S),45,23,31,46,43,42,50,31,14,10,6,0,3,0,5,10,11,1254,
,Jerramungup (S),40,27,14,19,9,12,10,0,0,0,0,0,0,0,0,3,10,634,
,Joondalup (C),304,162,138,213,223,390,622,931,1607,1051,1128,494,654,415,139,141,214,47725,
,Kalamunda (S),172,105,98,116,135,238,322,369,419,182,202,123,93,41,11,21,86,16507,
,Kalgoorlie/Boulder (C),164,243,241,292,303,237,191,216,377,200,252,94,142,123,42,34,149,8619,
,Katanning (S),37,65,70,72,77,53,15,13,17,5,3,0,0,0,0,5,21,1311,
,Kellerberrin (S),32,17,20,18,0,3,0,0,0,0,0,0,0,0,0,0,7,419,
,Kent (S),23,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,273,
,Kojonup (S),62,22,30,38,22,7,3,3,0,0,0,0,0,0,0,0,16,761,
,Kondinin (S),41,20,18,20,9,8,0,0,0,0,0,0,0,0,0,0,5,349,
,Koorda (S),20,9,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,205,
,Kulin (S),38,19,15,6,3,0,0,0,0,0,0,0,0,0,0,0,4,362,
,Kwinana (T),79,170,134,114,296,352,276,143,156,62,58,10,11,4,0,17,63,7431,
,Lake Grace (S),53,30,27,24,6,3,3,0,0,0,0,0,4,0,0,0,16,635,
,Laverton (S),43,30,12,3,3,5,0,0,8,0,3,0,0,0,0,0,13,227,
,Leonora (S),192,20,16,9,6,14,3,5,3,0,0,0,0,0,0,0,33,373,
,Mandurah (C),207,265,209,314,452,773,841,744,702,376,355,129,124,71,28,41,150,22247,
,Manjimup (S),116,98,157,141,119,105,46,19,8,0,4,0,0,3,0,22,38,3699,
,Meekatharra (S),54,33,42,10,7,0,0,0,0,0,0,0,0,0,0,3,12,357,
,Melville (C),356,403,241,259,278,361,583,701,1014,592,661,393,551,381,128,189,206,31438,
,Menzies (S),27,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,4,105,
,Merredin (S),68,68,81,65,37,28,12,3,8,0,0,0,0,3,0,3,25,1170,
,Mingenew (S),31,10,6,4,3,0,0,0,0,0,0,0,0,0,0,0,6,174,
,Moora (S),55,46,36,31,30,29,3,5,4,0,4,0,0,0,0,4,26,814,
,Morawa (S),37,15,17,9,12,3,0,0,0,0,0,0,0,0,0,0,5,325,
,Mosman Park (T),41,104,45,113,142,122,97,70,94,56,74,37,60,53,30,66,39,2613,
,Mount Magnet (S),24,11,13,3,5,10,0,0,0,0,0,0,0,0,0,0,6,213,
,Mount Marshall (S),26,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,262,
,Mukinbudin (S),32,17,8,3,5,3,0,0,3,0,0,0,0,0,0,0,7,231,
,Mullewa (S),37,31,11,19,9,3,0,0,0,0,0,0,0,0,0,0,12,275,
,Mundaring (S),121,81,40,90,119,176,173,188,179,84,99,24,60,32,5,10,65,11595,
,Murchison (S),13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,45,
,Murray (S),90,36,70,94,105,109,84,69,45,22,32,10,10,7,0,6,34,4767,
,Nannup (S),42,8,18,17,13,7,3,0,0,0,3,0,0,0,0,0,3,636,
,Narembeen (S),39,11,18,13,7,4,0,0,0,0,0,0,0,0,0,0,6,330,
,Narrogin (T),19,79,55,69,66,65,21,9,16,4,4,0,0,0,0,0,25,1401,
,Narrogin (S),20,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,288,
,Nedlands (C),116,83,38,65,73,71,58,50,103,72,130,74,146,155,82,182,62,6429,
,Ngaanyatjarraku (S),251,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,130,
,Northam (T),36,88,59,96,118,104,65,25,22,0,9,5,4,3,0,9,22,2043,
,Northam (S),31,34,15,34,35,15,10,7,3,3,4,0,0,0,0,4,10,1453,
,Northampton (S),70,31,20,37,47,52,29,18,38,9,9,3,3,20,24,26,41,1790,
,Nungarin (S),11,9,6,3,0,0,0,0,0,0,0,0,0,0,0,3,0,96,
,Peppermint Grove (S),9,0,0,0,11,11,3,3,3,4,5,3,4,12,5,19,9,476,
,Perenjori (S),25,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,7,237,
,Perth (C),95,187,106,102,124,112,98,103,168,130,211,176,330,380,141,186,117,4616,
,Pingelly (S),32,9,21,17,10,5,0,0,0,0,0,0,0,0,0,0,3,442,
,Plantagenet (S),81,28,34,45,55,58,17,3,6,0,0,0,0,3,0,0,14,1687,
,Port Hedland (T),192,271,221,207,126,82,40,53,76,14,51,34,113,118,61,106,135,3384,
,Quairading (S),22,27,15,13,8,0,0,0,0,0,0,0,0,0,0,0,5,411,
,Ravensthorpe (S),54,10,29,16,7,12,4,0,20,7,15,6,13,27,11,3,28,760,
,Rockingham (C),243,308,252,477,746,977,1202,1118,1018,468,518,130,81,38,14,48,182,27126,
,Roebourne (S),975,161,264,190,156,149,37,41,88,54,68,23,120,140,120,242,256,3904,
,Sandstone (S),8,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,38,
,Serpentine-Jarrahdale (S),88,19,24,32,41,60,49,39,61,16,32,14,23,9,0,5,29,4056,
,Shark Bay (S),73,7,24,12,27,30,3,7,3,0,0,3,5,11,0,26,20,686,
,South Perth (C),281,337,208,200,255,402,578,597,802,440,494,241,367,353,141,132,165,13231,
,Stirling (C),810,1783,962,1276,1911,2690,2735,2501,2991,1395,1366,535,772,557,187,255,663,60231,
,Subiaco (C),110,196,108,191,245,278,194,176,284,220,248,153,302,318,113,108,80,5423,
,Swan (C),312,530,332,357,417,659,796,867,866,455,476,147,151,55,11,62,238,28213,
,Tambellup (S),32,10,5,8,3,0,0,0,0,0,0,0,0,0,0,0,3,233,
,Tammin (S),15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,157,
,Three Springs (S),32,14,12,9,6,3,3,0,4,0,0,0,0,0,0,0,11,255,
,Toodyay (S),28,20,5,23,28,39,41,26,11,3,0,0,0,0,0,0,15,1775,
,Trayning (S),18,19,7,3,0,0,0,0,0,0,0,0,0,0,0,0,3,180,
,Upper Gascoyne (S),36,12,0,3,0,0,0,0,0,0,0,0,0,0,0,3,7,97,
,Victoria Park (T),158,475,289,339,402,524,648,557,648,341,370,154,165,66,20,67,165,8998,
,Victoria Plains (S),43,16,17,9,7,3,0,0,0,0,0,0,0,0,0,0,11,346,
,Vincent (T),153,183,116,193,304,321,290,325,535,360,474,262,371,242,47,50,111,9593,
,Wagin (S),38,42,28,24,26,4,0,0,0,0,0,0,3,0,0,0,7,719,
,Wandering (S),17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,168,
,Wanneroo (C),292,346,272,267,330,583,779,831,1108,583,750,341,345,137,38,86,244,34296,
,Waroona (S),29,15,15,30,44,42,27,11,9,0,7,0,0,0,0,0,9,1504,
,West Arthur (S),37,17,7,11,4,0,0,0,0,0,0,0,0,0,0,0,11,383,
,Westonia (S),11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,
,Wickepin (S),28,20,8,9,4,0,0,0,0,0,0,0,0,0,0,0,0,309,
,Williams (S),36,20,10,14,10,3,0,0,0,0,0,0,0,0,0,0,4,361,
,Wiluna (S),41,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,92,
,Wongan-Ballidu (S),47,29,30,19,16,10,7,3,0,0,0,0,0,0,0,0,14,519,
,Woodanilling (S),16,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,155,
,Unincorporated WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,
,Wyalkatchem (S),15,11,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,253,
,Wyndham-East Kimberley (S),320,170,133,70,34,65,31,15,31,31,33,14,38,36,18,52,93,2127,
,Yalgoo (S),22,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,3,54,
,Yilgarn (S),64,26,20,26,7,9,6,4,3,0,0,0,0,0,0,0,14,564,
,York (S),31,18,22,30,17,35,24,15,15,0,0,0,0,0,0,0,4,1345,
,Break O'Day (M),82,61,50,57,78,83,72,20,18,5,4,0,3,0,3,3,27,3676,
,Brighton (M),87,267,193,326,161,97,121,85,56,16,25,3,12,0,3,28,61,3550,
,Burnie (C),125,282,314,297,290,367,228,94,82,21,15,0,5,5,0,15,65,6090,
,Central Coast (M),135,215,149,275,210,237,170,88,96,22,18,6,4,3,0,16,65,7185,
,Central Highlands (M),107,49,19,24,7,8,0,0,0,3,0,3,0,0,4,3,16,2376,
,Circular Head (M),214,80,109,93,138,101,20,9,11,0,3,0,0,0,0,3,27,2966,
,Clarence (C),253,426,271,391,343,308,334,289,385,210,240,95,102,49,13,29,129,16897,
,Derwent Valley (M),76,97,67,71,94,79,103,56,28,5,3,0,0,3,0,9,29,3184,
,Devonport (C),152,349,246,357,363,341,329,242,164,47,27,11,14,8,4,11,79,7705,
,Dorset (M),125,72,76,78,66,67,29,16,14,0,3,0,0,0,0,10,29,3060,
,Flinders (M),48,17,32,9,7,7,0,0,0,0,0,0,0,0,0,0,3,500,
,George Town (M),48,105,110,94,99,90,85,22,21,3,3,0,0,0,0,9,32,2578,
,Glamorgan/Spring Bay (M),74,37,34,41,60,59,31,13,20,0,5,0,4,0,0,12,18,3246,
,Glenorchy (C),228,697,366,544,562,518,490,448,444,162,184,46,32,17,7,49,168,14358,
,Hobart (C),276,392,331,454,588,555,484,473,590,390,572,291,452,352,131,66,172,15910,
,Huon Valley (M),100,69,58,99,145,137,102,71,56,13,10,3,3,3,0,3,34,5618,
,Kentish (M),70,23,35,36,41,44,29,10,6,0,0,0,4,3,0,4,19,2100,
,King Island (M),62,13,19,29,35,17,7,4,6,0,0,0,0,0,0,6,7,680,
,Kingborough (M),144,148,104,137,123,152,163,156,278,216,186,80,87,38,3,15,57,11054,
,Latrobe (M),76,55,53,72,80,85,73,61,58,15,13,6,3,0,0,3,29,3352,
,Launceston (C),402,862,614,875,853,950,810,658,670,258,261,102,105,67,17,68,213,19962,
,Meander Valley (M),146,100,129,146,168,203,113,63,81,40,27,12,15,12,0,10,53,6495,
,Northern Midlands (M),176,118,98,158,102,93,58,46,45,12,9,4,13,3,0,7,46,4366,
,Sorell (M),71,36,54,81,77,110,99,82,106,33,34,3,4,3,3,6,21,4985,
,Southern Midlands (M),85,57,30,24,41,30,11,12,14,0,5,0,0,0,0,3,18,2035,
,Tasman (M),29,15,16,27,32,17,14,3,0,0,0,0,0,0,0,0,13,1977,
,Waratah/Wynyard (M),112,179,163,173,137,154,116,63,40,3,11,0,0,0,5,8,34,4870,
,West Coast (M),153,73,74,74,118,38,9,8,11,3,0,0,0,0,0,4,40,2408,
,West Tamar (M),97,95,60,101,136,159,130,129,123,73,50,28,25,5,0,4,48,7768,
,Unincorporated Tas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,
,Alice Springs (T),615,201,140,104,133,190,179,161,283,224,333,163,206,114,45,51,238,6853,
,Alpurrurulam (CGC),39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,24,
,Angurugu (CGC),25,14,10,0,13,3,15,12,3,0,0,0,4,0,0,0,12,25,
,Anmatjere (CGC),91,25,4,0,5,8,0,0,0,0,0,0,0,0,0,0,12,90,
,Arltarlpilta (CGC),30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,
,Belyuen (CGC),14,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,
,Binjari (CGC),4,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,
,Borroloola (CGC),70,15,3,7,0,0,0,0,0,0,0,0,0,0,0,6,10,86,
,Coomalie (CGC),43,15,10,3,9,7,12,7,4,0,3,0,0,0,3,0,15,445,
,Cox Peninsula (CGC),3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,182,
,Daguragu (CGC),46,16,15,0,9,0,0,0,0,0,0,0,0,0,0,0,6,31,
,Darwin (C),733,495,358,443,749,734,661,654,910,677,885,504,894,945,244,193,378,18011,
,Elliott District (CGC),28,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,65,
,Jabiru (T),174,28,28,12,8,7,3,15,5,4,0,0,0,0,0,17,41,304,
,Jilkminggan (CGC),28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
,Katherine (T),137,113,64,133,176,117,90,52,87,55,101,26,40,15,3,17,85,2294,
,Kunbarllanjnja (CGC),89,12,13,9,3,0,0,0,0,0,0,0,0,0,0,0,11,42,
,Lajamanu (CGC),86,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,
,Litchfield (S),164,24,25,39,32,56,27,33,72,43,70,25,46,47,15,16,45,5464,
,Ltyentye Purte (CGC),53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,
,Marngarr (CGC),17,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,
,Mataranka (CGC),28,7,0,3,0,3,3,0,0,0,0,0,0,0,0,6,6,196,
,Nauiyu Nambiyu (CGC),35,44,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,13,
,Numbulwar Numburindi (CGC),65,7,3,8,8,5,0,0,0,0,0,0,0,0,0,0,7,62,
,Nyirranggulung Mardrulk Ngadberre (CGC),99,50,11,3,5,4,0,0,0,0,0,0,0,0,3,4,4,193,
,Palmerston (C),248,259,169,107,138,244,306,204,295,159,296,154,301,201,30,27,140,5528,
,Pine Creek (CGC),20,3,3,13,5,10,0,3,0,0,0,0,3,0,0,0,6,104,
,Tapatjatjaka (CGC),33,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
,Tennant Creek (T),95,48,37,50,53,35,41,25,18,3,8,0,0,3,3,0,58,785,
,Thamarrurr (CGC),141,24,9,3,0,3,0,0,0,0,0,0,0,0,0,0,38,113,
,Timber Creek (CGC),30,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,88,
,Tiwi Islands (CGC),307,68,14,11,7,12,3,5,4,0,3,0,0,0,0,0,60,65,
,Walangeri Ngumpinku (CGC),45,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,3,17,
,Wallace Rockhole (CGC),23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
,Watiyawanu (CGC),27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,
,Yuendumu (CGC),89,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,51,
,Yugul Mangi (CGC),105,32,19,28,11,10,5,0,0,3,0,0,0,0,0,0,10,111,
,Unincorporated NT,2934,485,373,146,146,131,64,24,62,33,21,17,22,30,18,75,634,5073,
,Unincorporated ACT,1044,2746,1416,1280,1110,1052,1164,1251,1955,2185,3834,3254,5908,4295,942,641,1073,96445,
,Unincorporated OT,101,70,25,45,25,27,13,22,13,0,9,3,12,18,5,9,52,567,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
