Housing Loan Repayments (monthly) Ranges (HLRD01),lga,$1 - $99,$100 - $149,$150 - $249,$250 - $399,$400 - $549,$550 - $649,$650 - $749,$750 - $849,$850 - $949,"$950 - $1,049","$1,050 - $1,199","$1,200 - $1,399","$1,400 - $1,599","$1,600 - $1,999","$2,000 - $2,399","$2,400 - $2,999","$3,000 - $3,999","$4,000 and over",Not stated,Not applicable,
,Ipswich (C),116,72,316,481,1158,638,1134,949,1400,1227,1795,2352,1686,2022,1064,445,230,142,1254,34911,
,Isis (S),0,11,16,39,82,38,74,42,58,35,57,65,24,31,17,5,3,5,73,2682,
,Isisford (S),0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,196,
,Jericho (S),0,0,4,7,9,3,0,3,0,0,0,0,0,0,6,0,0,0,23,445,
,Johnstone (S),13,15,38,57,145,75,150,106,162,99,154,135,66,84,55,21,16,17,176,6356,
,Jondaryan (S),13,6,21,52,83,68,114,76,136,118,157,200,135,239,107,56,34,20,177,3246,
,Kilcoy (S),4,3,14,17,37,23,34,24,33,37,30,31,27,38,20,11,3,4,46,1103,
,Kilkivan (S),3,7,18,29,47,21,36,23,27,14,19,39,11,4,16,10,5,9,60,1210,
,Kingaroy (S),6,9,36,64,116,73,108,90,123,111,130,135,94,104,59,28,16,13,131,3592,
,Kolan (S),0,8,30,59,101,38,66,23,32,34,28,28,14,15,9,3,3,3,65,1551,
,Kowanyama (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,
,Kubin (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,
,Laidley (S),7,5,37,89,206,98,164,140,175,146,220,238,143,137,66,24,15,18,170,3661,
,Livingstone (S),10,10,61,92,179,105,216,178,252,190,285,357,234,384,262,130,77,41,318,9376,
,Lockhart River (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,
,Logan (C),157,100,314,592,1306,713,1273,1085,1704,1534,2174,3164,2255,2984,1425,620,338,245,1636,39289,
,Longreach (S),0,0,0,8,21,26,34,12,30,20,29,27,16,10,10,5,0,0,59,1519,
,Mabuiag (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,
,Mackay (C),41,25,100,182,437,203,412,397,657,557,875,1186,882,1408,1013,548,280,135,899,23795,
,McKinlay (S),0,0,4,3,3,0,3,0,0,0,3,0,0,0,0,0,0,6,11,434,
,Mapoon (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,
,Mareeba (S),13,11,33,59,160,77,118,100,127,118,169,176,108,136,80,31,22,21,170,5951,
,Maroochy (S),111,62,280,427,881,423,815,646,979,962,1326,1911,1410,2423,1721,924,581,428,1537,49473,
,Maryborough (C),13,9,73,140,270,135,235,189,258,175,275,278,126,153,67,32,16,8,219,8759,
,Mer (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,
,Millmerran (S),4,0,3,17,37,21,38,19,22,7,20,21,4,5,7,3,3,7,45,1197,
,Mirani (S),0,0,9,14,47,16,27,20,44,27,45,66,41,68,40,12,7,6,81,1630,
,Miriam Vale (S),3,3,20,30,78,36,41,29,40,38,35,42,27,40,23,11,6,9,58,2416,
,Monto (S),3,0,6,12,26,18,21,11,13,8,7,8,5,4,3,3,4,12,58,1124,
,Mornington (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,
,Mount Isa (C),6,3,14,30,109,72,146,169,177,169,233,287,161,161,103,24,23,23,186,6094,
,Mount Morgan (S),0,0,16,45,62,13,36,11,10,6,4,3,6,10,0,3,0,0,25,1209,
,Mundubbera (S),0,0,9,9,21,10,12,15,20,11,6,10,10,9,0,0,0,0,39,924,
,Murgon (S),3,0,8,15,51,21,43,32,29,13,25,23,10,26,11,3,5,3,43,1157,
,Murilla (S),0,0,8,19,30,11,18,13,13,7,11,5,9,6,7,0,7,4,50,1117,
,Murweh (S),0,0,17,36,89,29,53,28,34,10,26,18,6,13,10,3,0,4,61,1769,
,Nanango (S),3,3,52,118,162,69,98,68,79,66,79,70,28,33,16,7,10,3,95,3320,
,Napranum (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,
,Nebo (S),0,0,0,3,3,0,3,4,3,4,3,11,8,3,3,6,3,0,10,1124,
,New Mapoon (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,
,Noosa (S),42,25,85,164,317,142,258,209,288,277,411,558,391,603,475,269,214,175,570,20423,
,Palm Island (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,
,Paroo (S),0,0,14,14,10,10,7,0,3,0,3,3,0,0,0,3,3,0,34,1018,
,Peak Downs (S),0,0,4,3,12,0,10,3,12,7,9,11,5,13,3,9,3,8,37,1085,
,Perry (S),0,0,0,9,3,3,6,0,3,3,4,0,5,3,0,0,0,0,6,203,
,Pine Rivers (S),173,77,309,433,910,520,910,872,1294,1280,1861,2819,2358,3775,2286,1159,636,329,1547,27180,
,Pittsworth (S),0,0,3,24,37,23,45,38,37,39,50,52,23,44,16,5,3,4,67,1369,
,Pormpuraaw (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,
,Poruma (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,
,Quilpie (S),0,0,3,5,11,3,4,0,0,3,0,3,4,0,0,0,0,3,14,520,
,Redcliffe (C),62,30,96,161,289,155,276,212,341,302,416,629,479,735,374,180,107,83,432,18020,
,Redland (S),110,67,223,395,827,397,724,609,875,917,1298,1900,1555,2835,1833,934,554,372,1316,32592,
,Richmond (S),0,0,4,7,11,3,8,0,3,0,0,0,0,0,0,0,0,0,21,399,
,Rockhampton (C),38,26,85,186,567,308,569,460,609,459,668,688,441,475,237,89,63,44,447,17684,
,Roma (T),5,3,8,21,60,37,70,53,80,56,84,66,37,50,21,13,0,6,69,2075,
,Rosalie (S),4,6,25,56,106,58,93,81,132,77,145,135,95,92,55,23,8,17,117,2319,
,Saibai (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
,St Pauls (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,
,Sarina (S),10,3,18,26,76,40,69,52,81,81,115,152,90,160,84,50,30,16,150,3213,
,Seisia (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,
,Stanthorpe (S),5,3,20,51,120,61,102,81,80,79,98,73,59,52,22,10,6,15,85,3754,
,Tambo (S),0,0,4,6,9,3,3,0,0,0,0,0,0,4,0,0,0,3,5,253,
,Tara (S),0,4,17,38,66,17,18,10,17,5,9,4,3,4,0,5,3,8,87,1491,
,Taroom (S),3,0,0,20,33,13,11,3,4,5,5,3,0,0,3,0,3,0,63,1134,
,Thuringowa (C),58,20,109,149,364,219,398,452,640,591,833,1243,961,1226,589,196,129,67,608,13044,
,Tiaro (S),7,5,40,74,112,56,79,42,52,36,57,44,25,26,16,4,13,6,73,1731,
,Toowoomba (C),54,39,144,295,640,380,678,590,835,699,1017,1259,790,930,410,181,132,93,635,27971,
,Torres (S),0,0,0,0,0,0,4,0,0,0,10,0,0,3,4,0,0,0,4,1037,
,Townsville (C),59,45,143,213,482,289,601,539,792,738,1049,1328,985,1277,797,373,232,147,810,30232,
,Ugar (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,
,Umagico (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,
,Waggamba (S),0,0,9,10,15,4,7,9,8,9,17,22,21,29,16,15,6,4,61,1046,
,Wambo (S),0,7,17,22,64,29,49,19,22,18,23,21,22,22,26,7,8,13,105,1842,
,Warraber (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,
,Warroo (S),0,0,0,12,11,0,3,5,3,5,0,3,0,0,0,0,3,0,41,478,
,Warwick (S),13,13,32,87,227,104,219,149,237,163,222,246,149,141,77,34,17,26,222,6937,
,Weipa (T),0,0,4,3,4,0,0,0,3,3,0,5,13,8,9,5,0,0,12,1188,
,Whitsunday (S),6,12,17,41,90,42,95,69,105,126,184,203,134,232,138,106,64,43,198,6751,
,Winton (S),0,0,3,3,23,4,10,0,4,6,0,0,0,4,3,0,0,3,26,756,
,Wondai (S),0,0,26,35,74,34,44,31,28,22,34,22,18,19,15,10,3,0,66,1575,
,Woocoo (S),0,0,13,26,39,28,39,29,50,31,29,48,37,32,24,8,0,0,36,860,
,Woorabinda (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,
,Wujal Wujal (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,
,Yarrabah (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,
,Yorke (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,
,Unincorporated Qld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,
,Adelaide (C),10,6,14,26,51,19,52,50,61,54,88,134,127,180,166,89,68,72,103,7667,
,Adelaide Hills (DC),59,40,103,185,381,207,331,295,413,384,458,606,498,651,444,248,186,129,468,8711,
,Alexandrina (DC),16,20,78,155,272,107,174,158,179,182,240,276,178,210,123,56,30,34,245,9391,
,Anangu Pitjantjatjara (AC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,
,Barossa (DC),10,24,54,113,242,119,214,178,210,208,280,342,244,310,111,59,42,30,221,5760,
,Barunga West (DC),0,3,12,27,32,15,12,3,11,10,16,15,5,5,0,0,0,0,25,1560,
,Berri and Barmera (DC),8,8,18,73,132,97,128,95,130,104,110,103,60,82,34,17,18,16,122,3598,
,Burnside (C),38,26,60,107,231,121,172,174,192,263,288,441,350,535,553,365,321,251,471,13731,
,Campbelltown (C),45,32,88,181,363,174,346,297,346,288,463,548,421,580,353,135,104,71,353,14533,
,Ceduna (DC),0,3,3,15,42,29,28,18,32,23,20,19,8,11,3,0,3,4,38,1277,
,Charles Sturt (C),94,51,205,378,760,401,701,584,762,723,901,1209,844,1265,753,306,238,151,889,34663,
,Clare and Gilbert Valleys (DC),0,3,29,67,135,63,95,77,77,65,81,93,49,56,21,15,5,13,110,2746,
,Cleve (DC),0,3,5,11,29,9,17,20,23,12,6,3,0,3,9,0,0,3,46,819,
,Coober Pedy (DC),0,3,9,21,24,9,7,9,6,3,3,3,0,0,0,0,0,0,26,1209,
,Copper Coast (DC),3,11,47,123,172,84,134,73,101,71,92,89,40,46,18,5,10,9,103,5592,
,Elliston (DC),3,0,3,4,12,9,10,4,4,3,3,3,3,0,0,0,3,3,28,703,
,Flinders Ranges (DC),0,0,6,21,48,16,11,7,15,5,15,5,5,5,3,0,3,4,16,665,
,Franklin Harbour (DC),0,0,0,9,22,8,10,9,5,4,7,9,5,8,0,3,0,0,20,654,
,Gawler (T),20,16,57,120,228,123,217,151,237,198,287,332,216,249,93,30,20,7,160,5198,
,Goyder (DC),3,4,31,67,75,37,36,24,19,25,29,26,6,10,5,3,4,0,63,1652,
,Grant (DC),4,3,17,62,91,61,73,65,93,79,106,119,74,90,52,29,8,13,133,2392,
,Holdfast Bay (C),45,23,73,103,233,124,164,142,229,199,267,366,262,440,306,196,167,107,298,13576,
,Kangaroo Island (DC),5,3,19,41,63,20,54,28,27,30,37,33,15,26,12,9,3,6,60,2189,
,Karoonda East Murray (DC),0,0,7,13,20,3,7,8,3,7,8,3,3,0,3,3,3,0,24,490,
,Kimba (DC),0,3,10,16,20,6,8,3,0,0,0,3,0,0,3,0,0,0,19,483,
,Kingston (DC),3,3,4,17,35,11,14,10,21,17,20,10,9,5,3,3,0,0,29,1229,
,Le Hunte (DC),3,0,9,10,19,7,12,3,10,3,3,5,0,0,0,0,0,0,23,567,
,Light (RegC),4,7,30,91,163,94,140,112,171,111,208,227,166,218,113,47,19,15,152,2615,
,Lower Eyre Peninsula (DC),0,3,14,33,62,25,42,30,25,40,30,38,24,42,15,17,5,8,57,1650,
,Loxton Waikerie (DC),8,9,37,87,184,81,155,106,120,87,93,89,50,60,27,9,13,18,148,3947,
,Mallala (DC),3,5,29,75,116,67,125,73,123,91,126,133,99,148,44,18,14,11,127,1690,
,Maralinga Tjarutja (AC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,
,Marion (C),75,74,199,456,784,384,727,590,850,718,1044,1382,999,1341,549,247,150,80,765,24172,
,Mid Murray (DC),8,13,41,98,146,68,94,61,70,53,66,55,38,32,17,9,4,3,89,4753,
,Mitcham (C),70,41,152,244,497,271,455,366,514,530,665,941,734,1040,729,390,257,152,593,17066,
,Mount Barker (DC),31,16,67,148,324,176,264,252,273,279,407,501,380,460,253,117,70,56,294,6263,
,Mount Gambier (C),13,5,50,115,297,168,327,224,343,259,360,334,187,170,77,25,15,12,194,7378,
,Mount Remarkable (DC),0,0,20,37,55,13,21,14,16,15,19,9,5,3,0,0,0,3,34,1237,
,Murray Bridge (RC),13,12,45,131,240,142,209,139,194,138,189,160,88,96,38,15,13,16,193,5833,
,Naracoorte and Lucindale (DC),3,11,19,65,129,73,100,70,80,64,82,72,43,41,15,7,6,4,129,2665,
,Northern Areas (DC),3,7,32,70,94,33,47,33,41,27,23,10,10,12,4,3,5,3,62,1684,
,Norwood Payneham St Peters (C),23,17,52,102,191,102,170,163,196,206,270,408,254,450,372,220,170,116,276,12994,
,Onkaparinga (C),164,141,552,1104,2119,1183,1943,1594,2050,1801,2630,3012,1908,1986,857,310,205,147,1546,36983,
,Orroroo/Carrieton (DC),0,0,9,14,14,4,6,9,11,0,4,0,0,0,0,0,0,0,5,400,
,Peterborough (DC),0,6,33,54,54,17,15,5,11,0,3,0,0,0,0,0,0,0,13,837,
,Playford (C),55,48,230,595,1084,588,979,781,955,764,1022,1071,616,616,232,90,50,49,648,17787,
,Port Adelaide Enfield (C),74,57,230,473,991,514,839,739,955,800,1158,1470,1009,1344,649,257,162,85,853,34124,
,Port Augusta (C),4,6,36,120,240,129,163,98,144,82,119,94,43,40,30,12,3,5,113,4748,
,Port Lincoln (C),14,9,25,66,142,67,143,111,129,122,138,206,111,129,55,25,21,14,105,4539,
,Port Pirie City and Dists (M),15,15,68,236,381,176,230,131,151,115,146,112,53,50,30,7,8,10,153,5635,
,Prospect (C),16,5,43,67,143,85,121,97,140,147,179,286,209,320,264,117,75,59,192,6054,
,Renmark Paringa (DC),7,9,29,48,140,92,117,105,90,78,97,78,35,47,23,18,12,9,105,2937,
,Robe (DC),0,0,8,8,10,3,4,10,3,8,10,8,4,3,5,0,0,0,19,1157,
,Roxby Downs (M),3,0,0,3,5,6,8,18,18,31,28,52,27,51,23,12,8,3,21,1129,
,Salisbury (C),108,91,357,827,1651,905,1550,1257,1682,1329,1986,2242,1280,1249,568,225,127,122,1243,28516,
,Southern Mallee (DC),0,5,15,27,37,19,18,10,8,4,3,5,3,0,0,0,0,3,36,869,
,Streaky Bay (DC),0,0,13,10,17,9,23,7,9,3,10,9,8,6,3,0,0,4,27,996,
,Tatiara (DC),3,3,6,46,107,67,94,54,70,39,55,47,32,21,18,9,5,9,120,2160,
,Tea Tree Gully (C),113,87,299,527,1085,596,1105,910,1171,1131,1536,1895,1349,1577,679,256,191,90,1050,22275,
,The Coorong (DC),3,6,19,60,108,35,61,27,28,25,37,26,16,24,8,3,6,11,94,2357,
,Tumby Bay (DC),0,0,10,10,42,8,30,15,9,13,9,16,15,15,15,4,4,5,41,1248,
,Unley (C),32,26,67,118,259,114,177,173,239,239,289,462,360,535,522,297,248,159,348,11684,
,Victor Harbor (C),9,14,28,66,104,64,92,75,64,73,110,119,86,111,42,12,11,18,108,6157,
,Wakefield (DC),4,8,40,94,155,52,83,41,51,33,43,35,22,18,6,7,6,7,78,2190,
,Walkerville (M),4,3,10,18,32,8,19,25,37,33,38,59,52,56,87,43,52,44,71,2453,
,Wattle Range (DC),7,5,48,117,235,107,173,110,135,95,112,98,59,56,26,18,7,14,154,4034,
,West Torrens (C),38,14,98,185,353,193,353,314,393,390,515,647,502,716,433,169,106,73,457,19277,
,Whyalla (C),8,14,69,268,510,184,270,187,269,176,221,179,103,82,40,15,15,7,174,7330,
,Yankalilla (DC),3,5,16,36,50,27,39,38,36,33,30,39,32,46,16,15,4,3,50,2797,
,Yorke Peninsula (DC),11,12,61,105,151,54,102,51,73,53,53,35,31,26,15,13,6,6,130,7867,
,Unincorporated SA,0,3,16,26,17,5,7,3,4,5,0,5,7,0,3,0,0,0,44,2806,
,Albany (C),20,18,53,124,273,138,237,207,295,270,332,393,242,318,182,89,44,42,314,10389,
,Armadale (C),52,36,152,278,679,360,596,503,638,552,803,917,604,713,395,188,115,58,576,11942,
,Ashburton (S),0,4,68,54,14,4,3,3,5,3,0,7,3,5,3,0,0,0,15,2865,
,Augusta-Margaret River (S),3,0,11,35,71,29,47,49,61,81,102,138,87,140,95,46,34,18,127,4797,
,Bassendean (T),17,9,30,59,130,66,126,107,140,134,211,220,181,226,119,52,31,22,131,4090,
,Bayswater (C),45,36,107,173,412,223,391,321,465,477,623,828,631,941,642,329,197,107,574,18792,
,Belmont (C),18,22,53,97,202,101,189,167,220,222,361,445,351,501,301,124,59,40,274,10769,
,Beverley (S),0,3,8,16,20,15,19,8,5,8,5,4,11,4,3,0,0,0,25,700,
,Boddington (S),0,0,3,6,17,10,14,7,12,10,6,14,11,13,17,3,0,0,9,513,
,Boyup Brook (S),0,0,3,13,21,11,9,10,12,5,8,6,3,5,7,0,0,0,23,615,
,Bridgetown-Greenbushes (S),4,3,12,29,61,30,50,35,42,35,37,48,40,47,19,10,9,0,47,1465,
,Brookton (S),0,0,3,10,15,5,5,3,3,3,3,3,3,3,0,0,0,3,14,401,
,Broome (S),0,3,11,10,21,19,29,15,27,41,51,89,97,183,138,80,45,46,92,6130,
,Broomehill (S),0,0,0,8,5,3,3,3,0,0,0,4,0,0,3,0,0,0,10,170,
,Bruce Rock (S),0,0,7,10,19,0,4,0,3,0,3,0,0,0,0,0,0,0,12,449,
,Bunbury (C),21,6,55,90,206,126,264,214,294,292,399,445,289,374,231,98,55,42,279,9702,
,Busselton (S),17,11,34,65,150,81,143,98,181,173,259,312,240,343,196,129,77,42,271,10121,
,Cambridge (T),19,9,20,51,100,46,76,74,85,107,113,208,172,326,347,277,274,306,281,7022,
,Canning (C),78,50,126,229,559,280,527,479,638,672,887,1154,974,1303,804,347,241,130,766,21047,
,Capel (S),10,9,15,31,67,42,76,52,74,101,148,203,164,218,136,69,39,24,122,2218,
,Carnamah (S),0,0,5,11,13,4,6,0,0,0,0,0,0,0,0,0,0,0,12,318,
,Carnarvon (S),3,0,6,19,48,27,52,35,40,32,35,41,30,25,20,12,12,10,65,3152,
,Chapman Valley (S),3,3,0,3,5,3,6,3,3,3,4,7,9,13,5,4,0,0,9,321,
,Chittering (S),0,0,7,17,39,24,17,23,35,40,50,83,46,55,54,19,11,10,49,931,
,Claremont (T),11,5,10,11,34,10,10,13,29,28,32,50,56,92,78,71,82,101,113,3461,
,Cockburn (C),78,44,144,257,569,319,537,466,711,691,1111,1520,1171,1716,994,438,246,149,850,17644,
,Collie (S),9,3,21,72,139,63,113,70,94,70,106,101,55,80,44,15,6,4,89,2460,
,Coolgardie (S),3,0,15,29,85,61,71,68,51,21,41,24,6,12,0,0,0,3,31,1190,
,Coorow (S),0,0,5,5,11,4,6,0,8,8,8,10,4,10,9,3,0,0,18,760,
,Corrigin (S),0,0,3,6,18,4,16,3,5,3,7,4,3,3,0,0,0,3,22,471,
,Cottesloe (T),0,3,6,4,11,9,10,13,17,11,27,35,23,49,73,56,77,120,94,2790,
,Cranbrook (S),0,0,7,7,12,6,5,6,7,4,3,9,0,0,0,0,0,4,10,459,
,Cuballing (S),0,0,5,9,18,9,11,3,10,7,12,3,7,6,0,0,0,4,5,260,
,Cue (S),0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,140,
,Cunderdin (S),0,3,7,22,26,8,16,4,3,0,4,6,4,3,0,0,3,3,19,442,
,Dalwallinu (S),0,3,4,16,22,7,8,3,9,5,4,4,0,0,0,0,0,0,23,527,
,Dandaragan (S),3,0,4,9,22,6,11,14,13,23,13,26,23,21,13,3,3,4,43,2310,
,Dardanup (S),10,3,20,36,74,45,90,87,111,107,181,241,147,185,78,39,26,18,102,2343,
,Denmark (S),3,6,14,24,35,17,34,27,38,21,46,33,30,37,27,7,9,3,57,2315,
,Derby-West Kimberley (S),4,0,0,10,14,8,23,15,19,10,23,22,9,6,16,5,3,4,19,2290,
,Donnybrook-Balingup (S),4,4,10,23,46,26,40,38,54,43,51,58,54,50,38,19,6,4,59,1498,
,Dowerin (S),0,0,3,8,9,4,4,4,3,4,0,0,0,0,0,0,0,0,8,303,
,Dumbleyung (S),0,0,7,5,5,5,0,3,0,0,0,0,0,0,0,0,0,0,17,307,
,Dundas (S),0,0,12,9,20,6,4,3,0,0,0,0,0,0,0,0,0,0,7,661,
,East Fremantle (T),4,4,6,16,33,20,30,25,31,33,54,76,62,81,113,82,86,55,94,2091,
,East Pilbara (S),6,0,56,177,89,26,15,0,7,9,9,16,7,3,5,0,0,0,23,2223,
,Esperance (S),3,4,31,39,91,56,97,72,113,97,122,161,92,90,59,22,18,16,160,4514,
,Exmouth (S),3,0,3,5,6,10,6,6,21,12,18,19,23,32,17,3,0,3,20,1635,
,Fremantle (C),25,13,37,50,145,66,109,113,162,163,201,264,224,378,318,205,138,114,271,9673,
,Geraldton (C),21,5,36,110,184,122,198,152,173,135,177,182,112,103,55,31,18,15,139,6589,
,Gingin (S),3,8,8,21,33,21,35,20,34,32,30,42,37,38,33,16,6,9,54,2976,
,Gnowangerup (S),0,0,4,24,30,10,13,5,5,0,3,6,3,0,3,3,0,0,24,564,
,Goomalling (S),0,0,4,3,8,5,5,8,10,3,0,0,3,0,0,0,0,0,16,407,
,Gosnells (C),98,47,224,378,856,555,1023,826,1222,1060,1538,2019,1378,1662,873,355,195,144,1041,19801,
,Greenough (S),3,3,14,44,116,70,129,88,164,159,204,255,189,220,128,58,34,28,144,3015,
,Halls Creek (S),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1178,
,Harvey (S),17,10,32,68,164,101,136,120,201,183,274,329,250,280,168,70,48,32,217,5117,
,Irwin (S),0,4,3,10,17,12,20,21,25,22,34,38,23,22,32,11,3,4,40,1278,
,Jerramungup (S),0,0,5,5,16,7,6,4,3,3,5,5,4,4,0,0,0,3,34,676,
,Joondalup (C),161,107,347,568,1235,645,1164,1015,1359,1413,1935,2744,2216,3174,2192,1139,833,471,1812,32041,
,Kalamunda (S),59,30,87,187,405,220,414,340,502,542,722,1043,736,990,551,265,171,99,599,11268,
,Kalgoorlie/Boulder (C),11,3,17,53,150,124,190,222,317,292,467,627,389,512,267,88,69,50,296,7793,
,Katanning (S),0,6,8,24,86,44,48,45,33,37,24,14,13,10,8,5,5,0,46,1308,
,Kellerberrin (S),0,0,0,22,31,7,4,0,3,4,3,0,3,0,0,0,0,0,11,426,
,Kent (S),0,0,3,3,4,3,0,0,3,0,0,0,0,0,0,0,0,0,10,289,
,Kojonup (S),3,0,3,14,23,10,23,9,7,9,12,5,3,4,3,0,0,3,27,805,
,Kondinin (S),0,3,3,9,13,0,8,8,3,7,3,0,0,0,3,0,0,0,12,425,
,Koorda (S),0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,7,212,
,Kulin (S),0,0,9,9,10,3,10,4,0,0,3,3,0,0,0,0,0,0,20,402,
,Kwinana (T),18,13,69,144,321,153,275,214,292,251,339,451,365,450,149,61,45,27,237,5521,
,Lake Grace (S),0,3,8,6,16,6,9,3,9,3,0,5,0,0,0,3,0,0,22,707,
,Laverton (S),0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,332,
,Leonora (S),0,0,0,3,7,3,3,0,3,0,3,0,0,0,0,0,0,0,3,649,
,Mandurah (C),35,34,121,191,374,186,379,284,401,397,508,678,540,895,497,237,161,121,590,21406,
,Manjimup (S),3,3,21,57,120,73,105,61,102,60,70,81,53,40,38,4,14,9,82,3582,
,Meekatharra (S),0,0,4,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,496,
,Melville (C),79,42,159,239,500,236,441,356,569,593,732,1129,1008,1449,1231,736,615,436,1062,27133,
,Menzies (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,160,
,Merredin (S),0,0,10,44,64,24,51,21,36,15,23,20,9,4,0,5,0,0,36,1208,
,Mingenew (S),0,0,0,6,9,3,0,0,4,0,0,0,0,0,0,0,0,0,3,205,
,Moora (S),0,3,15,28,53,13,32,13,22,8,5,13,6,12,4,0,0,0,34,819,
,Morawa (S),0,0,5,9,19,3,3,0,0,0,0,3,0,0,0,0,0,0,4,361,
,Mosman Park (T),12,4,8,22,33,5,21,13,18,37,43,54,49,79,94,73,74,110,99,3004,
,Mount Magnet (S),0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,267,
,Mount Marshall (S),0,0,3,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,10,309,
,Mukinbudin (S),0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,269,
,Mullewa (S),0,0,0,8,9,3,0,0,0,3,0,0,0,0,0,0,0,0,13,366,
,Mundaring (S),34,19,94,153,341,152,306,255,348,338,505,637,472,639,422,183,133,72,460,7577,
,Murchison (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,
,Murray (S),11,11,17,51,108,54,78,81,95,72,143,150,119,170,99,57,39,19,150,4078,
,Nannup (S),0,0,4,3,18,0,6,12,11,9,11,15,6,10,0,0,3,4,13,634,
,Narembeen (S),0,0,0,7,12,5,3,0,3,0,0,0,0,0,0,0,0,0,21,378,
,Narrogin (T),4,4,16,33,74,37,84,35,64,41,32,33,12,19,3,4,0,0,28,1304,
,Narrogin (S),0,0,0,0,10,3,14,4,3,5,3,8,6,4,3,3,0,0,11,256,
,Nedlands (C),22,16,29,25,58,31,34,33,50,72,76,101,84,167,228,181,239,329,261,5943,
,Ngaanyatjarraku (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,
,Northam (T),6,0,18,43,101,44,93,60,61,54,61,49,32,33,14,8,0,9,51,1976,
,Northam (S),3,3,15,31,65,26,49,34,45,36,43,49,37,41,29,16,5,3,52,1077,
,Northampton (S),0,0,10,4,20,11,23,8,21,15,18,32,11,15,9,10,6,6,54,1991,
,Nungarin (S),0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,102,
,Peppermint Grove (S),0,0,0,0,0,0,0,0,0,4,0,9,0,6,11,7,16,44,31,457,
,Perenjori (S),0,3,7,7,4,0,0,0,5,0,0,0,3,0,0,0,0,0,8,249,
,Perth (C),3,6,4,14,16,14,20,28,36,39,59,83,83,158,136,93,83,64,85,6365,
,Pingelly (S),0,0,5,15,25,6,10,0,6,3,3,3,0,5,4,4,0,0,14,444,
,Plantagenet (S),4,7,3,30,68,29,56,36,43,22,43,35,17,20,9,0,0,6,55,1540,
,Port Hedland (T),6,3,13,95,69,25,33,47,56,62,76,108,69,94,57,35,14,11,80,4344,
,Quairading (S),0,0,0,8,21,6,14,3,3,0,3,3,0,0,0,0,0,0,12,420,
,Ravensthorpe (S),0,0,6,11,9,3,5,7,8,4,9,15,0,6,3,3,3,4,34,869,
,Rockingham (C),67,39,201,298,648,338,603,564,766,804,1145,1579,1230,1688,989,418,231,121,832,22404,
