Housing Loan Repayments (monthly) Ranges (HLRD01),lga,$1 - $99,$100 - $149,$150 - $249,$250 - $399,$400 - $549,$550 - $649,$650 - $749,$750 - $849,$850 - $949,"$950 - $1,049","$1,050 - $1,199","$1,200 - $1,399","$1,400 - $1,599","$1,600 - $1,999","$2,000 - $2,399","$2,400 - $2,999","$3,000 - $3,999","$4,000 and over",Not stated,Not applicable,
,Urana (A),0,3,6,15,22,4,9,0,6,9,0,3,3,4,0,0,0,0,19,522,
,Wagga Wagga (C),43,19,87,149,357,216,419,356,555,537,722,866,593,766,412,214,116,82,542,16098,
,Wakool (A),4,3,11,28,53,28,28,24,31,22,32,24,11,7,12,9,7,12,95,1728,
,Walcha (A),0,0,3,16,34,17,26,14,21,11,26,16,8,3,8,3,7,6,61,1265,
,Walgett (A),4,0,3,42,65,15,30,19,25,12,10,5,6,5,6,4,6,3,96,3795,
,Warren (A),4,0,0,12,34,19,22,18,20,7,16,18,7,18,6,7,0,9,47,1141,
,Warringah (A),104,50,129,209,364,197,310,256,387,497,532,950,880,2005,2349,2211,2505,1632,1349,37607,
,Warrumbungle Shire (A),5,9,41,76,126,46,70,46,62,38,45,34,22,25,25,4,13,18,122,4095,
,Waverley (A),34,17,33,68,112,44,78,68,109,128,118,259,217,458,671,564,781,935,505,25176,
,Weddin (A),0,3,20,37,44,16,27,27,22,18,23,13,13,11,6,3,3,4,66,1514,
,Wellington (A),0,4,18,46,87,42,65,34,60,29,58,66,47,40,29,13,12,9,96,3039,
,Wentworth (A),3,0,18,33,80,46,65,40,69,48,52,88,38,49,23,17,7,15,112,2256,
,Willoughby (C),52,22,37,65,155,71,90,88,128,168,148,276,292,623,899,820,1031,1201,539,20501,
,Wingecarribee (A),19,19,59,94,192,103,201,157,245,248,335,517,445,824,620,364,279,204,444,13700,
,Wollondilly (A),30,16,40,77,195,88,178,140,246,254,367,542,509,1037,891,597,502,257,472,7864,
,Wollongong (C),147,66,211,338,707,439,604,569,963,903,1303,2022,1725,3105,2602,1585,966,545,1424,56930,
,Woollahra (A),21,6,23,44,65,19,45,45,59,99,69,141,150,305,426,409,529,1216,599,21398,
,Wyong (A),76,54,182,300,696,344,667,574,795,733,1123,1853,1629,2979,1948,1004,512,281,1371,45383,
,Yass Valley (A),7,7,16,40,72,42,85,61,94,85,117,198,155,219,184,159,96,55,158,3631,
,Young (A),9,12,22,60,114,50,114,73,100,95,109,133,71,96,48,28,13,10,122,3936,
,Unincorporated NSW,0,0,6,5,9,3,3,3,0,3,3,4,4,5,3,3,3,7,15,629,
,Alpine (S),10,7,27,46,135,73,109,78,96,85,127,131,76,98,47,16,12,18,114,5397,
,Ararat (RC),7,3,28,82,188,82,129,87,102,70,96,83,32,52,29,11,0,15,112,3926,
,Ballarat (C),75,64,183,378,777,408,818,622,868,815,1148,1292,793,885,468,170,103,96,746,25528,
,Banyule (C),142,80,197,320,697,310,618,521,744,726,994,1445,1350,2184,1406,697,505,340,1175,31837,
,Bass Coast (S),11,16,71,128,277,104,244,153,214,178,238,293,201,231,149,51,40,27,300,18587,
,Baw Baw (S),26,12,89,192,415,186,360,298,386,318,464,528,345,447,215,98,81,61,449,10881,
,Bayside (C),96,46,93,154,331,170,225,244,284,428,393,669,664,1155,1353,1030,1197,1026,1045,26272,
,Benalla (RC),13,11,39,68,178,64,153,105,163,108,152,160,78,88,45,17,12,14,162,4597,
,Boroondara (C),154,79,184,287,539,258,318,360,464,761,632,1109,1046,1767,2082,1594,1834,1542,1644,46442,
,Brimbank (C),117,119,275,497,1154,643,966,974,1298,1261,1742,2413,1860,2210,1262,540,367,234,1766,40368,
,Buloke (S),9,12,43,74,142,40,52,29,34,19,23,13,7,8,5,0,3,5,61,2734,
,Campaspe (S),34,13,86,153,335,200,349,252,365,286,441,486,290,342,181,68,61,63,445,11200,
,Cardinia (S),36,19,94,178,459,266,451,363,566,565,837,1219,911,1374,767,365,199,114,704,11556,
,Casey (C),153,130,339,682,1507,848,1631,1627,2226,2345,3466,5242,4300,5459,2723,1110,663,470,2627,37430,
,Central Goldfields (S),11,15,52,133,231,101,180,104,133,85,96,80,39,40,19,3,3,7,116,4558,
,Colac-Otway (S),15,15,45,116,248,116,186,144,201,173,228,236,100,151,84,27,25,28,243,8404,
,Corangamite (S),6,8,45,109,217,86,144,97,116,101,126,131,59,73,60,22,31,61,271,5815,
,Darebin (C),104,54,159,287,593,303,502,481,658,692,860,1387,1082,1834,1358,771,507,258,1040,42405,
,East Gippsland (S),35,26,128,222,460,218,386,235,348,274,367,366,252,257,139,65,33,46,394,16757,
,Frankston (C),151,80,253,455,979,550,943,884,1262,1213,1714,2457,1889,2304,1016,459,265,181,1345,30610,
,Gannawarra (S),3,14,26,83,153,71,129,73,74,53,73,79,23,50,27,13,8,18,132,4109,
,Glen Eira (C),112,64,171,278,554,289,461,396,507,699,805,1269,1040,1979,1881,1312,970,601,1289,39771,
,Glenelg (S),19,13,70,141,301,129,193,151,224,143,215,223,131,135,69,35,36,21,231,6787,
,Golden Plains (S),19,17,56,120,227,101,161,146,179,164,272,300,213,291,138,63,31,26,240,3449,
,Greater Bendigo (C),98,86,292,515,1102,520,993,739,1059,845,1262,1401,847,976,399,190,108,75,893,27290,
,Greater Dandenong (C),87,66,224,385,888,507,800,701,953,891,1139,1482,1132,1217,584,296,218,140,1058,34663,
,Greater Geelong (C),275,152,461,757,1632,858,1528,1202,1858,1641,2351,3067,2214,2708,1419,663,449,279,1927,62715,
,Greater Shepparton (C),71,37,100,190,486,250,515,373,615,498,741,863,523,640,312,124,101,67,628,16094,
,Hepburn (S),11,10,67,96,198,92,160,132,135,127,160,155,101,92,66,32,13,25,161,5614,
,Hindmarsh (S),4,3,39,58,128,44,55,37,35,24,19,25,9,13,12,3,4,5,79,2425,
,Hobsons Bay (C),68,42,132,226,543,218,445,372,615,524,715,1084,878,1303,912,442,407,232,785,24049,
,Horsham (RC),17,4,42,94,248,122,225,152,184,190,236,227,131,122,66,28,12,10,193,5978,
