lga,Other Religions,Not stated,Supplementary codes,Buddhism,Christianity,Hinduism,Islam,Judaism,No Religion
Esperance (S),28,1791,74,37,7318,12,6,6,3689
Exmouth (S),8,334,11,28,1040,0,0,0,630
Fremantle (C),228,3312,386,423,13433,102,133,78,6735
Geraldton (C),73,2804,129,98,11628,7,174,0,3999
Gingin (S),6,908,22,34,2222,0,3,3,1124
Gnowangerup (S),0,118,3,0,903,0,0,0,336
Goomalling (S),3,62,6,0,653,0,0,6,209
Gosnells (C),563,11193,637,2451,51879,419,3122,23,21293
Greenough (S),21,1744,87,86,8949,6,182,9,2950
Halls Creek (S),35,576,7,8,2130,0,0,0,382
Harvey (S),68,2423,89,67,12180,3,28,5,4691
Irwin (S),7,367,9,7,1839,0,4,0,819
Jerramungup (S),0,147,14,0,648,0,0,0,313
Joondalup (C),802,14796,984,1362,97050,751,1086,226,32610
Kalamunda (S),186,5927,289,317,29954,68,351,24,12423
Kalgoorlie/Boulder (C),95,5248,230,139,15325,64,64,17,7236
Katanning (S),6,721,22,22,2256,9,360,0,811
Kellerberrin (S),0,154,7,0,796,0,0,0,228
Kent (S),3,46,5,0,351,0,0,0,164
Kojonup (S),4,263,10,9,1423,0,0,0,438
Kondinin (S),3,103,3,0,668,3,0,0,187
Koorda (S),0,47,0,0,293,0,0,0,87
Kulin (S),3,90,3,3,642,0,0,0,139
Kwinana (T),130,4240,193,132,12079,36,81,12,6290
Lake Grace (S),3,123,11,0,991,0,4,0,322
Laverton (S),8,106,15,6,438,0,0,0,150
Leonora (S),15,190,18,21,743,0,7,0,424
Mandurah (C),178,7473,348,248,34458,58,88,22,12936
Manjimup (S),40,1215,42,46,5331,13,33,0,2533
Meekatharra (S),8,330,13,6,545,0,3,0,240
Melville (C),629,9214,595,2539,60172,841,682,77,18250
Menzies (S),0,41,0,0,128,0,0,0,49
Merredin (S),8,424,21,10,1973,0,11,0,796
Mingenew (S),0,52,0,0,335,0,0,0,81
Moora (S),5,306,12,3,1595,0,0,0,488
Morawa (S),0,86,0,0,585,0,0,0,150
Mosman Park (T),62,1095,60,115,5258,50,77,18,1517
Mount Magnet (S),0,112,3,3,260,0,0,0,79
Mount Marshall (S),0,51,6,0,420,0,0,0,138
Mukinbudin (S),0,44,8,0,411,0,0,0,120
Mullewa (S),0,113,4,0,658,0,0,0,137
Mundaring (S),195,5077,346,187,19617,39,34,23,9566
Murchison (S),0,16,3,0,74,0,0,0,20
Murray (S),55,1801,62,53,7018,6,4,7,2973
Nannup (S),9,176,6,20,593,0,0,0,388
Narembeen (S),0,106,8,0,597,0,0,0,198
Narrogin (T),3,410,28,5,2747,0,3,0,1036
Narrogin (S),0,67,0,3,582,7,0,0,172
Nedlands (C),118,2443,135,398,13031,163,108,95,3837
Ngaanyatjarraku (S),125,368,0,0,743,0,0,0,105
Northam (T),19,736,50,9,3886,3,9,0,1293
Northam (S),25,661,21,13,2098,0,0,3,977
Northampton (S),28,434,9,12,2060,3,0,0,663
Nungarin (S),0,37,0,0,151,0,0,0,56
Peppermint Grove (S),11,191,11,14,1104,0,0,5,245
Perenjori (S),0,53,0,3,342,0,0,0,129
Perth (C),85,3090,110,558,4842,206,428,93,2162
Pingelly (S),3,215,15,3,711,0,3,0,225
Plantagenet (S),18,690,33,20,2455,0,23,0,1241
Port Hedland (T),173,3701,71,98,4925,47,414,7,2528
Quairading (S),3,125,3,0,704,0,0,0,180
Ravensthorpe (S),3,271,15,16,1147,0,11,0,489
Rockingham (C),355,11268,667,446,48949,52,292,29,22255
Roebourne (S),90,3501,144,115,7756,82,27,8,4706
Sandstone (S),3,25,0,0,39,0,0,0,46
Serpentine-Jarrahdale (S),43,1623,79,83,7497,6,28,6,3527
Shark Bay (S),4,170,3,3,434,0,0,0,231
South Perth (C),298,4917,307,1202,22496,410,811,75,7844
Stirling (C),1112,20125,1573,4518,108517,1111,3921,2808,33181
Subiaco (C),146,2251,160,435,8669,142,286,86,4198
Swan (C),448,11626,655,2529,54295,363,2074,272,21024
Tambellup (S),0,150,0,0,401,0,0,0,106
Tammin (S),0,56,6,0,277,0,0,0,51
Three Springs (S),0,71,10,3,458,0,0,0,119
Toodyay (S),27,554,38,22,2307,0,6,0,1164
Trayning (S),0,42,0,0,257,0,0,0,94
Upper Gascoyne (S),0,88,0,0,126,0,0,0,78
Victoria Park (T),172,3957,294,960,14945,206,856,34,6535
Victoria Plains (S),0,110,3,3,595,0,0,0,197
Vincent (T),187,3812,328,932,14449,112,223,167,6673
Wagin (S),3,226,11,8,1165,0,0,0,432
Wandering (S),0,61,5,0,218,0,0,0,75
Wanneroo (C),581,12636,746,3382,67036,455,1953,75,24079
Waroona (S),8,450,32,7,2083,0,0,0,861
West Arthur (S),0,85,4,0,549,0,0,0,215
Westonia (S),0,20,0,0,153,0,0,0,39
Wickepin (S),0,65,0,3,449,0,0,0,192
Williams (S),0,77,6,4,599,0,3,0,174
Wiluna (S),3,89,8,3,344,0,3,0,230
Wongan-Ballidu (S),3,142,7,0,954,5,3,0,276
Woodanilling (S),0,66,0,0,254,0,0,0,83
Unincorporated WA,3,49,13,4,163,5,0,0,101
Wyalkatchem (S),0,71,6,0,370,0,0,0,121
No Usual Address,45,1065,96,84,2916,28,44,15,1699
Wyndham-East Kimberley (S),32,1448,57,38,3624,5,13,7,1379
Yalgoo (S),3,51,0,0,146,0,3,0,46
Yilgarn (S),0,165,7,10,907,0,0,0,328
York (S),13,371,13,13,1896,0,11,0,795
Break O'Day (M),26,844,45,50,3738,3,6,3,1354
Brighton (M),25,2040,48,26,9208,5,13,0,2754
Burnie (C),67,2546,113,80,11725,48,18,7,4450
Central Coast (M),38,2691,95,68,13288,12,12,4,4456
Central Highlands (M),10,240,6,0,1619,0,0,0,364
Circular Head (M),5,1100,35,9,5094,4,4,0,1703
Clarence (C),148,5869,309,168,33425,25,47,25,9611
Derwent Valley (M),44,1298,51,31,6403,3,12,3,1635
Devonport (C),48,2922,110,68,15502,19,71,7,5273
Dorset (M),7,814,34,15,4729,6,8,0,1388
Flinders (M),3,87,3,0,573,0,0,0,196
George Town (M),21,793,37,14,4298,3,3,0,1353
Glamorgan/Spring Bay (M),12,559,17,13,2836,0,0,0,756
Glenorchy (C),173,5209,232,140,30116,105,137,6,7291
Hobart (C),341,5742,647,874,25787,268,353,88,13603
Huon Valley (M),74,1918,137,86,8245,12,29,5,3487
Kentish (M),33,767,45,26,3379,0,4,0,1499
King Island (M),7,205,21,0,1015,0,8,0,384
Kingborough (M),163,3495,225,215,19133,55,22,23,7514
Latrobe (M),21,1038,35,39,5611,4,7,3,1872
Launceston (C),214,7227,480,327,40517,111,208,27,13114
Meander Valley (M),59,2097,91,74,12550,12,18,3,3450
Northern Midlands (M),22,1368,44,21,8563,0,3,4,2061
Sorell (M),58,1425,79,52,7715,4,13,0,2574
Southern Midlands (M),17,649,36,14,4086,0,5,0,866
Tasman (M),8,350,23,9,1242,0,0,0,604
Waratah/Wynyard (M),27,1735,92,58,8325,6,3,0,3166
West Coast (M),10,631,21,20,3237,23,10,0,1052
West Tamar (M),64,2323,140,91,13656,52,32,8,4442
Unincorporated Tas,0,12,0,0,42,0,0,0,35
No Usual Address,5,145,16,14,422,3,0,0,264
Alice Springs (T),155,3916,179,266,13473,86,96,25,5685
Alpurrurulam (CGC),88,21,0,0,189,0,0,0,48
Angurugu (CGC),5,79,0,0,657,0,0,0,67
Anmatjere (CGC),75,67,0,0,715,0,0,0,113
Arltarlpilta (CGC),25,37,0,0,157,0,0,0,26
Belyuen (CGC),36,29,0,0,58,0,0,0,52
Binjari (CGC),0,62,0,0,45,0,0,0,85
Borroloola (CGC),0,135,3,0,221,0,0,0,409
Coomalie (CGC),3,345,10,14,476,0,7,0,251
Cox Peninsula (CGC),3,57,6,3,149,0,0,0,79
Daguragu (CGC),37,60,0,3,374,0,0,0,70
Darwin (C),390,10076,606,1727,36412,350,763,59,15905
Elliott District (CGC),9,138,0,0,114,0,0,0,161
Jabiru (T),3,392,8,23,436,0,0,0,273
Jilkminggan (CGC),0,3,0,0,11,0,0,0,256
Katherine (T),50,1692,63,48,4400,14,9,3,1918
Kunbarllanjnja (CGC),4,125,0,0,342,0,0,0,411
Lajamanu (CGC),12,74,0,0,541,0,0,0,43
Litchfield (S),66,2821,124,278,7584,13,27,15,4637
Ltyentye Purte (CGC),0,31,0,0,496,0,0,0,15
Marngarr (CGC),7,28,0,0,226,0,0,0,12
Mataranka (CGC),0,43,7,0,116,0,0,0,86
Nauiyu Nambiyu (CGC),0,15,0,0,340,0,0,0,35
Numbulwar Numburindi (CGC),0,31,0,3,547,0,0,0,99
Nyirranggulung Mardrulk Ngadberre (CGC),7,65,3,0,716,0,0,0,139
Palmerston (C),92,4241,187,278,12607,43,124,7,6142
Pine Creek (CGC),8,61,0,3,177,0,0,0,103
Tapatjatjaka (CGC),0,122,0,0,78,0,0,0,19
Tennant Creek (T),337,598,30,29,1286,0,4,0,629
Thamarrurr (CGC),19,143,0,0,1677,0,0,0,84
Timber Creek (CGC),36,57,0,0,107,0,0,0,21
Tiwi Islands (CGC),5,151,0,0,1820,0,0,0,157
Walangeri Ngumpinku (CGC),45,148,5,0,43,0,0,0,221
Wallace Rockhole (CGC),0,9,0,0,73,0,0,0,8
Watiyawanu (CGC),0,10,0,0,251,0,0,0,5
Yuendumu (CGC),0,66,0,3,567,0,0,0,60
Yugul Mangi (CGC),4,178,0,0,971,0,0,0,487
Unincorporated NT,2338,6468,146,144,16036,23,54,9,5312
No Usual Address,12,441,18,16,912,0,11,0,488
Unincorporated ACT,2107,33012,2572,7122,194825,3271,4363,572,75488
No Usual Address,14,102,18,22,343,5,10,4,198
Unincorporated OT,24,217,13,409,628,0,698,0,308
No Usual Address,0,11,0,0,4,0,3,0,3
