lga,Other Religions,Not stated,Supplementary codes,Buddhism,Christianity,Hinduism,Islam,Judaism,No Religion
East Gippsland (S),104,4970,282,189,24464,32,40,26,9931
Frankston (C),498,16094,1144,882,67382,535,777,137,30350
Gannawarra (S),20,1314,30,21,7770,0,6,0,2135
Glen Eira (C),684,14643,913,2322,57499,2098,672,22063,23199
Glenelg (S),26,2512,93,55,12784,11,20,0,4264
Golden Plains (S),43,2034,133,63,10180,0,12,7,3978
Greater Bendigo (C),234,10119,695,492,60143,127,136,46,21268
Greater Dandenong (C),862,12214,659,18767,65852,2550,9875,110,14633
Greater Geelong (C),608,21450,1609,1376,129415,409,1069,76,41475
Greater Shepparton (C),282,6364,283,202,37440,110,2190,11,10201
Hepburn (S),111,1835,164,180,7822,15,14,16,3582
Hindmarsh (S),18,549,16,7,4656,8,8,0,785
Hobsons Bay (C),405,8062,543,2247,51160,442,3514,54,15047
Horsham (RC),34,1716,86,46,13427,32,52,3,3106
Hume (C),603,13734,783,2861,90562,937,19688,35,18567
Indigo (S),38,1606,95,80,9618,0,3,9,3354
Kingston (C),726,14082,990,3955,85011,2044,1916,907,24995
Knox (C),1164,15080,1147,4261,87880,1982,1516,125,33581
Latrobe (C),208,8153,538,316,42680,85,224,24,17101
Loddon (S),16,897,37,27,5346,4,5,0,1503
Macedon Ranges (S),118,4510,308,183,23955,33,64,20,9177
Manningham (C),861,9514,550,4012,71340,1158,1889,635,19956
Mansfield (S),23,929,62,49,4379,3,10,14,1725
Maribyrnong (C),525,7257,609,6470,31912,1262,2658,60,12394
Maroondah (C),633,11244,804,1292,60157,455,443,99,24072
Melbourne (C),468,13751,829,5389,27718,1251,2523,463,18989
Melton (S),456,8413,394,1555,52160,696,2233,7,12993
Mildura (RC),103,5696,218,200,32039,70,831,9,10644
Mitchell (S),85,3531,195,118,19459,19,131,20,7370
Moira (S),30,2769,97,59,19172,16,241,10,4690
Monash (C),1425,15641,999,8531,95715,4880,2626,815,30614
Moonee Valley (C),394,10508,648,2969,72214,849,2928,64,16523
Moorabool (S),103,2625,180,129,16371,32,33,13,5984
Moreland (C),807,13182,1311,2705,82137,1583,10618,147,23266
Mornington Peninsula (S),444,18957,1173,717,80570,173,172,144,34123
Mount Alexander (S),148,2871,169,170,8386,15,14,13,5279
Moyne (S),43,1723,69,36,11034,0,12,9,2526
Murrindindi (S),72,2199,152,73,7320,4,14,3,3845
Nillumbik (S),254,6422,582,410,35595,107,189,57,16182
Northern Grampians (S),46,1337,55,28,7927,9,7,4,2494
Port Phillip (C),511,15258,1156,1633,38654,777,842,3922,22346
Pyrenees (S),19,795,43,24,4323,0,3,0,1355
Queenscliffe (B),11,318,27,18,1963,5,5,13,660
South Gippsland (S),76,3213,163,87,15633,11,28,22,6513
Southern Grampians (S),23,1485,68,43,12338,0,8,6,2670
Stonnington (C),474,12164,844,2285,48448,1332,952,4578,18813
Strathbogie (S),23,1062,57,53,6108,3,14,7,1969
Surf Coast (S),84,2763,229,178,12619,18,33,14,5848
Swan Hill (RC),62,2322,106,202,14109,13,135,6,3680
Towong (S),17,571,38,20,4371,0,0,3,995
Wangaratta (RC),58,2661,148,98,18336,27,66,7,4998
Warrnambool (C),59,3283,190,122,20971,27,67,14,5661
Wellington (S),118,5217,255,137,25882,39,68,5,8353
West Wimmera (S),19,406,7,10,3364,0,3,0,664
Whitehorse (C),1104,13814,1015,6123,87484,1901,1137,326,31864
Whittlesea (C),1195,10073,577,3944,86033,1625,6763,36,14400
Wodonga (RC),99,3007,285,130,22823,71,81,9,6504
Wyndham (C),578,11853,687,1834,72177,1392,3656,34,20476
Yarra (C),467,10712,1259,4053,29529,308,1233,393,21384
Yarra Ranges (S),830,18867,1395,936,74859,171,241,131,42793
Yarriambiack (S),7,747,31,22,5775,3,12,0,929
Unincorporated Vic,8,126,41,15,318,0,3,4,256
No Usual Address,81,1010,123,187,2891,69,150,45,1836
Aramac (S),0,107,0,3,542,0,0,0,71
Atherton (S),62,1322,67,52,7330,0,17,4,2058
Aurukun (S),3,54,3,3,873,0,0,0,109
Badu (IC),21,31,26,0,679,0,0,0,72
Balonne (S),7,426,16,11,3753,3,0,0,406
Bamaga (IC),13,58,25,0,644,0,0,0,48
Banana (S),28,1414,40,50,9931,9,10,3,1874
Barcaldine (S),0,172,0,0,1242,0,0,0,194
Barcoo (S),0,25,0,0,274,0,0,0,64
Bauhinia (S),3,152,12,3,1732,0,0,0,282
Beaudesert (S),353,7428,352,525,39920,50,121,33,13653
Belyando (S),20,1287,70,39,7114,16,18,3,1899
Bendemere (S),0,109,0,4,798,0,0,0,80
Biggenden (S),6,136,3,4,1138,0,0,0,244
Blackall (S),3,77,9,4,1241,4,0,0,118
Boigu (IC),16,0,7,0,257,0,0,0,0
Boonah (S),23,813,34,18,6564,0,8,3,1182
Booringa (S),0,155,3,0,1356,0,0,0,194
