lga,Bachelor Degree Level,Advanced Diploma and Diploma Level,Level of education not stated,Level of education inadequately described,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Certificate Level,Not applicable,
Boddington (S),73,59,109,16,4,9,193,920,
Boyup Brook (S),98,74,104,14,6,12,201,973,
Bridgetown-Greenbushes (S),240,225,288,55,35,39,633,2436,
Brookton (S),42,37,90,11,3,5,109,690,
Broome (S),875,613,2082,134,129,123,1856,7248,
Broomehill (S),37,19,33,0,0,4,67,319,
Bruce Rock (S),48,38,82,6,3,9,106,666,
Bunbury (C),1724,1371,3313,360,224,210,4806,17690,
Busselton (S),1707,1406,2174,334,144,248,4025,15312,
Cambridge (T),4947,1872,2084,360,1277,581,1617,11006,
Canning (C),8891,5537,6553,954,1817,910,9974,42669,
Capel (S),755,566,608,141,84,110,1650,6273,
Carnamah (S),25,35,67,7,7,7,117,482,
Carnarvon (S),291,198,621,59,32,37,798,3649,
Chapman Valley (S),55,51,65,11,0,3,126,603,
Chittering (S),135,165,261,33,16,21,594,2297,
Claremont (T),1936,748,805,157,597,207,469,4014,
Cockburn (C),5050,4165,6560,914,787,590,11721,44676,
Collie (S),265,266,896,72,16,33,1393,5678,
Coolgardie (S),90,105,517,26,21,12,539,2488,
Coorow (S),54,62,93,12,3,8,181,788,
Corrigin (S),71,42,101,9,4,6,143,772,
Cottesloe (T),1708,582,927,101,442,148,391,2950,
Cranbrook (S),41,68,69,6,0,4,127,749,
Cuballing (S),45,41,50,8,3,3,93,530,
Cue (S),10,7,51,3,0,3,41,215,
Cunderdin (S),45,43,110,6,3,3,183,853,
Dalwallinu (S),76,47,78,3,3,8,129,1024,
Dandaragan (S),119,151,315,39,13,21,399,1822,
Dardanup (S),483,436,804,93,39,53,1761,6662,
Denmark (S),407,358,351,82,64,76,632,2538,
Derby-West Kimberley (S),265,198,690,31,37,55,619,4601,
Donnybrook-Balingup (S),283,273,358,59,34,46,708,2986,
Dowerin (S),32,24,54,3,3,0,81,501,
Dumbleyung (S),46,33,48,10,0,0,66,419,
Dundas (S),50,27,135,12,9,10,127,702,
East Fremantle (T),1183,516,640,71,303,191,631,3166,
East Pilbara (S),365,157,1007,41,39,52,999,3883,
Esperance (S),640,588,1137,144,43,102,1850,8461,
Exmouth (S),125,108,201,36,17,18,398,1158,
Fremantle (C),3684,1750,2820,325,1012,504,2855,11884,
Geraldton (C),814,728,2278,224,85,119,2773,11895,
Gingin (S),151,159,654,55,18,18,663,2591,
Gnowangerup (S),63,82,69,18,6,3,158,965,
Goomalling (S),31,29,81,11,0,8,117,662,
Gosnells (C),4923,4663,8310,1010,683,515,14012,57466,
Greenough (S),710,634,1317,160,97,93,2174,8852,
Halls Creek (S),92,52,459,14,17,17,163,2327,
Harvey (S),1036,898,1600,188,96,131,3254,12351,
Irwin (S),119,146,276,44,6,17,488,1945,
Jerramungup (S),61,51,83,10,9,9,138,769,
Joondalup (C),14756,11207,10574,2063,2272,1797,23502,83501,
Kalamunda (S),3757,3303,3965,632,625,494,7948,28812,
Kalgoorlie/Boulder (C),1590,972,3674,229,201,180,4300,17279,
Katanning (S),176,115,564,33,16,23,461,2812,
Kellerberrin (S),44,47,118,3,0,7,117,850,
Kent (S),32,27,28,3,0,4,68,415,
Kojonup (S),137,96,212,20,8,17,225,1433,
Kondinin (S),61,43,54,4,0,8,104,690,
Koorda (S),10,17,29,6,0,0,49,317,
Kulin (S),47,52,58,12,0,12,80,625,
Kwinana (T),735,813,3119,255,71,78,3577,14548,
Lake Grace (S),89,68,85,10,5,6,197,996,
Laverton (S),35,22,99,10,6,4,127,435,
Leonora (S),62,51,130,10,13,10,261,874,
Mandurah (C),2424,2718,6462,753,277,299,9073,33809,
Manjimup (S),425,350,781,126,49,68,1212,6240,
Meekatharra (S),63,32,216,11,11,9,96,707,
Melville (C),13795,7555,7736,1320,2980,1619,10434,47559,
Menzies (S),3,4,36,0,0,0,27,136,
Merredin (S),176,122,316,22,17,21,423,2143,
Mingenew (S),28,26,48,0,0,0,59,316,
Moora (S),134,76,173,35,9,13,306,1670,
Morawa (S),35,25,55,7,3,9,99,597,
Mosman Park (T),1531,565,929,95,448,200,665,3821,
Mount Magnet (S),26,11,80,3,6,4,54,279,
Mount Marshall (S),35,26,33,3,4,4,59,455,
Mukinbudin (S),30,21,22,5,0,3,64,419,
Mullewa (S),53,30,83,12,9,4,83,637,
Mundaring (S),2827,2361,3543,439,542,451,5407,19528,
Murchison (S),3,4,12,0,0,0,4,81,
Murray (S),454,506,1296,156,39,45,1899,7578,
Nannup (S),80,85,87,16,8,15,185,720,
Narembeen (S),50,38,49,10,3,3,86,671,
Narrogin (T),228,177,346,38,26,37,557,2832,
Narrogin (S),62,42,55,5,3,5,99,556,
Nedlands (C),4410,1427,1874,255,1611,434,1004,9313,
Ngaanyatjarraku (S),44,12,127,4,15,9,58,1062,
Northam (T),284,183,594,45,44,32,783,4043,
Northam (S),152,166,406,39,17,23,587,2401,
Northampton (S),127,134,327,37,12,19,462,2080,
Nungarin (S),18,13,14,0,0,0,25,177,
Peppermint Grove (S),349,104,143,26,86,21,71,788,
Perenjori (S),19,19,33,3,4,7,49,393,
Perth (C),2241,903,2925,169,637,148,954,3598,
Pingelly (S),40,45,146,4,6,5,123,789,
Plantagenet (S),231,251,392,35,24,33,604,2912,
Port Hedland (T),585,412,2737,97,72,79,1733,6244,
Quairading (S),49,49,99,10,0,5,122,681,
Ravensthorpe (S),130,89,167,29,11,12,365,1150,
Rockingham (C),3463,4221,8237,1066,357,402,14616,51952,
Roebourne (S),1000,702,2345,159,120,123,2963,9005,
Sandstone (S),4,3,22,3,0,0,9,80,
Serpentine-Jarrahdale (S),600,652,1046,130,84,69,2248,8063,
Shark Bay (S),46,39,160,12,7,4,120,470,
South Perth (C),6826,3143,4168,495,1609,796,3680,17646,
Stirling (C),22537,12583,18027,2214,3982,2700,21713,93109,
Subiaco (C),3883,1225,1699,222,1387,457,1084,6429,
Swan (C),5194,4747,8276,1032,657,559,13623,59188,
Tambellup (S),21,25,83,3,0,7,53,465,
Tammin (S),22,12,39,3,0,3,28,280,
Three Springs (S),45,28,52,3,0,0,72,454,
Toodyay (S),206,213,326,74,42,29,702,2521,
Trayning (S),17,12,38,3,0,0,43,280,
Upper Gascoyne (S),12,10,45,3,0,0,24,195,
Victoria Park (T),3870,2115,3740,377,766,442,3218,13433,
Victoria Plains (S),61,45,67,6,5,6,106,605,
Vincent (T),5094,1917,3346,316,1153,696,2675,11679,
Wagin (S),77,67,196,9,7,12,233,1246,
Wandering (S),17,21,36,3,0,6,35,241,
Wanneroo (C),5918,5946,9277,1323,682,599,17064,70128,
Waroona (S),100,129,282,30,7,17,536,2347,
West Arthur (S),59,38,56,7,3,3,76,617,
Westonia (S),11,3,13,0,0,0,19,162,
Wickepin (S),27,44,54,9,0,3,70,505,
Williams (S),52,42,61,8,3,7,105,586,
Wiluna (S),42,23,69,8,3,3,119,415,
Wongan-Ballidu (S),63,73,82,10,6,11,182,952,
Woodanilling (S),23,23,29,6,0,3,40,270,
Unincorporated WA,15,17,49,12,3,0,116,120,
Wyalkatchem (S),30,10,42,0,6,7,58,409,
No Usual Address,542,353,890,103,90,49,1100,2859,
Wyndham-East Kimberley (S),409,226,989,59,54,61,830,3968,
Yalgoo (S),15,13,36,3,0,0,27,147,
Yilgarn (S),55,47,137,10,0,11,167,996,
York (S),211,181,279,46,28,28,449,1895,
Break O'Day (M),277,240,651,92,31,33,899,3842,
Brighton (M),281,314,1346,98,40,32,1835,10169,
Burnie (C),874,750,1663,204,115,109,2833,12522,
Central Coast (M),1023,922,1835,221,104,135,3348,13069,
Central Highlands (M),89,79,219,17,16,8,258,1560,
Circular Head (M),271,231,521,62,10,22,1113,5724,
Clarence (C),4022,2848,4619,576,672,558,7239,29102,
Derwent Valley (M),297,264,999,100,42,35,1308,6431,
Devonport (C),1130,1024,2151,233,125,123,3664,15551,
Dorset (M),260,204,634,72,37,25,1026,4735,
Flinders (M),63,52,68,19,7,10,118,524,
George Town (M),206,211,577,51,37,13,937,4492,
Glamorgan/Spring Bay (M),199,233,441,47,29,25,639,2574,
Glenorchy (C),1785,1631,4496,401,237,198,6625,28037,
Hobart (C),8994,3338,4170,565,2242,1177,4745,22467,
Huon Valley (M),787,600,1240,157,163,132,1904,9019,
Kentish (M),212,230,477,57,32,23,887,3847,
King Island (M),97,86,156,21,8,11,292,970,
Kingborough (M),3656,2061,2008,415,847,490,4215,17139,
Latrobe (M),436,385,691,101,51,59,1463,5448,
Launceston (C),4911,2852,5568,661,744,485,8805,38192,
Meander Valley (M),998,808,1527,200,121,108,2716,11867,
Northern Midlands (M),554,502,1015,121,96,77,1711,8021,
Sorell (M),546,584,977,128,74,83,1913,7622,
Southern Midlands (M),184,187,475,55,19,21,726,3995,
Tasman (M),128,113,253,29,30,23,381,1283,
Waratah/Wynyard (M),631,586,1072,152,68,93,1996,8812,
West Coast (M),181,122,419,37,25,10,801,3406,
West Tamar (M),1660,1151,1638,254,308,192,3325,12288,
Unincorporated Tas,9,10,4,3,6,0,40,10,
No Usual Address,89,37,105,7,16,4,116,501,
Alice Springs (T),1993,1237,2605,245,509,379,3431,13485,
Alpurrurulam (CGC),0,3,18,0,0,0,10,314,
Angurugu (CGC),3,5,74,0,0,0,3,725,
Anmatjere (CGC),9,16,81,5,0,3,61,793,
Arltarlpilta (CGC),7,4,19,0,0,0,17,190,
Belyuen (CGC),3,0,7,0,0,0,6,155,
Binjari (CGC),0,0,44,0,0,0,3,147,
Borroloola (CGC),16,11,64,5,0,7,45,632,
Coomalie (CGC),38,47,257,10,20,4,119,606,
Cox Peninsula (CGC),24,13,38,7,7,8,58,146,
Daguragu (CGC),9,10,26,0,3,3,29,471,
Darwin (C),6773,3807,7459,730,1716,1106,9420,35274,
Elliott District (CGC),8,5,88,0,0,0,21,298,
Jabiru (T),86,59,278,3,27,11,143,530,
Jilkminggan (CGC),0,0,5,0,0,0,4,263,
Katherine (T),513,366,1257,81,58,78,1243,4596,
Kunbarllanjnja (CGC),23,6,39,3,5,6,28,776,
Lajamanu (CGC),11,4,83,0,3,5,17,542,
Litchfield (S),823,753,1911,178,140,149,2772,8837,
Ltyentye Purte (CGC),12,7,38,3,0,5,43,426,
Marngarr (CGC),0,0,26,0,0,0,19,229,
Mataranka (CGC),12,13,43,0,0,0,30,146,
Nauiyu Nambiyu (CGC),10,12,36,0,3,3,21,310,
Numbulwar Numburindi (CGC),7,11,46,8,4,0,24,581,
Nyirranggulung Mardrulk Ngadberre (CGC),19,12,75,5,0,0,48,778,
Palmerston (C),1145,1110,2644,197,168,202,3712,14535,
Pine Creek (CGC),3,4,41,3,0,3,34,255,
Tapatjatjaka (CGC),0,0,13,0,0,0,0,197,
Tennant Creek (T),123,97,436,26,23,23,308,1885,
Thamarrurr (CGC),29,10,132,7,7,9,51,1688,
Timber Creek (CGC),12,5,47,0,0,0,13,141,
Tiwi Islands (CGC),46,27,176,20,7,13,188,1656,
Walangeri Ngumpinku (CGC),9,4,54,0,0,0,21,376,
Wallace Rockhole (CGC),0,0,3,0,0,0,9,77,
Watiyawanu (CGC),3,0,24,0,0,0,3,235,
Yuendumu (CGC),15,18,26,4,9,4,32,581,
Yugul Mangi (CGC),28,23,163,11,3,6,52,1356,
Unincorporated NT,920,709,4436,159,131,142,2598,21427,
No Usual Address,163,77,343,27,22,33,383,859,
Unincorporated ACT,51544,22011,21236,3963,17823,9176,34489,163088,
No Usual Address,113,34,69,14,32,9,82,358,
Unincorporated OT,135,88,254,29,22,24,308,1439,
No Usual Address,3,3,11,0,0,0,0,7,
,,,,,,,,,
,,,,,,,,,
