lga,Bachelor Degree Level,Advanced Diploma and Diploma Level,Level of education not stated,Level of education inadequately described,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Certificate Level,Not applicable,
Parkes (A),622,483,1203,177,59,83,2148,9503,
Parramatta (C),17719,9285,15562,2175,5870,1373,16359,79984,
Penrith (C),9096,7908,14226,1986,1490,978,27165,109292,
Pittwater (A),6802,5069,4901,1042,1721,800,7765,26054,
Port Stephens (A),2917,3309,5405,833,468,385,11165,35998,
Queanbeyan (C),2976,2104,3010,420,920,587,5008,20954,
Randwick (C),20017,8239,14787,1729,6800,1742,11887,54688,
Richmond Valley (A),748,667,1961,245,104,109,3085,14399,
Rockdale (C),9563,5968,10803,1240,2777,731,10451,50579,
Ryde (C),15689,7677,8829,1453,5123,1443,10443,46289,
Shellharbour (C),2432,2688,5085,771,387,308,10626,38051,
Shoalhaven (C),4539,4643,8210,1358,800,772,16077,52014,
Singleton (A),1074,1002,1619,229,138,133,4021,13720,
Snowy River (A),539,414,1320,94,78,72,1280,3393,
Strathfield (A),5359,2053,3505,489,1748,337,2360,16140,
Sutherland Shire (A),20572,16316,16134,3008,4322,2384,35377,107328,
Sydney (C),32194,10658,39027,2047,10613,2643,10767,48626,
Tamworth Regional (A),2929,2476,4663,745,397,450,8575,33362,
Temora (A),254,182,492,90,15,44,870,3915,
Tenterfield (A),280,266,526,93,28,47,915,4374,
Tumbarumba (A),167,169,416,48,12,26,497,2200,
Tumut Shire (A),495,448,965,132,73,62,1663,6969,
Tweed (A),4204,3944,8463,1183,624,583,12824,47484,
Upper Hunter Shire (A),640,518,1186,182,77,73,2090,8202,
Upper Lachlan (A),424,328,625,87,77,57,1087,4374,
Uralla (A),409,291,401,79,133,68,893,3473,
Urana (A),45,39,91,25,3,11,139,908,
Wagga Wagga (C),4056,2748,3963,809,807,599,9244,34792,
Wakool (A),223,144,479,40,9,35,582,2837,
Walcha (A),153,162,237,52,18,19,459,2084,
Walgett (A),305,231,836,79,22,29,832,4624,
Warren (A),130,119,210,29,4,13,322,1916,
Warringah (A),17312,12050,11445,2283,3849,1770,18816,66310,
Warrumbungle Shire (A),451,406,943,131,54,61,1314,6458,
Waverley (A),12396,4563,11121,935,3317,963,4904,22518,
Weddin (A),163,153,326,49,23,28,506,2394,
Wellington (A),360,317,826,90,51,53,1083,5337,
Wentworth (A),319,246,621,60,25,49,881,4567,
Willoughby (C),14174,5048,5551,1023,4609,1191,4513,27502,
Wingecarribee (A),3551,2898,3699,653,816,564,6723,23372,
Wollondilly (A),2181,2044,3095,541,381,319,7292,24494,
Wollongong (C),14504,10435,16659,2463,4334,1887,29624,104314,
Woollahra (A),12200,3844,7118,751,3842,979,2797,18642,
Wyong (A),5630,6269,13928,1939,856,767,24037,86374,
Yass Valley (A),1287,796,835,155,405,240,1859,7558,
Young (A),568,469,944,156,55,77,1723,7998,
Unincorporated NSW,66,55,81,20,8,3,194,692,
No Usual Address,1127,530,1523,158,281,109,1529,4917,
Alpine (S),808,666,1091,144,94,171,1946,7081,
Ararat (RC),552,581,1361,113,59,99,1555,6927,
Ballarat (C),6853,4402,7981,753,1212,1352,11756,50892,
Banyule (C),14695,7894,9226,1209,3573,2568,14185,61517,
Bass Coast (S),1513,1349,3146,331,228,319,4301,15359,
Baw Baw (S),2337,1856,3070,364,357,457,5970,22762,
Bayside (C),15543,7336,7570,1167,3858,2200,7199,43062,
Benalla (RC),763,737,1146,137,109,160,2003,8468,
Boroondara (C),34041,11996,11438,1889,10332,4842,9606,70308,
Brimbank (C),10692,6977,16806,1452,1490,950,17951,111885,
Buloke (S),359,238,586,51,20,66,878,4648,
Campaspe (S),1695,1435,2968,335,149,343,5407,23870,
Cardinia (S),3204,2852,4415,505,424,536,9235,35950,
Casey (C),12186,11045,17834,2322,1829,1399,30711,137639,
Central Goldfields (S),425,414,1273,137,39,96,1861,8077,
Colac-Otway (S),1078,939,1893,235,97,198,2961,12886,
Corangamite (S),782,637,1483,166,71,155,2238,11089,
Darebin (C),15998,6704,13851,1128,4128,2820,11918,71518,
East Gippsland (S),2088,2100,3952,514,263,423,6161,24532,
Frankston (C),6815,6619,11668,1317,892,1086,18396,71017,
Gannawarra (S),435,416,1083,96,22,87,1653,7502,
Glen Eira (C),21891,9072,12436,1483,5724,3108,10965,59408,
Glenelg (S),910,771,1760,197,85,177,2908,12941,
Golden Plains (S),933,820,1134,151,139,224,2671,10383,
Greater Bendigo (C),6499,4535,8144,809,991,1418,14115,56734,
Greater Dandenong (C),7623,5945,14173,1258,1238,638,12672,81970,
Greater Geelong (C),15146,11365,17911,1992,2395,2292,29000,117372,
Greater Shepparton (C),3085,2348,5055,455,422,601,7361,37765,
Hepburn (S),1025,823,1383,158,242,254,1912,7937,
Hindmarsh (S),277,213,548,60,14,49,734,4141,
Hobsons Bay (C),7684,4337,7732,813,1708,1214,9833,48144,
Horsham (RC),1124,986,1435,164,168,215,2686,11718,
Hume (C),7569,6355,12876,1221,905,828,18158,99863,
Indigo (S),1123,829,1331,163,219,284,2380,8473,
Kingston (C),13657,9239,12496,1617,2486,1902,17749,75482,
Knox (C),12767,9608,10303,1811,2041,1617,21513,87076,
Latrobe (C),3420,2923,6363,720,505,575,11729,43088,
Loddon (S),328,289,704,65,42,78,1003,5339,
Macedon Ranges (S),3203,2513,2882,396,665,685,5647,22359,
Manningham (C),16308,8592,8214,1334,3642,1917,11273,58649,
Mansfield (S),497,421,711,86,62,100,1203,4111,
Maribyrnong (C),8301,3640,7130,697,2133,1146,5752,34348,
Maroondah (C),9330,7025,7829,1115,1468,1612,14471,56358,
Melbourne (C),17524,4897,11673,932,5113,1681,3968,25588,
Melton (S),4984,3701,6842,747,638,559,11223,50214,
Mildura (RC),2472,1870,4581,442,241,446,6319,33441,
Mitchell (S),1407,1303,2678,275,216,284,4701,20057,
Moira (S),1082,995,2569,273,90,206,3958,17906,
Monash (C),24201,12345,14119,1930,7139,2833,15565,83099,
Moonee Valley (C),14027,6474,10331,1075,2929,2264,11268,58731,
Moorabool (S),1532,1296,1924,239,263,320,3817,16077,
Moreland (C),17078,7102,13709,1260,4471,2806,13412,75918,
Mornington Peninsula (S),10109,8751,15102,1651,1636,1715,20987,76526,
Mount Alexander (S),1406,1005,2031,196,234,329,2305,9553,
Moyne (S),881,748,1279,170,113,152,2118,10002,
Murrindindi (S),955,788,1395,135,134,199,2350,7715,
Nillumbik (S),7117,4387,3638,621,1527,1336,8404,32750,
Northern Grampians (S),555,496,1085,137,53,101,1717,7770,
Port Phillip (C),19633,6664,12956,1044,4987,2547,6836,30422,
Pyrenees (S),307,289,728,48,35,67,908,4177,
Queenscliffe (B),411,299,308,53,83,68,322,1465,
South Gippsland (S),1462,1239,2326,244,185,296,4118,15866,
Southern Grampians (S),1044,870,1377,152,134,177,2365,10513,
Stonnington (C),21110,7243,10202,1153,5628,2441,5819,36296,
Strathbogie (S),519,495,963,101,68,93,1345,5708,
Surf Coast (S),2425,1635,1771,290,394,458,3163,11620,
Swan Hill (RC),928,755,2057,199,69,168,2575,13872,
Towong (S),352,314,519,75,42,59,1003,3658,
Wangaratta (RC),1658,1337,2170,275,200,352,4047,16356,
Warrnambool (C),2111,1511,2819,274,280,386,4375,18635,
Wellington (S),2098,1754,4224,408,222,360,6342,24668,
West Wimmera (S),188,205,378,46,13,28,554,3057,
Whitehorse (C),22371,11623,10822,1806,5348,3445,14751,74595,
Whittlesea (C),7289,5881,10191,1039,1073,723,15404,83044,
Wodonga (RC),1943,1797,2246,355,283,386,5571,20425,
Wyndham (C),7631,5954,9334,1190,1373,978,15406,70833,
Yarra (C),16824,4364,8303,727,4512,2521,4586,27490,
Yarra Ranges (S),10164,8701,10527,1506,1672,1826,23091,82725,
Yarriambiack (S),309,290,746,53,26,71,987,5042,
Unincorporated Vic,91,63,110,8,14,16,159,311,
No Usual Address,755,363,810,95,155,77,936,3203,
Aramac (S),37,27,74,11,4,5,66,513,
Atherton (S),636,479,998,141,112,77,1671,6804,
Aurukun (S),22,5,40,6,7,0,21,950,
Badu (IC),14,16,25,16,0,3,62,682,
Balonne (S),238,186,351,38,13,30,500,3267,
Bamaga (IC),23,20,62,3,0,3,100,562,
Banana (S),648,425,1000,75,55,73,1866,9215,
Barcaldine (S),83,72,139,13,13,12,195,1098,
Barcoo (S),19,19,13,5,3,0,51,254,
Bauhinia (S),99,82,127,7,7,8,266,1594,
Beaudesert (S),2970,2932,4807,670,459,405,10103,40106,
Belyando (S),640,306,835,57,57,51,1764,6742,
Bendemere (S),30,32,92,7,7,6,108,719,
Biggenden (S),40,58,109,15,5,4,203,1092,
Blackall (S),54,55,88,16,5,6,177,1055,
Boigu (IC),3,3,33,0,0,0,31,206,
Boonah (S),413,352,663,81,51,64,1149,5856,
Booringa (S),68,59,119,19,3,8,205,1228,
Boulia (S),14,13,43,0,0,0,52,295,
Bowen (S),406,365,1776,94,39,49,1650,8008,
Brisbane (C),135330,62135,82250,10437,33499,15344,108446,508688,
Broadsound (S),314,178,838,58,37,36,1078,4297,
Bulloo (S),10,8,21,0,0,3,60,261,
Bundaberg (C),2010,1465,4763,446,219,243,6545,30105,
Bungil (S),106,92,112,14,5,20,232,1478,
Burdekin (S),619,524,1354,118,51,58,2482,11806,
Burke (S),25,17,98,3,3,0,73,279,
Burnett (S),1450,1058,2100,304,215,194,4102,16869,
Caboolture (S),5220,5700,11844,1470,682,716,20434,86407,
Cairns (C),9210,6882,14046,1605,1380,1076,19981,73255,
Calliope (S),798,595,1192,162,87,108,2931,10661,
Caloundra (C),5425,4982,7486,1208,880,789,14297,52532,
Cambooya (S),414,311,252,56,71,54,880,3782,
Cardwell (S),401,341,876,112,38,41,1492,6218,
Carpentaria (S),59,48,307,18,3,6,214,1272,
Charters Towers (C),420,198,660,66,40,39,900,5650,
Cherbourg (S),4,19,92,11,0,3,89,915,
Chinchilla (S),278,203,473,50,15,22,824,4073,
Clifton (S),118,104,173,24,13,20,355,1806,
Cloncurry (S),142,90,319,16,14,6,435,2119,
Cook (S),149,128,570,43,33,28,521,1990,
Cooloola (S),1498,1515,2867,396,192,222,5618,23750,
Crow's Nest (S),1110,811,651,135,215,168,1746,7807,
Croydon (S),7,6,30,3,0,0,25,183,
Dalby (T),421,327,962,79,45,50,1310,6587,
Dalrymple (S),113,101,275,39,12,17,415,2528,
Dauan (IC),3,10,10,0,0,0,23,107,
Diamantina (S),19,7,28,0,0,3,46,179,
Doomadgee (S),29,10,179,0,0,0,30,830,
Douglas (S),658,594,1157,177,77,83,1817,5628,
Duaringa (S),292,191,662,40,19,22,1058,4451,
Eacham (S),376,295,655,88,87,62,1022,3773,
Eidsvold (S),32,41,96,6,3,4,88,596,
Emerald (S),866,522,1113,94,91,111,2440,9119,
Erub (IC),9,10,18,3,0,0,51,231,
Esk (S),555,581,1370,149,86,95,2212,10117,
Etheridge (S),29,27,84,3,6,0,121,580,
Fitzroy (S),395,319,1014,71,24,42,1439,7265,
Flinders (S),90,50,136,18,0,9,194,1287,
Gatton (S),777,589,1388,134,173,91,1932,10547,
Gayndah (S),124,95,265,20,11,13,344,1914,
Gladstone (C),1638,983,2298,264,179,188,5051,18481,
Gold Coast (C),33027,27970,52714,6307,5702,3124,72693,270740,
Goondiwindi (T),261,144,517,38,22,34,604,3098,
Hammond (IC),0,6,17,0,0,0,29,160,
Herberton (S),213,169,640,75,36,25,720,3543,
Hervey Bay (C),2259,2344,4914,698,347,343,8529,32789,
Hinchinbrook (S),460,306,929,73,52,51,1768,7916,
Hope Vale (S),14,15,36,3,0,0,95,612,
Iama (IC),4,10,16,3,0,0,32,251,
Ilfracombe (S),11,10,12,3,0,3,47,176,
Inglewood (S),127,92,208,19,10,9,294,1771,
Injinoo (S),5,4,42,3,0,0,37,327,
Ipswich (C),6372,5889,11756,1330,929,864,20762,92281,
Isis (S),227,226,652,65,14,42,971,4103,
Isisford (S),7,15,24,3,0,0,32,180,
Jericho (S),37,20,60,4,0,3,116,685,
Johnstone (S),729,592,2106,179,90,96,2709,11754,
Jondaryan (S),689,594,1115,110,104,87,1948,9441,
Kilcoy (S),120,136,273,33,12,24,485,2354,
Kilkivan (S),123,127,266,26,13,18,464,2416,
Kingaroy (S),613,507,1210,115,68,90,1828,7777,
Kolan (S),135,137,423,60,19,17,644,3122,
Kowanyama (S),19,10,28,3,6,3,34,917,
Kubin (IC),8,20,12,0,0,0,22,139,
Laidley (S),484,510,1182,134,51,66,1958,10085,
Livingstone (S),1729,1192,3063,282,339,258,4401,17613,
Lockhart River (S),17,8,45,0,0,3,26,454,
Logan (C),8440,7281,14282,1768,1181,821,24943,114547,
Longreach (S),241,189,336,27,30,29,505,2168,
Mabuiag (IC),4,10,23,0,0,0,26,183,
Mackay (C),4577,3151,8486,758,488,523,14110,52803,
McKinlay (S),46,27,98,8,6,0,117,589,
Mapoon (S),4,7,14,0,0,3,33,180,
Mareeba (S),869,715,2451,192,120,100,2418,11336,
Maroochy (S),10746,9203,12145,1972,1640,1505,23217,82411,
Maryborough (C),981,942,2626,266,107,151,3980,16652,
Mer (IC),8,10,23,4,0,0,52,381,
Millmerran (S),114,108,208,21,11,10,351,2267,
Mirani (S),151,162,589,42,12,23,803,3630,
Miriam Vale (S),160,193,564,76,23,24,848,3237,
Monto (S),90,72,193,24,3,10,287,1742,
Mornington (S),26,9,54,3,3,0,49,890,
Mount Isa (C),1101,582,2558,142,126,104,2987,12059,
Mount Morgan (S),58,70,350,18,3,8,342,2129,
Mundubbera (S),88,58,185,17,5,7,241,1513,
Murgon (S),157,103,342,29,24,27,452,2322,
Murilla (S),126,114,213,27,13,22,293,1885,
Murweh (S),256,164,418,30,28,32,508,3138,
Nanango (S),305,302,833,101,25,33,1288,6123,
Napranum (S),5,19,55,0,3,0,53,704,
Nebo (S),99,61,501,16,8,10,361,1466,
New Mapoon (S),3,16,37,3,0,0,34,256,
Noosa (S),3498,3167,4792,702,580,467,7419,25201,
Palm Island (S),27,15,168,10,0,4,127,1624,
Paroo (S),65,85,172,22,12,15,214,1342,
Peak Downs (S),144,108,274,18,9,10,554,2077,
Perry (S),18,9,36,3,0,0,61,297,
Pine Rivers (S),11148,8843,8003,1393,1920,1528,21558,86749,
Pittsworth (S),190,189,304,45,19,21,619,3397,
Pormpuraaw (S),7,9,31,3,0,0,51,502,
Poruma (IC),8,11,11,0,0,0,28,115,
Quilpie (S),45,43,84,3,3,3,116,691,
Redcliffe (C),2779,2663,5265,625,459,386,7619,31386,
Redland (S),8225,7864,9408,1593,1458,1045,20706,77326,
Richmond (S),43,29,99,0,0,4,84,637,
Rockhampton (C),3762,2040,5920,467,620,441,7541,37956,
Roma (T),389,238,466,35,44,35,868,4423,
