lga,Not stated,Inadequately described,At sea,Not elsewhere classified,"Oceania and Antarctica, nfd","Australia (includes External Territories), nfd",Australia,Norfolk Island,"Australian External Territories, nec",New Zealand,"Melanesia, nfd",New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,"Micronesia, nfd",Guam,Kiribati,Marshall Islands,"Micronesia, Federated States of",Nauru,Northern Mariana Islands,Palau,"Polynesia (excludes Hawaii), nfd",Cook Islands,Fiji,French Polynesia,Niue,Samoa,"Samoa, American",Tokelau,Tonga,Tuvalu,Wallis and Futuna,"Polynesia (excludes Hawaii), nec","Antarctica, nfd",Adelie Land (France),Argentinian Antarctic Territory,Australian Antarctic Territory,British Antarctic Territory,Chilean Antarctic Territory,Queen Maud Land (Norway),Ross Dependency (New Zealand),"North-West Europe, nfd","United Kingdom, nfd",Channel Islands,England,Isle of Man,Northern Ireland,Scotland,Wales,Ireland,"Western Europe, nfd",Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,"Northern Europe, nfd",Denmark,Faeroe Islands,Finland,Greenland,Iceland,Norway,Sweden,"Southern and Eastern Europe, nfd","Southern Europe, nfd",Andorra,Gibraltar,Holy See,Italy,Malta,Portugal,San Marino,Spain,"South Eastern Europe, nfd",Albania,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Former Yugoslav Republic of Macedonia (FYROM),Greece,Moldova,Romania,Slovenia,Montenegro,Serbia,"Eastern Europe, nfd",Belarus,Czech Republic,Estonia,Hungary,Latvia,Lithuania,Poland,Russian Federation,Slovakia,Ukraine,"North Africa and the Middle East, nfd","North Africa, nfd",Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,"North Africa, nec","Middle East, nfd",Bahrain,Gaza Strip and West Bank,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Syria,Turkey,United Arab Emirates,Yemen,"South-East Asia, nfd","Mainland South-East Asia, nfd",Burma (Myanmar),Cambodia,Laos,Thailand,Viet Nam,"Maritime South-East Asia, nfd",Brunei Darussalam,Indonesia,Malaysia,Philippines,Singapore,East Timor,"North-East Asia, nfd","Chinese Asia (includes Mongolia), nfd",China (excludes SARs and Taiwan Province),Hong Kong (SAR of China),Macau (SAR of China),Mongolia,Taiwan,"Japan and the Koreas, nfd",Japan,"Korea, Democratic People's Republic of (North)","Korea, Republic of (South)","Southern and Central Asia, nfd","Southern Asia, nfd",Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Sri Lanka,"Central Asia, nfd",Afghanistan,Armenia,Azerbaijan,Georgia,Kazakhstan,Kyrgyz Republic,Tajikistan,Turkmenistan,Uzbekistan,"Americas, nfd","Northern America, nfd",Bermuda,Canada,St Pierre and Miquelon,United States of America,"South America, nfd",Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Falkland Islands,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela,"South America, nec","Central America, nfd",Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,"Caribbean, nfd",Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,Cayman Islands,Cuba,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Netherlands Antilles,Puerto Rico,St Kitts and Nevis,St Lucia,St Vincent and the Grenadines,Trinidad and Tobago,Turks and Caicos Islands,"Virgin Islands, British","Virgin Islands, United States","Sub-Saharan Africa, nfd","Central and West Africa, nfd",Benin,Burkina Faso,Cameroon,Cape Verde,Central African Republic,Chad,Congo,"Congo, Democratic Republic of",C̫te d'Ivoire,Equatorial Guinea,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Sao Tom̩ and Principe,Senegal,Sierra Leone,Togo,"Southern and East Africa, nfd",Angola,Botswana,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Lesotho,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Namibia,R̩union,Rwanda,St Helena,Seychelles,Somalia,South Africa,Swaziland,Tanzania,Uganda,Zambia,Zimbabwe,"Southern and East Africa, nec",Total
Albury (C),2698,5,0,0,0,0,39538,0,0,466,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1032,0,20,195,45,46,0,51,14,23,286,0,0,0,205,16,0,17,0,25,0,0,6,13,0,0,0,0,0,103,16,7,0,14,53,6,14,0,53,8,4,66,0,0,17,0,27,22,0,12,0,26,9,0,57,11,0,32,0,0,0,18,0,0,3,0,0,0,0,0,0,7,9,3,0,0,21,0,0,3,3,0,0,0,0,0,0,0,72,28,3,0,0,12,27,147,18,0,0,0,36,17,0,0,3,0,15,0,19,0,0,3,0,86,0,0,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,80,0,0,0,3,7,3,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,3,0,0,0,0,0,126,0,0,0,5,24,0,46285
Armidale Dumaresq (A),1358,10,0,0,0,0,19738,0,0,211,0,0,16,3,4,0,0,3,0,0,0,0,0,0,5,28,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,6,73,16,21,0,23,10,12,96,0,0,0,64,10,0,9,0,4,0,0,0,6,0,0,0,0,0,21,3,3,0,0,8,0,0,0,6,11,0,6,0,4,0,0,0,3,0,3,0,7,5,0,15,4,0,5,0,0,0,3,0,0,19,0,0,0,0,0,0,23,3,0,0,0,13,0,0,15,0,6,4,0,0,0,0,0,0,28,4,0,0,30,43,36,15,3,0,0,161,38,0,3,3,0,37,0,32,0,0,27,4,69,0,3,0,34,0,3,0,0,0,0,0,0,0,0,0,0,0,42,0,115,0,3,0,8,5,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,7,0,23369
Ashfield (A),3466,31,0,0,0,0,19175,0,0,697,0,11,47,3,0,0,0,0,0,0,0,0,0,0,18,164,0,3,11,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,7,0,919,0,25,152,25,180,0,23,10,48,146,0,0,0,62,21,0,9,0,12,0,3,0,20,0,0,0,0,0,1958,63,167,0,96,58,0,20,15,162,45,19,460,3,40,17,0,52,17,9,22,3,73,20,17,272,55,25,36,0,0,8,84,0,5,4,0,0,0,0,4,13,34,9,10,3,3,322,3,0,5,28,105,5,0,0,0,57,27,25,195,387,0,5,211,226,700,104,14,0,0,3912,451,19,0,82,0,149,0,469,0,0,229,0,1275,3,300,18,158,0,4,0,0,0,3,0,0,0,3,0,0,0,57,0,124,0,69,6,37,94,52,25,0,0,5,5,59,0,63,3,4,0,0,0,7,3,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,18,0,0,6,0,0,0,0,0,0,0,0,9,14,0,0,0,49,0,0,0,0,0,0,0,4,103,0,16,3,3,20,0,39670
Auburn (A),6664,111,0,0,114,0,23769,0,0,956,0,7,38,0,3,0,0,0,0,0,0,0,0,0,51,427,0,0,144,0,14,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,3,11,113,13,90,0,33,11,22,153,0,0,0,34,10,0,5,0,12,0,0,6,7,0,0,0,0,0,397,113,72,0,47,105,5,205,20,394,102,61,259,0,56,27,0,66,4,3,14,3,30,20,23,145,102,8,142,0,0,41,209,6,6,384,0,0,0,0,3,38,285,944,8,86,109,2294,3,9,168,156,2568,15,0,0,0,352,162,71,140,3240,0,3,389,369,1193,168,14,0,0,6053,682,27,5,171,0,70,3,1769,0,0,221,0,1290,6,205,674,1142,3,1681,0,5,0,0,15,0,0,3,0,0,0,34,0,88,0,68,3,7,135,21,4,0,0,0,0,45,0,89,0,0,0,0,0,25,0,0,7,3,0,0,0,0,0,3,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,3,0,0,0,37,3,0,59,0,0,0,21,0,0,107,0,4,5,0,12,0,0,12,71,54,0,0,0,26,0,9,0,0,3,0,0,170,131,0,20,11,0,37,0,64960
Ballina (A),2044,4,0,0,0,0,32681,0,0,558,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1349,0,27,165,52,46,0,24,3,17,141,0,0,0,139,21,0,17,0,16,0,0,10,15,0,0,0,3,0,96,19,0,0,6,14,0,0,3,13,8,0,7,0,0,9,0,3,3,0,3,4,18,0,8,20,5,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,15,0,0,23,25,75,14,0,0,0,34,21,0,0,0,0,31,0,3,0,0,3,0,45,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,131,0,3,5,3,17,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,125,0,3,0,8,17,0,38462
Balranald (A),184,0,0,0,0,0,2100,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,3,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2442
Bankstown (C),12761,118,3,0,0,0,96659,0,0,2419,0,15,51,12,0,0,0,0,0,0,0,0,0,0,130,990,3,4,428,8,0,211,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2155,0,91,416,63,296,0,125,18,79,688,0,0,0,201,49,0,30,0,58,0,3,12,22,0,0,0,0,0,2080,450,296,0,114,258,6,208,17,470,623,1726,2383,0,141,91,16,135,37,8,42,38,156,142,90,749,122,24,189,0,0,31,1169,39,21,183,11,0,0,5,14,222,130,652,62,272,185,12082,4,16,116,721,360,59,12,5,0,117,302,84,265,10679,0,7,610,461,1173,156,12,0,0,4173,797,21,0,112,0,99,6,1029,0,0,196,0,1221,0,42,563,314,0,145,3,0,0,0,0,0,0,0,0,0,0,86,0,205,0,176,8,60,318,47,36,0,0,8,5,96,0,197,13,12,0,0,7,47,0,0,13,12,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,5,0,0,0,0,0,0,0,4,3,0,4,3,109,11,0,9,0,0,0,59,0,17,133,0,0,3,3,4,0,0,6,33,31,4,0,0,390,0,0,0,3,0,0,7,43,297,0,14,6,18,126,0,170488
Bathurst Regional (A),1708,3,0,0,0,0,31395,4,0,337,0,0,25,0,3,0,0,0,0,0,0,0,0,0,0,35,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,0,25,157,29,39,0,11,0,19,129,0,0,0,123,17,0,11,0,5,0,0,3,7,0,0,0,0,0,40,27,3,0,4,17,0,12,0,18,3,8,15,0,3,0,6,13,3,0,11,4,14,6,0,17,12,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,5,3,0,4,3,47,0,0,10,0,3,3,0,0,0,0,11,0,9,21,0,4,14,34,74,15,0,0,0,65,29,0,0,0,0,28,0,43,0,0,9,0,34,0,0,3,16,0,3,0,0,0,0,0,0,0,0,0,0,0,38,0,76,0,7,0,0,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,74,0,3,3,3,6,0,35845
Baulkham Hills (A),6471,67,3,0,0,0,105327,6,0,2541,0,13,134,19,12,0,0,0,0,0,3,0,0,0,4,756,4,0,18,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,18,7,6053,3,187,780,168,488,0,166,46,108,805,0,0,0,515,106,0,65,0,62,0,5,26,66,0,0,0,5,0,1451,551,53,0,99,225,0,64,22,479,147,79,433,0,85,49,0,97,65,0,76,30,197,54,16,550,100,27,66,0,0,4,587,3,9,42,3,0,0,3,17,32,991,108,63,105,33,1023,3,3,43,79,277,45,0,0,0,140,78,29,195,553,3,30,678,1687,2116,539,45,0,0,3818,2963,62,0,534,0,140,0,2036,0,0,217,0,2920,0,20,316,1778,0,328,23,3,0,11,5,0,0,9,0,0,3,297,0,745,0,138,4,66,290,35,22,0,0,11,4,125,0,161,18,11,0,0,8,9,3,0,26,0,3,0,0,0,0,3,4,0,5,0,0,0,0,0,10,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,63,0,0,0,0,0,0,40,0,3,4,0,6,4,13,0,0,0,0,9,122,0,0,5,184,0,9,6,0,0,0,10,0,1732,3,32,21,59,154,0,159393
Bega Valley (A),1684,4,0,0,0,0,25863,0,0,352,0,0,10,0,4,0,0,0,0,0,0,0,0,0,3,10,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1435,0,23,177,27,44,0,26,13,23,250,0,0,0,229,27,0,10,0,11,0,0,14,8,0,0,0,0,0,51,38,3,0,5,17,0,3,3,23,5,0,16,0,4,6,0,0,0,0,3,3,15,3,7,28,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5,4,3,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,7,20,0,0,14,14,68,9,4,0,0,21,8,0,0,0,0,21,0,3,0,0,0,0,24,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,80,0,4,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,8,0,31061
