Industry of Employment (ANZSIC93) (IND93P),lga,Not stated,Not applicable,Agriculture,Services to Agriculture; Hunting and Trapping,Forestry and Logging,Commercial Fishing,"Agriculture, Forestry and Fishing, undefined",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Other Mining,Services to Mining,"Mining, undefined","Food, Beverage and Tobacco Manufacturing","Textile, Clothing, Footwear and Leather Manufacturing",Wood and Paper Product Manufacturing,"Printing, Publishing and Recorded Media","Petroleum, Coal, Chemical and Associated Product Manufacturing",Non-Metallic Mineral Product Manufacturing,Metal Product Manufacturing,Machinery and Equipment Manufacturing,Other Manufacturing,"Manufacturing, undefined",Electricity and Gas Supply,"Water Supply, Sewerage and Drainage Services","Electricity, Gas and Water Supply, undefined",General Construction,Construction Trade Services,"Construction, undefined",Basic Material Wholesaling,Machinery and Motor Vehicle Wholesaling,Personal and Household Good Wholesaling,"Wholesale Trade, undefined",Food Retailing,Personal and Household Good Retailing,Motor Vehicle Retailing and Services,"Retail Trade, undefined","Accommodation, Cafes and Restaurants",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Services to Transport,Storage,"Transport and Storage, undefined",Communication Services,Finance,Insurance,Services to Finance and Insurance,"Finance and Insurance, undefined",Property Services,Business Services,"Property and Business Services, undefined",Government Administration,Defence,"Government Administration and Defence, undefined",Education,Health Services,Community Services,"Health and Community Services, undefined","Motion Picture, Radio and Television Services","Libraries, Museums and the Arts",Sport and Recreation,"Cultural and Recreational Services, undefined",Personal Services,Other Services,Private Households Employing Staff,"Personal and Other Services, undefined",Non-Classifiable Economic Units,
,Murilla (S),0,0,395,10,0,0,0,3,5,0,6,3,0,25,0,22,0,0,8,0,9,0,6,9,0,0,19,33,4,17,0,11,0,34,46,38,7,54,28,3,0,0,0,0,6,3,16,9,0,0,0,10,19,0,69,0,0,83,61,43,4,0,0,4,0,3,15,0,0,7,
,Murweh (S),10,0,366,27,0,0,5,0,0,0,0,0,0,163,3,5,3,3,0,3,4,0,3,14,3,0,34,50,0,35,10,31,3,121,88,78,8,96,36,31,0,3,0,5,0,3,26,17,0,10,0,11,82,0,167,0,0,179,229,66,11,6,11,4,0,21,45,0,0,31,
,Nanango (S),0,0,302,4,12,0,0,291,0,0,3,0,9,14,6,17,10,10,15,18,3,10,17,308,0,0,91,79,8,10,5,15,3,132,64,62,19,92,50,0,0,0,0,3,0,0,19,11,3,0,0,26,99,0,102,0,0,224,89,29,10,0,13,13,0,21,20,0,0,23,
,Napranum (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,151,0,0,7,4,15,0,0,0,0,0,0,3,0,0,0,
,Nebo (S),0,0,154,3,0,0,0,1159,0,11,10,242,29,3,0,0,0,14,3,11,14,0,10,0,7,0,140,83,29,17,22,3,0,25,17,55,3,181,41,91,0,0,0,3,0,0,6,6,0,0,0,9,78,0,50,0,0,58,14,8,0,0,0,3,0,8,3,0,0,24,
,New Mapoon (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,59,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,
,Noosa (S),18,0,265,31,28,25,0,0,0,3,4,0,4,76,74,102,128,55,83,108,95,170,103,32,27,0,650,748,35,159,108,341,39,1285,1480,415,113,2105,238,12,38,3,0,95,11,20,121,233,34,146,18,615,1209,3,499,5,0,1171,1273,404,96,47,101,207,5,432,157,0,0,184,
,Palm Island (S),9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,4,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,94,0,0,81,34,94,0,0,0,3,0,0,17,0,0,11,
,Paroo (S),3,0,215,18,0,0,0,0,0,0,11,0,0,3,0,0,3,0,3,0,3,0,0,9,0,0,12,16,0,13,3,14,0,30,26,16,7,36,10,7,0,0,0,3,0,0,22,3,0,0,0,0,11,0,94,0,0,67,55,23,3,0,4,0,0,4,16,0,0,7,
,Peak Downs (S),3,0,204,10,0,0,0,1476,4,22,4,123,35,3,0,0,0,23,0,37,14,3,10,3,3,0,241,116,3,16,42,3,0,30,22,33,4,92,32,0,0,0,0,0,4,3,4,16,0,0,0,9,70,0,82,0,0,94,17,13,3,0,0,17,0,11,5,0,0,21,
,Perry (S),0,0,49,3,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,
,Pine Rivers (S),32,0,177,39,15,6,4,0,4,9,50,26,12,193,226,578,247,764,247,648,1172,658,446,14,114,0,1029,1854,85,453,957,557,182,3213,2442,1024,282,1106,595,24,13,10,0,83,36,13,270,336,133,179,31,635,2122,0,1061,14,0,3031,1407,1409,90,38,117,467,8,856,484,0,0,403,
,Pittsworth (S),3,0,551,31,0,0,3,0,0,0,0,3,0,19,13,13,9,15,0,25,58,3,9,0,3,0,27,69,0,37,11,29,0,95,73,47,11,59,78,0,0,0,0,3,5,0,10,13,3,0,0,16,52,0,54,0,0,131,79,23,4,0,0,4,0,24,12,0,0,12,
,Pormpuraaw (S),5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,161,0,0,17,8,23,3,0,0,0,0,3,6,0,0,8,
,Poruma (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,
,Quilpie (S),0,0,185,5,0,0,0,0,47,0,5,19,0,8,0,0,0,4,0,3,0,4,0,8,0,0,28,23,0,8,0,11,0,15,15,5,0,35,28,7,0,0,3,0,0,0,7,3,0,0,0,0,3,0,53,0,0,30,28,4,0,0,0,0,0,0,11,0,0,7,
,Redcliffe (C),10,0,5,5,0,19,0,0,0,0,0,0,4,29,44,122,95,76,35,341,280,91,118,8,11,0,330,487,29,115,143,172,31,1056,1160,539,72,895,221,3,27,25,0,55,13,10,108,144,37,99,15,342,744,0,430,5,0,1539,2088,847,82,29,36,170,4,306,270,0,0,140,
,Redland (S),38,0,361,28,9,40,3,3,3,141,55,13,20,870,213,176,354,94,72,299,786,191,237,46,60,3,948,1573,66,472,410,612,107,3047,2797,924,217,1555,597,10,102,5,0,110,42,29,240,357,79,187,36,771,2305,0,1214,19,0,3074,2216,1508,182,40,107,394,8,806,452,0,3,361,
,Richmond (S),0,0,158,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,9,0,6,0,0,0,18,8,7,3,13,14,9,0,0,0,0,0,0,9,10,0,0,0,3,3,0,45,5,0,27,26,5,0,0,0,0,0,0,4,0,0,0,
,Rockhampton (C),16,0,94,17,3,4,0,28,0,5,11,73,33,742,44,85,190,64,378,422,622,94,162,695,111,0,774,950,41,246,752,314,38,1915,2185,968,194,1399,670,897,4,34,0,146,7,11,263,451,125,205,3,446,1728,0,1549,72,0,3303,2722,1302,114,138,64,254,12,569,687,0,0,238,
,Roma (T),8,0,87,9,5,0,0,0,40,0,0,71,3,93,3,34,20,0,12,33,25,10,22,45,5,0,91,99,0,87,83,16,3,219,237,175,27,201,118,33,0,11,0,7,0,0,38,56,14,11,0,35,165,0,312,0,0,265,331,137,13,10,10,16,0,52,59,0,0,40,
,Rosalie (S),10,0,602,7,19,0,0,95,0,3,6,0,0,28,0,53,3,0,3,66,24,16,17,8,0,0,34,62,3,7,13,12,0,55,40,17,3,29,53,0,0,0,0,0,0,0,21,3,0,3,0,3,44,0,107,0,0,164,25,6,4,0,3,3,0,11,13,0,0,16,
,Saibai (IC),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,67,0,0,14,4,10,0,0,0,0,0,0,0,0,0,18,
,St Pauls (IC),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,10,3,0,0,0,0,0,0,0,0,0,0,3,
,Sarina (S),6,0,252,42,3,14,3,106,0,0,4,7,14,174,3,0,3,34,9,22,36,9,18,17,0,0,197,162,57,97,21,10,0,156,97,83,8,176,123,321,24,3,0,153,4,8,11,15,0,8,0,30,121,0,100,0,0,228,118,59,11,4,0,16,0,42,25,0,0,59,
,Seisia (IC),7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,6,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,5,3,0,0,0,0,0,0,0,0,0,3,
,Stanthorpe (S),4,0,912,19,6,0,5,0,0,0,0,0,0,235,16,34,24,7,8,16,13,4,22,17,7,0,76,129,3,55,26,119,4,244,148,128,23,246,99,3,0,0,0,8,4,0,36,39,11,9,0,35,175,0,154,12,0,319,234,149,19,3,21,12,0,55,33,0,0,30,
,Tambo (S),0,0,116,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,3,0,0,0,3,5,0,5,0,0,0,16,0,9,0,15,11,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,41,0,0,22,7,4,0,0,0,0,0,3,5,0,0,3,
,Tara (S),6,0,592,11,3,0,3,0,12,0,0,0,0,4,0,0,0,0,0,3,3,0,0,7,0,0,13,33,0,24,3,4,0,44,37,23,8,46,39,0,0,0,0,0,6,0,11,3,0,0,0,3,10,0,79,0,0,127,37,32,3,0,0,0,0,9,10,0,0,14,
,Taroom (S),0,0,692,9,3,0,0,0,3,0,0,0,0,3,0,14,0,4,0,3,3,0,0,7,0,0,13,12,0,26,0,3,0,25,17,24,0,37,28,0,0,0,0,0,0,0,5,3,0,0,0,4,17,0,89,0,0,66,39,26,3,0,0,0,0,10,3,0,0,8,
,Thuringowa (C),10,0,152,20,4,16,0,3,6,221,17,24,18,28,7,8,19,13,14,536,46,14,66,7,8,0,714,734,63,77,54,67,14,1106,657,142,75,464,144,3,4,3,0,21,7,0,80,85,52,45,0,189,687,0,457,6,0,1353,639,640,42,20,24,184,9,214,175,0,0,129,
,Tiaro (S),3,0,235,3,18,5,0,0,0,0,6,0,0,9,0,44,3,0,3,6,10,3,8,0,0,0,10,26,0,33,8,4,3,28,16,31,3,22,32,0,0,0,0,0,0,0,9,0,0,0,0,14,10,0,56,0,0,55,5,12,0,0,5,0,0,8,7,0,0,15,
,Toowoomba (C),31,0,303,163,45,0,8,0,11,0,28,99,4,1255,240,335,427,147,214,542,966,330,279,328,61,0,1028,1238,60,577,651,529,60,2736,3773,1454,256,1794,897,255,7,15,0,115,73,19,562,985,475,387,19,707,2686,0,2217,27,0,4939,4823,2119,153,146,96,425,12,815,840,0,0,307,
,Torres (S),8,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,32,35,3,3,0,6,0,49,34,7,19,84,5,0,10,54,0,37,0,12,14,7,0,0,0,3,37,0,351,9,0,158,184,67,12,6,0,3,0,6,35,0,0,28,
,Townsville (C),33,0,179,26,6,31,5,3,0,217,53,118,62,805,161,239,344,433,251,1408,831,207,315,742,120,0,1871,1987,169,597,945,651,139,2721,3352,1703,287,2797,1292,650,61,249,7,615,97,44,834,636,168,301,15,1042,3879,4,3234,3489,4,4321,4639,1855,180,225,199,616,19,863,1278,0,0,547,
,Ugar (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Umagico (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,
,Waggamba (S),0,0,626,23,0,0,5,0,0,0,0,0,0,0,3,6,3,0,0,3,0,0,0,0,0,0,7,5,0,13,24,3,0,7,8,23,0,9,24,0,0,0,0,0,14,0,6,0,0,0,0,0,7,0,6,0,0,36,3,3,0,0,0,0,0,0,3,0,0,11,
,Wambo (S),3,0,843,25,0,0,5,56,0,0,0,3,0,8,10,21,0,0,0,0,43,5,11,0,0,0,16,31,0,15,9,5,0,24,18,19,0,37,45,0,0,0,0,3,3,0,11,3,0,0,0,3,8,0,28,0,0,85,35,12,3,0,4,0,0,6,7,0,0,20,
,Warraber (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,
,Warroo (S),0,0,294,8,14,0,3,0,21,0,0,0,0,13,0,3,0,0,0,0,0,0,0,3,0,0,3,3,0,3,0,0,0,5,6,7,3,11,8,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,49,0,0,27,28,5,0,0,0,0,0,0,3,0,0,7,
,Warwick (S),11,0,1016,43,4,0,6,3,0,10,15,0,3,544,19,37,93,77,23,102,85,30,69,28,23,0,188,253,4,125,73,131,17,526,728,308,67,361,391,17,0,0,0,19,51,7,62,93,18,13,3,64,284,0,407,0,0,737,532,274,31,5,14,55,0,103,98,0,0,64,
,Weipa (T),0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,66,3,0,4,0,0,0,7,31,0,3,25,0,0,11,15,18,0,54,9,0,3,4,0,11,0,0,3,0,0,0,0,5,21,0,16,3,0,114,49,14,0,0,3,3,0,9,14,0,0,11,
,Whitsunday (S),3,0,326,36,5,10,7,0,0,0,5,3,0,271,20,33,49,7,29,48,72,15,30,11,7,0,322,427,33,63,58,65,11,481,608,201,48,1781,148,3,311,49,0,178,4,18,48,88,15,25,0,239,442,0,210,0,0,337,288,145,11,6,46,85,8,178,77,0,0,92,
,Winton (S),0,0,193,22,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,4,0,0,4,0,0,0,24,12,0,7,0,6,0,18,23,20,0,48,26,0,0,0,0,0,0,3,8,7,0,0,0,0,6,0,89,0,0,38,39,11,3,0,0,9,0,3,6,0,0,4,
,Wondai (S),3,0,347,5,5,0,3,0,0,0,3,0,0,13,3,59,0,5,0,0,0,0,11,4,3,0,32,43,0,8,5,0,0,29,28,17,5,44,36,0,0,0,0,0,0,0,14,0,0,0,0,9,14,0,65,0,0,86,44,23,3,9,0,5,0,9,10,0,0,13,
,Woocoo (S),0,0,198,10,5,3,0,0,0,0,0,0,0,3,0,26,0,0,0,5,6,3,3,0,3,0,7,16,0,5,5,3,0,0,4,6,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,31,0,0,27,0,8,0,0,0,0,0,0,0,0,0,4,
,Woorabinda (S),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,72,0,0,20,39,54,7,0,0,0,0,0,3,0,0,7,
,Wujal Wujal (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,102,0,4,0,13,7,0,0,0,0,0,0,4,0,0,0,
,Yarrabah (S),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,699,0,0,58,34,71,4,0,0,0,0,0,12,0,0,0,
,Yorke (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,126,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,
,Unincorporated Qld,0,0,3,0,0,85,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,3,3,0,0,3,4,0,0,0,0,4,0,0,68,0,0,4,0,0,0,0,0,0,0,0,5,0,9,4,0,4,0,0,0,0,0,0,0,0,3,0,0,5,
,No fixed address,419,0,1063,592,174,304,50,365,115,173,51,332,158,743,72,226,144,332,165,409,714,244,591,279,116,0,11797,25249,1076,339,693,1099,226,868,1688,1088,661,1145,3793,182,363,246,9,704,44,99,1248,319,123,115,23,654,8539,4,1326,221,6,2173,1593,2041,272,189,573,847,142,3145,519,9,4,2081,
