Industry of Employment (ANZSIC93) (IND93P),lga,Not stated,Not applicable,Agriculture,Services to Agriculture; Hunting and Trapping,Forestry and Logging,Commercial Fishing,"Agriculture, Forestry and Fishing, undefined",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Other Mining,Services to Mining,"Mining, undefined","Food, Beverage and Tobacco Manufacturing","Textile, Clothing, Footwear and Leather Manufacturing",Wood and Paper Product Manufacturing,"Printing, Publishing and Recorded Media","Petroleum, Coal, Chemical and Associated Product Manufacturing",Non-Metallic Mineral Product Manufacturing,Metal Product Manufacturing,Machinery and Equipment Manufacturing,Other Manufacturing,"Manufacturing, undefined",Electricity and Gas Supply,"Water Supply, Sewerage and Drainage Services","Electricity, Gas and Water Supply, undefined",General Construction,Construction Trade Services,"Construction, undefined",Basic Material Wholesaling,Machinery and Motor Vehicle Wholesaling,Personal and Household Good Wholesaling,"Wholesale Trade, undefined",Food Retailing,Personal and Household Good Retailing,Motor Vehicle Retailing and Services,"Retail Trade, undefined","Accommodation, Cafes and Restaurants",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Services to Transport,Storage,"Transport and Storage, undefined",Communication Services,Finance,Insurance,Services to Finance and Insurance,"Finance and Insurance, undefined",Property Services,Business Services,"Property and Business Services, undefined",Government Administration,Defence,"Government Administration and Defence, undefined",Education,Health Services,Community Services,"Health and Community Services, undefined","Motion Picture, Radio and Television Services","Libraries, Museums and the Arts",Sport and Recreation,"Cultural and Recreational Services, undefined",Personal Services,Other Services,Private Households Employing Staff,"Personal and Other Services, undefined",Non-Classifiable Economic Units,
,QLD Undefined,152,0,806,118,56,92,14,383,71,290,62,147,97,551,50,134,82,138,116,327,310,103,354,129,32,0,1509,1625,152,166,163,321,92,1266,935,319,262,1623,777,177,147,187,4,229,34,33,169,123,59,58,12,222,1420,0,665,124,0,888,863,613,148,56,71,289,10,377,235,0,0,656,
,Adelaide (C),47,0,134,13,3,8,16,9,848,181,3,86,27,210,102,42,1121,93,47,33,347,114,107,579,458,21,1535,567,82,421,643,538,63,2108,5498,739,342,6131,287,386,48,64,9,936,94,92,3347,4669,2698,1999,87,1793,14891,23,13868,29,28,6963,12267,2068,417,551,1041,1451,67,823,3755,0,0,485,
,Adelaide Undefined,5,0,7,0,0,0,0,0,9,0,0,3,0,6,3,0,0,0,4,3,9,4,8,4,0,0,26,34,5,3,3,7,0,15,20,6,12,48,33,11,0,8,0,6,0,0,17,16,11,3,0,3,67,0,37,3,0,29,24,9,9,3,0,7,3,0,19,0,0,14,
,Adelaide Hills (DC),6,0,891,72,16,3,0,0,0,3,9,10,0,502,20,19,44,8,19,27,93,76,46,15,33,0,234,409,8,113,78,172,14,602,379,182,64,530,162,3,3,3,0,38,18,10,70,88,0,36,0,119,589,0,276,281,0,849,535,242,43,19,114,67,0,221,74,0,0,85,
,Alexandrina (DC),8,0,871,52,8,18,6,0,0,11,14,3,13,290,16,39,11,9,19,38,227,64,39,0,18,0,136,274,0,78,35,98,5,380,279,113,43,427,127,0,8,0,0,15,0,4,34,33,12,17,3,114,209,0,173,0,0,379,288,183,33,0,14,120,0,89,41,0,0,35,
,Anangu Pitjantjatjara (AC),3,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,4,0,0,0,0,0,16,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,325,0,0,150,36,104,5,0,7,0,0,3,18,0,0,72,
,Barossa (DC),0,0,892,54,15,0,0,0,0,3,31,0,10,1939,7,96,112,110,119,177,186,28,65,16,28,0,143,276,14,64,79,401,7,486,328,286,63,504,319,0,3,3,0,26,17,3,54,97,22,13,8,77,375,0,162,0,0,554,430,313,23,9,10,69,4,107,80,0,0,59,
,Barunga West (DC),0,0,274,3,0,21,0,0,0,0,5,0,0,7,0,0,0,0,0,3,10,0,0,0,0,0,3,19,0,3,0,3,0,29,13,11,3,55,17,0,3,0,0,3,0,0,4,0,4,0,0,8,3,0,16,0,0,49,49,46,3,0,0,3,0,8,6,0,0,8,
,Berri and Barmera (DC),0,0,567,20,5,0,3,0,0,0,0,0,0,562,5,27,16,47,18,36,42,46,33,24,85,0,59,90,6,36,52,117,6,272,269,157,29,279,173,0,0,0,0,5,3,0,22,51,12,26,0,57,208,0,229,0,0,340,550,137,20,7,16,21,0,96,111,0,0,28,
,Burnside (C),14,0,39,17,8,3,0,0,29,15,17,44,12,218,19,9,54,101,47,10,44,39,21,323,0,26,266,320,14,26,145,213,19,935,779,198,76,524,43,93,0,0,0,29,3,9,117,229,89,406,20,358,2472,4,525,0,0,1259,2475,489,170,27,78,134,5,314,147,3,0,142,
,Campbelltown (C),10,0,13,3,0,0,0,0,0,0,9,0,0,110,38,52,11,31,45,96,325,129,61,0,0,0,227,403,13,197,57,152,15,781,521,218,49,254,190,0,4,0,0,18,3,0,28,72,12,25,3,115,409,0,260,0,0,1275,692,684,91,13,33,44,0,216,104,0,0,64,
,Ceduna (DC),4,0,145,0,0,77,0,0,0,0,0,0,0,3,0,3,3,4,8,0,6,0,0,3,3,0,35,28,0,10,12,23,0,63,69,59,15,109,54,4,3,0,0,14,9,0,6,20,7,0,0,23,51,0,132,0,0,177,121,76,14,0,0,0,0,17,49,0,0,21,
,Charles Sturt (C),35,0,77,19,0,29,0,0,10,31,15,15,3,751,267,772,471,756,509,630,3367,376,531,142,32,8,796,1921,51,385,640,1411,186,2369,2639,1006,240,1496,795,30,20,87,3,220,174,40,297,294,56,107,4,461,2259,11,955,6,3,2255,3740,1547,206,105,100,674,25,722,363,0,3,294,
,Clare and Gilbert Valleys (DC),4,0,775,74,0,0,3,0,0,0,30,0,0,262,5,17,9,25,13,25,20,35,25,29,3,0,58,126,3,32,41,23,3,213,174,117,29,268,82,0,0,0,0,13,0,0,25,63,8,14,0,44,142,0,99,0,0,243,271,131,17,0,14,9,0,48,30,0,0,22,
,Cleve (DC),3,0,309,0,0,31,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,3,0,3,0,24,24,0,12,10,0,0,38,40,49,13,36,43,0,0,0,0,0,3,0,4,13,6,0,0,4,12,0,34,0,0,60,60,14,3,0,0,3,0,3,5,0,0,4,
,Coober Pedy (DC),3,0,17,4,0,0,0,0,0,3,47,4,0,0,0,0,0,0,0,0,0,10,3,0,0,0,10,14,0,0,0,15,0,31,56,30,5,96,3,0,0,0,0,4,0,0,3,6,0,0,0,7,14,0,65,0,0,48,55,34,12,0,0,0,0,4,24,0,0,10,
,Copper Coast (DC),3,0,242,32,0,18,0,0,0,0,3,0,0,7,3,12,30,14,11,12,56,26,20,18,7,0,91,174,0,79,41,39,3,325,309,151,31,233,57,0,10,0,0,18,22,4,36,59,20,14,0,46,147,0,138,0,0,293,340,158,26,0,4,21,0,66,51,0,0,22,
,Elliston (DC),0,0,259,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,9,0,3,0,20,7,6,4,43,8,0,0,0,0,0,4,0,3,0,0,0,0,0,10,0,19,0,0,52,35,6,5,0,3,0,0,0,3,0,0,0,
,Flinders Ranges (DC),0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,3,0,0,0,19,18,12,4,81,11,0,0,0,0,3,0,0,5,3,3,0,0,0,9,0,24,0,0,62,78,3,3,0,8,0,0,0,6,0,0,4,
,Franklin Harbour (DC),0,0,113,3,0,46,0,0,0,0,0,3,0,3,0,0,0,4,4,0,7,0,0,0,0,0,18,15,0,9,0,0,0,26,14,21,0,37,6,0,0,0,0,0,0,0,3,4,0,0,0,0,3,0,12,0,0,34,51,6,3,0,0,0,0,4,4,0,0,5,
,Gawler (T),3,0,89,6,0,0,0,0,0,0,0,0,0,74,7,14,30,3,98,33,35,24,34,0,12,0,94,144,13,46,66,28,4,591,528,215,54,315,82,5,0,3,0,27,3,4,36,110,21,19,3,114,268,0,163,0,0,606,597,211,42,63,17,90,0,149,94,0,0,30,
,Goyder (DC),3,0,560,24,0,0,0,0,0,0,0,0,0,34,8,0,7,10,6,46,9,3,6,9,0,0,16,24,0,19,0,8,3,64,55,35,9,64,25,0,0,0,0,6,0,3,12,10,0,0,0,3,38,0,66,0,0,114,83,29,13,0,7,0,0,8,12,0,0,22,
,Grant (DC),0,0,601,18,49,80,4,0,0,0,8,0,0,74,5,375,6,6,0,6,16,6,14,5,0,0,20,44,0,21,3,32,4,20,14,32,12,58,78,0,0,0,0,5,0,0,3,3,0,3,0,6,31,0,24,0,0,98,32,8,3,0,0,11,0,8,17,0,0,20,
,Holdfast Bay (C),16,0,13,3,0,4,0,0,0,3,6,9,6,58,57,32,41,30,4,90,93,75,46,8,21,0,183,380,3,26,58,90,26,999,818,423,64,1452,52,0,5,3,0,99,4,3,148,184,30,80,7,311,606,0,212,0,0,696,1042,1340,77,26,32,168,15,373,63,0,0,60,
,Kangaroo Island (DC),0,0,380,10,11,41,0,0,0,0,0,0,0,30,0,7,11,0,9,0,3,3,5,3,3,0,43,44,0,15,10,28,0,103,94,47,28,233,59,0,24,3,0,42,0,9,13,11,0,8,0,20,56,0,112,0,0,132,119,28,7,0,22,3,0,28,8,0,0,20,
,Karoonda East Murray (DC),0,0,290,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,7,9,0,4,9,8,0,16,9,5,6,9,6,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,8,0,0,48,35,8,5,0,3,0,0,0,4,0,0,0,
,Kimba (DC),0,0,248,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,10,7,0,11,8,0,0,24,24,17,3,29,15,0,0,0,0,0,7,0,3,7,3,0,0,0,12,0,16,0,0,29,47,5,0,0,0,0,0,7,3,0,0,13,
,Kingston (DC),0,0,267,13,0,26,0,0,0,0,0,0,0,23,0,4,0,0,0,0,0,0,5,0,4,0,22,22,0,22,5,6,0,44,29,39,7,64,24,0,0,0,0,0,0,0,9,12,0,0,0,4,18,0,23,0,0,59,56,16,6,0,3,3,0,14,7,0,0,0,
,Le Hunte (DC),0,0,257,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,10,0,3,0,3,0,14,7,0,23,15,0,0,21,11,22,15,27,20,0,0,0,0,5,3,0,9,6,0,0,0,0,32,0,13,0,0,52,43,3,0,0,3,0,0,4,3,0,0,6,
,Light (RegC),0,0,752,55,0,0,3,0,0,0,17,0,3,685,4,32,0,24,44,68,58,18,40,0,0,0,97,145,4,87,28,45,3,88,64,77,18,233,118,3,0,3,0,3,17,0,23,11,0,3,0,22,161,0,58,0,0,381,179,98,15,5,19,28,0,43,17,0,0,34,
,Lower Eyre Peninsula (DC),0,0,483,19,0,141,0,0,0,0,0,0,0,9,0,3,0,0,0,0,22,7,6,0,4,0,28,38,0,19,27,11,0,46,30,20,17,67,31,0,0,0,0,10,10,0,9,3,6,6,0,22,21,0,24,3,0,129,46,50,7,0,4,3,0,15,39,0,0,14,
,Loxton Waikerie (DC),8,0,1369,45,0,0,0,0,0,0,3,0,0,417,4,10,14,10,0,6,33,34,26,0,19,0,82,120,3,34,24,260,11,278,189,147,29,182,118,0,3,0,0,10,8,3,24,41,12,3,0,36,132,0,81,0,0,289,321,122,21,16,8,15,0,54,34,0,0,38,
,Mallala (DC),4,0,328,26,0,0,0,0,0,0,6,0,0,24,3,7,0,7,0,5,11,4,9,0,0,0,16,51,0,34,3,40,0,48,23,34,7,46,77,0,0,0,0,0,0,0,15,0,0,0,0,6,41,0,58,0,0,62,51,24,0,0,3,18,0,19,24,0,0,15,
,Maralinga Tjarutja (AC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,
,Marion (C),16,0,11,9,0,6,0,0,0,0,3,4,8,152,97,54,125,355,26,682,2220,305,188,5,19,3,317,637,21,130,208,236,47,1895,2969,572,156,747,313,54,0,0,0,101,25,12,111,1166,76,84,5,181,1012,0,641,66,0,1584,1190,965,92,101,69,413,7,488,438,3,0,141,
,Mid Murray (DC),3,0,611,11,5,0,0,0,0,0,6,0,0,56,6,3,0,5,0,11,72,6,9,0,31,0,28,70,3,13,10,73,0,123,60,84,16,172,66,0,43,0,0,16,0,8,17,8,0,22,0,49,35,0,108,0,0,162,87,17,10,0,3,6,0,26,82,0,0,21,
,Mitcham (C),16,0,87,12,8,6,3,0,5,0,3,10,13,111,65,52,136,130,75,206,436,263,149,63,10,0,323,821,19,136,410,264,56,1320,987,635,102,639,105,0,0,4,0,54,8,3,142,192,16,90,6,240,1804,9,505,3,0,4200,5926,1518,136,20,103,221,3,434,239,0,0,140,
,Mount Barker (DC),11,0,472,45,28,8,0,0,0,8,15,16,8,246,28,62,59,162,39,40,68,80,65,43,3,0,170,301,12,100,90,131,19,684,662,282,95,444,127,3,4,0,0,22,9,0,106,95,11,19,4,134,470,0,189,0,0,707,598,328,49,40,33,104,3,155,210,0,0,83,
,Mount Gambier (C),9,0,180,20,261,5,3,0,3,0,17,0,0,74,17,947,99,18,56,132,109,87,105,33,38,0,209,511,15,228,232,118,23,805,1018,454,109,629,539,0,0,27,0,47,3,13,92,164,48,63,3,130,665,0,400,0,0,865,760,494,67,72,22,92,8,266,208,0,0,94,
,Mount Remarkable (DC),0,0,331,8,8,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,18,0,0,0,0,0,16,20,0,9,17,6,0,34,11,8,4,62,6,0,0,0,0,0,0,0,11,6,0,0,0,3,15,0,23,0,0,75,44,34,4,0,7,0,0,3,7,0,0,6,
,Murray Bridge (RC),12,0,562,30,0,3,4,0,0,0,14,5,3,1025,6,31,59,25,16,92,99,34,49,25,63,0,104,182,3,96,40,155,22,510,555,289,54,215,171,0,9,5,0,17,77,6,81,70,14,29,4,78,270,0,363,3,0,487,486,359,30,13,36,60,0,109,229,0,0,57,
,Naracoorte and Lucindale (DC),8,0,892,73,3,0,3,0,0,0,9,0,0,279,40,7,33,8,6,14,18,7,22,10,3,0,74,112,0,112,68,30,0,199,215,137,29,138,89,0,0,3,0,20,0,0,29,51,9,19,0,46,141,0,118,0,0,210,218,94,10,0,9,25,0,76,36,0,0,22,
,Northern Areas (DC),0,0,454,14,3,0,0,0,0,0,3,0,0,45,3,17,0,12,0,0,7,5,0,3,3,0,23,43,4,63,19,11,3,99,57,77,8,80,29,0,0,0,0,0,10,0,14,17,3,7,0,7,45,0,62,0,0,144,116,43,13,0,0,0,0,13,16,0,0,13,
,Norwood Payneham St Peters (C),12,0,36,22,0,3,0,0,3,5,5,55,5,322,86,51,287,90,211,62,349,151,104,38,16,0,698,511,32,144,376,671,68,1462,1590,486,131,1118,133,0,4,9,0,133,16,3,265,394,77,386,19,398,3223,4,506,26,0,1569,1916,1086,150,159,116,195,6,514,271,0,0,170,
,Onkaparinga (C),24,0,951,81,4,13,3,0,12,5,28,31,18,1576,96,248,112,327,253,625,2147,390,364,37,152,3,606,1417,26,348,351,333,63,3329,2500,1010,198,1363,636,16,3,18,0,75,17,16,210,292,48,165,7,438,1526,4,1049,8,0,3195,2214,1661,172,42,58,377,3,785,603,0,0,266,
,Orroroo/Carrieton (DC),0,0,155,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,3,0,8,0,15,12,7,3,14,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,12,0,0,33,40,11,10,0,0,0,0,3,4,0,0,6,
,Peterborough (DC),0,0,48,0,0,0,0,0,0,0,0,0,0,22,0,3,0,0,0,0,0,0,3,0,0,0,5,11,0,6,4,9,0,32,18,11,0,54,7,0,0,0,0,0,0,0,3,5,0,0,0,0,16,0,27,0,0,58,50,7,5,0,0,0,0,7,8,0,0,6,
,Playford (C),15,0,904,42,3,4,3,0,3,0,0,83,3,215,73,46,98,530,92,252,4571,154,166,79,7,0,306,421,28,139,101,399,35,1627,1536,403,135,397,380,0,0,3,0,31,6,6,119,92,17,18,0,146,699,0,631,35,0,1840,2075,1006,118,22,15,119,0,245,410,0,0,95,
,Port Adelaide Enfield (C),42,0,71,38,7,23,4,0,16,31,57,21,39,1996,236,1002,608,1497,516,3009,3878,567,840,312,34,3,1269,1918,120,1200,2114,1407,284,2803,2023,1781,345,1152,3272,219,80,0,33,863,433,108,272,251,18,106,18,584,2156,3,1322,127,3,2778,2067,2153,258,35,109,308,20,845,1954,0,0,445,
,Port Augusta (C),11,0,79,11,0,0,0,0,0,0,3,0,3,11,5,7,16,8,6,27,122,3,16,231,9,0,141,162,6,51,45,34,6,346,360,176,27,346,161,141,0,3,0,16,3,3,43,63,11,16,0,45,240,0,416,0,5,515,632,269,31,15,17,27,0,52,355,0,0,46,
,Port Lincoln (C),9,0,64,9,0,445,9,0,0,3,17,3,0,276,10,18,32,18,15,48,80,29,41,24,39,0,173,196,5,103,46,131,8,360,515,195,49,281,119,21,8,0,0,68,23,3,47,119,29,28,0,98,354,3,200,0,0,481,449,210,22,17,8,53,0,116,128,0,0,39,
,Port Pirie City and Dists (M),3,0,296,0,0,10,0,0,0,13,8,32,3,40,21,17,30,134,12,678,17,18,36,29,54,0,107,192,11,61,78,46,5,459,408,137,25,279,100,9,4,0,0,54,11,0,43,79,16,11,0,68,247,0,220,0,0,530,593,295,41,41,10,32,3,106,136,0,0,46,
,Prospect (C),3,0,10,10,0,0,0,0,0,0,0,3,0,21,41,12,26,7,7,17,29,12,34,0,0,3,71,147,0,42,96,65,3,529,552,374,29,210,54,0,0,0,0,23,0,7,22,66,3,37,9,111,415,0,135,0,0,367,327,251,35,325,16,35,0,110,58,0,0,34,
,Renmark Paringa (DC),11,0,836,34,0,0,0,0,0,0,3,0,0,196,3,10,46,5,9,9,30,12,14,3,8,0,51,87,0,35,37,424,15,250,175,102,18,172,140,0,9,0,0,11,8,0,20,33,3,10,0,36,74,0,45,0,0,217,212,50,3,14,5,10,6,57,53,0,0,19,
,Robe (DC),0,0,113,7,6,35,0,0,0,0,0,0,0,37,0,0,0,0,0,0,4,0,3,0,0,0,22,27,3,0,0,8,0,38,29,7,0,112,3,0,0,0,0,0,0,0,3,5,0,3,0,19,8,0,24,0,0,16,8,10,3,0,3,3,0,6,0,0,0,7,
,Roxby Downs (M),3,0,0,0,0,0,0,0,0,86,0,32,32,0,0,0,8,3,0,14,19,0,9,3,3,0,74,45,5,3,21,0,0,73,58,23,9,96,12,0,0,0,0,3,0,0,9,18,0,0,0,13,74,0,23,0,0,103,66,22,3,0,6,14,0,25,13,0,0,10,
,Salisbury (C),15,0,166,25,5,5,4,0,3,6,17,4,5,1112,496,297,344,1145,348,824,2928,535,476,21,150,0,714,1186,63,445,782,1053,124,2435,1814,879,241,953,1379,53,4,162,3,248,212,41,622,283,31,91,15,509,2544,11,944,3600,4,3146,1180,1358,127,30,46,232,11,469,447,0,0,287,
,Southern Mallee (DC),6,0,486,7,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,5,0,7,0,0,0,15,13,0,22,23,27,0,42,23,54,3,44,22,0,0,0,0,0,3,0,7,14,0,0,0,0,13,0,40,0,0,37,89,11,7,0,0,0,0,10,31,0,0,3,
,Streaky Bay (DC),0,0,224,10,0,31,0,0,0,0,0,0,0,4,4,0,3,0,0,4,3,4,3,0,3,0,27,24,0,12,0,9,0,50,25,31,5,68,14,0,5,0,0,0,4,0,11,11,0,0,0,3,32,0,35,0,0,61,65,10,0,0,0,3,0,11,10,0,0,5,
,Tatiara (DC),4,0,1031,66,0,0,3,0,0,4,3,0,0,559,15,14,8,10,15,4,22,12,11,9,6,0,37,80,3,99,34,36,5,155,102,152,22,121,121,0,0,0,0,0,19,0,16,29,3,11,0,23,77,0,54,0,0,178,188,41,8,4,3,4,0,34,18,0,0,19,
,Tea Tree Gully (C),6,0,38,14,8,0,0,0,0,9,9,0,0,73,55,150,70,58,110,202,468,148,107,24,104,0,391,815,31,106,126,206,23,2175,2543,435,143,804,327,0,0,3,3,54,11,9,147,252,88,93,10,283,901,0,628,5,0,2141,1709,722,106,51,35,268,4,568,170,0,0,122,
,The Coorong (DC),5,0,875,32,0,17,3,0,0,0,3,0,0,22,11,0,0,3,3,0,8,0,4,4,3,0,22,42,0,37,20,10,0,114,36,109,18,108,82,4,0,0,0,14,9,3,13,17,0,7,0,10,39,0,74,0,0,153,116,56,3,0,6,6,0,11,15,0,0,33,
,Tumby Bay (DC),3,0,296,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,3,0,3,0,30,34,3,12,4,3,0,46,34,18,3,32,25,0,0,0,0,0,5,0,5,5,3,0,0,7,9,0,25,0,0,59,70,22,4,0,3,0,0,10,9,0,0,4,
,Unley (C),10,0,36,17,0,3,3,0,9,22,3,20,9,217,48,23,185,26,4,17,117,34,53,101,91,4,331,307,19,58,173,250,36,878,1251,366,87,898,91,4,0,61,4,73,6,14,152,343,222,537,23,270,3184,5,282,147,0,1131,1649,1863,149,127,75,242,16,543,431,0,0,173,
,Victor Harbor (C),3,0,162,12,10,4,0,0,0,0,4,0,0,30,7,10,24,9,10,23,9,85,21,21,0,0,106,184,3,31,13,14,7,351,306,104,18,346,60,0,0,0,0,32,0,3,29,66,10,15,3,77,157,0,137,0,0,239,442,212,52,7,21,36,0,102,54,0,0,28,
,Wakefield (DC),3,0,599,62,0,7,0,0,0,0,0,0,0,274,0,0,9,7,3,4,3,6,6,0,7,0,15,26,3,59,7,46,3,116,64,56,14,94,62,4,0,0,0,12,19,0,20,5,3,9,0,4,53,0,64,56,0,168,127,49,19,0,3,5,0,17,30,0,0,7,
,Walkerville (M),3,0,10,5,0,3,0,0,0,0,0,0,0,7,3,0,10,3,0,0,11,10,8,0,0,0,57,40,3,5,12,12,3,52,49,205,12,151,37,0,0,0,0,0,0,41,5,32,3,19,8,36,268,0,659,0,4,353,313,134,24,105,7,23,0,59,13,0,0,16,
,Wattle Range (DC),4,0,1005,41,102,50,0,3,0,0,4,10,0,430,3,875,12,8,6,26,18,12,55,16,7,0,71,169,3,74,22,33,7,285,157,112,27,235,110,0,0,0,0,8,4,0,19,41,4,5,0,27,145,0,112,0,0,317,220,119,17,3,7,5,0,68,37,0,0,56,
,West Torrens (C),18,0,53,9,4,7,3,3,12,3,3,58,23,1370,198,222,1411,759,91,580,1487,324,383,887,255,4,856,1016,49,265,974,1515,176,1407,2741,645,257,882,1317,419,4,1023,0,686,105,72,1067,621,195,1058,16,488,3456,10,1236,76,3,1682,2119,1079,157,40,113,382,15,583,942,0,0,328,
,Whyalla (C),10,0,8,3,0,23,0,10,49,55,3,130,14,54,5,6,34,63,21,1521,91,9,59,9,13,0,187,275,22,42,88,42,13,537,487,156,52,308,165,28,3,0,15,52,0,18,44,83,11,25,0,79,503,0,235,0,0,734,616,337,26,8,12,32,0,103,129,0,0,68,
,Yankalilla (DC),0,0,287,15,0,7,0,0,0,3,4,3,0,53,0,0,0,0,5,8,16,8,11,4,6,0,40,70,0,22,3,7,4,75,55,17,9,148,15,0,19,0,0,8,0,3,4,11,0,4,0,40,40,0,49,0,0,74,29,59,5,0,8,15,0,12,3,0,0,15,
,Yorke Peninsula (DC),10,0,945,20,0,38,4,0,0,3,30,0,0,83,3,3,7,3,25,34,14,14,9,14,4,0,77,90,4,46,36,18,5,227,182,101,22,255,85,0,0,0,0,12,10,0,22,37,5,13,0,26,87,0,147,4,0,281,290,118,20,3,11,4,0,48,23,0,0,29,
,Unincorporated SA,16,0,233,6,4,8,0,25,365,1466,30,324,151,6,0,0,3,20,18,105,132,6,49,285,5,7,180,195,37,7,60,3,3,51,10,73,27,254,85,0,6,8,9,11,0,4,8,3,0,0,0,7,290,0,35,26,0,102,54,38,15,0,9,3,0,10,82,0,0,105,
,No fixed address,142,0,863,279,80,239,13,3,47,33,31,75,16,411,12,95,56,99,52,126,198,70,210,79,31,7,3320,7823,227,105,166,365,69,280,651,346,297,256,1232,23,44,38,6,233,10,34,499,104,37,32,3,98,3159,9,463,31,7,918,789,1218,225,68,153,267,36,1234,244,3,0,590,
,SA Undefined,40,0,847,34,17,48,7,0,39,42,18,34,9,163,12,37,21,38,19,67,153,30,98,34,7,0,192,266,20,28,31,84,13,276,191,69,49,283,150,26,6,5,0,43,9,4,73,32,19,13,0,24,396,0,135,22,0,240,216,184,47,7,18,54,3,85,76,0,0,120,
,Albany (C),7,0,626,56,112,44,6,0,0,4,3,6,3,94,36,97,71,38,55,110,126,60,56,58,63,0,366,606,18,131,131,118,5,788,1062,442,70,697,265,12,15,9,0,79,49,9,105,152,55,114,3,231,772,0,586,0,0,1134,904,670,74,39,49,101,0,205,346,0,0,97,
,Perth Undefined,18,0,4,3,0,0,0,0,24,30,3,34,19,5,0,0,10,3,9,11,8,6,19,16,4,0,133,133,18,4,8,8,8,26,37,15,20,117,46,19,7,4,0,26,3,8,45,24,12,12,0,12,249,0,155,9,0,42,46,41,19,3,14,11,3,19,49,0,0,66,
,Armadale (C),18,0,218,20,3,0,0,0,0,7,3,6,19,59,21,118,68,35,69,102,110,162,129,14,48,0,235,585,23,126,95,82,18,1187,837,269,73,330,237,0,0,0,0,33,4,7,97,84,3,37,5,201,405,0,437,0,0,1490,1300,654,44,29,47,114,3,292,207,0,0,113,
,Ashburton (S),3,0,50,3,0,0,0,0,22,2310,62,439,82,8,0,0,0,4,0,22,14,0,15,3,0,0,210,138,31,16,27,3,3,109,41,38,10,246,43,7,3,13,8,8,5,0,22,20,0,3,0,34,226,0,104,0,0,192,97,68,3,0,6,3,0,26,32,0,0,47,
,Augusta-Margaret River (S),7,0,509,29,3,18,0,0,0,0,4,0,0,435,18,17,18,6,23,27,18,32,17,19,6,0,156,227,5,45,21,68,8,342,263,77,34,531,75,0,3,0,0,54,11,0,27,60,0,12,0,107,226,0,147,4,0,276,190,70,14,3,20,47,3,92,33,0,0,49,
,Bassendean (T),6,0,3,4,0,0,0,0,29,0,3,16,40,159,15,124,102,19,9,428,589,116,193,3,4,0,155,187,5,20,178,197,12,251,110,73,24,106,90,9,0,0,0,11,30,6,86,32,190,15,3,155,337,0,115,0,0,317,101,320,20,0,16,29,0,59,37,0,0,70,
,Bayswater (C),10,0,25,8,0,3,0,0,9,3,0,19,41,395,102,99,160,136,93,594,628,302,348,9,13,0,359,831,35,241,760,279,85,1514,2017,797,152,475,311,4,3,5,0,72,13,13,97,191,42,57,5,375,905,3,421,4,0,1109,1333,824,57,38,59,266,5,452,419,0,0,209,
,Belmont (C),26,0,59,8,3,0,0,0,18,62,45,376,110,448,157,177,180,521,175,561,1251,219,487,313,29,0,732,842,77,465,1569,1074,151,1312,1448,541,161,957,2097,152,13,1298,3,1209,161,62,1426,161,34,85,3,750,1680,3,745,5,0,615,796,454,57,56,22,419,11,325,334,0,0,393,
,Beverley (S),0,0,244,9,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,11,12,0,6,0,0,0,8,8,0,8,3,3,0,24,30,6,0,25,14,0,0,12,0,7,0,0,19,8,0,0,0,0,15,0,41,0,0,41,47,4,6,0,0,4,0,3,4,0,0,6,
,Boddington (S),0,0,86,5,0,0,0,0,0,69,0,7,18,0,0,0,0,0,0,126,0,0,6,0,0,0,18,48,3,0,0,3,0,15,8,15,0,26,10,0,0,0,0,0,0,0,0,6,0,0,0,3,26,0,24,0,0,56,34,14,0,0,0,4,0,0,13,0,0,8,
