Occupation 93 (ASCO2) (OCC93P) - 1 Digit,lga,Not stated,Inadequately described,Managers and Administrators,Professionals,Associate Professionals,Tradespersons and Related Workers,Advanced Clerical and Service Workers,"Intermediate Clerical, Sales and Service Workers",Intermediate Production and Transport Workers,"Elementary Clerical, Sales and Service Workers",Labourers and Related Workers,Not applicable,
,Glenelg (S),15,78,1176,1018,780,983,198,978,1046,690,979,0,
,Golden Plains (S),6,14,612,274,178,293,84,209,209,153,311,0,
,Greater Bendigo (C),54,255,2581,6994,4600,4359,1036,6407,2850,4330,3206,0,
,Greater Dandenong (C),171,758,6802,10615,6470,10060,1963,12669,11784,5809,7118,0,
,Greater Geelong (C),83,563,4524,14299,8955,9928,1958,13023,6650,8589,6065,0,
,Greater Shepparton (C),33,188,3007,4123,2813,2864,644,3877,2317,2518,2792,0,
,Hepburn (S),12,23,542,647,546,393,93,476,162,327,378,0,
,Hindmarsh (S),3,10,622,313,183,224,59,241,224,126,280,0,
,Hobsons Bay (C),48,406,2299,4202,3005,4375,585,4253,4953,2210,3274,0,
,Horsham (RC),11,51,1065,1398,1155,926,217,1203,604,946,671,0,
,Hume (C),99,694,5058,8627,5414,8982,2509,10479,9928,6193,6601,0,
,Indigo (S),3,31,699,649,505,442,86,571,479,331,842,0,
,Kingston (C),124,623,6602,9065,6785,9116,1860,11620,8646,6965,6099,0,
,Knox (C),70,498,5023,9072,5733,7392,1781,10106,6047,6250,4904,0,
,Latrobe (C),34,249,1668,4512,3330,4311,689,4635,2891,3139,2160,0,
,Loddon (S),6,11,1136,281,173,220,43,212,225,135,380,0,
,Macedon Ranges (S),13,60,966,1732,1257,1317,404,1486,603,1036,981,0,
,Manningham (C),44,224,1567,4611,3369,2114,886,4227,901,3334,1141,0,
,Mansfield (S),0,16,339,401,410,362,77,395,151,325,254,0,
,Maribyrnong (C),61,242,2014,6333,3207,2667,616,4689,3414,4023,1980,0,
,Maroondah (C),42,287,2635,6510,3930,5057,1271,6233,2999,4658,3301,0,
,Melbourne (C),232,3575,32540,98560,42834,10937,15549,58595,6360,19607,8481,0,
,Melton (S),19,79,631,1816,1295,1502,358,2268,1084,1397,1074,0,
,Mildura (RC),40,106,2560,2945,2205,2123,555,2969,1474,2146,2304,0,
,Mitchell (S),18,76,796,1392,1047,1199,244,1240,726,947,887,0,
,Moira (S),16,59,2110,1103,914,1166,261,1094,782,847,1470,0,
,Monash (C),126,908,8247,22244,10726,8424,2444,15866,7403,6543,5395,0,
,Moonee Valley (C),60,272,1937,5752,4159,3183,1028,6244,1639,4594,1562,0,
,Moorabool (S),11,35,758,882,551,677,197,783,512,610,563,0,
,Moreland (C),63,297,2257,5859,3627,3881,881,5436,2941,2638,2268,0,
,Mornington Peninsula (S),58,335,2544,6281,5293,5799,1316,6212,2243,4495,3540,0,
,Mount Alexander (S),6,39,585,961,620,636,126,811,495,514,900,0,
,Moyne (S),10,28,2078,438,444,560,75,411,500,268,874,0,
,Murrindindi (S),10,33,669,555,510,475,136,474,261,289,486,0,
,Nillumbik (S),24,92,837,2465,1444,1601,542,2042,549,1282,692,0,
,Northern Grampians (S),9,23,741,627,592,570,106,704,432,396,615,0,
,Port Phillip (C),56,787,9107,18792,10736,4245,2529,12829,1794,4122,1776,0,
,Pyrenees (S),0,9,531,198,145,161,47,186,131,99,235,0,
,Queenscliffe (B),3,10,87,247,243,137,23,309,32,143,80,0,
,South Gippsland (S),9,48,2216,1298,1003,1031,313,1118,795,765,1029,0,
,Southern Grampians (S),11,48,1357,1142,812,938,215,1056,530,651,634,0,
,Stonnington (C),68,458,3693,10994,6835,3220,1334,7877,973,7277,1656,0,
,Strathbogie (S),0,28,721,354,254,315,89,351,210,181,546,0,
,Surf Coast (S),13,51,772,869,899,824,188,882,280,654,563,0,
,Swan Hill (RC),4,50,1537,1169,913,950,241,1152,627,768,1137,0,
,Towong (S),5,15,610,288,183,186,53,217,136,113,174,0,
,Wangaratta (RC),18,72,1361,1996,1399,1253,296,1625,1043,1168,1134,0,
,Warrnambool (C),17,87,697,2607,1857,1610,405,2289,848,1869,1173,0,
,Wellington (S),21,95,2241,2322,1680,2039,361,2089,1134,1447,1405,0,
,West Wimmera (S),4,14,806,205,132,137,31,155,115,64,168,0,
,Whitehorse (C),92,518,4850,16003,7325,4862,1891,11830,3030,6723,2914,0,
,Whittlesea (C),61,287,2349,5584,3076,4508,829,5199,3790,3277,3233,0,
,Wodonga (RC),27,141,1124,2916,1782,2607,358,2459,1663,1366,1598,0,
,Wyndham (C),63,368,2853,5233,3410,4410,837,6036,6268,3640,3624,0,
,Yarra (C),65,519,5990,17333,7745,4283,1676,10867,2385,4766,2135,0,
,Yarra Ranges (S),46,275,3167,5803,4056,4734,1390,5813,2654,3904,3448,0,
,Yarriambiack (S),7,13,901,368,269,256,60,304,182,174,244,0,
,Unincorporated Vic,0,14,94,158,633,344,20,363,351,296,195,0,
,No fixed address,258,875,4910,7955,4190,36549,1261,9499,9845,4107,14155,0,
,VIC Undefined,121,322,860,1721,991,2403,215,1891,1716,1427,2272,0,
,Brisbane Undefined,15,94,173,669,366,754,112,678,549,393,576,0,
,Aramac (S),0,0,120,24,18,33,3,23,33,10,68,0,
,Atherton (S),5,26,446,695,566,551,143,711,329,478,494,0,
,Aurukun (S),0,3,14,55,11,14,0,45,10,29,134,0,
,Badu (IC),3,6,12,26,12,26,0,52,19,18,119,0,
,Balonne (S),3,14,485,230,210,222,60,258,202,123,336,0,
,Bamaga (IC),3,3,21,44,21,45,6,71,21,28,51,0,
,Banana (S),9,51,1120,672,678,1141,133,720,1294,419,957,0,
,Barcaldine (S),0,7,97,99,106,91,21,96,41,56,100,0,
,Barcoo (S),0,0,63,16,19,30,7,15,17,6,45,0,
,Bauhinia (S),3,9,442,81,81,150,30,91,209,42,190,0,
,Beaudesert (S),31,87,1433,1732,1478,1812,569,2015,1231,981,1407,0,
,Belyando (S),9,52,542,664,588,1327,72,512,1895,391,518,0,
,Bendemere (S),0,4,183,28,24,33,3,21,38,6,48,0,
,Biggenden (S),9,0,120,50,51,49,5,48,39,27,76,0,
,Blackall (S),3,8,138,55,71,72,16,90,45,51,144,0,
,Boigu (IC),3,3,0,27,11,3,0,19,4,10,44,0,
,Boonah (S),5,17,535,284,245,301,87,365,219,243,338,0,
,Booringa (S),4,5,261,53,69,57,10,62,80,47,110,0,
,Boulia (S),0,9,58,19,20,29,0,25,23,12,55,0,
,Bowen (S),5,41,530,445,485,739,82,663,917,384,1141,0,
,Brisbane (C),560,5029,48286,133563,77752,51570,21006,112428,40911,50626,34745,0,
,Broadsound (S),3,29,392,368,309,719,42,264,1210,173,326,0,
,Bulloo (S),0,9,48,24,28,90,6,22,42,5,58,0,
,Bundaberg (C),27,137,997,3248,2510,2534,609,3920,1792,2605,1987,0,
,Bungil (S),3,9,429,37,59,87,13,45,80,12,106,0,
,Burdekin (S),10,43,1119,652,681,825,224,1014,850,554,886,0,
,Burke (S),3,8,56,74,51,174,0,53,196,14,96,0,
,Burnett (S),3,28,939,233,399,375,132,400,437,197,984,0,
,Caboolture (S),33,217,2068,4320,3835,3813,1001,5675,2713,3837,3739,0,
,Cairns (C),77,391,3679,9011,8196,6911,1989,10409,4029,6943,3853,0,
,Calliope (S),7,69,417,610,517,955,100,543,1018,315,490,0,
,Caloundra (C),39,213,2059,3615,3901,3561,1095,4873,1951,3351,2742,0,
,Cambooya (S),0,9,265,76,66,117,31,96,71,25,137,0,
,Cardwell (S),0,34,524,363,383,457,117,473,414,284,750,0,
,Carpentaria (S),3,5,60,103,90,120,11,90,92,36,199,0,
,Charters Towers (C),7,32,186,536,365,380,65,550,275,362,404,0,
,Cherbourg (S),3,7,15,83,43,30,0,83,6,16,126,0,
,Chinchilla (S),5,25,517,281,257,548,61,357,348,226,355,0,
,Clifton (S),0,4,330,93,67,70,19,89,56,33,104,0,
,Cloncurry (S),0,23,193,251,281,455,32,199,501,90,250,0,
,Cook (S),3,22,245,335,293,420,36,290,398,167,306,0,
,Cooloola (S),21,89,1151,1697,1556,1597,347,2061,1373,1286,1670,0,
,Crow's Nest (S),3,20,507,401,324,329,81,380,162,219,332,0,
,Croydon (S),0,0,31,9,8,8,0,11,21,4,30,0,
,Dalby (T),3,22,317,690,639,803,143,875,488,570,536,0,
,Dalrymple (S),0,3,335,69,81,139,15,49,194,18,201,0,
,Dauan (IC),0,3,8,7,9,0,0,4,0,3,28,0,
,Diamantina (S),0,3,21,20,25,27,3,21,21,11,28,0,
,Doomadgee (S),3,12,5,46,18,10,0,19,10,18,94,0,
,Douglas (S),7,29,388,509,904,670,150,965,345,671,502,0,
,Duaringa (S),6,43,398,279,282,666,41,300,1158,197,426,0,
,Eacham (S),5,12,369,239,189,205,45,229,118,146,262,0,
,Eidsvold (S),0,0,143,28,31,54,3,32,47,26,69,0,
,Emerald (S),12,53,588,833,881,1192,178,971,1080,650,576,0,
,Erub (IC),0,0,8,21,14,7,0,26,15,11,48,0,
,Esk (S),3,16,640,388,327,386,97,485,294,286,422,0,
,Etheridge (S),0,3,152,28,53,43,7,46,34,18,95,0,
,Fitzroy (S),7,15,376,173,183,337,45,243,205,109,288,0,
,Flinders (S),0,6,271,84,76,93,15,88,114,59,140,0,
,Gatton (S),10,38,645,645,500,657,152,798,589,471,1207,0,
,Gayndah (S),0,14,228,117,90,89,33,141,91,86,340,0,
,Gladstone (C),19,165,709,2040,1896,2759,371,2230,2168,1411,1291,0,
,Gold Coast (C),212,1596,12960,27656,26509,22021,6987,34444,12180,23385,13851,0,
,Goondiwindi (T),3,8,177,343,327,340,100,429,245,265,271,0,
,Hammond (IC),0,3,0,11,3,4,0,9,6,8,14,0,
,Herberton (S),0,19,213,192,162,162,24,181,188,87,187,0,
,Hervey Bay (C),17,96,744,2093,2038,1807,461,2766,959,1837,1297,0,
,Hinchinbrook (S),13,15,676,504,395,564,122,661,530,393,441,0,
,Hope Vale (S),5,15,10,30,15,42,0,47,23,22,177,0,
,Iama (IC),0,6,4,5,11,11,0,19,6,15,48,0,
,Ilfracombe (S),0,5,55,3,10,15,0,12,12,0,17,0,
,Inglewood (S),0,9,253,103,107,100,23,121,114,62,165,0,
,Injinoo (S),0,3,3,3,7,6,0,17,9,0,51,0,
,Ipswich (C),45,365,2524,7313,5243,6966,1011,7478,4313,4161,6040,0,
,Isis (S),4,7,373,175,210,191,42,237,216,125,368,0,
,Isisford (S),0,0,46,5,14,5,0,10,15,0,29,0,
,Jericho (S),0,8,184,34,43,28,10,40,41,21,107,0,
,Johnstone (S),14,52,912,789,850,986,208,1026,676,598,1069,0,
,Jondaryan (S),11,63,897,653,493,1242,109,700,667,257,1297,0,
,Kilcoy (S),3,17,150,140,109,142,25,167,133,101,323,0,
,Kilkivan (S),3,3,336,69,55,71,13,66,82,32,122,0,
,Kingaroy (S),4,28,593,670,641,607,138,919,422,546,759,0,
,Kolan (S),0,7,247,125,86,100,24,108,104,76,245,0,
,Kowanyama (S),0,10,19,46,24,23,0,41,15,21,237,0,
,Kubin (IC),0,0,4,10,3,9,0,17,4,3,32,0,
,Laidley (S),3,12,419,348,259,295,78,403,259,266,402,0,
,Livingstone (S),20,69,627,879,842,812,215,1168,465,671,902,0,
,Lockhart River (S),0,7,14,26,13,12,0,16,3,8,55,0,
,Logan (C),70,366,3688,7476,6457,6550,1443,9862,4913,6840,4211,0,
,Longreach (S),8,19,240,299,241,235,34,279,104,144,190,0,
,Mabuiag (IC),0,17,6,15,9,5,0,8,9,3,43,0,
,Mackay (C),42,255,2603,4895,4290,5807,1035,6185,3550,3720,3136,0,
,McKinlay (S),3,12,153,94,96,209,7,62,250,30,160,0,
,Mapoon (S),0,8,9,11,0,13,0,10,10,4,36,0,
,Mareeba (S),15,50,910,781,721,615,151,1033,426,557,826,0,
,Maroochy (S),68,437,3763,9554,8193,6282,2030,9720,3474,6435,4409,0,
,Maryborough (C),25,80,532,1532,1323,1468,263,2273,1020,1148,1060,0,
,Mer (IC),0,0,8,9,14,15,0,16,22,6,65,0,
,Millmerran (S),3,8,358,115,99,199,36,152,207,62,245,0,
,Mirani (S),3,3,340,147,86,129,34,141,240,44,180,0,
,Miriam Vale (S),0,18,215,127,191,176,51,184,147,109,180,0,
,Monto (S),0,3,326,87,97,92,17,114,80,71,112,0,
,Mornington (S),0,4,7,48,25,32,6,31,21,29,144,0,
,Mount Isa (C),8,108,428,1373,1118,1713,157,1220,1452,643,736,0,
,Mount Morgan (S),0,3,18,68,65,36,3,69,27,39,62,0,
,Mundubbera (S),0,7,222,77,81,64,26,124,103,49,335,0,
,Murgon (S),0,3,233,186,169,170,32,230,148,142,310,0,
,Murilla (S),4,10,333,97,109,110,35,122,120,61,173,0,
,Murweh (S),5,20,341,315,275,208,43,303,150,152,348,0,
,Nanango (S),5,25,316,267,234,426,52,233,374,166,273,0,
,Napranum (S),0,10,3,18,15,13,3,10,17,14,104,0,
,Nebo (S),3,17,194,159,215,544,19,139,1061,74,230,0,
,New Mapoon (S),0,8,3,8,10,7,3,37,3,8,27,0,
,Noosa (S),19,149,1167,2475,2823,1956,629,2899,879,1995,1298,0,
,Palm Island (S),4,29,14,66,36,31,3,75,14,23,147,0,
,Paroo (S),3,6,185,71,92,69,7,95,82,55,107,0,
,Peak Downs (S),3,26,279,225,254,637,30,126,1158,48,187,0,
,Perry (S),0,0,49,11,20,25,4,15,42,3,13,0,
,Pine Rivers (S),39,217,2296,4669,3837,4809,1075,5901,3027,3997,2885,0,
,Pittsworth (S),5,10,395,177,130,226,56,199,160,115,290,0,
,Pormpuraaw (S),0,12,12,16,16,26,0,39,15,16,99,0,
,Poruma (IC),0,9,3,10,14,3,0,14,8,3,19,0,
,Quilpie (S),0,5,136,48,65,114,9,50,79,19,110,0,
,Redcliffe (C),21,94,667,2807,1926,1572,445,2942,830,1601,1213,0,
,Redland (S),29,219,2081,5107,4116,3641,1104,6216,2301,4135,3150,0,
,Richmond (S),0,0,103,47,45,39,13,45,38,21,62,0,
,Rockhampton (C),37,233,1461,5111,4015,4062,787,5702,2293,3331,2675,0,
,Roma (T),9,29,197,529,516,439,115,625,302,341,406,0,
,Rosalie (S),3,16,606,143,103,226,37,123,226,79,157,0,
,Saibai (IC),0,3,10,11,6,16,0,16,14,17,39,0,
,St Pauls (IC),0,3,7,6,6,5,0,19,5,9,36,0,
,Sarina (S),6,29,358,343,315,554,60,346,689,226,399,0,
,Seisia (IC),0,0,3,6,13,5,0,18,11,9,29,0,
,Stanthorpe (S),9,18,586,459,403,405,98,547,276,326,883,0,
,Tambo (S),0,0,89,25,16,22,5,25,33,12,62,0,
,Tara (S),0,10,495,108,88,77,21,117,125,69,160,0,
,Taroom (S),0,7,550,65,72,84,33,89,110,32,176,0,
,Thuringowa (C),5,77,599,1801,1393,1394,285,1929,852,1336,963,0,
,Tiaro (S),5,3,225,48,64,65,23,78,117,40,102,0,
,Toowoomba (C),41,261,2258,8424,5876,5198,1415,8551,3062,5007,4021,0,
,Torres (S),9,26,92,312,177,121,16,276,86,81,154,0,
,Townsville (C),56,439,3373,9579,7397,8173,1420,10709,4840,5196,3991,0,
,Ugar (IC),0,0,7,3,3,3,0,3,0,3,15,0,
,Umagico (S),0,6,0,3,3,3,0,9,0,12,26,0,
,Waggamba (S),0,4,452,17,46,50,25,50,94,15,144,0,
,Wambo (S),3,9,751,83,73,119,28,91,116,37,155,0,
,Warraber (IC),0,0,7,14,14,7,0,18,7,20,37,0,
,Warroo (S),0,0,248,37,27,46,13,38,48,14,78,0,
,Warwick (S),3,44,1126,982,876,975,235,1263,970,736,1173,0,
,Weipa (T),0,3,35,129,70,85,6,92,43,25,43,0,
,Whitsunday (S),15,63,629,938,1244,1122,279,1346,717,1056,715,0,
,Winton (S),0,4,154,57,68,72,5,76,65,50,108,0,
,Wondai (S),3,6,313,104,86,99,28,100,113,55,121,0,
,Woocoo (S),0,0,190,22,8,34,12,36,65,15,60,0,
,Woorabinda (S),0,22,7,34,22,14,0,41,5,19,81,0,
,Wujal Wujal (S),0,3,3,12,14,9,0,22,8,5,59,0,
,Yarrabah (S),0,26,15,108,44,54,3,99,18,39,530,0,
,Yorke (IC),0,0,6,21,19,11,0,19,7,17,58,0,
,Unincorporated Qld,0,0,8,73,13,22,6,14,111,0,5,0,
,No fixed address,186,789,4227,6699,3654,31151,1216,6985,11539,3498,15425,0,
,QLD Undefined,142,404,990,2165,1680,4025,314,2794,3230,2250,3720,0,
,Adelaide (C),67,615,8111,30288,15933,3769,4993,22003,1244,8697,2827,0,
,Adelaide Undefined,3,16,28,78,65,94,13,92,68,50,68,0,
,Adelaide Hills (DC),6,57,1105,1532,968,1123,324,1238,532,704,1056,0,
,Alexandrina (DC),6,33,821,662,675,718,150,749,399,440,923,0,
,Anangu Pitjantjatjara (AC),0,21,36,178,64,18,4,94,13,39,323,0,
,Barossa (DC),9,49,1107,1191,938,1161,214,1293,874,717,1845,0,
,Barunga West (DC),3,7,273,64,68,60,10,80,37,24,68,0,
,Berri and Barmera (DC),7,32,626,724,663,531,125,806,419,373,715,0,
,Burnside (C),12,98,1141,4194,2348,856,634,2853,306,1192,645,0,
,Campbelltown (C),14,60,496,1739,1002,1010,245,1483,544,890,708,0,
,Ceduna (DC),0,16,253,201,202,126,47,236,105,117,214,0,
,Charles Sturt (C),48,309,2841,6219,4239,5514,826,6468,4127,3884,3348,0,
,Clare and Gilbert Valleys (DC),7,22,693,510,456,401,100,461,226,306,528,0,
,Cleve (DC),3,0,306,89,69,99,24,99,66,60,85,0,
,Coober Pedy (DC),0,4,42,67,115,64,7,109,76,76,76,0,
,Copper Coast (DC),0,10,315,472,465,471,107,640,318,417,312,0,
,Elliston (DC),0,0,241,48,49,43,7,57,23,19,60,0,
,Flinders Ranges (DC),0,3,81,87,81,43,13,72,25,29,63,0,
,Franklin Harbour (DC),0,0,148,40,47,46,11,54,36,38,53,0,
,Gawler (T),9,21,239,937,770,571,175,1021,359,760,454,0,
,Goyder (DC),5,10,486,149,148,170,33,138,73,84,199,0,
,Grant (DC),0,12,528,145,102,209,68,159,313,45,322,0,
,Holdfast Bay (C),15,61,493,1656,1731,1150,302,2674,381,1457,846,0,
,Kangaroo Island (DC),0,13,419,203,243,154,48,305,124,167,220,0,
,Karoonda East Murray (DC),0,5,245,42,38,38,10,33,33,14,50,0,
,Kimba (DC),0,0,231,49,49,41,11,60,40,34,49,0,
,Kingston (DC),0,3,212,92,95,82,23,94,66,64,125,0,
,Le Hunte (DC),0,0,250,76,54,82,19,65,39,30,62,0,
,Light (RegC),9,18,759,551,350,452,110,445,337,180,730,0,
,Lower Eyre Peninsula (DC),0,15,522,163,120,127,56,153,94,53,120,0,
,Loxton Waikerie (DC),5,25,995,486,406,439,91,539,402,323,1046,0,
,Mallala (DC),0,7,287,89,102,129,38,109,130,77,185,0,
,Maralinga Tjarutja (AC),0,3,0,7,3,0,0,4,0,0,7,0,
,Marion (C),30,137,1274,3023,2721,2587,516,4102,1723,3566,1903,0,
,Mid Murray (DC),9,21,493,220,232,268,57,261,192,163,362,0,
,Mitcham (C),33,121,1449,8048,2937,2118,557,3990,883,1797,1785,0,
,Mount Barker (DC),14,46,764,1254,1038,897,273,1428,504,956,826,0,
,Mount Gambier (C),16,66,640,1657,1465,1613,326,2092,1425,1344,1063,0,
,Mount Remarkable (DC),0,5,318,89,78,82,15,84,38,31,74,0,
,Murray Bridge (RC),13,38,730,906,789,939,141,1093,676,700,1402,0,
,Naracoorte and Lucindale (DC),7,23,804,388,398,455,127,445,269,287,579,0,
,Northern Areas (DC),3,9,469,203,163,152,61,181,111,106,168,0,
,Norwood Payneham St Peters (C),23,123,1822,4804,3266,1830,679,4036,903,2237,1218,0,
,Onkaparinga (C),31,169,2421,5093,3777,4365,892,5558,2705,4039,3919,0,
,Orroroo/Carrieton (DC),0,0,149,47,34,36,3,33,17,16,38,0,
,Peterborough (DC),5,3,53,68,68,51,10,49,28,39,68,0,
,Playford (C),31,173,1712,3458,2014,2226,312,2705,2243,2302,3812,0,
,Port Adelaide Enfield (C),59,459,4245,6222,5867,7711,930,9112,8734,3459,5328,0,
,Port Augusta (C),3,57,248,820,737,681,94,1122,502,635,499,0,
,Port Lincoln (C),6,35,421,912,789,750,198,949,613,599,628,0,
,Port Pirie City and Dists (M),7,40,505,837,728,822,127,917,706,652,569,0,
,Prospect (C),3,24,348,935,692,577,150,921,219,588,330,0,
,Renmark Paringa (DC),8,18,531,346,353,332,82,427,369,272,873,0,
,Robe (DC),0,3,114,27,85,55,22,58,40,51,107,0,
,Roxby Downs (M),0,3,48,146,144,182,11,154,119,109,91,0,
,Salisbury (C),38,329,2949,7003,4261,4944,762,5922,4608,3026,3896,0,
,Southern Mallee (DC),0,3,385,104,76,95,28,111,87,62,134,0,
,Streaky Bay (DC),0,0,230,88,68,114,24,76,57,59,94,0,
,Tatiara (DC),5,18,957,288,272,451,93,334,250,187,674,0,
,Tea Tree Gully (C),13,96,823,3152,2239,2073,573,3227,1199,3412,1342,0,
,The Coorong (DC),3,18,733,202,184,198,48,174,147,173,298,0,
,Tumby Bay (DC),0,0,288,75,72,73,20,77,64,61,64,0,
,Unley (C),5,101,1422,4676,2942,1283,721,3669,373,1511,834,0,
,Victor Harbor (C),9,22,285,546,657,418,97,664,227,434,353,0,
,Wakefield (DC),4,10,561,238,191,229,46,200,189,141,414,0,
,Walkerville (M),4,19,226,917,503,203,102,587,24,99,141,0,
,Wattle Range (DC),6,41,939,503,450,577,117,498,731,372,955,0,
,West Torrens (C),39,326,3274,5896,4828,4790,1466,6705,4178,3586,3166,0,
,Whyalla (C),7,94,406,1135,926,1185,142,1153,1058,786,850,0,
,Yankalilla (DC),0,10,303,124,156,140,35,190,73,93,171,0,
,Yorke Peninsula (DC),6,25,924,417,405,379,126,439,270,241,398,0,
,Unincorporated SA,7,99,404,521,605,1353,37,266,1124,146,505,0,
,No fixed address,82,272,1625,2427,1240,10147,300,2904,3384,1374,5240,0,
,SA Undefined,26,84,733,543,349,828,56,650,592,469,1006,0,
,Albany (C),8,67,1071,2007,1712,1476,353,2188,996,1349,1006,0,
,Perth Undefined,17,48,67,278,144,258,34,266,203,151,218,0,
,Armadale (C),16,53,595,2177,1230,1364,355,1960,789,1403,998,0,
,Ashburton (S),4,54,228,549,567,1144,47,386,1380,153,377,0,
,Augusta-Margaret River (S),3,24,603,539,696,564,139,617,252,491,588,0,
,Bassendean (T),15,38,383,579,534,1149,165,851,577,354,595,0,
,Bayswater (C),41,90,1070,2352,2194,2884,512,3251,1443,2577,1402,0,
,Belmont (C),39,203,2493,2720,3025,3761,734,5091,4929,2984,1975,0,
,Beverley (S),0,9,232,57,53,62,19,66,31,62,62,0,
,Boddington (S),0,0,102,93,68,107,11,66,121,26,59,0,
,Boyup Brook (S),0,0,321,58,41,45,15,56,44,24,76,0,
,Bridgetown-Greenbushes (S),0,8,202,188,183,189,42,198,179,127,207,0,
,Brookton (S),3,7,169,36,30,33,16,61,37,14,50,0,
,Broome (S),3,47,365,984,854,702,172,925,314,579,612,0,
,Broomehill (S),0,0,92,17,4,8,3,10,8,3,27,0,
,Bruce Rock (S),0,3,175,39,32,39,3,28,23,10,31,0,
,Bunbury (C),33,105,929,2956,2790,2606,524,3512,1775,2119,1653,0,
,Busselton (S),13,55,867,1298,1438,1181,373,1498,607,1198,1054,0,
,Cambridge (T),6,61,602,2983,1301,595,324,1942,231,765,402,0,
,Canning (C),60,344,3984,5293,5246,6428,1052,8585,7235,4811,4315,0,
,Capel (S),3,10,302,302,236,317,56,221,277,114,276,0,
,Carnamah (S),0,12,126,53,59,89,14,44,152,12,38,0,
,Carnarvon (S),8,23,417,335,315,262,56,348,183,179,320,0,
,Chapman Valley (S),0,0,151,14,12,13,10,14,14,5,32,0,
,Chittering (S),0,13,242,91,93,163,35,70,151,50,145,0,
,Claremont (T),4,26,316,1315,855,353,199,878,134,813,226,0,
,Cockburn (C),31,166,1678,2588,2236,4869,586,3014,2666,1674,2258,0,
,Collie (S),5,51,224,574,503,1027,60,456,937,263,399,0,
,Coolgardie (S),0,10,110,241,176,366,16,133,426,66,135,0,
,Coorow (S),0,3,143,25,34,29,12,26,36,17,23,0,
,Corrigin (S),3,4,186,50,38,61,12,63,41,17,37,0,
,Cottesloe (T),0,12,130,354,372,152,63,484,37,276,86,0,
,Cranbrook (S),0,0,260,32,24,52,12,29,41,7,138,0,
,Cuballing (S),0,3,116,4,14,21,3,4,22,4,19,0,
,Cue (S),0,0,14,17,17,16,3,8,20,13,27,0,
,Cunderdin (S),0,9,173,47,43,73,17,70,31,24,69,0,
,Dalwallinu (S),0,0,283,65,51,72,22,69,42,27,78,0,
,Dandaragan (S),3,12,300,118,150,163,29,112,188,86,155,0,
,Dardanup (S),4,16,228,247,175,263,58,283,396,184,243,0,
,Denmark (S),3,6,266,222,237,154,48,200,82,126,169,0,
,Derby-West Kimberley (S),3,102,159,492,336,445,42,370,232,163,820,0,
,Donnybrook-Balingup (S),0,3,369,153,154,164,40,167,118,93,255,0,
,Dowerin (S),0,0,150,24,27,31,5,32,14,12,34,0,
,Dumbleyung (S),0,0,180,22,20,29,3,17,20,4,35,0,
,Dundas (S),0,0,40,85,109,133,12,59,155,27,70,0,
,East Fremantle (T),3,9,128,475,289,121,69,419,40,141,102,0,
,East Pilbara (S),3,52,228,613,550,1045,27,353,1261,171,528,0,
,Esperance (S),3,27,894,711,563,712,199,774,488,489,521,0,
,Exmouth (S),3,8,61,141,142,197,24,161,79,124,88,0,
,Fremantle (C),26,129,1778,5274,3161,2242,650,4665,1827,2077,2008,0,
,Geraldton (C),12,67,494,1712,1432,1358,317,1836,911,1229,708,0,
,Gingin (S),3,16,362,117,144,147,46,107,163,46,283,0,
,Gnowangerup (S),0,4,275,68,55,50,30,61,41,22,86,0,
,Goomalling (S),0,3,149,31,31,31,16,38,25,10,21,0,
,Gosnells (C),44,97,1140,2447,2102,2811,588,3525,1932,1975,1685,0,
,Greenough (S),0,21,277,249,235,384,91,331,379,130,226,0,
,Halls Creek (S),0,22,59,152,101,85,15,115,68,42,406,0,
,Harvey (S),6,37,597,627,438,746,121,585,504,322,756,0,
,Irwin (S),0,0,126,93,107,180,50,109,97,85,131,0,
,Jerramungup (S),0,0,283,42,42,47,17,33,29,15,58,0,
,Joondalup (C),42,159,1367,6737,4867,2773,1257,6343,1607,5623,2010,0,
,Kalamunda (S),25,89,820,1663,1231,1566,401,1958,1429,972,1051,0,
,Kalgoorlie/Boulder (C),27,96,745,1726,1651,2277,272,1870,1869,1048,899,0,
,Katanning (S),0,4,209,273,186,250,49,227,108,145,293,0,
,Kellerberrin (S),0,0,108,38,35,48,13,59,32,24,46,0,
,Kent (S),0,0,182,16,19,12,4,9,16,7,15,0,
,Kojonup (S),3,5,438,109,65,80,29,91,58,51,100,0,
,Kondinin (S),0,0,258,51,53,72,9,62,44,20,61,0,
,Koorda (S),0,3,79,9,7,12,3,19,17,4,11,0,
,Kulin (S),0,0,218,31,26,39,13,18,25,9,34,0,
,Kwinana (T),12,148,842,1387,1119,2849,173,1246,1906,420,1085,0,
,Lake Grace (S),0,3,379,65,77,92,24,67,67,24,65,0,
,Laverton (S),0,7,60,135,144,217,11,58,248,22,116,0,
,Leonora (S),0,37,170,368,351,584,24,155,817,35,175,0,
