Occupation 93 (ASCO2) (OCC93P) - 1 Digit,lga,Not stated,Inadequately described,Managers and Administrators,Professionals,Associate Professionals,Tradespersons and Related Workers,Advanced Clerical and Service Workers,"Intermediate Clerical, Sales and Service Workers",Intermediate Production and Transport Workers,"Elementary Clerical, Sales and Service Workers",Labourers and Related Workers,Not applicable,
,Glamorgan/Spring Bay (M),0,12,183,151,225,151,30,200,138,124,271,0,
,Glenorchy (C),26,119,1085,1883,1897,3311,274,2995,2140,2155,1591,0,
,Hobart (C),37,274,3357,13014,6779,2945,1472,9637,1248,4039,1896,0,
,Huon Valley (M),8,28,454,489,369,409,78,538,349,263,671,0,
,Kentish (M),3,6,236,145,150,157,37,177,153,96,157,0,
,King Island (M),0,11,196,78,59,91,16,71,54,46,201,0,
,Kingborough (M),12,39,522,1218,753,853,154,1404,419,805,542,0,
,Latrobe (M),10,15,340,474,270,335,58,366,374,203,359,0,
,Launceston (C),32,182,1883,6222,4155,3654,872,6803,2546,3770,2373,0,
,Meander Valley (M),8,19,789,519,540,542,141,740,403,449,474,0,
,Northern Midlands (M),3,15,558,320,359,506,67,449,432,294,586,0,
,Sorell (M),3,12,234,238,265,227,44,309,192,253,287,0,
,Southern Midlands (M),0,10,331,109,78,112,26,106,79,40,164,0,
,Tasman (M),0,0,98,77,93,59,3,124,60,41,95,0,
,Waratah/Wynyard (M),3,21,378,334,300,513,65,454,383,321,398,0,
,West Coast (M),0,17,99,201,278,364,33,234,384,166,240,0,
,West Tamar (M),5,21,325,593,384,433,77,510,318,332,370,0,
,Unincorporated Tas,0,0,4,11,23,30,0,11,19,0,4,0,
,No fixed address,15,41,634,656,285,2523,67,745,1444,328,1170,0,
,TAS Undefined,23,30,144,220,94,274,13,222,320,149,297,0,
,Darwin Undefined,4,18,58,141,107,229,21,154,132,94,127,0,
,Alice Springs (T),14,78,727,2297,1587,1160,390,2101,597,1028,591,0,
,Alpurrurulam (CGC),0,9,0,14,0,3,0,6,0,3,7,0,
,Angurugu (CGC),3,18,6,30,7,4,0,14,3,3,17,0,
,Anmatjere (CGC),0,10,19,28,23,9,0,34,4,10,82,0,
,Arltarlpilta (CGC),0,3,3,6,4,0,0,7,0,3,20,0,
,Belyuen (CGC),0,7,0,7,0,0,0,0,0,4,24,0,
,Binjari (CGC),0,0,0,0,5,0,0,0,0,0,0,0,
,Borroloola (CGC),0,8,14,51,35,30,3,15,17,14,114,0,
,Coomalie (CGC),0,8,53,115,57,41,11,52,18,23,46,0,
,Cox Peninsula (CGC),0,0,5,0,4,8,0,4,0,3,9,0,
,Daguragu (CGC),0,4,7,14,10,12,0,19,3,9,63,0,
,Darwin (C),26,263,3051,7915,5493,3698,1193,6782,1866,3433,1728,0,
,Elliott District (CGC),0,0,0,14,14,6,0,3,3,7,8,0,
,Jabiru (T),0,7,21,57,44,37,5,67,11,29,27,0,
,Jilkminggan (CGC),0,0,0,6,0,0,0,3,0,0,14,0,
,Katherine (T),3,40,202,581,520,611,78,602,168,262,195,0,
,Kunbarllanjnja (CGC),0,3,8,53,20,10,0,32,3,13,99,0,
,Lajamanu (CGC),0,9,3,26,11,7,0,22,8,5,36,0,
,Litchfield (S),11,117,711,724,937,1530,140,667,590,268,352,0,
,Ltyentye Purte (CGC),0,4,9,35,16,0,0,15,0,14,52,0,
,Marngarr (CGC),0,0,0,7,4,0,3,12,0,3,38,0,
,Mataranka (CGC),0,0,13,6,11,6,3,13,13,9,12,0,
,Nauiyu Nambiyu (CGC),0,0,6,28,11,3,4,32,4,9,72,0,
,Numbulwar Numburindi (CGC),0,3,3,26,12,0,0,4,0,9,18,0,
,Nyirranggulung Mardrulk Ngadberre (CGC),0,9,9,47,30,13,0,38,4,17,86,0,
,Palmerston (C),3,19,324,706,678,659,131,926,315,552,273,0,
,Pine Creek (CGC),0,3,3,15,22,15,0,4,4,7,30,0,
,Tapatjatjaka (CGC),0,0,0,6,3,0,0,12,0,7,28,0,
,Tennant Creek (T),0,28,58,217,210,119,24,169,34,62,148,0,
,Thamarrurr (CGC),0,4,16,70,26,20,0,48,8,7,51,0,
