Individual Income (weekly) (INCP),lga,Negative income,Nil income,$1-$149,$150-$249,$250-$399,$400-$599,$600-$799,$800-$999,"$1,000-$1,299","$1,300-$1,599","$1,600-$1,999","$2,000 or more",Not stated,Not applicable,
,Tiaro (S),6,12,48,82,127,175,147,57,54,16,5,14,18,0,
,Toowoomba (C),56,186,2441,2514,4967,9477,8418,5591,5370,2352,999,1214,523,0,
,Torres (S),0,9,32,122,176,241,236,164,192,86,44,22,23,0,
,Townsville (C),72,218,2417,2381,4765,9979,10148,8426,8509,3817,1872,1821,733,0,
,Ugar (IC),0,0,0,12,3,15,0,0,3,0,0,0,0,0,
,Umagico (S),0,0,8,24,11,12,7,0,0,0,0,0,0,0,
,Waggamba (S),15,19,34,59,90,210,156,108,92,36,14,30,27,0,
,Wambo (S),69,39,77,129,193,301,238,137,102,54,41,49,44,0,
,Warraber (IC),0,0,0,59,23,14,14,0,0,3,0,0,0,0,
,Warroo (S),23,20,29,39,72,124,91,48,52,13,7,15,17,0,
,Warwick (S),66,88,536,561,1108,2135,1565,878,753,298,127,131,135,0,
,Weipa (T),0,3,20,10,48,72,62,68,96,70,39,45,7,0,
,Whitsunday (S),16,93,294,329,873,2107,1753,1045,820,294,161,179,157,0,
,Winton (S),13,15,25,31,70,149,115,90,60,25,15,30,25,0,
,Wondai (S),22,17,60,110,181,242,159,97,68,18,14,22,17,0,
,Woocoo (S),9,7,24,41,48,110,85,49,28,17,9,9,15,0,
,Woorabinda (S),0,0,59,51,28,35,22,20,7,6,3,3,13,0,
,Wujal Wujal (S),0,0,0,59,15,36,23,9,5,0,0,0,0,0,
,Yarrabah (S),0,0,5,489,107,138,94,35,35,9,3,5,6,0,
,Yorke (IC),0,0,0,68,35,30,12,4,8,4,0,0,0,0,
,Unincorporated Qld,5,3,4,5,19,38,34,32,19,25,20,33,5,0,
,No fixed address,340,603,2763,4507,9577,16016,14263,12458,11970,5711,2946,2613,1615,0,
,QLD Undefined,90,252,1229,1417,2505,4636,3456,2315,2184,1192,797,821,825,0,
,Adelaide (C),68,370,2488,3534,7139,14452,17365,15592,15452,9224,4904,7073,884,0,
,Adelaide Undefined,0,3,32,42,73,90,92,77,65,28,26,24,18,0,
,Adelaide Hills (DC),27,69,623,633,1200,1868,1345,1039,924,380,179,239,108,0,
,Alexandrina (DC),39,54,332,447,809,1446,969,583,447,164,82,131,97,0,
,Anangu Pitjantjatjara (AC),0,4,43,343,107,62,55,25,69,39,25,3,17,0,
,Barossa (DC),29,54,470,495,1040,1987,1901,1386,1061,440,182,250,120,0,
,Barunga West (DC),17,12,51,50,111,148,104,64,62,43,9,21,17,0,
,Berri and Barmera (DC),21,29,183,291,625,1139,1027,715,535,213,78,97,75,0,
,Burnside (C),20,70,722,745,1471,2372,2342,1791,1939,1061,635,990,127,0,
,Campbelltown (C),15,39,566,596,1097,1762,1467,906,906,377,175,176,120,0,
,Ceduna (DC),6,13,63,122,204,391,259,171,140,71,22,11,33,0,
,Charles Sturt (C),46,200,1860,1921,3826,8233,7790,5010,4522,1976,861,1066,513,0,
,Clare and Gilbert Valleys (DC),24,26,204,245,472,866,746,425,347,155,71,77,64,0,
,Cleve (DC),30,17,52,54,124,215,166,109,69,30,9,19,19,0,
,Coober Pedy (DC),3,3,23,66,93,131,121,70,57,32,14,15,14,0,
,Copper Coast (DC),10,23,211,251,571,884,580,323,365,145,49,61,63,0,
,Elliston (DC),17,10,34,41,72,152,70,46,30,22,15,18,13,0,
,Flinders Ranges (DC),7,12,26,42,67,120,95,37,46,22,12,11,3,0,
,Franklin Harbour (DC),9,15,27,31,88,124,79,45,36,15,3,14,3,0,
,Gawler (T),13,35,469,452,729,1140,875,564,536,243,88,118,66,0,
,Goyder (DC),24,20,97,123,248,341,250,158,92,51,24,22,37,0,
,Grant (DC),26,17,76,108,178,347,394,290,218,101,43,82,29,0,
,Holdfast Bay (C),16,67,811,790,1565,2419,1862,1169,1025,397,209,289,136,0,
,Kangaroo Island (DC),36,30,105,130,289,488,330,210,142,60,26,19,28,0,
,Karoonda East Murray (DC),16,10,29,66,94,112,79,35,39,17,0,10,7,0,
,Kimba (DC),22,6,30,46,63,132,96,69,44,18,13,11,18,0,
,Kingston (DC),9,3,52,68,127,201,134,84,81,30,13,33,10,0,
,Le Hunte (DC),20,15,45,44,103,133,125,80,47,22,13,16,16,0,
,Light (RegC),26,46,156,232,406,808,763,554,472,219,106,100,54,0,
,Lower Eyre Peninsula (DC),27,18,69,88,188,291,263,166,152,64,31,46,23,0,
,Loxton Waikerie (DC),47,51,244,345,704,1282,877,494,348,152,56,98,68,0,
,Mallala (DC),4,13,55,103,190,265,181,126,101,37,14,17,33,0,
,Maralinga Tjarutja (AC),0,0,0,0,8,3,5,0,3,0,0,0,0,0,
,Marion (C),38,105,1638,1407,2659,4171,3963,2931,2555,1037,410,412,254,0,
,Mid Murray (DC),25,44,137,225,346,519,428,218,188,48,15,32,38,0,
,Mitcham (C),23,116,1316,1308,2441,4338,4230,3269,3250,1620,696,868,240,0,
,Mount Barker (DC),29,68,603,648,1149,1841,1354,825,732,323,139,171,106,0,
,Mount Gambier (C),28,53,628,720,1385,2542,2258,1581,1379,525,209,203,200,0,
,Mount Remarkable (DC),24,14,65,52,140,174,132,85,55,24,17,13,17,0,
,Murray Bridge (RC),33,42,388,472,866,1832,1509,944,747,267,87,92,141,0,
,Naracoorte and Lucindale (DC),31,32,158,225,463,892,800,456,340,149,72,83,71,0,
,Northern Areas (DC),33,23,101,133,241,380,269,165,116,59,40,35,33,0,
,Norwood Payneham St Peters (C),28,95,1108,1244,2267,3893,3728,2640,2649,1335,661,1042,234,0,
,Onkaparinga (C),82,201,2433,2295,4244,7147,6113,3841,3494,1405,567,658,495,0,
,Orroroo/Carrieton (DC),6,6,31,34,68,88,69,24,16,12,3,4,12,0,
,Peterborough (DC),9,8,27,53,74,107,60,36,41,18,5,3,3,0,
,Playford (C),53,132,1040,1157,2227,3851,3736,3303,3094,1062,561,450,332,0,
,Port Adelaide Enfield (C),60,253,1511,1837,4077,10007,11407,8268,7275,3570,1621,1502,729,0,
,Port Augusta (C),11,28,269,324,611,1067,916,816,724,323,144,95,88,0,
,Port Lincoln (C),13,38,279,325,736,1339,1090,736,709,302,112,151,73,0,
,Port Pirie City and Dists (M),31,43,294,396,821,1223,946,631,865,347,123,110,85,0,
,Prospect (C),5,44,306,288,555,994,912,548,552,288,120,120,53,0,
,Renmark Paringa (DC),20,33,165,199,486,1132,688,322,261,123,42,81,62,0,
,Robe (DC),6,4,30,57,107,114,88,56,53,16,9,9,13,0,
,Roxby Downs (M),0,10,57,43,101,169,123,116,125,101,71,85,12,0,
,Salisbury (C),45,174,1483,1671,3300,7106,7011,5296,5530,2712,1508,1395,523,0,
,Southern Mallee (DC),42,9,50,79,156,277,194,109,83,31,16,17,11,0,
,Streaky Bay (DC),18,14,59,64,132,230,123,68,60,26,13,10,11,0,
,Tatiara (DC),53,40,141,234,428,879,758,383,314,110,57,67,65,0,
,Tea Tree Gully (C),26,101,1859,1482,2461,3735,3038,1880,1909,734,290,367,267,0,
,The Coorong (DC),47,26,165,182,338,541,349,209,160,68,31,34,31,0,
,Tumby Bay (DC),30,17,44,60,126,181,132,78,73,21,13,18,7,0,
,Unley (C),21,88,790,971,1886,3304,3044,2180,2130,1190,659,1059,208,0,
,Victor Harbor (C),11,32,239,268,565,969,687,337,323,125,48,57,49,0,
,Wakefield (DC),29,17,102,141,265,554,426,256,233,77,26,46,40,0,
,Walkerville (M),0,13,87,117,217,430,483,454,498,258,104,139,35,0,
,Wattle Range (DC),23,46,224,318,603,1059,851,622,593,416,175,177,94,0,
,West Torrens (C),44,142,1199,1499,3078,7127,7918,5980,5563,2598,1322,1343,436,0,
,Whyalla (C),9,44,385,443,854,1286,1142,981,1180,699,344,280,105,0,
,Yankalilla (DC),12,20,80,104,221,301,226,115,99,46,14,30,22,0,
,Yorke Peninsula (DC),50,41,213,272,554,836,592,363,333,171,53,64,85,0,
,Unincorporated SA,16,25,81,147,216,337,379,509,903,826,875,676,81,0,
,No fixed address,101,193,1169,2064,4008,6257,4916,3969,3285,1369,595,603,465,0,
,SA Undefined,45,60,321,490,750,1154,819,613,431,201,103,152,184,0,
,Albany (C),52,74,640,794,1649,2620,2236,1387,1396,574,290,336,199,0,
,Perth Undefined,4,19,72,103,173,240,236,206,218,113,111,133,66,0,
,Armadale (C),23,65,956,760,1444,2187,1770,1214,1361,476,240,271,165,0,
,Ashburton (S),6,29,67,137,169,288,284,310,451,552,1110,1418,79,0,
,Augusta-Margaret River (S),32,50,252,271,663,1062,791,503,409,188,79,133,77,0,
,Bassendean (T),9,29,212,229,506,921,980,765,715,392,187,209,80,0,
,Bayswater (C),30,121,1297,1221,2248,3609,3314,2031,1956,833,400,527,228,0,
,Belmont (C),30,115,734,926,1880,4526,5391,4434,4603,2224,1237,1494,349,0,
,Beverley (S),12,11,44,57,93,123,120,52,50,32,12,21,17,0,
,Boddington (S),3,3,34,37,52,87,66,72,100,83,69,39,11,0,
,Boyup Brook (S),14,14,32,66,88,147,103,69,61,31,12,29,23,0,
,Bridgetown-Greenbushes (S),8,19,100,103,219,338,225,158,165,81,43,36,26,0,
,Brookton (S),6,3,17,42,54,129,81,50,32,19,3,11,13,0,
,Broome (S),11,38,201,427,465,980,998,754,783,421,191,219,87,0,
,Broomehill (S),11,4,3,9,22,27,26,28,12,6,3,8,4,0,
,Bruce Rock (S),14,4,10,20,45,83,74,56,41,24,12,10,5,0,
,Bunbury (C),19,99,966,1066,2155,3626,3191,2532,2533,1297,581,652,265,0,
,Busselton (S),44,75,608,562,1251,2102,1748,1148,963,421,212,298,156,0,
,Cambridge (T),16,58,566,547,949,1691,1550,1139,1118,578,316,597,97,0,
,Canning (C),63,256,2396,2216,4118,8406,8929,6812,6578,3262,1709,1955,625,0,
,Capel (S),8,23,116,96,229,359,284,256,309,194,98,98,27,0,
,Carnamah (S),3,8,11,27,42,81,80,58,115,91,55,30,10,0,
,Carnarvon (S),24,26,60,157,264,578,411,280,252,138,88,70,77,0,
,Chapman Valley (S),4,3,15,10,26,69,39,34,25,18,9,10,8,0,
,Chittering (S),10,12,66,54,128,178,145,116,129,95,49,49,20,0,
,Claremont (T),9,36,377,388,624,917,763,541,541,344,209,318,64,0,
,Cockburn (C),25,114,1047,1058,2010,3604,3605,3217,3259,1646,966,854,351,0,
,Collie (S),4,13,180,198,334,497,400,355,615,681,719,416,72,0,
,Coolgardie (S),3,13,38,66,91,159,99,121,274,240,247,292,25,0,
,Coorow (S),8,14,20,27,42,70,50,44,27,26,9,3,9,0,
,Corrigin (S),13,9,8,35,69,109,95,67,44,23,11,22,9,0,
,Cottesloe (T),7,22,152,173,213,334,285,217,235,104,63,150,31,0,
,Cranbrook (S),3,12,11,40,65,125,121,74,60,27,11,12,28,0,
,Cuballing (S),3,5,7,16,31,41,57,29,20,6,9,0,3,0,
,Cue (S),3,0,4,11,9,18,17,12,13,14,14,10,3,0,
,Cunderdin (S),4,9,26,29,73,134,98,65,58,19,12,17,4,0,
,Dalwallinu (S),22,12,25,37,84,141,129,94,74,23,19,13,29,0,
,Dandaragan (S),34,20,57,74,127,266,172,135,168,100,72,62,31,0,
,Dardanup (S),4,9,116,116,236,402,319,276,337,146,51,49,34,0,
,Denmark (S),12,24,101,169,263,369,219,135,107,47,24,28,26,0,
,Derby-West Kimberley (S),6,16,47,851,248,323,365,329,402,219,158,148,48,0,
,Donnybrook-Balingup (S),24,29,100,128,228,353,247,144,103,57,32,36,28,0,
,Dowerin (S),4,7,8,31,51,82,63,30,20,18,10,9,8,0,
,Dumbleyung (S),9,11,21,22,52,64,47,33,34,21,5,10,6,0,
,Dundas (S),3,3,13,20,35,71,78,61,103,85,93,114,12,0,
,East Fremantle (T),0,14,118,131,222,309,245,189,243,147,64,75,25,0,
,East Pilbara (S),3,24,82,292,118,253,258,348,550,646,985,1176,81,0,
,Esperance (S),33,57,265,321,739,1090,850,628,651,299,169,177,109,0,
,Exmouth (S),4,7,37,37,127,213,151,120,143,90,44,53,15,0,
,Fremantle (C),32,154,1098,1222,2340,4086,3971,3264,3454,1822,943,1140,315,0,
,Geraldton (C),10,64,511,590,1226,2023,1727,1292,1291,599,294,301,147,0,
,Gingin (S),14,26,60,94,207,304,234,159,157,75,36,45,25,0,
,Gnowangerup (S),19,17,29,61,88,128,129,91,78,30,12,14,14,0,
,Goomalling (S),3,3,13,24,38,91,63,40,32,17,10,6,13,0,
,Gosnells (C),19,153,1181,1159,2218,3489,3076,2357,2450,1015,439,474,306,0,
,Greenough (S),14,28,86,107,215,405,333,296,400,219,102,69,43,0,
,Halls Creek (S),0,18,24,346,127,101,97,81,100,61,51,44,16,0,
,Harvey (S),22,48,282,272,501,905,682,564,708,376,140,154,75,0,
,Irwin (S),5,13,53,64,119,172,149,115,117,71,33,48,10,0,
,Jerramungup (S),18,17,27,37,76,115,83,70,52,25,10,17,16,0,
,Joondalup (C),57,249,3601,2602,4188,5945,4845,3435,3845,1733,773,1089,418,0,
,Kalamunda (S),22,85,751,682,1211,2080,1786,1497,1546,663,336,379,168,0,
,Kalgoorlie/Boulder (C),20,84,476,474,971,1754,1650,1470,1873,1363,1142,986,224,0,
,Katanning (S),11,12,74,94,193,405,351,272,201,65,34,29,24,0,
,Kellerberrin (S),10,3,23,32,63,99,69,34,33,11,3,15,8,0,
,Kent (S),11,15,16,19,31,41,46,24,32,13,0,12,4,0,
,Kojonup (S),7,11,41,69,148,241,176,136,84,41,25,29,18,0,
,Kondinin (S),24,6,32,40,68,123,111,69,51,28,30,33,17,0,
,Koorda (S),12,9,10,11,12,28,18,28,24,6,3,5,0,0,
,Kulin (S),15,4,13,30,63,82,60,55,49,13,8,9,10,0,
,Kwinana (T),19,47,213,297,582,1073,1193,1318,2056,1767,1284,1134,191,0,
,Lake Grace (S),44,20,26,39,92,170,156,98,88,51,13,26,23,0,
,Laverton (S),0,3,11,47,26,39,47,68,160,232,224,137,19,0,
,Leonora (S),6,17,20,19,42,97,98,179,447,609,603,545,17,0,
,Mandurah (C),26,150,1174,1135,2221,3205,2412,1526,1535,621,337,464,229,0,
,Manjimup (S),23,42,239,257,547,994,742,425,373,154,53,68,75,0,
,Meekatharra (S),0,10,17,31,40,65,79,81,148,177,130,112,23,0,
,Melville (C),51,213,2439,2104,3361,5080,4420,3051,3179,1735,1027,1565,361,0,
,Menzies (S),0,4,0,11,10,9,12,7,10,5,5,3,0,0,
,Merredin (S),12,19,68,65,174,307,289,213,197,95,50,37,30,0,
,Mingenew (S),11,4,6,13,19,36,39,29,31,16,11,6,9,0,
,Moora (S),8,20,53,65,168,232,220,149,152,61,28,25,22,0,
,Morawa (S),11,9,20,28,43,55,59,62,39,19,7,9,10,0,
,Mosman Park (T),3,10,140,139,229,374,235,170,217,111,58,104,33,0,
,Mount Magnet (S),0,0,0,9,19,36,39,37,50,54,58,34,5,0,
,Mount Marshall (S),15,5,16,14,41,61,60,26,26,10,3,0,7,0,
,Mukinbudin (S),8,0,7,30,45,55,54,38,21,16,9,11,7,0,
,Mullewa (S),12,12,15,21,39,78,77,42,69,34,45,26,17,0,
,Mundaring (S),19,69,566,482,911,1259,1141,926,876,359,181,233,133,0,
,Murchison (S),0,3,0,9,10,11,7,12,16,12,5,9,4,0,
,Murray (S),15,21,160,175,337,512,435,394,661,820,536,327,99,0,
,Nannup (S),7,5,31,32,66,113,79,44,42,9,3,16,11,0,
,Narembeen (S),24,8,15,24,52,86,57,60,35,16,3,18,14,0,
,Narrogin (T),5,17,111,121,259,477,416,260,262,114,40,50,39,0,
,Narrogin (S),0,3,7,8,9,44,46,21,19,4,3,5,8,0,
,Nedlands (C),13,62,521,651,1186,2265,2798,2377,2787,1405,765,1143,150,0,
,Ngaanyatjarraku (S),0,0,156,184,41,31,31,41,40,13,13,6,17,0,
,Northam (T),10,13,158,184,382,628,536,390,400,236,103,64,43,0,
,Northam (S),5,15,28,59,78,99,98,49,61,23,12,17,17,0,
,Northampton (S),31,13,82,102,179,242,177,124,102,51,24,37,38,0,
,Nungarin (S),0,0,3,4,18,13,14,11,5,3,3,3,0,0,
,Peppermint Grove (S),0,0,39,26,56,86,78,75,76,59,17,40,4,0,
,Perenjori (S),17,6,7,18,35,46,25,17,25,18,0,11,3,0,
,Perth (C),77,366,2073,2832,5793,11711,15864,15936,17478,11193,8182,17289,895,0,
,Pingelly (S),8,6,22,29,56,96,60,37,36,8,9,9,13,0,
,Plantagenet (S),30,26,98,126,246,459,439,265,221,53,42,57,39,0,
,Port Hedland (T),4,40,123,174,251,518,563,546,694,611,648,972,71,0,
,Quairading (S),5,5,21,30,45,79,72,44,49,15,13,16,12,0,
,Ravensthorpe (S),14,34,33,64,88,171,132,135,192,208,296,457,33,0,
,Rockingham (C),37,124,1398,1248,2243,3417,2732,2284,2724,1416,708,625,259,0,
,Roebourne (S),18,56,268,237,464,791,751,788,1111,1069,1188,1730,141,0,
,Sandstone (S),0,0,0,3,3,11,10,9,19,18,6,3,0,0,
,Serpentine-Jarrahdale (S),9,34,154,159,354,553,405,292,335,129,61,95,62,0,
,Shark Bay (S),3,4,14,21,48,86,85,45,40,22,12,12,14,0,
,South Perth (C),16,69,611,624,1090,1756,1640,1290,1465,848,490,858,108,0,
,Stirling (C),80,359,3365,3558,6716,11096,10564,7845,7782,4068,2168,2731,800,0,
,Subiaco (C),21,87,1056,1082,1764,2686,3003,2675,2854,1716,1044,1776,204,0,
,Swan (C),75,221,1863,1991,3670,6861,6730,5378,5344,2566,1223,1301,579,0,
,Tambellup (S),9,14,8,16,34,35,30,19,18,16,5,10,3,0,
,Tammin (S),4,3,5,15,33,42,35,27,10,4,3,3,3,0,
,Three Springs (S),12,4,16,7,25,67,66,41,38,18,9,4,6,0,
,Toodyay (S),3,12,62,64,109,163,111,72,63,33,15,21,11,0,
,Trayning (S),6,0,7,0,9,28,50,21,19,9,0,11,0,0,
,Upper Gascoyne (S),0,4,7,47,9,14,12,12,14,3,3,4,5,0,
,Victoria Park (T),12,92,712,917,1822,3500,3364,2833,2727,1500,889,1075,224,0,
,Victoria Plains (S),3,5,7,18,62,85,76,52,44,17,6,26,15,0,
,Vincent (T),18,87,618,743,1413,2355,2333,1908,1928,1293,854,1022,162,0,
,Wagin (S),14,9,21,44,94,131,125,100,69,27,15,21,20,0,
,Wandering (S),4,4,6,11,20,26,31,19,15,3,4,3,10,0,
,Wanneroo (C),52,214,1505,1443,2730,4798,4110,2878,2850,1258,644,641,388,0,
,Waroona (S),3,9,60,76,135,199,144,173,323,387,259,136,28,0,
,West Arthur (S),10,12,24,30,56,76,62,33,39,18,6,25,14,0,
,Westonia (S),0,0,3,3,12,17,13,14,13,6,3,7,0,0,
,Wickepin (S),17,9,14,27,46,68,67,40,24,3,3,3,15,0,
,Williams (S),6,7,19,20,55,102,85,56,47,16,7,15,9,0,
,Wiluna (S),0,7,3,40,19,33,48,97,244,277,324,319,18,0,
,Wongan-Ballidu (S),19,5,21,44,86,148,155,98,79,36,18,14,15,0,
,Woodanilling (S),6,6,3,12,28,29,31,24,15,5,3,9,0,0,
,Unincorporated WA,0,3,0,0,10,5,26,15,45,64,140,320,11,0,
,Wyalkatchem (S),8,4,7,13,37,50,37,39,27,6,7,8,6,0,
,No fixed address,125,327,1586,2336,4877,7283,6708,6146,6660,3761,2368,2447,860,0,
,Wyndham-East Kimberley (S),8,24,55,287,243,493,520,410,495,366,335,237,62,0,
,Yalgoo (S),0,0,5,3,13,15,30,17,70,78,85,67,3,0,
,Yilgarn (S),8,6,35,28,64,117,119,90,145,118,124,94,11,0,
,York (S),9,15,59,104,131,216,148,97,95,29,16,23,25,0,
,WA Undefined,48,104,419,494,777,1210,1042,808,975,717,647,707,294,0,
,Hobart Undefined,3,8,43,74,97,135,109,82,100,27,15,20,18,0,
,Break O'Day (M),12,24,91,159,307,406,220,151,134,67,24,22,25,0,
,Brighton (M),3,17,90,115,252,399,330,197,208,63,27,29,24,0,
,Burnie (C),18,50,488,556,1236,2127,1905,1440,1424,630,196,240,129,0,
,Central Coast (M),24,31,290,443,815,1119,905,526,534,144,60,72,70,0,
