Individual Income (weekly) (INCP),lga,Negative income,Nil income,$1-$149,$150-$249,$250-$399,$400-$599,$600-$799,$800-$999,"$1,000-$1,299","$1,300-$1,599","$1,600-$1,999","$2,000 or more",Not stated,Not applicable,
,Central Highlands (M),9,11,35,39,85,155,126,53,57,27,10,11,29,0,
,Circular Head (M),12,33,128,210,454,847,683,456,351,130,65,75,58,0,
,Clarence (C),28,61,784,720,1473,2555,2025,1238,1327,570,218,268,128,0,
,Derwent Valley (M),11,21,84,144,229,415,327,247,318,209,67,54,23,0,
,Devonport (C),12,49,539,654,1491,2588,2107,1295,1201,456,183,183,126,0,
,Dorset (M),15,27,128,221,379,612,493,270,220,66,23,42,48,0,
,Flinders (M),0,7,10,40,53,101,79,47,33,16,6,12,4,0,
,George Town (M),0,17,80,133,253,405,335,290,554,297,116,87,43,0,
,Glamorgan/Spring Bay (M),15,12,82,127,252,383,244,145,119,43,11,21,17,0,
,Glenorchy (C),24,88,776,902,1972,3800,3581,2459,2194,806,352,330,195,0,
,Hobart (C),42,136,1575,2067,4331,7538,8068,6579,6730,3646,1625,1999,376,0,
,Huon Valley (M),28,32,177,354,635,894,636,304,319,101,50,72,62,0,
,Kentish (M),6,17,82,126,184,300,204,127,116,66,43,30,21,0,
,King Island (M),5,14,27,36,77,215,157,101,90,42,11,26,21,0,
,Kingborough (M),14,49,573,511,883,1374,1138,759,720,305,129,176,105,0,
,Latrobe (M),5,29,129,151,368,580,492,340,367,173,65,56,50,0,
,Launceston (C),47,137,1578,1866,3958,7135,6613,4109,3744,1551,624,766,385,0,
,Meander Valley (M),28,39,234,331,696,1062,794,542,474,185,76,76,74,0,
,Northern Midlands (M),20,32,137,237,462,882,750,427,318,135,47,77,57,0,
,Sorell (M),17,25,152,198,326,509,328,178,164,71,26,31,33,0,
,Southern Midlands (M),11,19,49,105,172,254,163,87,82,44,14,17,28,0,
,Tasman (M),3,3,39,48,117,163,134,51,40,15,7,10,12,0,
,Waratah/Wynyard (M),4,29,182,264,459,691,529,339,355,155,57,54,51,0,
,West Coast (M),6,14,91,134,242,312,241,236,265,236,140,79,39,0,
,West Tamar (M),12,28,235,299,508,742,538,330,348,140,70,74,45,0,
,Unincorporated Tas,0,0,0,3,0,7,11,12,13,21,18,18,0,0,
,No fixed address,27,36,265,557,1104,1793,1403,1070,899,324,158,159,113,0,
,TAS Undefined,18,16,95,132,238,403,315,196,155,74,41,36,73,0,
,Darwin Undefined,3,17,23,43,91,192,182,159,165,83,34,32,39,0,
,Alice Springs (T),16,45,408,326,639,1792,2130,1777,1658,958,340,352,128,0,
,Alpurrurulam (CGC),0,0,7,16,9,4,3,3,3,0,0,0,0,0,
,Angurugu (CGC),0,0,12,18,24,16,6,7,13,5,0,5,0,0,
,Anmatjere (CGC),0,0,9,71,38,31,10,19,17,11,5,0,3,0,
,Arltarlpilta (CGC),0,0,3,16,4,0,0,3,4,0,0,0,0,0,
,Belyuen (CGC),0,0,0,23,7,3,0,0,3,0,0,0,0,0,
,Binjari (CGC),0,0,0,3,0,3,0,0,0,0,0,0,0,0,
,Borroloola (CGC),0,0,3,98,22,46,37,20,21,17,4,5,14,0,
,Coomalie (CGC),0,7,17,22,39,62,76,46,72,41,20,10,5,0,
,Cox Peninsula (CGC),0,0,6,4,6,10,3,0,7,4,0,0,4,0,
,Daguragu (CGC),0,0,10,60,24,10,5,6,8,7,4,0,3,0,
,Darwin (C),36,175,982,991,2183,5201,6571,5598,6216,3772,1605,1744,385,0,
,Elliott District (CGC),0,0,0,13,7,13,3,5,3,0,3,0,10,0,
,Jabiru (T),0,0,9,15,22,56,58,32,50,28,21,13,4,0,
,Jilkminggan (CGC),0,0,0,18,0,0,3,0,3,0,0,0,0,0,
,Katherine (T),4,25,114,132,205,469,584,527,701,286,90,77,54,0,
,Kunbarllanjnja (CGC),0,0,3,115,46,18,15,17,18,7,4,3,0,0,
,Lajamanu (CGC),0,0,0,53,24,13,8,7,16,5,0,3,3,0,
,Litchfield (S),19,49,148,178,339,674,978,1225,1330,519,278,241,72,0,
,Ltyentye Purte (CGC),0,0,41,49,26,9,6,3,3,0,0,0,3,0,
,Marngarr (CGC),0,0,3,45,5,4,0,6,4,3,0,0,0,0,
,Mataranka (CGC),0,6,0,6,13,14,10,9,14,11,0,0,0,0,
,Nauiyu Nambiyu (CGC),0,0,3,48,58,20,9,10,13,3,0,0,0,0,
,Numbulwar Numburindi (CGC),0,0,3,22,13,9,9,3,7,4,0,0,0,0,
,Nyirranggulung Mardrulk Ngadberre (CGC),0,0,87,68,23,22,15,20,9,3,0,0,0,0,
,Palmerston (C),9,25,249,198,382,789,851,683,727,369,133,112,61,0,
,Pine Creek (CGC),0,0,5,32,7,21,11,4,6,4,0,3,7,0,
,Tapatjatjaka (CGC),0,0,3,37,8,3,3,0,0,0,0,0,0,0,
,Tennant Creek (T),4,3,78,96,93,175,186,135,158,73,28,19,18,0,
,Thamarrurr (CGC),0,3,32,54,39,19,16,34,21,8,5,11,7,0,
,Timber Creek (CGC),0,0,0,26,7,18,21,10,7,4,5,4,0,0,
,Tiwi Islands (CGC),0,5,124,220,121,90,57,47,50,36,11,9,8,0,
,Walangeri Ngumpinku (CGC),0,0,0,59,60,8,7,6,3,0,3,0,3,0,
,Wallace Rockhole (CGC),0,0,3,16,3,8,0,0,5,0,0,0,0,0,
,Watiyawanu (CGC),0,0,3,0,18,3,6,0,0,0,0,0,0,0,
,Yuendumu (CGC),0,0,0,54,33,26,20,16,13,12,0,3,0,0,
,Yugul Mangi (CGC),0,0,3,155,92,38,18,18,18,13,0,3,3,0,
,Unincorporated NT,18,81,253,1963,959,1293,1367,1147,1493,1176,1118,1534,211,0,
,No fixed address,10,29,68,127,225,441,486,423,485,245,151,143,47,0,
,NT Undefined,19,37,94,177,179,370,359,270,254,174,111,127,72,0,
,Canberra Undefined,0,8,19,22,34,72,65,78,89,53,37,32,9,0,
,Unincorporated ACT,173,675,7595,6256,11112,19854,21328,23918,31999,22159,15281,16261,1223,0,
,No fixed address,11,44,285,331,640,994,985,1000,920,462,237,234,80,0,
,ACT Undefined,10,16,97,92,142,232,193,184,212,120,81,67,39,0,
,Unincorporated OT,3,6,35,43,100,166,186,169,267,123,73,74,19,0,
,No fixed address,0,0,3,0,3,0,3,0,4,4,0,3,3,0,
,Not applicable,52076,995922,653487,1736386,1163180,526420,183979,96708,71239,32332,20291,40014,1241859,3937213,
