lga,Not stated,Inadequately described,"Eurasian, so described","Asian, so described","African, so described","European, so described","Caucasian, so described","Creole, so described","Oceanian, nfd","Australian Peoples, nfd",Australian,Australian Aboriginal,Australian South Sea Islander,Torres Strait Islander,"New Zealand Peoples, nfd",Maori,New Zealander,"Melanesian and Papuan, nfd",New Caledonian,Ni-Vanuatu,Papua New Guinean,Solomon Islander,"Melanesian and Papuan, nec (includes Bisorio,Bougainvillian, Huli)","Micronesian, nfd",I-Kiribati,Nauruan,"Micronesian, nec (includes Marianas Islander, Marshallese, Palauan)","Polynesian, nfd",Cook Islander,Fijian,Niuean,Samoan,Tongan,Hawaiian,Tahitian,Tokelauan,Tuvaluan,"Polynesian, nec (includes French Polynesian, Pitcairn Islander, Wallisian)","North-West European, nfd","British, nfd",English,Scottish,Welsh,Channel Islander,Manx,"British, nec (includes Falkland Islander)",Irish,"Western European, nfd",Austrian,Dutch,Flemish,French,German,Swiss,Belgian,Frisian,Luxembourg,"Western European, nec (includes Alsatian, Breton, Walloon)","Northern European, nfd",Danish,Finnish,Icelandic,Norwegian,Swedish,"Northern European, nec (includes Faeroese, Greenlandic, Saami)","Southern and Eastern European, nfd","Southern European, nfd",Basque,Catalan,Italian,Maltese,Portuguese,Spanish,Gibraltarian,"Southern European, nec (includes Andorran, Galician, Ladin)","South Eastern European, nfd",Albanian,Bosnian,Bulgarian,Croatian,Greek,Macedonian,Moldovan,Montenegrin,Romanian,Roma/Gypsy,Serbian,Slovene,Cypriot,Vlach,"South Eastern European, nec (includes Aromani, Karakachani)","Eastern European, nfd",Belarusan,Czech,Estonian,Hungarian,Latvian,Lithuanian,Polish,Russian,Slovak,Ukrainian,Sorb/Wend,"Eastern European, nec (includes Adygei, Khanty, Nenets)","North African and Middle Eastern, nfd","Arab, nfd",Algerian,Egyptian,Iraqi,Jordanian,Kuwaiti,Lebanese,Libyan,Moroccan,Palestinian,Saudi Arabian,Syrian,Tunisian,Yemeni,"Arab, nec (includes Baggara, Bedouin, Omani)",Jewish,"Other North African and Middle Eastern, nfd",Assyrian/Chaldean,Berber,Coptic,Iranian,Kurdish,Sudanese,Turkish,"Other North African and Middle Eastern, nec (includes Azande, Madi, Nubian)","South-East Asian, nfd","Mainland South-East Asian, nfd",Anglo-Burmese,Burmese,Hmong,Khmer,Lao,Thai,Vietnamese,Karen,Mon,"Mainland South-East Asian, nec (includes Arakanese, Chin, Shan)","Maritime South-East Asian, nfd",Filipino,Indonesian,Javanese,Madurese,Malay,Sundanese,Timorese,Acehnese,Balinese,Bruneian,Kadazan,Singaporean,Temoq,"Maritime South-East Asian, nec (includes Iban, Irian Jayan, Sumatran)","North-East Asian, nfd","Chinese Asian, nfd",Chinese,Taiwanese,"Chinese Asian, nec (includes Hui, Manchu, Yi)","Other North-East Asian, nfd",Japanese,Korean,Mongolian,Tibetan,"Other North-East Asian, nec (includes Ainu, Menba, Xiareba)","Southern and Central Asian, nfd","Southern Asian, nfd",Anglo-Indian,Bengali,Burgher,Gujarati,Indian,Malayali,Nepalese,Pakistani,Punjabi,Sikh,Sinhalese,Tamil,Maldivian,"Southern Asian, nec (includes Gurkha, Kashmiri, Marathi)","Central Asian, nfd",Afghan,Armenian,Georgian,Kazakh,Pathan,Uzbek,Azeri,Hazara,Tajik,Tatar,Turkmen,Uighur,"Central Asian, nec (includes Chechen, Circassian, Ingush)","People of the Americas, nfd","North American, nfd",African American,American,Canadian,French Canadian,Hispanic (North American),Native North American Indian,Bermudan,"North American, nec (includes Aleut, Inuit, Metis)","South American, nfd",Argentinian,Bolivian,Brazilian,Chilean,Colombian,Ecuadorian,Guyanese,Peruvian,Uruguayan,Venezuelan,Paraguayan,"South American, nec (includes Arawak, Carib, Surinamese)","Central American, nfd",Mexican,Nicaraguan,Salvadoran,Costa Rican,Guatemalan,Mayan,"Central American, nec (includes Belizean, Honduran, Panamanian)","Caribbean Islander, nfd",Cuban,Jamaican,Trinidadian (Tobagonian),Barbadian,Puerto Rican,"Caribbean Islander, nec (includes Bahamian, Grenadian, Haitian)","Sub-Saharan African, nfd","Central and West African, nfd",Akan,Ghanaian,Nigerian,Yoruba,Ivorean,Liberian,Sierra Leonean,"Central and West African, nec (includes Fang, Fulani, Kongo)","Southern and East African, nfd",Afrikaner,Angolan,Eritrean,Ethiopian,Kenyan,Malawian,Mauritian,Mozambican,Oromo,Seychellois,Somali,South African,Tanzanian,Ugandan,Zambian,Zimbabwean,Amhara,Batswana,Dinka,Hutu,Masai,Nuer,Tigrayan,Tigre,Zulu,"Southern and East African, nec (includes Afar, Namibian, Tutsi)"
Palerang (A),923,3,0,0,5,0,0,0,0,0,4139,3,0,0,0,12,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4548,466,26,0,0,0,808,0,33,115,0,26,338,10,0,0,0,0,0,22,22,0,5,11,0,7,0,0,0,224,44,4,20,0,0,0,0,0,0,46,30,9,0,0,4,0,32,11,0,0,0,0,0,17,5,21,10,9,30,18,8,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,9,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,0,0,0,0,0,5,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parkes (A),860,10,0,0,0,0,0,0,0,0,5989,27,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5280,468,5,0,0,0,868,0,0,80,0,7,275,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,84,17,0,6,0,0,0,0,0,0,6,5,0,0,0,0,0,3,0,0,0,0,6,0,7,0,5,3,3,27,7,0,6,0,0,0,0,0,3,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,9,3,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,18,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parramatta (C),14006,160,14,62,157,41,0,6,97,0,24831,81,3,0,0,582,395,8,0,0,27,13,0,0,0,0,0,9,98,388,24,384,531,0,0,14,3,5,14,12,26273,3105,129,3,5,0,4848,0,116,501,0,224,1552,59,41,3,0,3,10,58,62,0,36,51,5,12,0,3,0,3318,868,242,589,0,0,4,33,167,25,728,1466,131,8,12,131,12,540,62,59,0,0,21,14,119,32,265,87,48,793,475,72,260,0,0,47,607,14,453,445,130,3,12951,0,7,230,0,441,0,8,8,8,0,125,3,5,1035,250,312,1429,19,0,0,0,247,0,42,36,252,1178,10,10,5,0,2346,259,0,0,155,0,12,0,5,0,0,29,0,9,0,0,16144,66,0,0,157,3139,8,3,0,3,174,51,554,10,50,8300,5,299,454,138,34,1530,393,0,63,0,1313,561,15,0,3,6,29,17,19,0,12,3,6,6,0,5,97,41,3,34,3,0,0,133,85,5,29,284,56,11,0,155,102,8,0,7,0,10,10,22,6,3,0,3,4,3,4,0,0,0,0,0,8,0,71,32,0,4,3,50,30,0,4,0,3,38,44,0,104,0,4,0,68,257,0,11,6,40,0,7,23,0,0,0,0,0,0,14
Penrith (C),12591,161,17,28,74,54,0,3,84,0,51345,136,7,0,0,636,446,3,0,0,23,0,0,0,0,0,0,15,88,290,28,672,154,0,0,111,0,3,17,30,52483,5822,314,0,6,0,8184,0,190,1566,4,238,3308,59,33,0,0,0,4,125,111,12,35,34,0,13,0,3,0,4891,4322,218,592,0,0,8,9,78,11,1513,1529,210,0,0,55,0,695,118,42,0,0,31,12,137,25,533,75,53,1080,251,45,241,0,5,6,110,0,622,94,62,20,1333,0,0,93,0,104,4,0,0,9,0,245,0,36,180,24,148,587,13,0,0,0,19,0,77,22,148,242,0,0,0,0,3127,130,0,0,50,0,30,0,0,0,0,21,0,3,0,0,1624,17,4,0,39,165,0,0,0,0,65,151,106,16,0,2547,0,143,346,168,17,661,66,0,15,0,154,113,9,0,11,0,4,5,0,0,0,0,0,5,0,11,85,73,8,26,4,0,0,94,66,7,12,199,17,17,0,78,79,0,0,0,4,11,0,53,0,0,0,3,13,0,3,0,0,0,10,0,0,3,45,17,0,0,0,9,22,0,7,0,0,3,4,0,195,0,0,3,0,473,0,0,0,66,0,0,38,0,0,0,0,0,0,3
Pittwater (A),4120,31,7,0,7,11,0,0,0,0,15243,14,0,0,0,64,238,0,0,0,0,3,0,0,0,0,0,3,5,29,0,16,9,0,3,0,0,0,3,3,21177,2276,139,0,4,0,3111,0,116,720,3,185,1227,94,31,0,0,0,5,112,38,0,24,91,0,11,0,0,0,1276,97,43,76,0,0,6,3,3,3,413,168,24,0,0,10,0,450,24,14,0,0,8,0,51,29,89,38,15,140,104,25,31,0,0,0,11,0,19,4,3,0,78,0,0,6,0,9,0,0,0,18,0,3,0,0,27,0,0,18,7,0,0,0,4,0,5,0,57,41,0,0,0,0,102,22,0,0,9,0,0,0,0,0,0,0,0,0,0,0,463,4,0,0,78,52,0,4,0,0,0,3,7,0,3,104,0,0,0,0,0,24,0,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,60,3,9,3,0,0,10,4,0,38,36,15,0,0,15,7,6,0,3,0,11,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,7,0,0,0,0,187,0,0,0,6,0,0,0,0,0,0,0,0,0,3
Port Stephens (A),4313,63,8,0,4,8,0,0,6,0,21752,130,0,3,0,66,140,0,0,0,6,3,0,0,0,0,0,0,4,11,0,37,8,0,0,0,0,0,0,12,23619,2500,126,3,0,0,3066,0,55,448,0,81,1173,22,9,0,0,0,8,57,23,0,21,22,0,3,0,0,0,660,134,32,74,0,0,0,0,6,0,175,137,51,0,0,12,0,58,16,7,0,0,8,0,33,11,68,17,11,197,45,7,53,0,0,0,5,0,4,7,0,0,31,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,12,16,0,0,0,0,3,0,3,0,29,24,0,0,0,0,132,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,19,26,0,0,0,0,3,3,0,0,0,48,0,17,14,0,0,16,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,29,0,3,3,0,0,5,0,0,0,4,0,0,0,5,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,49,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Queanbeyan (C),2915,37,3,3,20,8,0,0,14,0,11049,52,0,0,0,121,114,0,0,0,9,0,0,0,0,0,0,4,13,19,3,55,24,0,0,0,0,0,3,3,10803,1224,54,0,0,0,2098,0,66,244,4,56,857,10,13,0,0,0,0,14,66,0,8,11,0,5,0,3,0,1448,164,48,86,0,0,0,0,18,19,383,344,1036,0,0,22,0,331,41,0,0,0,4,0,21,8,138,28,4,262,69,6,92,0,0,0,6,0,20,3,5,0,34,0,0,0,0,3,0,0,3,0,0,3,0,0,13,0,0,10,4,0,0,0,9,0,7,12,33,67,0,4,0,0,203,74,9,0,15,0,3,0,3,0,0,8,0,0,0,0,301,5,0,0,11,21,0,0,0,0,7,10,8,0,0,143,0,3,6,16,0,44,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,27,0,9,3,0,0,8,5,0,3,23,7,0,0,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,8,21,0,0,4,5,0,0,0,0,0,0,0,0,0,3
Randwick (C),13006,115,14,43,60,91,0,0,30,0,21182,63,0,4,0,443,477,0,0,0,12,0,0,0,3,0,3,7,49,91,36,79,68,0,3,0,0,5,14,15,26825,3388,203,3,0,0,8236,0,228,497,4,756,2008,107,45,0,3,3,7,74,60,3,51,114,0,7,0,11,0,3718,749,483,636,0,0,4,29,70,61,510,6352,53,4,4,136,0,428,53,165,0,0,72,19,275,30,686,64,79,827,1270,111,298,0,0,19,81,11,238,48,8,0,970,0,20,32,24,43,6,0,0,425,0,190,0,17,224,5,7,259,167,0,0,0,35,0,33,22,441,413,0,0,0,0,687,876,5,0,227,0,28,3,6,7,0,50,0,0,0,0,12381,97,0,0,438,556,6,0,0,0,18,26,317,3,0,1300,0,32,96,13,4,290,25,6,17,0,15,140,16,0,0,4,4,0,0,9,0,3,3,6,0,11,218,124,7,44,10,0,0,141,111,11,181,288,128,33,0,102,65,8,8,3,0,19,5,9,3,0,0,0,9,9,7,4,0,6,0,0,0,0,11,21,0,0,0,4,21,0,5,0,3,5,8,3,45,0,0,8,3,896,0,8,5,35,0,3,0,0,0,0,0,0,3,3
Richmond Valley (A),1378,25,0,0,0,0,0,0,8,0,8697,154,0,0,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7829,628,15,0,0,0,1410,0,5,90,0,19,337,0,3,0,0,0,0,14,5,0,7,7,0,0,0,0,0,301,18,3,3,0,0,0,0,0,0,0,40,3,0,0,0,0,7,0,0,0,0,3,0,7,0,16,0,0,12,0,0,8,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,62,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockdale (C),9750,111,8,37,75,32,0,3,59,0,11695,42,3,0,0,718,219,0,4,0,12,0,0,0,0,0,0,10,55,216,35,167,166,0,0,9,0,3,14,7,13072,1567,89,0,0,0,2915,0,63,194,0,179,791,30,11,0,0,0,4,35,16,0,14,23,0,22,0,4,0,3796,686,709,764,0,0,13,39,162,54,683,9227,5025,0,9,53,0,894,57,210,0,0,9,8,115,18,225,30,27,297,347,94,112,0,0,14,314,4,925,82,33,0,5803,0,12,90,3,114,0,0,9,35,0,79,0,222,103,8,45,385,7,0,0,4,62,0,15,31,305,525,0,0,0,0,1294,337,0,0,63,0,13,0,10,0,0,25,0,0,0,0,9147,27,3,0,297,288,3,0,0,0,60,32,1098,0,6,1546,0,448,153,21,8,94,3,0,26,0,21,93,14,3,0,0,0,0,0,0,0,0,0,0,0,6,45,27,4,32,3,0,0,129,78,14,133,314,108,55,0,113,139,5,3,6,8,13,0,9,3,0,0,0,3,7,3,0,3,0,4,0,0,0,20,6,5,0,0,0,5,0,0,0,7,14,14,0,53,0,0,0,0,146,0,14,9,23,0,0,0,0,0,0,0,0,0,22
Ryde (C),7387,56,11,23,35,25,0,0,37,0,17127,16,0,0,0,148,276,3,0,3,5,0,0,0,0,0,0,0,25,104,0,28,60,0,0,0,0,0,12,17,20123,2563,118,0,0,0,4457,0,90,394,0,197,1222,81,20,0,0,0,8,64,38,9,45,50,0,6,0,0,0,6076,287,117,314,0,0,3,15,50,44,595,1533,176,0,0,62,4,420,57,70,0,0,10,11,82,46,227,51,35,489,268,64,84,0,0,3,121,0,238,23,32,0,1489,0,11,124,0,54,0,5,3,25,0,59,0,0,506,19,7,159,36,0,0,3,67,0,23,37,229,356,0,0,0,0,1138,320,4,0,137,0,3,0,0,0,0,22,0,0,0,0,14924,90,0,0,423,2962,3,3,0,0,34,46,124,3,0,2338,0,24,137,42,7,826,188,10,9,0,308,2058,0,3,3,0,3,0,0,0,3,0,3,0,0,0,100,62,0,14,0,0,0,42,20,5,22,119,45,13,0,116,25,7,0,0,0,41,0,6,0,9,0,4,0,4,5,4,0,0,0,0,0,0,12,5,0,4,0,0,3,0,4,0,0,0,11,0,59,0,0,3,0,218,0,0,0,25,0,0,0,0,0,0,0,0,0,4
Shellharbour (C),4044,63,0,5,0,6,0,0,4,0,18119,57,3,0,0,86,102,0,0,0,3,0,0,0,5,0,0,0,3,9,3,12,4,0,0,0,0,0,0,8,20667,2428,266,0,3,0,2594,0,184,576,0,64,1762,12,6,0,0,0,0,24,74,0,24,16,0,3,0,0,0,1804,632,405,861,0,0,3,18,22,0,463,457,1651,0,4,3,0,384,89,40,0,0,11,0,12,17,205,19,7,244,21,10,30,0,0,0,6,0,40,3,8,0,88,0,0,0,0,0,0,3,0,0,0,14,0,0,30,0,0,328,0,0,0,0,3,0,10,31,52,76,0,0,0,0,211,12,0,0,9,0,0,0,0,0,0,3,0,0,0,0,227,4,0,0,5,16,0,0,0,0,0,6,0,0,0,53,0,0,19,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,19,0,0,0,0,0,9,8,0,9,199,6,0,0,8,44,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shoalhaven (C),6029,94,3,0,0,13,0,0,3,0,30941,255,0,0,0,104,190,0,0,0,3,0,0,0,0,0,0,3,4,16,3,18,13,0,0,0,0,0,3,11,34306,3650,212,3,3,0,4858,0,109,685,0,124,1835,37,20,3,0,0,3,98,54,9,23,33,0,4,0,0,0,1345,385,39,106,0,0,0,3,5,3,177,355,40,0,7,12,0,105,37,20,0,0,12,4,46,21,131,39,34,201,105,9,63,0,0,0,8,0,15,3,5,0,40,0,5,4,0,3,0,0,0,5,0,0,0,0,35,0,0,29,4,0,0,0,0,0,0,7,41,33,0,0,0,0,199,29,0,0,7,0,0,0,0,0,0,9,0,0,0,0,288,3,0,0,28,23,0,0,0,0,0,4,13,0,0,112,0,6,3,0,0,22,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,3,87,50,0,0,4,0,0,12,3,0,3,25,0,0,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,22,0,0,5,0,47,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Singleton (A),1446,8,0,0,0,4,0,0,0,0,8958,12,0,0,0,38,58,0,0,0,8,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,3,0,8037,863,32,0,0,0,1158,0,6,135,0,17,460,3,0,0,0,0,0,7,4,0,7,8,0,0,0,0,0,128,49,7,10,0,0,0,0,0,0,14,26,0,0,0,0,0,13,9,0,0,0,0,0,7,3,13,3,4,29,5,0,4,0,0,18,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,64,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,5,0,0,0,0,0,0,0,0,0,23,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snowy River (A),1362,5,0,0,0,0,0,0,0,0,1990,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2261,321,14,0,0,0,475,0,28,63,0,10,192,27,0,0,0,0,0,9,13,0,8,6,0,0,0,0,0,96,3,0,7,0,0,0,0,5,3,12,25,9,0,0,0,0,14,3,0,0,0,3,0,19,0,15,7,3,31,21,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strathfield (A),3023,28,5,21,25,3,0,0,27,0,3019,9,0,0,0,94,80,0,0,0,10,0,0,0,0,0,0,5,29,53,0,25,71,0,0,0,0,0,0,6,3070,337,16,0,0,0,1057,0,21,56,0,43,227,12,3,0,0,0,0,4,10,0,8,12,0,0,0,0,0,1920,87,75,130,0,0,0,7,17,0,267,811,26,0,0,21,0,129,26,51,0,0,3,0,17,4,93,29,11,147,271,4,59,0,0,6,83,0,292,10,15,0,1697,0,0,30,0,63,0,0,0,0,0,19,0,18,36,3,26,150,3,3,0,0,50,0,18,11,60,404,4,0,0,0,268,80,0,0,37,0,0,0,0,0,0,3,0,0,0,0,5500,53,0,0,50,2652,0,0,0,0,39,17,151,0,4,2074,0,52,117,7,3,1256,582,0,13,0,42,36,0,0,4,0,0,3,0,0,0,3,0,0,0,0,12,3,0,7,0,0,0,5,9,3,0,56,9,0,5,30,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,6,0,0,3,0,5,0,0,5,0,0,25,0,0,0,3,36,0,3,0,4,0,0,0,0,0,0,0,0,0,9
Sutherland Shire (A),12386,140,7,12,53,33,0,0,22,0,63915,58,0,3,0,624,658,0,0,0,13,0,3,0,0,0,0,6,33,123,15,72,97,0,3,0,0,0,11,23,69469,7577,362,4,11,0,12249,0,249,1418,0,387,3367,145,37,0,0,0,3,168,87,0,51,133,0,6,0,3,0,6221,1067,360,539,0,0,13,23,133,25,983,5138,1086,0,3,58,0,430,121,159,0,0,33,7,139,54,320,106,89,673,495,51,138,0,0,3,101,3,687,36,9,0,1474,0,3,66,0,75,0,0,0,24,0,31,0,83,72,9,35,211,25,0,0,3,28,0,39,18,189,293,0,0,0,0,791,172,0,0,74,0,0,0,6,0,0,15,0,0,0,0,4367,34,0,0,168,223,0,0,0,0,29,42,40,0,0,1276,6,14,71,15,3,151,9,0,0,0,8,68,0,0,0,0,0,0,0,0,0,0,3,0,0,6,221,148,4,22,6,0,0,103,75,3,54,213,78,10,0,57,59,6,0,3,3,20,7,5,0,3,0,0,5,0,9,5,0,0,0,0,0,0,10,12,3,0,8,0,7,0,7,0,0,3,11,0,114,0,0,3,0,487,0,0,0,21,0,0,0,0,0,0,0,0,6,0
Sydney (C),39178,159,30,41,61,39,4,0,44,0,19725,159,11,3,0,344,819,3,3,0,19,3,0,0,0,0,0,3,41,133,13,92,144,0,5,8,0,0,23,42,32899,4210,319,3,0,0,8665,0,203,715,0,752,2736,171,69,3,0,5,17,133,108,9,138,190,3,3,0,6,3,2803,449,417,664,3,0,9,19,60,51,471,2511,183,12,6,115,4,545,59,61,0,0,50,22,286,46,505,93,72,843,1269,184,334,0,0,15,113,17,155,23,50,4,820,0,26,23,24,42,7,5,10,365,0,37,0,5,207,22,9,493,77,0,0,0,52,0,51,44,1766,1224,0,0,3,0,920,1063,0,0,272,0,14,0,6,0,0,61,0,11,0,0,14877,175,7,0,1236,2590,36,14,0,0,25,20,242,6,5,1556,0,143,83,10,9,225,13,0,3,0,40,78,10,4,13,5,3,0,0,3,0,3,3,4,0,22,383,155,18,50,14,0,0,100,106,5,183,217,209,53,4,71,70,18,5,3,0,77,0,13,3,5,0,7,16,11,8,6,0,4,3,0,0,3,19,11,0,5,0,0,19,0,14,0,10,6,23,0,78,0,0,3,0,331,5,14,7,28,0,0,0,0,0,0,0,0,0,9
Tamworth Regional (A),3590,55,4,0,3,0,0,0,0,0,22047,99,0,3,0,41,79,0,0,0,5,0,0,0,0,0,0,0,0,4,0,7,6,0,0,0,0,0,0,3,19860,1901,41,0,0,0,3006,0,17,221,0,36,1015,7,3,0,0,0,0,26,5,0,9,13,0,3,0,0,0,377,86,3,12,0,0,0,0,0,0,25,53,3,0,0,0,0,13,7,0,0,0,3,0,10,3,28,0,0,42,27,3,6,0,0,0,6,0,3,3,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,14,10,5,0,0,0,0,110,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,4,12,0,0,0,0,3,0,5,0,0,63,0,0,3,0,0,20,4,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,0,0,0,0,0,0,7,0,0,5,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,31,0,0,0,9,0,0,0,0,0,0,0,0,0,0
Temora (A),379,13,0,0,0,0,0,0,0,0,2279,3,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2102,177,7,0,0,0,389,0,0,23,0,7,325,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,29,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
