,1101,1502,2100,2201,2304,2308,3104,3105,3200,3202,3206,3207,3307,4102,4204,4208,4215,5102,5104,5105,5202,5203,5204,5205,6101,6203,7103,8102,8104,9225,V,Z,region
0,19060,18,539,27,52,43,33,4,3,0,3,34,20,13,6,23,8,11,32,26,7,19,69,8,45,19,52,17,33,8,76,1042,101011001
1,9674,0,462,19,58,47,36,19,11,0,0,8,4,6,4,3,7,0,6,0,9,6,16,4,10,0,7,15,24,18,28,582,101011002
2,5390,5,193,18,30,27,3,4,6,0,0,4,5,0,0,7,0,0,4,14,0,3,12,3,9,0,10,12,17,12,8,332,101011003
3,8545,7,511,21,47,36,25,3,3,0,3,11,11,3,0,3,0,5,3,8,3,12,19,5,15,4,8,24,49,25,31,495,101011004
4,8947,11,159,8,16,38,11,6,18,3,0,3,3,0,0,30,0,6,0,4,6,5,17,6,13,3,9,4,17,3,15,609,101011005
5,6375,0,161,9,15,16,6,3,7,3,0,5,3,0,0,10,0,0,0,0,0,6,24,3,13,0,0,3,10,15,9,326,101011006
6,2618,0,165,6,25,19,7,3,4,0,0,3,3,0,0,0,0,0,0,0,0,3,11,0,3,0,4,3,14,9,8,237,101021007
7,6732,32,204,7,45,16,109,18,16,13,202,20,20,10,3,6,8,0,11,14,8,24,44,6,28,0,36,10,23,16,14,448,101021008
8,7203,38,324,24,62,35,148,26,19,21,165,120,40,13,10,0,0,7,17,24,37,22,133,11,107,21,186,25,36,29,53,770,101021009
9,3323,23,178,14,45,4,29,4,6,3,50,0,20,16,0,0,0,3,12,16,19,13,64,6,14,3,175,13,22,11,24,321,101021010
10,11471,9,819,28,96,48,77,22,12,6,9,8,16,0,0,0,0,5,8,5,8,28,9,9,18,10,23,30,84,62,53,880,101021011
11,10066,36,471,15,51,23,80,17,16,10,133,20,24,0,9,5,10,0,19,22,13,27,63,9,41,3,67,37,96,41,59,379,101021012
12,2086,6,77,7,15,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,6,6,12,94,101031013
13,5353,6,237,10,102,53,68,4,7,3,0,7,9,4,0,21,3,0,10,0,14,13,19,6,26,0,21,9,13,21,18,470,101031014
14,2923,4,186,4,49,13,10,0,7,0,0,0,4,4,0,8,0,0,0,0,9,4,0,0,0,0,0,8,15,17,28,171,101031015
