,1101,1502,2100,2201,2304,2308,3104,3105,3200,3202,3206,3207,3307,4102,4204,4208,4215,5102,5104,5105,5202,5203,5204,5205,6101,6203,7103,8102,8104,9225,V,Z,region
0,18948,18,509,25,53,39,40,6,6,3,10,47,11,16,3,16,10,3,13,38,7,12,51,3,29,0,17,9,20,18,67,1201,101011001
1,9190,0,441,14,57,54,27,18,7,0,6,15,6,7,3,10,3,0,3,4,9,3,10,3,0,0,9,7,15,19,45,811,101011002
2,5134,0,188,8,27,26,3,5,0,7,0,0,0,0,0,5,0,0,6,0,3,3,3,4,8,0,8,5,5,4,14,218,101011003
3,7333,6,491,17,49,55,27,7,8,0,3,15,6,3,0,3,0,7,11,4,8,7,5,4,8,9,0,25,37,14,30,528,101011004
4,8931,7,190,6,17,25,12,6,14,3,3,4,0,3,0,28,3,0,7,4,0,4,17,4,7,0,21,7,14,3,11,483,101011005
5,6411,0,173,6,21,14,8,3,6,3,3,3,3,0,0,3,0,0,3,0,3,3,8,3,9,0,0,0,8,3,13,305,101011006
6,1879,0,134,3,17,9,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,3,3,10,0,3,127,101021007
7,7164,18,218,11,71,19,129,24,25,8,247,22,22,12,0,7,0,0,7,13,6,15,39,10,9,0,19,6,23,9,27,608,101021008
8,6496,22,309,15,73,39,153,28,39,15,134,128,38,3,10,0,0,0,12,27,48,30,83,13,49,12,23,16,14,5,55,985,101021009
9,2982,6,164,13,35,14,28,8,14,4,42,9,24,3,0,3,0,0,14,0,21,9,34,3,12,0,41,5,22,4,23,406,101021010
10,10058,7,763,20,102,47,89,19,20,5,8,18,13,3,6,6,3,3,3,3,9,15,8,6,12,11,23,25,73,34,29,796,101021011
11,9112,17,480,18,72,25,67,14,22,3,106,24,26,3,0,8,3,0,9,17,16,45,47,7,31,7,24,28,82,44,36,594,101021012
12,2123,6,70,6,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,3,7,178,101031013
13,5427,0,254,4,104,45,77,3,11,3,3,5,13,4,0,19,0,0,11,4,9,5,12,6,33,10,15,7,15,7,40,605,101031014
14,2479,0,162,6,46,25,11,0,6,0,0,0,0,0,0,8,0,0,0,6,8,7,5,5,7,0,5,3,11,12,27,240,101031015
15,12961,10,708,29,102,55,40,9,14,9,9,12,37,5,0,6,6,0,16,10,5,35,18,8,19,14,20,43,69,57,467,2705,101031016
16,6115,3,456,15,65,33,29,15,6,3,3,37,7,6,0,4,0,0,3,8,3,9,8,0,7,6,3,6,19,14,34,465,101041017
17,6267,0,509,19,65,56,33,10,14,8,3,12,10,3,0,3,3,0,0,8,4,9,20,0,7,6,10,14,23,24,33,325,101041018
18,6597,0,275,9,30,45,3,7,3,3,0,0,6,0,3,0,0,0,6,10,3,7,15,6,4,0,5,10,11,4,12,361,101041019
19,7168,3,443,8,92,67,14,7,3,0,0,3,4,9,0,0,0,0,3,6,3,3,17,0,6,3,8,14,30,14,11,526,101041020
20,1973,0,129,3,48,12,0,0,3,0,0,0,4,0,0,0,4,0,3,0,0,0,0,3,0,0,3,0,6,4,7,170,101041021
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101041022
22,2565,4,118,0,25,19,5,3,6,0,0,3,5,3,0,0,0,0,0,0,0,0,8,0,6,0,3,6,6,6,22,213,101041023
23,2039,0,129,6,26,23,6,3,0,0,3,6,7,3,0,0,0,0,0,0,0,0,3,0,0,0,0,6,7,4,13,154,101041024
24,8143,4,737,24,66,100,21,16,7,0,0,10,12,3,0,0,0,0,7,3,9,6,16,0,14,6,8,19,28,42,28,399,101041025
25,6469,4,487,7,64,50,27,10,10,0,0,0,3,0,0,0,0,0,3,10,0,3,13,3,7,0,6,9,12,9,15,357,101041026
26,7111,6,634,10,89,50,33,25,3,0,0,3,8,7,0,4,3,0,0,6,6,3,21,6,11,6,6,13,30,14,23,435,101041027
27,5345,3,433,17,31,15,15,7,3,0,3,7,6,3,0,6,0,0,7,0,7,6,0,4,6,3,7,18,20,46,28,387,102011028
