lga,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate Level,Level of education inadequately described,Level of education not stated,Not applicable
Albury (C),758,697,4052,2771,8497,486,3819,26734
Armidale Dumaresq (A),1274,453,2671,1334,3353,248,1933,12834
Ashfield (A),3365,789,7730,3180,3636,733,3608,18171
Auburn (C),3071,526,9025,4821,5590,1089,7508,42101
Ballina (A),715,551,3948,2716,6824,565,2979,20972
Balranald (A),7,13,89,70,287,22,227,1568
Bankstown (C),3360,1019,14585,10735,22051,3003,14686,112914
Bathurst Regional (A),689,466,3132,2095,6828,448,3504,21354
Bega Valley (A),427,518,2473,1942,5961,419,2618,17593
Bellingen (A),238,215,1127,832,2245,174,795,6899
Berrigan (A),36,56,434,398,1361,87,808,4882
Blacktown (C),7967,2159,29260,17723,39182,4768,19358,180677
Bland (A),21,31,293,225,964,66,423,3846
Blayney (A),66,49,446,395,1238,72,530,4187
Blue Mountains (C),3126,1709,9930,6517,12314,1494,4741,36110
Bogan (A),11,19,147,94,387,15,297,1927
Bombala (A),18,24,137,111,392,33,177,1527
Boorowa (A),15,19,147,129,370,28,176,1517
Botany Bay (C),1649,324,4504,2718,4700,619,3430,21416
Bourke (A),27,16,202,122,354,16,437,1703
Brewarrina (A),9,5,84,52,200,6,171,1236
Broken Hill (C),123,146,782,641,3006,150,2306,11357
Burwood (A),2310,414,5530,2756,2668,566,2682,15493
Byron (A),773,527,3776,2382,4533,396,2282,14539
Cabonne (A),182,132,942,756,2304,158,816,7535
Camden (A),868,519,4271,3842,10114,872,2892,33336
Campbelltown (C) (NSW),2554,880,9681,8002,22681,2420,10569,89187
Canada Bay (A),5058,1368,13983,6141,7957,1395,5576,34288
Canterbury (C),4970,1061,14460,9026,13685,2267,11878,80110
Carrathool (A),10,18,138,111,380,16,173,1739
Central Darling (A),16,18,95,58,217,12,198,1381
Cessnock (C),285,257,2112,2068,9941,444,4581,31148
Clarence Valley (A),406,416,2626,2338,9330,668,4215,29664
Cobar (A),31,19,227,133,827,30,437,3000
Coffs Harbour (C),907,663,5433,4213,12718,841,5669,37971
Conargo (A),6,21,116,107,253,18,100,923
Coolamon (A),41,32,239,176,586,47,356,2628
Cooma-Monaro (A),191,129,776,517,1822,119,925,5296
Coonamble (A),21,22,172,159,490,41,406,2726
Cootamundra (A),46,68,384,331,1275,93,704,4439
Corowa Shire (A),74,78,544,492,2095,113,967,6637
Cowra (A),64,79,605,579,1983,155,1215,7470
Deniliquin (A),56,49,372,324,1183,81,735,4325
Dubbo (C),429,373,2864,1756,7092,452,2859,22975
Dungog (A),101,78,552,504,1600,87,591,4819
Eurobodalla (A),501,478,2449,2138,6920,493,3388,19375
Fairfield (C),1621,536,11673,9382,19833,2555,13760,128399
Forbes (A),56,63,513,404,1569,124,708,5734
Gilgandra (A),21,25,214,169,669,49,412,2805
Glen Innes Severn (A),62,64,474,418,1409,99,828,5304
Gloucester (A),46,46,311,269,904,64,331,2910
Gosford (C),3090,1859,14060,11657,28990,2068,14175,86538
Goulburn Mulwaree (A),325,258,1606,1547,4991,312,2745,15700
Great Lakes (A),333,276,1845,2019,6818,506,3484,19151
Greater Hume Shire (A),79,85,580,541,1758,119,795,5855
Greater Taree (C),356,394,2418,2456,8695,607,4276,27344
Griffith (C),209,149,1393,959,3734,233,2237,15455
Gundagai (A),25,21,183,155,605,28,297,2351
Gunnedah (A),60,77,639,502,2009,149,1059,7562
Guyra (A),44,32,206,177,609,39,360,2938
Gwydir (A),29,35,242,221,734,66,360,3274
Harden (A),32,30,184,183,599,37,280,2246
Hawkesbury (C),908,548,4163,4009,12301,1052,4108,35259
Hay (A),10,16,138,114,410,27,288,1958
Holroyd (C),4002,809,10464,6546,11845,1684,7593,56233
Hornsby (A),10937,3293,29087,13851,17003,2022,8027,72622
Hunters Hill (A),1041,266,2657,1111,990,270,812,6073
Hurstville (C),3917,841,10976,6025,9146,1490,4674,41784
Inverell (A),77,144,850,658,2631,168,1415,10128
Jerilderie (A),5,4,80,64,233,11,146,949
Junee (A),43,25,256,219,882,52,1176,3221
Kempsey (A),158,206,1308,1248,5121,302,3009,16771
Kiama (A),619,451,2433,1790,3697,263,1215,9521
Kogarah (C),3277,686,8918,4752,6182,1069,3310,27608
Ku-ring-gai (A),9856,2429,25261,9300,6641,2154,5067,48582
Kyogle (A),84,109,585,489,1472,96,731,5658
Lachlan (A),28,50,334,280,862,70,566,4287
Lake Macquarie (C),3220,1903,14912,12061,36678,2042,13469,104733
Lane Cove (A),3040,806,7760,2597,2366,514,1511,12915
Leeton (A),67,71,571,361,1702,94,963,7206
Leichhardt (A),5093,1548,12603,4139,4290,697,3544,20276
Lismore (C),733,637,4038,2542,7488,537,2756,24039
Lithgow (C),154,158,923,867,3821,232,2076,11925
Liverpool (C),2848,898,13556,10707,23852,2776,14156,111352
Liverpool Plains (A),28,45,340,320,1210,84,595,4861
Lockhart (A),18,26,174,152,547,34,203,1840
Maitland (C),812,585,4442,3869,12981,595,4525,39663
Manly (A),2950,857,9139,3668,3319,571,3101,16147
Marrickville (A),5544,1890,15189,5832,7200,996,6330,33524
Mid-Western Regional (A),185,195,1355,1096,4110,272,1990,13114
Moree Plains (A),84,81,766,595,1878,104,1436,8489
Mosman (A),2612,643,6926,2424,1548,515,2099,10683
Murray (A),43,57,415,306,1184,60,604,4282
Murrumbidgee (A),10,10,112,92,292,20,194,1528
Muswellbrook (A),94,98,727,657,2993,123,1526,9565
Nambucca (A),164,158,1068,956,3528,226,1632,10921
Narrabri (A),101,97,672,507,1963,111,1138,8339
Narrandera (A),29,45,280,211,862,67,650,3762
Narromine (A),40,41,341,280,959,57,550,4323
Newcastle (C),4495,1934,17828,9458,24124,1410,11403,77880
North Sydney (A),7002,1808,18230,5786,4132,1101,5680,18544
Oberon (A),74,35,255,232,937,67,458,2988
Orange (C),630,393,3123,2179,6377,390,2992,21972
Palerang (A),699,412,1697,1064,2167,167,928,7224
Parkes (A),105,77,745,580,2444,147,1359,9135
Parramatta (C),10085,1836,23588,12051,17524,2888,13436,85447
Penrith (C),2410,1196,11194,9889,30816,2802,12000,108164
Pittwater (A),2224,966,8327,5833,8296,857,3843,26799
Port Macquarie-Hastings (A),867,744,5061,4807,14194,994,6172,39862
Port Stephens (A),736,486,3769,4046,13019,760,5388,36594
Queanbeyan (C),1446,672,3772,2655,5761,354,2709,20624
Randwick (C),9501,2145,24376,9268,12265,2158,12591,56692
Richmond Valley (A),117,125,926,836,3770,248,1943,14062
Rockdale (C),4173,880,12207,7589,11180,1793,8070,51448
Ryde (C),7675,1725,19221,8428,10407,1955,6371,47264
Shellharbour (C),550,397,3130,3507,12653,651,4317,38402
Shoalhaven (C),1162,982,5676,5638,18373,1252,9111,50610
Singleton (A),196,144,1345,1139,4722,197,1455,13491
Snowy River (A),135,103,606,505,1486,89,937,3648
Strathfield (A),2642,440,6583,2527,2673,672,3095,16564
Sutherland Shire (A),5940,2916,24763,18770,37213,4498,11564,105197
Sydney (C),16668,3601,43040,13913,12476,2664,23702,53439
Tamworth Regional (A),542,514,3584,2953,10203,678,4737,33093
Temora (A),28,48,320,203,942,60,407,3759
Tenterfield (A),43,69,352,314,1114,84,644,4188
The Hills Shire (A),8411,2568,27294,14815,21363,3351,6820,85248
Tumbarumba (A),22,39,171,158,563,33,372,2007
Tumut Shire (A),67,64,563,520,1961,91,897,6772
Tweed (A),978,836,5895,5174,15187,1086,7746,48193
Upper Hunter Shire (A),108,84,788,627,2550,156,1170,8266
Upper Lachlan Shire (A),111,82,491,440,1261,90,546,4173
