lga,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate Level,Level of education inadequately described,Level of education not stated,Not applicable
Uralla (A),162,82,464,394,1034,59,411,3434
Urana (A),8,3,43,35,160,13,140,752
Wagga Wagga (C),1087,644,5058,3132,10608,638,3863,34428
Wakool (A),17,35,208,192,567,27,421,2495
Walcha (A),20,22,184,163,490,41,225,1866
Walgett (A),38,29,326,241,853,45,805,4110
Warren (A),10,17,169,126,350,29,199,1861
Warringah (A),5542,2252,21466,13309,19379,1933,9386,67476
Warrumbungle Shire (A),75,60,475,436,1459,87,944,6062
Waverley (A),4638,1234,15363,5187,5140,1086,7529,23318
Weddin (A),18,33,190,171,573,41,320,2320
Wellington (A),57,57,416,387,1237,91,1225,5021
Wentworth (A),25,60,360,298,1032,59,550,4212
Willoughby (C),6252,1526,16117,5389,4338,1187,3877,28668
Wingecarribee (A),1211,652,4400,3442,7530,636,3468,23060
Wollondilly (A),627,388,2676,2478,8696,458,2822,25125
Wollongong (C),6093,2384,17872,12427,32681,2096,14336,104522
Woollahra (A),4814,1111,13711,3905,2829,1030,5649,19116
Wyong (A),1228,974,7426,7920,28820,1646,12821,88913
Yass Valley (A),538,330,1625,979,2270,162,1085,8037
Young (A),79,87,667,535,1999,128,1075,7664
Unincorporated NSW,6,11,72,70,238,18,71,681
No Usual Address (NSW),345,112,1283,646,1802,166,2966,5594
Alpine (S),144,220,910,801,2204,115,876,6614
Ararat (RC),85,127,662,626,1753,103,1297,6535
Ballarat (C),1844,1834,8574,5543,14381,722,7383,53231
Banyule (C),5261,3241,17993,8802,14874,1018,7786,59332
Bass Coast (S),337,427,2084,1865,5437,268,2828,16374
Baw Baw (S),542,631,3080,2690,7820,356,3008,24733
Bayside (C),5143,2674,17968,8058,7427,886,6647,43018
Benalla (RC),158,192,845,860,2426,117,980,8062
Boroondara (C),13261,5470,37973,12620,9726,1307,9384,69442
Brimbank (C),2930,1365,15181,10264,20615,1377,17309,113685
Buloke (S),30,75,353,272,976,55,514,4105
Campaspe (S),211,351,1971,1721,6163,285,3058,22599
Cardinia (S),805,793,4836,4599,13569,574,4784,44215
Casey (C),4085,2211,18775,16456,38383,2212,16548,153712
Central Goldfields (S),62,112,530,510,2207,102,1194,7773
Colac-Otway (S),177,223,1226,1113,3457,165,1640,12347
Corangamite (S),111,153,902,793,2595,125,1269,10431
Darebin (C),6982,3657,20896,8861,13159,919,11720,70288
East Gippsland (S),386,576,2587,2613,7474,484,3566,24500
Frankston (C),1506,1503,9178,8684,22218,1186,10212,71976
Gannawarra (S),44,98,469,420,1608,78,984,6669
Glen Eira (C),8344,3765,26238,10621,11362,1211,9214,60259
Glenelg (S),121,184,1027,895,3442,204,1563,12150
Golden Plains (S),208,291,1286,1171,3538,140,1183,10954
Greater Bendigo (C),1415,1814,8204,5646,17109,785,7688,57960
Greater Dandenong (C),2728,891,10916,8803,14725,1277,12449,83822
Greater Geelong (C),3889,3229,19833,14051,34367,1769,16329,117411
Greater Shepparton (C),611,662,3728,2982,8851,415,5322,37872
Hepburn (S),367,343,1397,1038,2198,131,1214,7679
Hindmarsh (S),34,54,288,223,805,49,443,3899
Hobsons Bay (C),2846,1582,10055,5576,10446,648,6738,45978
Horsham (RC),207,256,1290,1172,3184,141,1527,11507
Hume (C),2134,1322,10854,9249,22354,1229,12842,107584
Indigo (S),320,300,1334,1006,2654,147,1308,8112
Kingston (C),4214,2581,17713,11534,19435,1364,10460,75131
Knox (C),3478,2126,16207,11376,23679,1322,8519,82596
Latrobe (C),711,782,4195,3559,13713,607,5990,42838
Loddon (S),46,67,389,334,1160,78,704,4691
Macedon Ranges (S),993,971,4308,3188,6760,365,2547,22723
Manningham (C),5020,2302,18976,9222,11652,1119,6795,56207
Mansfield (S),105,119,627,564,1515,78,571,4315
Maribyrnong (C),3516,1680,11652,4994,6650,517,6907,35717
Maroondah (C),2512,2167,11964,8314,16160,945,6408,55370
Melbourne (C),9227,2540,25534,6363,5145,768,11503,32559
Melton (S),1641,974,8486,6104,16197,857,8415,66582
Mildura (RC),315,490,2882,2393,7679,378,4433,32410
Mitchell (S),319,386,1903,1823,6122,254,2751,21076
Moira (S),139,254,1293,1283,4619,260,2578,17689
Monash (C),10222,3393,29284,14158,15826,1653,11375,83372
Moonee Valley (C),4297,2600,16718,7466,11847,809,8253,55450
Moorabool (S),398,401,1932,1738,4901,249,1958,16548
Moreland (C),7326,3668,22728,9721,14599,1031,12664,75510
Mornington Peninsula (S),2419,2204,12697,10872,24792,1431,12549,77641
Mount Alexander (S),487,505,1765,1239,2667,167,1920,8835
Moyne (S),183,214,1131,982,2521,123,1190,9617
Murrindindi (S),159,180,1042,925,2484,120,1174,6969
Nillumbik (S),2083,1657,8138,5045,8908,503,2816,31198
Northern Grampians (S),73,137,590,599,1988,102,968,7395
Port Phillip (C),7327,3020,23981,7705,8017,849,8899,31568
Pyrenees (S),47,71,354,343,1071,55,683,4050
Queenscliffe (B),131,92,489,336,355,38,243,1312
South Gippsland (S),320,388,1857,1584,4998,215,2013,15837
Southern Grampians (S),175,206,1200,941,2699,162,1189,9784
Stonnington (C),7579,2890,24537,7949,6021,837,7942,35402
Strathbogie (S),103,125,574,610,1605,83,875,5507
Surf Coast (S),688,630,3467,2200,4062,203,1660,12954
Swan Hill (RC),94,175,1109,966,3013,135,1919,13027
Towong (S),50,74,363,378,1144,71,418,3397
Wangaratta (RC),273,435,1954,1692,4636,240,1976,15606
Warrnambool (C),383,468,2585,1838,5194,277,2671,18600
Wellington (S),346,478,2488,2216,7463,332,4002,24120
West Wimmera (S),20,34,241,231,642,32,324,2719
Whitehorse (C),8144,4067,26551,12953,14816,1407,10153,73246
Whittlesea (C),2811,1348,12386,9389,21259,1136,11281,95270
Wodonga (RC),352,456,2303,2203,6718,303,2299,20894
Wyndham (C),5317,1888,15679,10400,21694,1334,11416,93847
Yarra (C),6351,3029,19847,4966,5187,496,6454,27763
Yarra Ranges (S),2366,2299,12299,10603,26741,1304,8963,79961
Yarriambiack (S),36,64,315,347,1076,52,787,4406
Unincorporated Vic,23,12,112,74,157,13,98,314
No Usual Address (Vic.),244,100,941,428,1097,62,1760,3674
Aurukun (S),0,6,30,19,65,0,138,1032
Balonne (S),19,35,283,227,561,33,360,3202
Banana (S),75,99,796,489,2341,75,1020,9561
Barcaldine (R),24,16,167,129,462,29,247,2135
Barcoo (S),0,0,17,12,57,0,19,248
Blackall Tambo (R),10,14,116,93,301,12,157,1496
Boulia (S),0,0,19,19,60,0,44,339
Brisbane (C),51905,20735,173234,73724,123262,8992,71864,518130
Bulloo (S),0,0,14,22,66,0,30,266
Bundaberg (R),711,647,4870,3899,15438,819,7650,55771
Burdekin (S),70,79,770,604,2923,121,1349,11448
Burke (S),3,0,20,18,87,4,89,294
Cairns (R),2387,1571,12931,9789,26985,1654,14788,86056
Carpentaria (S),5,9,63,63,252,14,330,1323
Cassowary Coast (R),188,173,1320,1167,4909,275,2403,17233
Central Highlands (R),192,159,1707,1224,5226,186,2704,17312
Charters Towers (R),65,71,595,375,1681,75,1133,8165
Cherbourg (S),0,0,3,27,139,9,13,1029
Cloncurry (S),30,12,200,119,522,29,456,1866
Cook (S),50,28,209,181,619,51,882,2129
Croydon (S),5,0,10,13,35,0,40,203
Diamantina (S),3,0,15,12,61,0,11,172
Doomadgee (S),5,3,39,7,65,5,27,1132
Etheridge (S),3,3,44,28,126,9,89,590
Flinders (S),11,8,72,56,235,15,161,1221
Fraser Coast (R),701,715,4711,4650,17412,1023,8677,57431
Gladstone (R),500,437,3404,2426,11461,473,4870,34319
Gold Coast (C),9535,4487,43605,35445,83470,5681,44329,267948
Goondiwindi (R),53,59,660,453,1440,75,984,6897
Gympie (R),276,311,2181,2172,8170,462,3818,28355
Hinchinbrook (S),71,46,541,377,2094,92,921,7426
Hope Vale (S),0,7,10,28,192,3,51,690
Ipswich (C),1765,1238,9563,8645,27956,1300,11796,104641
Isaac (R),171,131,1432,800,4247,161,2324,13318
Kowanyama (S),4,8,26,19,113,6,43,822
Lockhart River (S),0,3,14,7,85,15,25,335
Lockyer Valley (R),333,206,1799,1555,5356,265,2976,22464
Logan (C),2741,1718,15760,14068,46954,2331,20070,174414
Longreach (R),27,34,316,225,633,22,289,2642
Mackay (R),896,787,6593,4860,22143,864,9613,67043
McKinlay (S),4,5,63,36,193,11,136,605
Mapoon (S),0,3,4,5,33,0,18,196
Maranoa (R),72,87,828,629,1896,87,1239,8233
Moreton Bay (R),4907,3813,26880,23533,65423,3410,25599,224484
Mornington (S),3,16,35,26,99,8,47,910
Mount Isa (C),221,147,1370,744,3693,116,2863,12085
Murweh (S),24,30,284,183,611,35,427,3024
Napranum (S),0,3,7,7,71,0,8,756
North Burnett (R),51,73,444,404,1395,81,996,6696
Northern Peninsula Area (R),8,10,93,77,341,12,164,1591
Palm Island (S),3,7,53,34,223,10,110,1904
Paroo (S),9,12,79,81,258,14,148,1264
Pormpuraaw (S),4,3,13,17,94,4,21,504
Quilpie (S),3,0,52,44,122,8,67,675
Redland (C),2170,1461,11096,9924,25107,1402,8409,79099
Richmond (S),0,7,43,34,108,3,72,556
Rockhampton (R),1306,960,7292,4665,17658,741,10564,66149
Scenic Rim (R),509,320,2465,2158,6223,357,2534,21895
Somerset (R),138,149,951,971,3660,200,1609,13968
South Burnett (R),178,208,1484,1415,5047,258,2406,20026
Southern Downs (R),292,273,1899,1517,5221,306,2530,21848
Sunshine Coast (R),5004,3871,26567,22576,55385,3670,22397,167445
Tablelands (R),487,327,2661,2204,7227,498,4460,25870
Toowoomba (R),2686,1628,12161,8352,23520,1198,10803,90839
Torres (S),47,42,216,138,379,20,448,1958
Torres Strait Island (R),9,27,89,130,604,26,243,3125
Townsville (C),3012,1600,14723,8991,29814,1378,14473,100466
Weipa (T),30,29,255,150,675,9,384,1792
Western Downs (R),147,197,1680,1232,4848,199,2685,20612
Whitsunday (R),219,174,1581,1580,5967,328,3807,17766
Winton (S),8,14,47,46,222,5,105,882
Woorabinda (S),0,6,19,22,58,3,55,782
Wujal Wujal (S),0,0,4,6,39,3,9,203
Yarrabah (S),3,10,25,35,251,6,76,2009
Unincorporated Qld,6,0,28,28,106,6,103,200
No Usual Address (Qld),238,110,1106,719,2230,165,2075,5908
Adelaide (C),1665,469,4491,1407,1470,216,2460,7471
Adelaide Hills (DC),1708,891,5525,3142,5539,365,1945,19511
Alexandrina (DC),298,259,1610,1656,4426,262,1595,13582
Anangu Pitjantjatjara (AC),20,21,93,40,150,13,155,1957
Barossa (DC),230,274,1564,1375,4037,201,1300,13184
Barunga West (DC),10,23,84,117,369,26,187,1652
Berri and Barmera (DC),54,62,531,443,1609,71,996,6812
Burnside (C),2971,1167,9087,3347,3340,430,2738,19114
Campbelltown (C) (SA),1469,758,6164,3270,6198,410,3008,26884
Ceduna (DC),14,21,148,149,527,20,256,2337
Charles Sturt (C),2319,1358,10767,6607,15390,908,8051,59572
Clare and Gilbert Valleys (DC),99,122,689,493,1478,82,534,5254
Cleve (DC),6,13,83,82,288,20,90,1148
Coober Pedy (DC),8,13,88,84,261,17,257,979
Copper Coast (DC),40,73,528,532,2198,87,953,8540
Elliston (DC),0,10,64,50,148,11,50,708
Flinders Ranges (DC),4,27,114,76,283,14,161,1030
Franklin Harbour (DC),5,10,47,46,205,6,130,817
Gawler (T),202,184,1195,1204,3599,175,1481,12500
Goyder (DC),26,28,185,188,711,37,292,2698
Grant (DC),45,70,376,328,1385,69,659,4925
Holdfast Bay (C),1344,696,5097,2850,4843,347,2901,16525
Kangaroo Island (DC),52,53,350,248,725,34,337,2621
Karoonda East Murray (DC),3,6,44,36,123,3,85,725
Kimba (DC),3,8,56,42,156,6,85,723
Kingston (DC),17,17,106,96,341,24,187,1486
Light (RegC),102,131,841,809,2517,102,697,8591
Lower Eyre Peninsula (DC),26,45,293,247,797,46,371,3086
Loxton Waikerie (DC),43,76,579,488,1717,77,797,7514
Mallala (DC),44,35,263,345,1496,54,521,5587
Maralinga Tjarutja (AC),0,3,3,0,3,0,16,52
Marion (C),1992,1211,9250,5732,13343,795,5728,44943
Mid Murray (DC),33,50,317,337,1505,68,930,4893
Mitcham (C),3350,1701,11223,5152,7364,608,3257,30250
Mount Barker (DC),513,473,2751,2224,5193,266,1446,16901
Mount Gambier (C),162,191,1351,983,4543,168,1670,16179
Mount Remarkable (DC),16,35,163,149,472,22,233,1785
Murray Bridge (RC),89,111,701,719,3215,141,1958,12812
Naracoorte and Lucindale (DC),38,66,466,401,1267,76,570,5238
Northern Areas (DC),24,50,274,214,725,41,290,2883
Norwood Payneham St Peters (C),2067,853,6847,2622,3474,295,2434,16303
Onkaparinga (C),1889,1613,11295,9719,30430,1467,10117,93044
Orroroo/Carrieton (DC),6,12,44,52,151,11,61,552
Peterborough (DC),8,11,49,53,213,27,180,1190
Playford (C),313,269,2406,2985,12860,548,6137,53600
Port Adelaide Enfield (C),2834,1235,10727,6390,15859,984,9960,64829
Port Augusta (C),80,100,583,488,2252,99,1937,8450
Port Lincoln (C),97,96,779,648,2525,160,1048,8736
Port Pirie City and Dists (M),67,93,688,586,2804,117,1360,11624
Prospect (C),1022,478,3394,1421,2311,160,1154,10003
Renmark Paringa (DC),51,56,358,402,1340,88,894,6049
Robe (DC),11,12,93,72,251,16,133,802
Roxby Downs (M),67,43,365,207,1070,26,513,2410
Salisbury (C),1453,728,7206,5885,21031,1019,9902,81886
Southern Mallee (DC),8,11,117,100,298,15,153,1395
Streaky Bay (DC),3,16,95,75,321,11,193,1387
Tatiara (DC),32,39,338,327,1059,59,316,4382
Tea Tree Gully (C),1550,1095,8362,6936,17091,826,5356,54251
The Coorong (DC),20,29,212,243,825,38,530,3635
Tumby Bay (DC),9,23,129,121,427,17,169,1684
Unley (C),2522,1111,7705,2731,3244,314,2641,16566
Victor Harbor (C),166,155,877,925,2463,135,1444,7666
Wakefield (DC),33,25,298,273,955,50,521,4498
Walkerville (M),473,183,1381,542,619,90,530,3180
Wattle Range (DC),44,71,540,446,1911,85,774,7761
West Torrens (C),1754,838,7328,3783,7569,504,4146,29036
Whyalla (C),159,109,1162,751,4219,149,2022,13512
Wudinna (DC),5,3,81,50,202,3,66,841
Yankalilla (DC),64,49,256,316,825,45,325,2514
Yorke Peninsula (DC),39,69,459,507,1882,94,844,7134
Unincorporated SA,32,22,198,168,797,42,641,2523
No Usual Address (SA),66,22,239,147,505,36,619,1433
Albany (C),338,376,2322,2131,5889,529,2392,19686
Armadale (C),707,532,3966,3609,11739,954,3955,36827
Ashburton (S),73,80,644,503,2495,104,1498,4611
Augusta-Margaret River (S),139,167,1206,837,2021,176,935,6282
Bassendean (T),286,220,1549,981,2337,226,946,7855
Bayswater (C),1757,1017,8112,4609,8863,1013,4747,31130
Belmont (C),822,384,3695,2317,5219,612,3513,18641
Beverley (S),3,16,90,82,224,41,124,985
Boddington (S),19,12,153,102,432,28,396,1085
Boyup Brook (S),3,8,115,89,259,31,103,981
Bridgetown-Greenbushes (S),51,42,313,284,754,87,208,2574
Brookton (S),5,11,37,32,110,22,78,636
Broome (S),179,192,1253,814,2379,220,1812,8142
Broomehill-Tambellup (S),3,9,76,47,137,8,65,793
Bruce Rock (S),0,3,49,47,126,13,69,663
Bunbury (C),327,308,2240,1640,6855,462,1827,17698
Busselton (S),271,320,2444,1948,5560,497,1942,17340
Cambridge (T),1785,742,5892,1950,1778,420,1280,11118
Canning (C),3306,1257,12626,6513,10756,1433,5442,44174
Capel (S),156,176,1156,878,2766,219,678,8608
Carnamah (S),0,4,24,20,91,3,60,333
Carnarvon (S),33,48,306,234,857,81,759,3478
Chapman Valley (S),4,9,80,67,175,23,80,733
Chittering (S),23,22,201,273,800,81,278,2743
Claremont (T),766,286,2226,740,520,176,723,3845
Cockburn (C),1673,1031,8813,5967,14888,1470,5530,50321
Collie (S),31,39,308,317,1964,133,828,5503
Coolgardie (S),21,17,119,116,664,38,469,2555
Coorow (S),3,4,48,51,156,20,80,690
Corrigin (S),5,5,59,49,156,13,59,711
Cottesloe (T),583,206,1967,593,462,135,700,2963
Cranbrook (S),3,6,48,70,128,6,88,732
Cuballing (S),10,9,47,45,132,11,46,575
Cue (S),0,3,5,5,31,6,58,157
Cunderdin (S),8,8,64,52,202,21,83,874
Dalwallinu (S),4,11,62,52,160,12,74,896
Dandaragan (S),14,25,182,177,513,73,348,1853
Dardanup (S),59,71,642,621,2911,161,485,7450
Denmark (S),121,106,582,413,865,107,311,2693
Derby-West Kimberley (S),58,74,343,226,794,53,2251,4625
Donnybrook-Balingup (S),51,56,374,331,934,113,338,3127
Dowerin (S),5,6,35,27,91,10,31,467
Dumbleyung (S),0,9,49,35,76,3,26,406
Dundas (S),0,9,50,47,156,12,185,681
East Fremantle (T),411,230,1355,568,684,106,475,3113
East Pilbara (S),117,64,743,514,2791,84,2317,5313
Esperance (S),66,120,744,637,2175,205,1162,8368
Exmouth (S),31,29,152,135,524,56,197,1269
Fremantle (C),1378,673,4570,1965,3225,430,2321,12015
Geraldton-Greenough (C),279,300,2002,1779,6270,535,2946,22346
Gingin (S),26,19,226,251,808,94,417,2852
Gnowangerup (S),3,8,57,67,160,15,68,889
Goomalling (S),10,9,45,39,144,11,53,681
Gosnells (C),1666,790,8068,6296,18048,1546,7340,62824
Halls Creek (S),31,26,139,88,329,9,250,2682
Harvey (S),133,183,1343,1234,4519,321,1479,14023
Irwin (S),11,28,172,185,626,60,265,2221
Jerramungup (S),6,9,68,41,166,20,43,704
Joondalup (C),3472,2449,18127,12652,25770,2662,6943,80332
Kalamunda (S),839,655,4565,3777,9239,889,3411,30185
Kalgoorlie/Boulder (C),316,262,1890,1288,5468,335,3573,17970
Katanning (S),19,33,196,136,609,43,351,2795
Kellerberrin (S),3,4,47,45,158,10,76,833
Kent (S),0,5,47,29,66,13,11,345
Kojonup (S),8,11,134,114,256,30,100,1327
Kondinin (S),10,12,51,58,144,15,103,661
Koorda (S),0,3,20,13,54,3,11,328
Kulin (S),3,4,59,48,83,10,30,584
Kwinana (T),231,144,1469,1313,4937,427,3102,17612
Lake Grace (S),0,18,111,59,189,16,60,909
Laverton (S),9,6,77,45,285,16,145,651
Leonora (S),24,12,160,99,454,26,591,1147
Mandurah (C),531,500,3726,3992,12963,1267,6119,40806
Manjimup (S),70,82,496,430,1451,129,608,5917
Meekatharra (S),10,6,89,46,189,13,271,754
Melville (C),4117,2175,16717,8135,11057,1792,5514,46201
Menzies (S),5,3,14,3,25,3,33,299
Merredin (S),22,31,189,133,483,32,206,2186
Mingenew (S),0,3,28,20,60,5,35,323
Moora (S),18,25,156,81,358,31,174,1635
Morawa (S),4,11,47,38,128,16,58,592
Mosman Park (T),592,239,1808,641,666,143,690,3806
Mount Magnet (S),3,3,29,18,92,9,104,380
Mount Marshall (S),3,0,37,17,68,10,21,330
Mukinbudin (S),3,3,18,21,73,6,31,342
Mullewa (S),7,0,34,31,97,13,76,454
Mundaring (S),685,521,3247,2601,6217,625,3678,18965
Murchison (S),5,0,3,3,14,0,11,84
Murray (S),74,87,566,649,2608,241,1191,8736
Nannup (S),18,17,106,97,223,22,70,720
Narembeen (S),3,3,42,29,78,11,71,572
Narrogin (S),7,8,67,44,142,11,43,555
Narrogin (T),22,46,256,190,630,45,309,2717
Nedlands (C),1981,553,4990,1412,1010,394,999,9198
Ngaanyatjarraku (S),14,8,55,25,84,7,129,1123
Northam (S),68,77,481,434,1687,147,1062,6593
Northampton (S),12,16,155,162,534,65,281,1969
Nungarin (S),0,3,12,12,29,5,14,159
Peppermint Grove (S),103,40,332,99,82,32,140,707
Perenjori (S),3,9,60,45,189,5,91,510
Perth (C),1434,362,4199,1352,1497,308,2792,4771
Pingelly (S),5,7,39,48,155,12,80,807
Plantagenet (S),34,50,290,263,769,71,395,3005
Port Hedland (T),145,127,1016,729,2882,184,2739,7221
Quairading (S),0,13,58,41,141,22,68,709
Ravensthorpe (S),18,11,132,119,422,22,151,1246
Rockingham (C),770,768,5515,6201,20246,1606,7528,61477
Roebourne (S),247,176,1646,1079,4647,287,4361,10447
