Mortgage Repayments (monthly) Ranges (MRERD),lga,Nil repayments,$1-$149,$150-$299,$300-$449,$450-$599,$600-$799,$800-$999,"$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999",$5000 and over,Not stated,Not applicable,
,Hope Vale (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,
,Ipswich (C),293,149,241,463,442,918,1146,1356,1807,1801,2225,1790,2211,1143,750,1578,1331,287,184,1021,42002,
,Isaac (R),83,12,16,24,18,36,39,43,61,60,54,56,92,44,37,97,106,31,26,91,9099,
,Kowanyama (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,
,Lockhart River (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,
,Lockyer Valley (R),83,26,62,170,167,259,346,355,421,356,438,341,442,186,110,223,193,46,36,281,9035,
,Logan (C),576,281,375,782,724,1491,1946,2398,3158,2920,3677,3023,4402,2261,1578,3374,2826,671,396,2297,61403,
,Longreach (R),30,0,10,10,7,30,34,46,46,36,41,19,30,7,3,11,15,4,3,22,1964,
,Mackay (R),319,55,111,215,220,421,613,736,859,718,1015,825,1490,829,651,1785,1925,486,263,939,31184,
,McKinlay (S),14,0,0,4,3,0,4,6,4,3,0,0,3,0,0,0,0,0,3,7,440,
,Mapoon (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,
,Maranoa (R),112,4,12,34,42,79,91,107,108,109,119,74,92,32,24,39,67,27,27,90,4901,
,Moreton Bay (R),898,424,659,1152,988,1899,2430,3055,3565,3476,4402,3786,5663,3280,2421,5052,5071,1311,737,2665,95857,
,Mornington (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,
,Mount Isa (C),45,10,15,20,32,60,111,121,142,131,164,178,310,155,113,208,198,54,29,116,6656,
,Murweh (S),27,3,14,26,28,45,60,55,48,29,33,10,21,5,3,12,9,3,12,41,1858,
,Napranum (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,
,North Burnett (R),85,0,18,61,61,95,90,104,70,66,41,29,38,10,18,16,27,8,22,82,4537,
,Northern Peninsula Area (R),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,
,Palm Island (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,
,Paroo (S),26,4,6,19,17,9,11,7,3,4,3,0,0,0,3,0,0,3,3,10,991,
,Pormpuraaw (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,
,Quilpie (S),14,0,0,13,12,4,11,3,3,3,4,3,0,0,0,0,0,0,4,3,590,
,Redland (C),398,140,206,381,401,684,889,1056,1261,1203,1439,1107,1980,1151,897,2152,2513,618,433,1066,35485,
,Richmond (S),18,0,0,4,3,6,8,10,3,0,0,0,3,0,0,0,0,0,0,3,413,
,Rockhampton (R),297,61,127,308,336,657,874,905,1160,1023,1199,921,1298,571,344,916,935,247,146,778,34118,
,Scenic Rim (R),119,29,58,138,97,228,294,336,388,360,424,313,452,191,162,382,393,119,88,311,10971,
,Somerset (R),78,25,48,110,89,195,248,244,245,223,210,210,266,136,58,181,132,35,26,161,6612,
,South Burnett (R),135,36,99,175,174,281,348,395,343,306,279,162,213,90,54,100,99,31,48,233,11065,
,Southern Downs (R),128,25,68,135,153,291,384,391,445,304,340,189,263,94,38,118,104,43,44,220,11862,
,Sunshine Coast (R),1075,315,455,934,778,1498,1960,2338,2652,2402,2886,2356,3608,1993,1706,3504,3830,1197,930,2271,103765,
,Tablelands (R),167,26,63,160,160,280,326,396,401,352,354,218,324,158,101,237,234,60,63,311,15988,
,Toowoomba (R),481,143,240,533,452,984,1304,1605,1890,1787,1918,1263,1544,710,413,902,835,257,208,923,44823,
,Torres (S),3,0,0,3,0,3,4,10,3,0,4,0,7,0,0,3,3,0,5,5,1092,
,Torres Strait Island (R),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,
,Townsville (C),409,122,236,408,342,871,1121,1411,1649,1557,1902,1608,2532,1321,848,1986,1898,494,382,1136,50727,
,Weipa (T),3,0,0,0,0,3,5,12,15,18,22,20,50,14,24,28,37,8,9,27,1109,
,Western Downs (R),220,15,46,111,105,234,234,293,309,255,229,164,228,99,64,141,155,39,51,218,11078,
,Whitsunday (R),86,27,26,74,77,142,201,214,255,226,247,172,344,148,106,305,305,82,68,234,12636,
,Winton (S),17,0,6,10,7,13,14,14,8,3,5,0,5,0,0,4,0,3,7,15,861,
,Woorabinda (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,
,Wujal Wujal (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,
,Yarrabah (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,
,Unincorporated Qld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,
,Adelaide (C),54,12,16,34,20,49,73,83,92,100,113,70,145,54,54,110,140,71,75,60,9431,
,Adelaide Hills (DC),166,65,84,173,166,303,385,496,466,443,448,358,569,235,253,435,581,222,181,283,8965,
,Alexandrina (DC),103,27,66,151,140,211,249,293,323,294,281,201,261,103,73,117,142,49,37,170,10921,
,Anangu Pitjantjatjara (AC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,
,Barossa (DC),83,27,73,128,89,203,267,316,355,325,370,233,280,134,92,138,123,32,24,139,6288,
,Barunga West (DC),7,6,17,16,26,19,26,19,14,12,10,4,6,4,3,0,0,3,3,12,1652,
,Berri and Barmera (DC),47,12,20,62,78,133,161,179,141,108,76,59,58,14,5,26,26,12,12,72,3786,
,Burnside (C),194,43,61,111,100,189,202,304,301,271,289,199,466,166,188,307,681,359,387,247,13888,
,Campbelltown (C) (SA),146,54,117,177,167,330,372,433,467,408,420,338,550,237,181,402,407,108,72,277,15066,
,Ceduna (DC),15,0,0,11,17,32,35,37,34,17,32,9,21,3,3,10,11,0,3,22,1448,
,Charles Sturt (C),286,119,160,378,343,650,795,936,1030,877,1020,749,1241,536,389,900,988,265,213,560,35527,
,Clare and Gilbert Valleys (DC),37,12,25,56,56,106,115,125,118,94,102,51,61,21,17,35,42,11,13,45,3107,
,Cleve (DC),30,3,8,15,21,29,22,17,7,6,6,0,5,3,3,0,5,0,3,11,812,
,Coober Pedy (DC),11,0,8,19,20,13,15,7,6,7,6,7,0,0,0,0,0,0,3,9,1120,
,Copper Coast (DC),30,6,46,103,87,147,178,168,141,120,98,86,72,33,11,30,30,7,7,77,6626,
,Elliston (DC),12,0,3,7,4,17,5,11,3,6,3,3,0,0,3,0,5,3,4,4,748,
,Flinders Ranges (DC),9,3,9,15,25,33,18,26,18,12,21,9,17,7,0,6,4,3,0,17,733,
,Franklin Harbour (DC),10,0,0,11,4,16,9,11,13,11,13,0,3,0,4,3,7,0,0,4,703,
,Gawler (T),50,18,49,125,101,201,263,306,336,309,331,230,251,95,54,122,87,21,21,139,6028,
,Goyder (DC),31,5,21,47,45,61,53,64,44,31,22,12,22,7,0,8,7,4,4,34,1702,
,Grant (DC),43,9,14,40,52,85,124,91,145,84,105,46,85,26,15,43,37,12,9,86,2511,
,Holdfast Bay (C),117,51,64,130,107,190,233,268,270,217,271,204,408,154,148,300,420,193,137,188,13556,
,Kangaroo Island (DC),27,3,11,33,23,62,48,54,45,43,39,30,34,7,5,15,20,3,10,27,2538,
,Karoonda East Murray (DC),11,0,5,6,7,18,19,9,0,0,3,0,0,4,0,0,0,0,3,5,485,
,Kimba (DC),17,0,4,6,5,14,9,4,8,0,0,0,0,0,0,0,0,0,0,4,471,
,Kingston (DC),15,0,5,13,14,20,15,30,18,21,16,9,6,7,5,3,9,0,3,20,1350,
,Light (RegC),48,23,34,79,93,157,185,225,242,219,233,143,198,86,63,143,90,26,26,129,2867,
,Lower Eyre Peninsula (DC),41,4,6,37,26,61,62,56,75,40,53,25,40,17,12,24,30,9,5,34,1800,
,Loxton Waikerie (DC),49,5,33,83,102,141,189,163,144,109,84,50,61,22,12,16,29,3,7,72,4122,
,Mallala (DC),22,4,20,69,69,114,136,172,161,140,151,93,119,61,36,75,54,8,6,83,1726,
,Maralinga Tjarutja (AC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,
,Marion (C),226,87,214,384,413,673,809,933,1024,945,1081,861,1215,635,385,896,685,169,121,508,25239,
,Mid Murray (DC),35,8,36,72,82,110,121,118,109,73,57,32,40,11,16,19,19,7,3,64,5097,
,Mitcham (C),216,105,117,255,220,421,531,635,654,597,660,546,840,436,346,690,896,319,235,352,17130,
,Mount Barker (DC),99,32,74,134,154,270,344,381,434,413,487,344,484,252,148,323,287,103,63,193,7170,
,Mount Gambier (C),60,19,41,114,142,299,425,491,532,375,336,155,168,47,27,62,60,21,22,142,8131,
,Mount Remarkable (DC),15,3,8,23,24,40,42,28,35,16,15,4,7,8,3,10,5,3,3,15,1291,
,Murray Bridge (RC),72,12,51,115,102,212,242,253,263,207,211,117,100,37,14,53,30,23,6,125,6624,
,Naracoorte and Lucindale (DC),65,8,12,41,57,104,111,132,140,81,69,31,36,8,3,17,11,11,5,71,2783,
,Northern Areas (DC),26,4,29,61,50,73,66,64,63,32,24,9,27,3,0,3,6,4,3,34,1714,
,Norwood Payneham St Peters (C),121,35,49,86,87,168,217,274,305,244,253,200,354,151,147,282,401,194,184,167,13326,
,Onkaparinga (C),450,243,528,995,950,1743,2132,2347,2729,2552,2745,2000,2303,1080,607,1151,907,236,151,1083,40995,
,Orroroo/Carrieton (DC),6,0,6,3,11,14,13,5,4,7,0,0,0,3,0,0,3,0,0,0,436,
,Peterborough (DC),8,6,30,48,38,35,18,17,6,3,0,3,3,0,0,0,0,0,0,11,854,
,Playford (C),118,73,185,488,460,927,1128,1252,1350,1195,1221,798,752,308,156,282,227,80,60,504,20821,
,Port Adelaide Enfield (C),290,103,211,446,469,797,953,1135,1314,1206,1308,1076,1365,671,434,912,817,205,119,551,36010,
,Port Augusta (C),35,6,25,64,71,171,161,196,172,165,125,63,86,31,10,56,43,12,10,76,5050,
,Port Lincoln (C),27,8,20,47,59,138,150,182,240,163,154,123,124,41,26,74,44,11,12,67,4856,
,Port Pirie City and Dists (M),38,18,52,181,173,255,292,271,255,165,114,83,103,31,13,38,38,5,10,85,5968,
,Prospect (C),55,24,30,73,69,109,151,194,194,168,203,143,236,105,95,193,303,115,64,120,6130,
,Renmark Paringa (DC),39,5,29,55,60,128,137,160,132,85,84,34,62,11,10,23,26,7,9,66,3165,
,Robe (DC),12,0,5,10,3,11,10,10,17,13,14,7,3,3,6,3,9,0,3,12,1264,
,Roxby Downs (M),6,3,0,4,0,11,10,16,14,14,32,14,28,27,39,49,52,10,8,10,1303,
,Salisbury (C),341,119,312,719,725,1373,1617,1982,2186,2092,2279,1456,1611,661,325,671,604,138,126,883,31946,
,Southern Mallee (DC),19,0,14,30,21,38,33,15,7,14,3,0,3,0,0,3,0,5,3,10,892,
,Streaky Bay (DC),5,0,9,15,13,18,9,15,27,12,10,14,11,3,5,0,3,3,0,5,1077,
,Tatiara (DC),69,3,11,37,54,88,138,91,79,42,56,17,26,13,12,9,21,5,17,37,2302,
,Tea Tree Gully (C),293,138,244,516,465,934,1160,1324,1505,1446,1489,1201,1559,742,385,857,665,181,123,665,23102,
,The Coorong (DC),51,3,18,52,55,68,81,75,52,31,25,4,18,3,4,11,13,3,10,36,2350,
,Tumby Bay (DC),16,0,4,8,13,31,21,28,19,12,17,14,17,5,3,10,5,0,3,20,1281,
,Unley (C),146,50,60,126,112,186,219,258,308,293,277,213,392,154,153,331,584,273,253,196,12237,
,Victor Harbor (C),50,27,28,71,72,105,135,123,129,111,140,66,95,36,27,53,56,16,15,60,7027,
,Wakefield (DC),28,6,26,81,56,106,112,119,74,49,63,29,22,9,4,10,8,10,3,43,2342,
,Walkerville (M),38,4,5,21,18,31,26,41,34,32,33,24,59,31,17,44,85,56,59,47,2512,
,Wattle Range (DC),62,8,40,123,101,238,228,187,160,97,101,53,62,26,10,26,26,11,16,69,4192,
,West Torrens (C),120,59,84,187,183,313,426,491,547,494,530,407,611,285,237,456,546,126,87,275,19512,
,Whyalla (C),36,25,37,157,147,267,342,362,332,278,233,166,207,74,34,110,80,17,13,134,7658,
,Wudinna (DC),13,0,3,10,11,16,10,8,4,3,3,0,3,0,0,0,0,0,3,4,545,
,Yankalilla (DC),34,7,22,34,38,45,48,68,58,39,56,31,38,17,8,19,24,3,4,30,2973,
,Yorke Peninsula (DC),47,13,40,76,79,116,101,104,112,63,66,31,39,15,8,8,17,3,9,56,8508,
,Unincorporated SA,23,3,7,14,9,12,17,14,10,0,6,3,10,3,3,3,3,3,0,14,3020,
,Albany (C),121,24,33,122,120,188,257,312,350,277,326,217,339,170,125,246,244,79,70,206,11852,
,Armadale (C),142,60,111,253,241,462,553,645,761,723,884,743,1026,581,454,973,978,300,159,487,14521,
,Ashburton (S),11,4,17,0,0,3,3,4,3,6,3,4,6,0,5,0,3,5,0,8,3319,
,Augusta-Margaret River (S),36,12,8,36,31,62,71,97,109,89,115,76,126,59,54,114,135,37,40,82,5455,
,Bassendean (T),47,28,39,47,51,111,103,134,162,142,148,112,230,112,88,212,227,46,45,104,4213,
,Bayswater (C),201,70,84,179,160,340,368,488,549,506,555,450,834,384,347,713,1053,316,201,371,19688,
,Belmont (C),103,27,58,74,75,148,209,237,289,248,281,248,428,198,204,474,512,162,94,214,11830,
,Beverley (S),14,0,3,15,10,22,16,14,16,12,11,9,7,0,4,3,6,4,0,11,760,
,Boddington (S),3,0,0,4,3,11,9,19,12,17,10,5,14,11,3,22,21,9,3,5,634,
,Boyup Brook (S),22,0,3,5,5,16,23,17,10,9,5,4,4,5,4,4,9,4,4,13,637,
,Bridgetown-Greenbushes (S),29,3,13,14,30,43,41,46,53,42,39,24,45,21,17,39,37,9,5,33,1622,
,Brookton (S),10,0,3,3,0,7,8,8,4,5,5,3,3,0,0,6,0,0,0,10,429,
,Broome (S),28,3,4,16,14,21,28,39,50,44,35,42,96,30,30,103,218,107,71,81,6723,
,Broomehill-Tambellup (S),11,3,4,5,3,14,5,6,13,3,0,3,0,4,0,0,3,0,3,5,436,
,Bruce Rock (S),3,0,3,12,8,7,3,8,3,4,0,0,0,0,0,0,0,0,0,6,450,
,Bunbury (C),79,27,45,100,89,193,253,310,354,290,380,271,408,156,105,284,241,82,59,189,10893,
,Busselton (S),122,23,32,71,88,133,187,223,259,236,262,198,327,186,159,302,348,123,106,202,12317,
,Cambridge (T),120,25,25,39,45,78,82,130,106,123,118,98,246,78,89,154,444,330,533,172,7234,
,Canning (C),293,96,116,243,222,415,531,703,710,703,751,591,1084,504,505,971,1231,361,274,491,22778,
,Capel (S),35,19,23,42,40,72,92,125,143,156,165,174,256,143,100,252,232,61,30,107,3174,
,Carnamah (S),10,0,5,4,4,9,6,3,0,4,3,0,0,0,0,0,0,0,0,11,226,
,Carnarvon (S),25,6,5,18,14,30,45,29,36,33,33,17,43,22,10,18,28,9,19,45,3284,
,Chapman Valley (S),8,3,3,0,0,12,4,14,6,15,8,7,12,6,9,16,14,4,5,12,406,
,Chittering (S),15,0,4,13,12,30,35,29,44,41,55,41,64,35,31,72,114,46,24,39,1145,
,Claremont (T),56,7,9,17,15,12,24,35,34,43,23,25,56,13,25,41,103,94,211,54,3519,
,Cockburn (C),251,92,122,288,264,504,607,858,955,853,1085,826,1439,819,698,1697,2029,509,306,698,20735,
,Collie (S),23,8,14,44,43,98,78,87,119,106,122,76,123,49,25,78,72,26,9,92,2666,
,Coolgardie (S),4,3,5,10,26,37,55,66,74,32,36,22,27,9,4,6,17,3,3,29,1280,
,Coorow (S),12,0,4,8,5,3,3,3,3,4,9,3,9,4,0,0,4,0,0,3,802,
,Corrigin (S),15,0,0,15,3,16,4,8,9,3,3,3,6,3,0,5,0,0,0,7,549,
,Cottesloe (T),52,0,8,11,11,12,14,36,18,19,32,14,41,12,15,27,75,67,200,48,2810,
,Cranbrook (S),14,0,3,4,9,11,12,6,9,3,4,3,3,3,0,0,0,0,4,11,437,
,Cuballing (S),5,0,0,5,9,16,13,13,13,9,12,3,6,4,0,0,5,0,0,11,310,
,Cue (S),6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,
,Cunderdin (S),12,0,7,3,9,10,19,9,15,3,5,3,6,3,3,0,8,0,0,4,498,
,Dalwallinu (S),6,0,3,9,7,15,9,16,9,4,0,3,3,0,3,3,0,0,0,11,580,
,Dandaragan (S),24,0,0,4,8,15,26,14,24,17,14,9,20,3,13,14,21,12,12,20,2563,
,Dardanup (S),35,12,14,27,29,77,91,145,154,148,158,126,228,104,95,208,141,44,25,80,3017,
,Denmark (S),33,10,6,26,10,33,41,33,43,34,31,23,45,26,16,30,28,11,8,29,2695,
,Derby-West Kimberley (S),10,0,3,5,6,16,11,20,11,20,12,11,20,12,3,12,17,9,9,14,2902,
,Donnybrook-Balingup (S),18,3,5,32,27,39,68,57,95,54,54,40,57,26,28,42,44,18,13,37,1712,
,Dowerin (S),10,0,0,3,4,9,8,0,0,0,4,3,4,0,0,0,3,0,0,0,326,
,Dumbleyung (S),3,0,3,4,4,3,5,3,3,3,5,0,0,0,0,0,0,0,3,4,326,
,Dundas (S),3,0,3,7,6,11,4,3,4,0,3,0,0,0,0,0,0,0,0,3,649,
,East Fremantle (T),29,4,11,18,18,31,27,50,41,42,49,16,76,27,27,65,145,78,121,51,2149,
,East Pilbara (S),4,0,47,80,21,12,4,4,3,0,0,3,3,0,0,0,3,3,3,9,2713,
,Esperance (S),78,7,19,34,41,67,98,114,119,111,95,76,117,65,35,82,85,35,27,96,5074,
,Exmouth (S),10,3,0,0,3,15,10,23,16,9,18,14,19,11,3,27,48,15,5,13,1844,
,Fremantle (C),93,29,39,73,54,118,130,180,178,173,185,158,246,134,134,279,466,223,208,158,10286,
,Geraldton-Greenough (C),103,25,50,114,125,244,289,323,384,343,374,266,444,189,130,326,370,94,57,235,11230,
,Gingin (S),26,4,16,27,16,22,37,55,34,35,42,32,48,16,19,25,71,16,13,39,3052,
,Gnowangerup (S),16,0,9,14,6,22,7,14,12,7,3,0,3,0,0,0,3,0,0,6,594,
,Goomalling (S),7,0,5,3,8,7,10,8,10,3,9,0,3,3,0,4,4,0,4,5,411,
,Gosnells (C),279,97,196,356,344,725,984,1128,1380,1224,1434,1068,1780,926,763,1596,1486,379,228,750,23253,
,Halls Creek (S),0,4,3,0,0,0,0,3,3,3,0,3,3,0,0,0,0,3,0,3,1273,
,Harvey (S),76,22,28,77,78,121,169,202,245,222,276,213,341,210,148,343,291,68,58,168,6331,
,Irwin (S),19,0,3,6,10,15,29,40,28,27,28,19,39,15,12,23,28,18,4,32,1493,
,Jerramungup (S),21,3,3,7,3,7,3,8,15,5,3,0,8,0,0,0,0,0,3,9,784,
,Joondalup (C),577,208,280,521,479,991,1170,1452,1479,1504,1606,1190,2175,1093,1013,2215,3349,1185,816,1248,34002,
,Kalamunda (S),183,57,79,176,138,304,410,541,575,572,638,439,842,419,405,852,1006,306,189,421,12635,
,Kalgoorlie/Boulder (C),58,18,10,52,55,115,155,249,319,329,352,301,501,235,181,399,423,126,60,218,8466,
,Katanning (S),16,3,16,20,38,54,51,42,35,35,33,15,23,5,3,15,11,4,4,30,1432,
,Kellerberrin (S),8,0,5,11,8,22,3,12,12,3,5,3,0,0,0,0,0,0,8,3,461,
,Kent (S),14,0,0,6,4,3,3,0,3,0,0,0,3,0,0,0,0,0,0,0,279,
,Kojonup (S),26,0,0,6,15,17,20,15,12,6,6,4,4,0,3,7,7,0,9,6,858,
,Kondinin (S),18,0,0,0,3,13,7,11,7,3,5,0,0,0,0,0,0,0,0,3,444,
,Koorda (S),7,0,0,8,5,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,238,
,Kulin (S),18,0,4,4,3,7,3,6,0,0,5,0,3,0,0,0,0,0,0,4,384,
,Kwinana (T),62,16,54,134,102,199,261,316,381,440,454,395,560,356,219,419,278,82,62,199,6506,
,Lake Grace (S),19,0,7,3,8,7,10,11,11,0,3,0,0,0,0,0,0,0,3,11,662,
,Laverton (S),0,0,0,0,3,0,4,0,0,0,5,0,0,0,0,0,0,0,0,4,379,
,Leonora (S),4,0,0,4,3,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,702,
,Mandurah (C),220,63,107,197,180,322,387,492,566,526,587,510,878,491,391,825,842,271,199,465,26902,
,Manjimup (S),35,9,33,28,37,86,97,89,93,85,85,69,78,33,16,24,56,21,12,51,3922,
,Meekatharra (S),5,0,0,3,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,496,
,Melville (C),411,106,129,228,233,369,438,623,630,629,626,506,1040,428,462,874,1792,818,733,571,28468,
,Menzies (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,
,Merredin (S),16,0,3,16,21,46,39,59,38,32,25,10,20,6,3,9,15,3,5,18,1244,
,Mingenew (S),3,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,7,221,
,Moora (S),28,0,12,18,14,29,34,25,26,17,13,16,10,5,8,9,3,3,3,8,817,
,Morawa (S),3,4,0,10,10,9,5,9,4,3,0,0,3,0,0,0,0,0,3,3,359,
,Mosman Park (T),42,9,8,18,7,12,28,26,45,43,30,34,67,25,28,31,98,75,198,70,3103,
,Mount Magnet (S),0,0,3,5,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,333,
,Mount Marshall (S),8,0,0,4,4,4,0,3,3,0,0,0,0,0,0,0,3,0,0,3,318,
,Mukinbudin (S),11,0,0,6,3,6,3,4,6,0,0,3,0,0,0,0,0,0,0,3,250,
,Mullewa (S),10,0,3,6,0,8,6,4,0,0,0,0,0,0,0,0,0,0,0,0,360,
,Mundaring (S),146,45,81,155,128,226,308,384,426,358,389,292,556,223,218,477,664,218,146,309,8102,
,Murchison (S),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,64,
,Murray (S),53,24,24,67,36,58,97,119,117,102,147,114,166,85,79,179,187,79,58,133,4820,
,Nannup (S),3,0,3,9,3,11,10,15,11,8,17,3,11,3,0,6,5,0,5,8,725,
,Narembeen (S),17,0,0,6,4,11,4,4,0,4,4,0,0,0,0,0,0,0,0,3,380,
,Narrogin (S),6,0,0,3,3,3,6,11,6,0,7,3,9,3,3,4,10,0,3,5,279,
,Narrogin (T),13,9,9,30,19,50,49,52,51,36,41,26,37,7,6,11,6,0,4,22,1482,
,Nedlands (C),108,36,12,26,18,55,48,81,58,64,50,43,138,35,50,77,252,203,494,159,6053,
,Ngaanyatjarraku (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,
,Northam (S),36,3,36,58,69,116,122,125,144,95,107,65,115,45,35,67,68,19,18,73,3363,
,Northampton (S),30,4,5,7,12,26,14,21,16,20,25,11,16,14,11,14,29,9,4,27,2367,
,Nungarin (S),0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,108,
,Peppermint Grove (S),11,0,0,0,3,0,0,0,6,3,4,4,12,0,3,4,6,10,42,13,460,
,Perenjori (S),7,0,3,3,4,3,8,5,0,0,0,0,0,0,0,0,0,0,0,5,252,
,Perth (C),37,3,9,13,11,27,39,54,61,67,85,71,151,97,102,174,277,122,130,54,9388,
,Pingelly (S),3,0,3,14,5,9,11,15,7,7,4,9,0,3,0,0,7,0,3,5,503,
,Plantagenet (S),35,3,17,31,17,48,59,58,59,23,39,37,27,20,4,18,17,9,4,24,1841,
,Port Hedland (T),17,0,12,19,11,12,22,37,33,19,20,32,42,24,28,39,95,91,76,46,5395,
,Quairading (S),16,0,0,9,3,14,5,7,6,6,0,0,3,0,3,5,3,0,3,5,473,
,Ravensthorpe (S),21,0,4,5,8,6,11,13,7,9,7,8,12,3,0,0,7,0,4,14,1238,
,Rockingham (C),267,92,163,295,250,561,673,868,1089,1095,1216,1034,1745,1072,898,1808,1644,386,249,734,26312,
,Roebourne (S),36,4,11,9,7,18,25,24,23,25,26,17,46,26,32,49,150,112,134,51,7703,
,Sandstone (S),0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,87,
,Serpentine-Jarrahdale (S),61,11,28,45,30,75,111,138,171,168,225,182,348,191,186,355,410,167,76,169,3296,
,Shark Bay (S),3,3,0,0,0,4,3,3,3,3,3,6,3,0,3,3,3,6,0,9,936,
,South Perth (C),156,29,52,78,72,112,148,214,220,221,261,191,401,155,168,297,638,396,450,235,15298,
,Stirling (C),687,217,291,516,482,873,1116,1351,1516,1431,1618,1254,2339,1070,1109,2004,3271,1491,1293,1150,64485,
,Subiaco (C),77,10,17,34,30,54,50,72,74,70,63,47,138,53,52,92,230,170,197,81,7531,
,Swan (C),289,103,149,364,322,694,876,1114,1270,1307,1403,1077,1820,1041,884,1944,2004,502,345,883,23126,
,Tammin (S),4,0,4,3,0,4,6,3,0,0,0,0,3,0,0,0,0,0,0,3,162,
,Three Springs (S),7,0,0,10,5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,4,306,
,Toodyay (S),22,7,9,26,20,43,43,59,45,53,47,33,51,37,19,44,69,15,9,48,1585,
,Trayning (S),4,0,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,208,
,Upper Gascoyne (S),0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,
,Victoria Park (T),96,28,21,64,54,105,128,215,242,215,255,163,347,202,188,389,616,206,134,136,11973,
,Victoria Plains (S),16,0,5,3,4,5,3,9,0,0,0,0,3,0,0,0,0,0,0,9,447,
,Vincent (T),109,28,32,55,55,105,151,204,159,208,217,150,376,134,178,309,634,398,283,159,11470,
,Wagin (S),18,0,9,19,18,26,27,27,15,5,16,4,6,6,4,10,9,0,4,12,724,
,Wandering (S),3,0,0,0,0,0,4,3,0,0,3,3,5,0,0,0,7,0,3,4,222,
,Wanneroo (C),385,139,220,428,377,829,1036,1291,1607,1677,1949,1555,2641,1584,1577,3399,3576,879,510,1199,29492,
,Waroona (S),22,3,13,16,15,28,30,36,44,36,43,31,34,21,15,26,39,11,8,21,1378,
,West Arthur (S),17,0,3,0,4,9,11,6,4,3,0,0,0,0,0,4,3,0,0,4,417,
,Westonia (S),0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,155,
,Wickepin (S),11,0,0,0,4,13,3,5,3,3,0,0,3,0,0,0,0,0,0,7,366,
,Williams (S),18,0,0,3,7,8,6,7,3,7,11,4,3,0,0,4,3,0,0,5,365,
,Wiluna (S),0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,
,Wongan-Ballidu (S),13,0,5,12,15,16,19,16,22,3,8,3,6,0,0,0,4,0,0,5,624,
,Woodanilling (S),6,0,3,0,4,3,8,3,0,0,0,0,3,3,0,0,0,0,0,4,165,
,Wyalkatchem (S),5,0,0,4,3,5,11,3,3,0,0,0,0,0,0,0,0,0,0,0,291,
,Wyndham-East Kimberley (S),16,4,3,11,4,14,21,31,31,17,26,14,33,15,15,32,59,22,23,35,3790,
,Yalgoo (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,91,
,Yilgarn (S),4,0,0,4,10,9,15,13,10,8,4,4,3,0,0,0,0,3,3,7,716,
