Mortgage Repayments (monthly) Ranges (MRERD),lga,Nil repayments,$1-$149,$150-$299,$300-$449,$450-$599,$600-$799,$800-$999,"$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999",$5000 and over,Not stated,Not applicable,
,Liverpool Plains (A),38,6,18,44,26,80,77,69,76,41,51,26,27,20,10,24,13,11,17,61,2961,
,Lockhart (A),35,3,7,19,12,35,47,35,29,16,18,15,16,3,5,6,7,4,3,31,986,
,Maitland (C),172,58,93,197,169,338,507,600,833,819,1027,787,1149,538,282,669,648,177,112,434,16878,
,Manly (A),144,29,34,47,44,62,78,131,100,135,137,87,273,127,139,286,776,549,953,270,13929,
,Marrickville (A),159,70,48,102,93,202,240,342,383,422,521,450,816,449,420,891,1888,907,495,364,25363,
,Mid-Western Regional (A),82,10,51,96,79,123,180,170,249,157,214,158,229,84,65,136,153,42,42,144,8423,
,Moree Plains (A),71,10,13,28,44,82,111,110,130,89,93,55,72,31,19,37,30,18,16,89,5007,
,Mosman (A),101,30,17,25,28,40,47,73,73,88,78,65,223,81,97,161,362,272,836,175,10059,
,Murray (A),35,10,9,38,27,62,43,68,74,73,66,37,66,30,13,28,28,10,12,64,2692,
,Murrumbidgee (A),19,0,4,5,4,26,24,35,26,25,14,3,7,4,0,0,3,0,5,22,855,
,Muswellbrook (A),34,13,8,20,38,85,99,114,167,174,218,129,226,79,41,153,129,28,27,92,4853,
,Nambucca (A),54,24,52,86,95,172,184,172,195,148,162,95,115,45,24,64,35,17,24,103,7330,
,Narrabri (A),67,5,20,41,52,92,123,146,158,124,104,66,87,27,18,41,38,15,23,106,4598,
,Narrandera (A),37,8,7,43,41,72,101,86,71,35,28,14,24,3,7,11,3,4,11,51,2154,
,Narromine (A),53,4,17,31,30,67,75,83,79,43,47,24,32,8,7,8,14,5,14,49,2238,
,Newcastle (C),398,163,185,379,373,767,986,1142,1495,1402,1713,1519,2085,963,648,1406,1382,483,334,855,47261,
,North Sydney (A),173,52,33,77,62,94,140,209,210,225,287,257,529,251,326,525,1238,756,978,325,28183,
,Oberon (A),17,3,7,13,15,39,48,48,64,61,60,33,51,12,10,29,29,9,9,40,1959,
,Orange (C),88,23,23,84,93,203,300,373,448,400,494,349,443,205,110,279,250,84,45,211,11493,
,Palerang (A),41,13,19,48,32,73,106,106,128,136,150,99,218,94,88,227,357,140,84,85,3758,
,Parkes (A),60,3,27,65,62,129,141,182,179,135,131,84,122,39,26,66,45,18,15,82,4942,
,Parramatta (C),359,173,139,261,222,415,578,808,1028,1120,1459,1155,2097,1091,940,1885,2498,689,412,816,45417,
,Penrith (C),395,149,187,375,399,719,1078,1363,1762,1758,2225,2031,3331,1896,1240,2586,2188,572,420,1401,38764,
,Pittwater (A),206,51,46,96,88,140,173,241,245,254,277,216,493,231,269,509,1520,1046,996,478,15858,
,Port Macquarie-Hastings (A),171,64,100,236,185,390,511,595,672,656,694,588,742,367,255,546,489,146,117,377,26223,
,Port Stephens (A),185,51,103,190,162,350,432,476,716,587,739,515,727,347,250,521,548,158,113,367,23039,
,Queanbeyan (C),78,35,53,92,75,176,223,315,359,342,442,346,563,318,226,589,731,271,148,249,10499,
,Randwick (C),314,98,88,146,125,211,287,402,418,366,474,405,976,442,486,1024,2056,1165,1547,643,43883,
,Richmond Valley (A),73,17,50,102,76,186,236,250,305,203,214,118,183,68,30,82,95,18,31,141,7556,
,Rockdale (C),218,63,75,148,112,200,328,459,529,514,712,565,1196,561,526,992,1730,641,435,585,28290,
,Ryde (C),293,119,72,172,133,254,344,489,576,537,609,503,1092,523,543,956,2046,1036,744,551,30141,
,Shellharbour (C),133,52,69,160,154,288,435,490,620,570,753,641,1017,499,297,810,675,157,118,406,16155,
,Shoalhaven (C),332,99,168,331,273,556,746,834,991,835,970,640,910,363,225,453,469,187,137,581,41386,
,Singleton (A),45,25,19,42,40,80,118,150,218,220,276,206,401,155,124,297,351,83,62,166,5978,
,Snowy River (A),28,0,16,20,24,42,56,63,56,61,66,40,68,29,24,58,52,25,11,63,4547,
,Strathfield (A),119,29,24,45,19,55,94,122,144,157,223,200,443,194,156,294,463,226,358,207,9176,
,Sutherland Shire (A),572,207,201,378,371,671,840,1117,1262,1295,1581,1310,2757,1270,1226,3079,5872,2328,1558,1557,53333,
,Sydney (C),421,93,93,164,151,255,360,532,611,652,854,758,1670,863,958,1764,3231,1589,1574,696,77513,
,Tamworth Regional (A),190,36,76,190,204,402,584,627,809,655,698,429,490,195,125,305,269,73,84,373,17524,
,Temora (A),33,0,13,38,29,46,84,69,56,39,34,31,29,11,9,13,11,7,10,33,2151,
,Tenterfield (A),26,7,20,43,34,77,82,58,57,63,45,25,42,9,12,15,15,8,4,53,2897,
,The Hills Shire (A),612,168,171,315,263,415,572,856,973,936,1115,934,2225,1040,1221,2471,5440,2213,1579,1259,32433,
,Tumbarumba (A),27,0,5,17,6,32,36,32,36,21,22,10,16,7,5,15,13,3,6,23,1401,
,Tumut Shire (A),36,3,16,31,26,91,119,133,150,114,106,65,110,36,12,39,52,14,4,69,4171,
,Tweed (A),287,74,127,255,224,422,541,586,722,585,716,579,945,465,335,834,799,239,199,551,30672,
,Upper Hunter Shire (A),49,11,16,45,51,85,112,108,165,117,134,101,162,73,41,91,105,39,32,97,4876,
,Upper Lachlan Shire (A),43,8,10,24,20,65,57,85,77,53,63,51,65,29,21,51,44,17,10,51,3071,
,Uralla (A),27,0,10,37,32,65,73,79,86,48,54,40,56,13,15,24,17,12,16,34,1896,
,Urana (A),16,0,10,17,14,15,7,10,3,0,5,0,3,0,0,0,0,0,3,11,531,
,Wagga Wagga (C),158,48,73,158,169,322,531,625,820,779,867,553,692,246,169,324,357,112,88,382,17307,
,Wakool (A),36,3,5,19,35,38,50,31,29,17,15,9,20,3,3,12,9,3,4,29,1768,
,Walcha (A),25,3,6,16,6,36,33,21,30,17,19,7,9,9,10,10,10,3,3,19,1294,
,Walgett (A),41,7,10,33,26,42,44,27,29,9,11,6,12,3,0,0,3,8,16,30,3515,
,Warren (A),23,0,9,10,20,36,36,15,25,10,13,8,9,0,7,4,4,0,0,14,1208,
,Warringah (A),389,140,129,211,190,355,415,588,634,685,803,692,1575,774,823,1696,3673,2238,1845,1004,37151,
,Warrumbungle Shire (A),60,10,22,66,59,105,96,84,60,36,35,19,40,11,7,13,25,9,18,66,3960,
,Waverley (A),175,39,27,66,53,88,125,176,183,170,181,151,411,183,220,427,1054,639,1184,421,24869,
,Weddin (A),25,3,16,28,29,31,47,37,21,12,17,9,19,0,4,3,4,3,7,29,1496,
,Wellington (A),52,7,17,29,46,70,88,76,77,58,55,30,49,14,10,25,18,10,9,63,2995,
,Wentworth (A),43,3,10,37,42,79,81,79,96,52,52,33,44,17,13,9,30,12,16,68,2309,
,Willoughby (C),237,72,42,85,64,102,140,238,189,231,247,197,612,248,299,496,1210,854,1322,392,20781,
,Wingecarribee (A),174,33,67,102,104,194,282,337,432,366,480,372,606,296,188,416,514,209,193,323,14677,
,Wollondilly (A),116,33,51,105,89,181,248,345,368,379,516,427,788,377,302,692,939,373,194,420,8545,
,Wollongong (C),402,162,204,437,364,732,1021,1207,1603,1553,1834,1486,2491,1219,856,2232,2480,646,468,1019,58013,
,Woollahra (A),251,33,28,45,35,53,70,125,111,128,146,89,324,104,148,269,651,505,1288,403,21092,
,Wyong (A),378,120,163,392,363,693,950,1202,1587,1588,2020,1707,2127,1047,647,1389,1105,303,228,1092,46559,
,Yass Valley (A),51,16,10,44,40,59,82,140,139,153,165,110,241,92,92,220,309,110,66,99,3865,
,Young (A),49,5,20,55,51,90,128,173,175,111,122,59,73,18,14,45,41,13,4,68,4214,
,Unincorporated NSW,22,3,0,4,5,9,5,4,0,3,0,3,7,3,0,4,0,3,4,8,608,
,Alpine (S),40,15,33,55,73,101,140,154,131,131,117,56,80,22,17,60,54,19,18,76,5550,
,Ararat (RC),31,6,24,88,74,141,193,157,147,80,67,39,51,14,6,23,24,7,8,79,3959,
,Ballarat (C),207,86,189,434,390,847,1022,1374,1636,1341,1227,719,833,309,172,366,352,120,75,527,28247,
,Banyule (C),344,156,170,333,308,592,736,957,948,1041,1098,939,1601,769,625,1236,1547,542,397,770,33085,
,Bass Coast (S),96,35,67,137,124,236,287,315,336,287,309,177,233,95,74,114,113,46,33,222,20843,
,Baw Baw (S),138,46,86,188,210,345,501,611,656,561,601,350,426,189,101,246,236,80,71,339,12731,
,Bayside (C),370,111,87,193,146,253,315,455,454,468,456,372,972,379,423,691,1681,1059,1420,726,26930,
,Benalla (RC),58,13,37,71,89,135,193,205,201,162,121,71,92,35,14,51,32,18,15,108,4921,
,Boroondara (C),645,197,167,298,246,399,500,729,707,716,699,552,1467,478,610,925,2414,1647,2340,1052,48360,
,Brimbank (C),493,199,252,562,554,944,1228,1718,1984,1866,1983,1381,2319,842,650,1063,1140,338,212,1305,44376,
,Buloke (S),39,0,29,73,68,103,75,55,38,22,25,6,7,4,0,0,4,4,0,47,2687,
,Campaspe (S),163,29,73,134,174,393,446,502,521,383,376,230,289,109,59,126,134,40,52,314,11827,
,Cardinia (S),170,67,110,268,223,454,576,791,1120,1046,1393,1105,1466,711,418,809,784,217,110,697,15604,
,Casey (C),652,264,355,790,793,1567,2142,2835,3719,3771,4544,3563,4947,2485,1669,2950,2461,617,401,2295,44592,
,Central Goldfields (S),40,10,57,119,90,225,233,178,158,66,66,35,35,8,10,10,17,7,3,94,4857,
,Colac-Otway (S),91,16,57,95,120,200,247,285,309,230,199,113,139,49,38,72,49,31,24,147,8796,
,Corangamite (S),127,10,51,88,103,182,212,182,173,97,101,56,79,27,26,43,33,26,49,141,5877,
,Darebin (C),311,152,154,301,305,487,718,880,935,1026,1091,847,1540,643,621,1062,1600,590,381,801,44066,
,East Gippsland (S),153,47,101,240,223,371,460,478,544,411,381,213,301,110,64,134,141,45,40,276,18009,
,Frankston (C),345,147,230,444,448,889,1190,1454,1786,1749,2163,1610,1963,936,646,1109,986,272,173,1127,33651,
,Gannawarra (S),51,6,36,75,68,132,135,129,108,63,47,25,37,16,13,17,18,9,14,64,4162,
,Glen Eira (C),445,149,155,289,282,465,588,803,830,822,849,598,1476,694,676,1073,2292,1099,864,940,40856,
,Glenelg (S),64,30,63,129,143,251,302,272,265,230,174,109,160,43,25,90,59,26,29,135,6956,
,Golden Plains (S),54,25,60,97,108,185,224,289,334,293,335,231,257,119,68,151,132,32,19,208,4099,
,Greater Bendigo (C),273,126,245,571,489,973,1220,1507,1691,1455,1397,796,905,313,156,373,346,97,77,621,30019,
,Greater Dandenong (C),346,142,212,356,389,711,890,1117,1207,1186,1286,898,1369,527,403,586,677,209,151,817,36599,
,Greater Geelong (C),583,265,387,822,753,1543,1985,2416,2838,2541,2737,1939,2621,1004,639,1256,1304,401,282,1501,67937,
,Greater Shepparton (C),175,56,101,239,222,462,726,863,954,721,780,443,511,174,106,263,211,69,65,431,17718,
,Hepburn (S),52,23,41,109,88,179,190,201,241,180,158,89,120,36,20,58,52,13,15,115,6121,
,Hindmarsh (S),34,5,24,59,70,89,87,67,34,16,14,7,14,3,0,5,9,7,3,23,2473,
,Hobsons Bay (C),198,115,115,250,215,400,556,682,805,686,804,563,1036,412,379,737,1022,411,249,566,25193,
,Horsham (RC),78,12,39,87,110,246,288,350,341,226,204,96,108,50,26,58,42,13,11,97,6412,
,Hume (C),428,149,248,508,516,949,1285,1694,2216,2329,2608,2007,2858,1252,805,1452,1312,358,288,1453,32877,
,Indigo (S),57,12,45,71,81,143,166,214,240,210,207,125,160,65,34,80,86,40,15,114,4471,
,Kingston (C),418,159,217,421,396,711,939,1149,1259,1293,1420,1146,2086,992,912,1661,2351,708,374,1085,40146,
,Knox (C),449,213,265,586,538,989,1291,1604,1919,1775,2043,1659,2548,1226,926,1697,1689,436,244,1310,32756,
,Latrobe (C),154,94,187,444,417,885,1228,1204,1146,760,716,455,652,201,101,239,242,62,51,542,22705,
,Loddon (S),36,10,54,79,80,107,107,63,46,26,32,4,24,6,0,0,11,3,6,56,3405,
,Macedon Ranges (S),145,37,88,172,184,273,400,483,550,500,610,449,670,299,241,437,509,158,106,383,10354,
,Manningham (C),430,144,138,276,266,364,493,680,694,680,656,546,1204,507,527,945,1830,791,603,859,29981,
,Mansfield (S),28,5,16,43,35,80,103,107,87,70,81,48,71,35,16,25,32,7,9,75,4571,
,Maribyrnong (C),159,61,89,164,143,265,363,466,609,545,592,488,859,418,387,779,1219,373,204,395,22533,
,Maroondah (C),286,141,204,394,330,679,873,1093,1201,1256,1404,1136,1662,864,680,1190,1209,279,162,861,26025,
,Melbourne (C),284,56,53,81,95,152,222,349,407,462,501,446,831,364,394,653,1108,468,496,369,45634,
,Melton (S),261,114,139,302,337,649,941,1305,1671,1782,1996,1523,2318,1084,768,1414,1137,283,211,1060,19453,
,Mildura (RC),141,34,94,212,239,474,758,835,874,655,560,322,316,121,56,147,127,37,36,385,16346,
,Mitchell (S),105,29,57,135,121,246,373,447,512,464,582,390,511,210,137,280,257,70,52,347,8527,
