lga,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable
Cooma-Monaro (A),760,723,663,458,611,445,252,485,50,35,5283
Coonamble (A),475,173,160,189,154,79,113,225,22,19,2421
Cootamundra (A),432,414,384,302,328,250,205,436,20,23,4546
Corowa Shire (A),760,514,738,436,418,409,361,916,58,35,6366
Cowra (A),923,631,658,479,510,445,316,675,36,68,7416
Deniliquin (A),353,448,477,361,423,326,250,331,26,28,4102
Dubbo (C),2229,3300,2684,2021,2714,2058,1145,1981,135,131,20409
Dungog (A),640,511,640,327,459,289,355,440,39,29,4593
Eurobodalla (A),1542,1977,2067,1567,1577,1475,688,1427,97,111,23214
Fairfield (C),5210,8906,10852,5939,10427,6392,8575,10156,940,1211,119159
Forbes (A),867,548,518,336,442,349,295,463,22,47,5280
Gilgandra (A),552,234,208,226,134,119,110,235,3,10,2533
Glen Innes Severn (A),747,437,440,356,359,313,234,476,33,36,5240
Gloucester (A),394,232,270,217,181,171,233,237,13,14,2913
Gosford (C),8493,14921,10623,7879,10862,7582,3327,6196,637,528,91387
Goulburn Mulwaree (A),1373,1720,1754,1801,1584,1216,1048,1423,97,94,15361
Great Lakes (A),1429,1653,1676,1346,1263,1314,698,1499,88,110,23366
Greater Hume Shire (A),1131,558,621,377,525,310,425,526,33,42,5257
Greater Taree (C),1904,2724,2496,1889,1932,1871,1084,2281,96,129,30143
Griffith (C),1967,1404,1561,845,1390,1226,752,1862,91,119,13144
Gundagai (A),380,171,210,145,153,98,136,346,8,26,1979
Gunnedah (A),1006,662,663,467,539,460,650,693,40,41,6832
Guyra (A),490,178,224,146,186,125,107,333,23,13,2577
Gwydir (A),700,217,190,160,190,110,167,273,15,13,2935
Harden (A),388,167,193,115,149,80,107,209,8,22,2137
Hawkesbury (C),3920,4733,5860,2982,4807,2759,2641,2935,277,257,31175
Hay (A),248,133,181,123,137,111,117,228,11,21,1649
Holroyd (C),3963,8476,6092,3535,7913,3796,3633,3925,514,439,56870
Hornsby (A),11895,25963,7986,6275,12588,6622,1901,4028,792,493,78294
Hunters Hill (A),1320,2152,339,388,873,445,62,188,86,21,7328
Hurstville (C),4102,8713,4609,3314,6641,3363,2154,2798,400,349,42419
Inverell (A),1136,887,839,696,622,712,356,988,37,61,9743
Jerilderie (A),303,48,78,48,78,32,40,71,3,4,787
Junee (A),462,235,271,279,251,139,183,297,16,19,3726
Kempsey (A),1170,1341,1295,1269,1122,1001,673,1300,90,91,18769
Kiama (A),1266,2346,1389,1065,1149,757,452,619,83,48,10794
Kogarah (C),3527,7139,3204,2241,4724,2614,1219,1817,324,272,28729
Ku-ring-gai (A),10469,19575,2646,3482,7302,4095,504,1347,604,285,58992
Kyogle (A),727,498,413,376,335,272,261,495,23,19,5800
Lachlan (A),910,358,305,254,247,183,237,306,21,40,3620
Lake Macquarie (C),8128,15919,13940,8319,12735,8815,6189,8303,663,571,105409
Lane Cove (A),3107,6904,1062,1127,2476,1209,228,446,182,88,14677
Leeton (A),749,624,675,360,569,392,358,859,39,32,6378
Leichhardt (A),6272,12334,1995,1971,3799,1993,452,766,310,111,22195
Lismore (C),2286,3666,2478,2091,2442,2068,982,2244,112,120,24271
Lithgow (C),760,984,1423,957,1065,670,1147,924,66,70,12099
Liverpool (C),7317,11481,11719,6835,13085,6712,7811,7829,863,924,105580
Liverpool Plains (A),692,337,346,275,296,217,382,476,20,40,4399
Lockhart (A),456,149,152,114,142,73,118,121,8,7,1671
Maitland (C),3060,5175,5638,2848,4390,3134,3236,3250,258,206,36288
Manly (A),4230,7721,1501,1615,2665,1625,313,623,274,97,19078
Marrickville (A),5789,15031,4121,3419,6212,2899,1390,2365,398,247,34621
Mid-Western Regional (A),1482,1270,1560,813,927,847,1186,1140,78,76,12959
Moree Plains (A),1291,776,671,480,724,461,575,702,63,67,7619
Mosman (A),3013,5370,676,946,1800,1016,119,257,233,67,13963
Murray (A),728,404,425,289,311,297,213,335,12,35,3905
Murrumbidgee (A),298,88,103,91,91,35,114,217,11,20,1195
Muswellbrook (A),753,797,1496,585,797,587,1307,964,66,57,8392
Nambucca (A),789,905,911,844,691,585,414,794,40,47,12623
Narrabri (A),1149,700,837,456,667,489,708,709,52,66,7091
Narrandera (A),510,273,333,238,239,169,194,428,25,33,3464
Narromine (A),678,365,344,262,288,196,292,355,9,19,3762
Newcastle (C),6938,18066,9647,7380,9916,6909,4090,6313,528,479,78273
North Sydney (A),7624,16470,2011,2239,5342,2430,300,694,512,186,24500
Oberon (A),416,241,386,194,253,129,317,319,24,24,2728
Orange (C),1802,3347,2648,1716,2400,1648,1488,1941,136,115,20807
Palerang (A),1510,1671,1038,652,1325,440,387,457,112,22,6730
Parkes (A),1067,819,885,581,743,567,682,597,41,47,8559
Parramatta (C),7829,19193,9290,6151,12850,6455,4623,6117,855,791,92711
Penrith (C),8773,12132,13299,8428,16648,8628,9320,8361,896,747,91242
Pittwater (A),5053,7563,3748,2592,4284,2730,759,1454,292,208,28467
Port Macquarie-Hastings (A),3307,5088,4100,3245,4027,3204,1482,2780,195,193,45075
Port Stephens (A),2958,3762,4970,2997,3591,2828,2221,2859,227,202,38196
Queanbeyan (C),2920,4046,2930,1992,4263,1666,1110,1594,445,121,16903
Randwick (C),8821,21506,6018,5995,9599,5147,1892,2911,678,446,65972
Richmond Valley (A),1009,961,1120,931,925,807,678,1530,48,84,13947
Rockdale (C),5007,9659,5725,4163,7704,4389,3035,4253,514,506,52387
Ryde (C),6914,16021,5308,3943,8570,4252,1559,2764,597,375,52738
Shellharbour (C),2433,3740,4820,3165,3942,3088,2761,3017,247,189,36195
Shoalhaven (C),4021,5659,5819,4402,4162,3655,1932,3685,237,277,58958
Singleton (A),1249,1413,2143,969,1356,803,2161,1096,122,86,11302
Snowy River (A),823,488,638,486,411,365,208,393,39,18,3633
Strathfield (A),1987,5112,1795,1322,2565,1523,612,1143,207,227,18697
Sutherland Shire (A),15761,25380,15330,10815,20332,10900,4402,5930,972,652,100396
Sydney (C),16010,37596,7409,8942,12663,7202,1406,3780,1130,656,72705
Tamworth Regional (A),3367,4192,3619,2432,3240,2486,1733,3435,181,209,31395
Temora (A),530,323,332,236,261,216,163,271,19,12,3399
Tenterfield (A),644,273,326,244,252,180,208,397,26,35,4230
The Hills Shire (A),15130,24537,9718,6177,15160,8589,2754,3946,794,558,82524
Tumbarumba (A),365,138,194,128,131,85,162,219,10,6,1917
Tumut Shire (A),707,609,775,449,475,382,544,827,38,56,6078
Tweed (A),3669,5427,5129,4048,4104,3845,1974,3939,249,270,52437
Upper Hunter Shire (A),1082,750,1114,493,626,449,866,1037,59,60,7225
Upper Lachlan Shire (A),1015,481,470,327,360,206,205,344,34,35,3722
Uralla (A),529,452,387,298,334,202,159,350,16,16,3298
Urana (A),194,35,28,27,50,16,70,80,3,5,657
Wagga Wagga (C),3513,5514,4801,3250,3734,3063,1697,3052,238,211,30392
Wakool (A),569,190,190,143,168,97,124,243,13,21,2203
Walcha (A),518,139,160,108,126,76,99,205,10,11,1573
Walgett (A),590,293,211,293,230,117,201,330,21,31,4136
Warren (A),420,155,135,95,123,60,126,159,11,17,1452
Warringah (A),11792,18923,9212,6495,11242,6997,2444,4071,669,433,68457
Warrumbungle Shire (A),989,494,403,374,290,255,258,485,32,34,5973
Waverley (A),6127,13333,2693,2804,4085,2717,500,1108,419,256,29455
Weddin (A),510,182,147,128,119,79,104,158,8,13,2211
Wellington (A),654,451,328,434,302,241,189,379,20,42,5460
Wentworth (A),677,386,387,242,313,209,242,391,22,29,3714
Willoughby (C),6141,13440,2336,2300,4717,2488,504,1074,409,250,33698
Wingecarribee (A),2823,3864,3024,1948,2340,1824,1161,1931,184,161,25135
Wollondilly (A),2623,3235,3893,1974,3272,1759,2095,2045,209,179,21967
Wollongong (C),8226,18599,12664,9496,11803,7423,5937,7343,730,623,109567
Woollahra (A),5854,11241,1175,1736,3245,1982,193,452,473,189,25613
Wyong (A),5816,8545,9989,7194,8276,7155,4708,7236,517,517,89785
Yass Valley (A),1499,1588,1075,726,1195,509,356,651,112,50,7259
Young (A),916,663,761,443,543,571,295,719,43,62,7224
Unincorporated NSW,277,49,67,49,48,17,30,143,6,0,484
No Usual Address (NSW),338,741,542,464,394,238,349,490,39,60,9262
Alpine (S),1025,789,866,544,499,506,374,652,54,33,6539
Ararat (RC),981,604,598,660,399,412,270,739,52,64,6398
Ballarat (C),4530,8845,6450,4545,5677,4566,2439,4440,522,287,51211
Banyule (C),7265,16748,7578,5551,9344,5458,2089,3410,863,370,59637
Bass Coast (S),1773,1767,2182,1254,1234,1262,693,1724,149,110,17469
Baw Baw (S),3147,3249,3283,1872,2253,1620,1453,2553,221,142,23067
Bayside (C),9020,14519,3329,3454,5978,4395,646,1356,771,275,48083
Benalla (RC),991,903,918,620,646,552,462,805,77,49,7624
Boroondara (C),14228,31117,5027,6117,11039,7295,1003,2721,1237,505,78890
Brimbank (C),5957,10477,11305,7121,11573,7604,9128,10713,1339,1157,106349
Buloke (S),893,340,304,204,220,166,201,339,18,25,3662
Campaspe (S),2950,2090,2341,1529,1675,1487,1217,2355,163,144,20417
Cardinia (S),4527,5043,6880,3254,5271,3548,3111,3899,473,248,37921
Casey (C),11876,16542,20507,10442,19244,12357,12209,13414,1769,1172,132847
Central Goldfields (S),575,525,750,473,439,506,359,715,46,41,8065
Colac-Otway (S),1758,1169,1300,1041,840,865,685,1666,91,65,10871
Corangamite (S),2321,834,904,587,604,576,502,1112,60,71,8803
Darebin (C),7267,18337,7648,5935,9369,5575,3158,4950,1006,568,72668
East Gippsland (S),2674,2532,2580,1959,1892,1670,1097,2305,177,155,25151
Frankston (C),6258,9374,10886,6020,9299,6775,4481,6137,817,528,65880
Gannawarra (S),1158,506,576,357,446,351,347,546,47,51,5989
Glen Eira (C),9919,21969,6379,5289,10028,6323,1631,2973,1044,493,64971
Glenelg (S),1480,1179,1379,823,856,743,953,1185,114,91,10777
Golden Plains (S),1261,1345,1623,851,1086,803,760,1052,128,63,9789
Greater Bendigo (C),5167,8870,6858,4809,5993,4990,2875,5307,556,330,54875
Greater Dandenong (C),3790,6693,8585,4789,7094,4733,7343,9215,879,972,81535
Greater Geelong (C),9828,18625,15496,10744,12191,10023,6374,10106,1313,693,115474
Greater Shepparton (C),3971,4451,3768,2378,3246,2730,1806,3772,293,235,33798
Hepburn (S),1011,1210,961,677,676,490,325,726,76,56,8168
Hindmarsh (S),644,302,263,229,227,145,213,368,27,17,3364
Hobsons Bay (C),4909,9004,5322,3359,6255,3297,2902,3454,608,334,44414
Horsham (RC),1553,1559,1358,885,1120,1003,617,902,103,76,10108
Hume (C),6351,9187,11994,6867,11838,7237,7452,8005,1113,896,96632
Indigo (S),1270,1393,1035,698,779,598,518,928,90,47,7827
Kingston (C),9088,15713,10114,6232,11617,7331,3654,5091,974,578,72037
Knox (C),8859,14993,12587,6832,13254,8477,4720,6458,825,586,71706
Latrobe (C),2846,4527,5720,3108,4137,3212,2408,3584,418,299,42134
Loddon (S),1081,302,293,229,250,166,179,391,28,23,4516
Macedon Ranges (S),2893,4330,3541,2106,2836,1768,1042,1751,247,149,21200
Manningham (C),8565,14750,6025,4317,8310,6017,1454,2709,628,426,58109
Mansfield (S),693,541,630,384,361,361,221,442,36,30,4176
Maribyrnong (C),4130,9510,3777,3235,5011,2910,2073,3119,572,329,36964
Maroondah (C),6265,11564,8252,4969,8914,5714,2390,3961,607,341,50857
Melbourne (C),7159,20407,3200,4576,6434,3626,612,1657,811,293,44848
Melton (S),4933,7195,8178,4845,8625,5186,5471,5227,778,499,58318
Mildura (RC),3330,3308,2996,2120,2545,2407,1550,2781,221,220,29507
Mitchell (S),1937,2046,2787,1821,2243,1407,1530,1831,180,176,18674
Moira (S),2401,1328,1658,1085,1118,1012,855,1955,114,130,16462
Monash (C),9877,22580,8926,6488,12298,7898,3139,5483,961,671,90946
Moonee Valley (C),7369,14755,5885,4586,9076,5090,2056,3127,775,429,54304
Moorabool (S),1714,2053,2311,1287,1951,1161,1311,1293,147,103,14802
Moreland (C),7775,20279,8561,6280,10703,5998,3471,5061,1106,620,77386
Mornington Peninsula (S),8474,11551,11875,6637,8037,6963,2932,5859,818,482,80980
Mount Alexander (S),1086,1597,1037,797,788,578,407,996,86,50,10164
Moyne (S),2424,1060,957,616,635,537,469,976,65,87,8133
Murrindindi (S),1081,881,1022,693,614,404,395,712,69,66,7126
Nillumbik (S),4908,8242,4997,3079,5216,3301,962,1732,463,171,27262
Northern Grampians (S),986,643,674,630,487,458,387,829,43,50,6666
Port Phillip (C),10212,21245,4224,4258,7119,4376,744,1589,886,288,36435
Pyrenees (S),646,310,371,231,251,175,215,354,31,30,4068
Queenscliffe (B),212,325,129,117,143,92,35,71,27,4,1845
South Gippsland (S),2745,1715,1891,1051,1269,1104,923,1540,119,125,14718
Southern Grampians (S),1727,1197,1113,739,827,681,439,869,77,56,8636
Stonnington (C),9331,19890,3229,3854,6895,4461,616,1502,850,304,42211
Strathbogie (S),945,562,575,372,401,286,304,617,56,33,5333
Surf Coast (S),2041,3040,1956,1223,1407,1150,454,969,181,78,13381
Swan Hill (RC),1920,1266,1145,817,962,845,597,1224,101,80,11498
Towong (S),814,360,389,225,293,153,184,282,18,28,3145
Wangaratta (RC),1922,2115,1795,1295,1434,1296,1007,1462,139,104,14237
Warrnambool (C),1630,2815,2363,1571,1786,1800,939,1978,143,101,16904
Wellington (S),3092,2737,2976,1859,1942,1538,1243,2186,193,123,23551
West Wimmera (S),825,226,153,140,149,89,133,280,25,21,2214
Whitehorse (C),9368,21982,7942,6316,10978,6966,2143,4307,812,511,80018
Whittlesea (C),6687,10547,11549,6749,11706,7922,6610,7987,989,740,83386
Wodonga (RC),1742,2724,2864,1862,2294,1749,1382,1932,236,108,18625
Wyndham (C),8040,13388,11144,7238,13258,7479,7659,7175,1258,618,84319
Yarra (C),6613,18527,3098,3445,5288,3062,725,1521,550,211,31046
Yarra Ranges (S),8966,12637,13880,7461,10771,7058,4364,7046,878,532,70954
Yarriambiack (S),882,371,297,283,246,173,197,348,19,31,4239
Unincorporated Vic,115,44,75,100,29,55,52,54,13,0,259
No Usual Address (Vic.),243,505,367,294,258,190,205,321,56,28,5823
Aurukun (S),19,62,12,39,14,11,11,49,3,11,1060
Balonne (S),595,244,251,167,222,147,259,364,20,26,2425
Banana (S),1494,754,1243,456,685,437,1196,1144,57,63,6923
Barcaldine (R),468,155,199,121,151,75,164,293,10,12,1576
Barcoo (S),71,13,18,15,22,0,22,53,6,4,129
Blackall Tambo (R),299,91,103,82,100,87,109,238,9,6,1092
Boulia (S),62,17,19,8,15,8,30,62,3,10,243
Brisbane (C),67914,156782,60227,49454,87219,48225,23186,37759,6109,3506,501454
Bulloo (S),62,16,43,12,26,3,33,50,3,0,169
Bundaberg (R),4154,4869,5012,3443,4181,3602,2952,5222,288,292,55799
Burdekin (S),1373,806,1272,660,920,610,976,1280,50,71,9348
Burke (S),39,41,47,12,31,5,54,58,0,0,222
Cairns (R),8557,12888,11903,9164,10576,8113,4361,7576,752,619,81668
Carpentaria (S),131,88,112,75,80,25,82,226,13,18,1202
Cassowary Coast (R),1986,1279,2011,1118,1297,1006,1145,2396,102,131,15196
Central Highlands (R),2225,1638,2870,843,1766,871,3031,1733,153,139,13445
Charters Towers (R),749,628,830,442,481,406,748,743,56,60,7033
Cherbourg (S),11,15,9,59,20,7,10,57,3,3,1026
Cloncurry (S),202,206,274,99,202,77,327,253,14,24,1548
Cook (S),279,249,197,176,152,82,134,276,29,18,2567
Croydon (S),39,21,17,8,6,0,13,34,0,0,173
Diamantina (S),37,19,25,13,15,0,26,45,0,0,94
Doomadgee (S),20,39,22,60,20,10,11,90,3,5,1003
Etheridge (S),151,26,32,31,33,12,52,101,7,11,442
Flinders (S),274,61,95,56,88,50,120,146,3,7,888
Fraser Coast (R),3227,4894,5039,4224,4359,3477,2434,4012,275,297,63079
Gladstone (R),2613,3595,6329,2006,3286,2343,3869,3642,342,251,29602
Gold Coast (C),28562,40314,35681,25168,33653,29438,11839,22683,2430,1875,262855
Goondiwindi (R),1184,544,608,428,541,376,564,745,36,34,5568
Gympie (R),2400,2128,2681,1766,2026,1702,1618,2707,156,162,28403
Hinchinbrook (S),834,617,872,470,536,445,657,703,30,56,6352
Hope Vale (S),23,39,42,41,29,8,22,76,0,11,704
Ipswich (C),6595,10199,12099,8443,11707,7019,7390,9851,898,614,92088
Isaac (R),1441,1299,2480,559,1152,591,2927,1387,143,83,10522
Kowanyama (S),30,37,42,48,21,7,17,82,7,3,733
Lockhart River (S),18,27,12,39,10,5,10,29,6,7,325
Lockyer Valley (R),1877,1599,2258,1397,1734,1347,1465,2723,129,128,20296
Logan (C),11723,15877,21619,12004,20927,12459,13974,16131,1405,1191,150741
Longreach (R),443,310,333,215,250,158,153,310,17,19,1969
Mackay (R),5895,7403,12147,4099,7474,4958,7992,6363,573,442,55452
McKinlay (S),190,51,85,23,48,27,129,120,3,9,375
Mapoon (S),9,16,4,7,14,0,6,23,0,3,175
Maranoa (R),1562,754,952,510,838,422,694,853,74,52,6347
Moreton Bay (R),18616,27928,27804,18450,29014,18318,12876,18354,1782,1340,203559
Mornington (S),20,57,30,59,19,11,10,59,4,3,862
Mount Isa (C),831,1556,2318,833,1159,663,1762,951,144,113,10906
Murweh (S),436,273,283,212,243,160,170,429,28,24,2347
Napranum (S),12,21,18,28,16,0,39,50,4,0,675
North Burnett (R),1160,403,430,321,419,256,439,928,44,51,5693
Northern Peninsula Area (R),55,130,76,159,82,47,32,141,13,30,1537
Palm Island (S),29,86,46,131,61,21,26,178,14,20,1726
Paroo (S),257,78,76,88,63,45,78,138,7,13,1021
Pormpuraaw (S),25,32,23,41,25,11,10,57,0,19,424
Quilpie (S),171,40,59,40,48,22,62,84,7,10,435
Redland (C),8334,11053,11123,6521,11753,7198,4235,6661,660,425,70711
Richmond (S),139,35,42,27,38,23,39,101,4,5,370
Rockhampton (R),4859,7770,8656,5102,6907,4675,4926,5972,507,464,59504
Scenic Rim (R),2619,2313,2659,1674,1993,1266,1268,2106,165,111,20292
Somerset (R),1320,922,1306,868,1026,686,939,1537,76,57,12888
South Burnett (R),1910,1490,1704,1258,1257,1113,1079,1924,73,114,19112
Southern Downs (R),2393,1691,1892,1404,1563,1338,1317,2526,82,125,19542
Sunshine Coast (R),16489,24396,21756,14737,18364,15763,7167,14257,1231,918,171833
Tablelands (R),2906,2494,2648,1926,2020,1550,1447,2481,152,189,25921
Toowoomba (R),8630,12183,10575,6809,9545,6406,4898,8691,605,484,82363
Torres (S),146,300,145,177,231,66,51,168,31,24,1918
Torres Strait Island (R),108,240,107,187,146,60,63,517,23,71,2728
Townsville (C),8501,15057,14570,10598,12477,8452,7135,8635,987,593,87443
Weipa (T),149,276,435,134,185,94,394,132,31,12,1492
Western Downs (R),3074,1594,2193,1094,1668,1093,1612,1963,131,110,17052
Whitsunday (R),2065,1614,2732,1500,1660,1371,1850,2398,118,165,15963
Winton (S),200,47,80,57,52,32,79,125,12,10,638
Woorabinda (S),15,30,11,55,15,5,10,43,0,10,740
Wujal Wujal (S),6,17,4,16,11,3,9,34,0,0,173
Yarrabah (S),18,61,24,83,42,0,11,56,3,8,2099
Unincorporated Qld,24,51,35,26,20,20,12,52,3,4,231
No Usual Address (Qld),275,624,554,303,277,218,461,765,59,44,8949
Adelaide (C),1192,3554,704,1028,1124,694,166,484,104,47,10549
Adelaide Hills (DC),3240,5704,2753,1860,2676,1562,756,1483,154,96,18339
Alexandrina (DC),1511,1431,1643,1084,1157,879,669,1396,78,75,13776
Anangu Pitjantjatjara (AC),73,211,29,134,52,24,9,160,9,23,1729
Barossa (DC),1657,1704,1680,965,1345,865,760,1853,96,56,11187
Barunga West (DC),300,100,106,91,85,37,76,117,3,12,1530
Berri and Barmera (DC),650,587,595,499,492,365,272,797,29,38,6264
Burnside (C),3269,7855,1354,1706,2848,1871,294,802,182,122,21889
Campbelltown (C) (SA),2437,5225,2972,2136,3815,2400,946,1929,193,174,25938
Ceduna (DC),318,195,202,224,189,109,164,256,27,14,1779
Charles Sturt (C),5482,9973,6786,4774,8089,4956,2928,4618,488,364,56527
Clare and Gilbert Valleys (DC),948,644,587,336,470,318,243,621,37,16,4526
Cleve (DC),324,86,114,54,77,54,60,107,4,10,843
Coober Pedy (DC),87,74,91,129,59,51,96,94,3,12,1008
Copper Coast (DC),638,613,775,568,522,567,371,702,37,36,8113
Elliston (DC),220,57,52,33,36,24,20,73,0,5,512
Flinders Ranges (DC),135,110,140,87,71,44,69,88,8,4,936
Franklin Harbour (DC),172,51,86,44,39,35,74,80,6,3,695
Gawler (T),923,1369,1523,1106,1327,968,719,1191,91,68,11254
Goyder (DC),532,140,235,147,142,119,115,308,13,12,2392
Grant (DC),837,466,582,297,484,322,358,534,38,35,3895
Holdfast Bay (C),2522,4515,1967,1937,2720,1763,479,1019,147,80,17452
Kangaroo Island (DC),557,249,282,252,209,181,99,333,18,16,2223
Karoonda East Murray (DC),220,57,48,36,30,20,23,43,0,3,537
Kimba (DC),252,53,47,39,45,30,37,58,3,3,510
Kingston (DC),314,96,146,82,96,83,55,199,6,6,1210
Light (RegC),1147,921,1111,709,866,579,556,932,67,21,6880
Lower Eyre Peninsula (DC),583,306,341,210,239,175,167,294,12,8,2579
Loxton Waikerie (DC),1093,625,595,494,503,373,343,1015,36,53,6157
Mallala (DC),589,352,683,347,525,299,532,600,34,35,4352
Maralinga Tjarutja (AC),0,7,0,3,3,4,0,3,0,8,55
Marion (C),3985,8579,5959,4526,6889,4156,1866,3680,369,265,42720
Mid Murray (DC),688,285,513,327,280,203,280,651,23,20,4871
Mitcham (C),4227,10330,3230,3026,4451,2795,747,2006,242,163,31687
Mount Barker (DC),2035,2855,2329,1641,2234,1454,851,1536,139,71,14628
Mount Gambier (C),1176,1600,1834,1216,1382,1428,1134,1531,93,77,13775
Mount Remarkable (DC),397,182,171,111,108,48,110,133,3,11,1609
Murray Bridge (RC),998,721,1090,871,898,765,703,1813,74,82,11723
Naracoorte and Lucindale (DC),1078,440,544,289,422,369,236,804,24,32,3874
Northern Areas (DC),603,282,277,165,180,133,167,246,22,17,2408
Norwood Payneham St Peters (C),2220,6075,1654,1661,2402,1493,411,1127,140,78,17626
Onkaparinga (C),7386,11921,13210,9178,11763,8326,4678,8304,670,465,83671
Orroroo/Carrieton (DC),153,55,61,48,32,25,19,47,3,0,427
Peterborough (DC),103,59,56,64,39,43,37,108,7,0,1217
Playford (C),2691,2840,4733,3502,4165,3201,3648,5157,372,277,48525
Port Adelaide Enfield (C),4537,9563,7016,5542,7273,4363,3663,6257,583,418,63606
Port Augusta (C),444,816,951,896,783,539,525,667,61,61,8242
Port Lincoln (C),743,976,983,694,791,676,412,1023,42,69,7670
Port Pirie City and Dists (M),723,863,987,775,744,756,809,824,81,61,10715
Prospect (C),1361,3162,1133,984,1540,1041,405,778,85,64,9407
Renmark Paringa (DC),663,436,456,396,421,383,291,979,34,41,5139
Robe (DC),227,73,82,55,53,57,19,141,0,0,685
Roxby Downs (M),219,449,740,139,302,116,477,256,62,17,1929
Salisbury (C),4849,7059,9145,6403,8628,5698,5781,8225,647,516,72157
Southern Mallee (DC),431,84,104,72,77,60,76,131,3,3,1052
Streaky Bay (DC),296,100,137,89,97,74,63,130,6,10,1107
Tatiara (DC),957,304,423,200,322,242,233,665,22,22,3164
Tea Tree Gully (C),5114,8879,7845,5170,8879,5224,2616,4194,408,212,46921
The Coorong (DC),818,202,250,185,199,180,184,409,11,18,3083
Tumby Bay (DC),409,119,143,102,111,79,84,137,6,5,1405
Unley (C),2762,7197,1507,1617,2562,1701,317,940,198,97,17938
Victor Harbor (C),633,696,696,639,519,580,238,559,36,44,9190
Wakefield (DC),704,278,347,237,268,162,267,515,20,26,3842
Walkerville (M),535,1222,238,298,428,259,63,147,30,16,3753
Wattle Range (DC),1079,528,743,449,488,430,531,1007,37,51,6286
West Torrens (C),2840,6101,3523,2903,4391,2601,1398,2387,258,204,28346
Whyalla (C),723,1330,1763,913,916,841,1352,1091,159,80,12928
Wudinna (DC),232,95,88,52,41,33,51,90,0,7,563
Yankalilla (DC),384,227,273,183,186,159,103,276,14,10,2569
Yorke Peninsula (DC),1146,440,576,399,400,287,293,579,34,38,6821
Unincorporated SA,431,233,427,198,146,68,392,345,46,14,2124
No Usual Address (SA),70,129,127,88,94,50,85,239,10,23,2159
Albany (C),2051,2341,2422,1744,1815,1552,1037,1880,81,110,18625
Armadale (C),2738,4033,5624,2990,4665,2797,3156,3279,261,203,32550
Ashburton (S),424,709,1699,251,552,137,1550,637,55,38,3962
Augusta-Margaret River (S),1033,807,1021,560,577,550,295,842,35,37,6024
Bassendean (T),732,1558,1215,739,1157,609,489,635,61,56,7147
Bayswater (C),3363,7208,5103,3094,5020,2815,2019,2703,225,235,29474
