lga,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable
Albury (C),2477,4233,3407,2399,3113,2425,1645,2374,169,187,25378
Armidale Dumaresq (A),1432,2572,1239,1116,1404,1109,346,1011,75,71,13723
Ashfield (A),2528,6684,2087,1884,3220,1787,750,1356,188,143,20596
Auburn (C),2770,6015,4105,2418,4138,2512,2335,3717,395,508,44827
Ballina (A),2279,3393,2299,1887,2107,1863,799,1747,112,100,22680
Balranald (A),294,75,103,99,100,49,99,183,9,10,1256
Bankstown (C),6990,12106,10771,5982,12601,6641,6206,6825,834,916,112482
Bathurst Regional (A),2153,3293,2615,1959,2238,1765,1132,2106,126,145,20990
Bega Valley (A),1859,2085,1966,1523,1459,1336,836,1810,79,92,18901
Bellingen (A),712,993,669,562,498,385,285,588,48,51,7739
Berrigan (A),716,415,474,370,325,269,324,470,20,30,4649
Blacktown (C),12088,23338,18127,11953,24432,12409,14562,14052,1436,1394,167314
Bland (A),826,256,362,203,247,150,315,298,20,22,3169
Blayney (A),544,400,458,273,370,203,421,397,29,24,3873
Blue Mountains (C),4283,10257,4687,4064,5095,2747,1546,2424,318,185,40332
Bogan (A),338,127,134,114,109,61,165,168,10,13,1650
Bombala (A),262,118,138,88,100,66,134,168,10,12,1314
Boorowa (A),314,111,134,91,87,70,66,161,11,6,1343
Botany Bay (C),2029,3601,2379,1879,3273,1821,1443,1594,191,182,20959
Bourke (A),261,204,123,163,134,76,78,124,13,18,1666
Brewarrina (A),159,88,49,108,57,13,32,110,8,10,1144
Broken Hill (C),687,1048,1104,989,825,668,770,783,46,84,11514
Burwood (A),1715,4229,1717,1349,2349,1508,574,1266,192,195,17325
Byron (A),1865,2961,1773,1444,1274,1282,472,1309,134,117,16591
Cabonne (A),1388,928,838,514,737,369,498,655,55,45,6791
Camden (A),3741,5035,4363,2750,5030,2889,2402,2114,243,183,27964
Campbelltown (C) (NSW),5574,9295,9668,6669,11766,6348,7322,7150,650,609,80917
Canada Bay (A),7095,12336,3564,2751,6342,3441,883,1586,418,260,37088
Canterbury (C),5222,10365,7773,5124,8448,5386,4685,6229,639,784,82791
Carrathool (A),439,109,113,95,113,37,165,213,8,6,1284
Central Darling (A),229,107,44,110,54,14,42,178,11,4,1199
Cessnock (C),1817,2247,3973,2186,2386,2035,3044,2804,180,205,29952
Clarence Valley (A),2191,2564,2508,2355,2138,2017,1286,2404,134,164,31905
Cobar (A),342,223,429,179,188,129,440,241,26,21,2488
Coffs Harbour (C),3428,4982,3962,3316,3972,3268,1478,3193,180,216,40426
Conargo (A),430,84,48,41,53,24,34,98,7,3,712
Coolamon (A),454,214,236,169,175,101,148,183,4,12,2404
