lga,"Oceania and Antarctica, nfd","Australia (includes External Territories), nfd",Australia,Norfolk Island,"Australian External Territories, nec",New Zealand,"Melanesia, nfd",New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,"Micronesia, nfd",Guam,Kiribati,Marshall Islands,"Micronesia, Federated States of",Nauru,Northern Mariana Islands,Palau,"Polynesia (excludes Hawaii), nfd",Cook Islands,Fiji,French Polynesia,Niue,Samoa,"Samoa, American",Tokelau,Tonga,Tuvalu,Wallis and Futuna,Pitcairn Islands,"Polynesia (excludes Hawaii), nec","Antarctica, nfd",Adelie Land (France),Argentinian Antarctic Territory,Australian Antarctic Territory,British Antarctic Territory,Chilean Antarctic Territory,Queen Maud Land (Norway),Ross Dependency (New Zealand),"North-West Europe, nfd","United Kingdom, Channel Islands and Isle of Man, nfd",England,Isle of Man,Northern Ireland,Scotland,Wales,Guernsey,Jersey,Ireland,"Western Europe, nfd",Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,"Northern Europe, nfd",Denmark,Faroe Islands,Finland,Greenland,Iceland,Norway,Sweden,Aland Islands,"Southern and Eastern Europe, nfd","Southern Europe, nfd",Andorra,Gibraltar,Holy See,Italy,Malta,Portugal,San Marino,Spain,"South Eastern Europe, nfd",Albania,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Former Yugoslav Republic of Macedonia (FYROM),Greece,Moldova,Romania,Slovenia,Montenegro,Serbia,Kosovo,"Eastern Europe, nfd",Belarus,Czech Republic,Estonia,Hungary,Latvia,Lithuania,Poland,Russian Federation,Slovakia,Ukraine,"North Africa and the Middle East, nfd","North Africa, nfd",Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Spanish North Africa,South Sudan,"Middle East, nfd",Bahrain,Gaza Strip and West Bank,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Syria,Turkey,United Arab Emirates,Yemen,"South-East Asia, nfd","Mainland South-East Asia, nfd",Burma (Republic of the Union of Myanmar),Cambodia,Laos,Thailand,Vietnam,"Maritime South-East Asia, nfd",Brunei Darussalam,Indonesia,Malaysia,Philippines,Singapore,Timor-Leste,"North-East Asia, nfd","Chinese Asia (includes Mongolia), nfd",China (excludes SARs and Taiwan),Hong Kong (SAR of China),Macau (SAR of China),Mongolia,Taiwan,"Japan and the Koreas, nfd",Japan,"Korea, Democratic People's Republic of (North)","Korea, Republic of (South)","Southern and Central Asia, nfd","Southern Asia, nfd",Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Sri Lanka,"Central Asia, nfd",Afghanistan,Armenia,Azerbaijan,Georgia,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,"Americas, nfd","Northern America, nfd",Bermuda,Canada,St Pierre and Miquelon,United States of America,"South America, nfd",Argentina,"Bolivia, Plurinational State of",Brazil,Chile,Colombia,Ecuador,Falkland Islands,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,"Venezuela, Bolivarian Republic of","South America, nec","Central America, nfd",Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,"Caribbean, nfd",Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,Cayman Islands,Cuba,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,St Kitts and Nevis,St Lucia,St Vincent and the Grenadines,Trinidad and Tobago,Turks and Caicos Islands,"Virgin Islands, British","Virgin Islands, United States",St Barthelemy,St Martin (French part),"Bonaire, Sint Eustatius and Saba",Curacao,Sint Maarten (Dutch part),"Sub-Saharan Africa, nfd","Central and West Africa, nfd",Benin,Burkina Faso,Cameroon,Cape Verde,Central African Republic,Chad,"Congo, Republic of","Congo, Democratic Republic of",Cote d'Ivoire,Equatorial Guinea,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Sao Tome and Principe,Senegal,Sierra Leone,Togo,"Southern and East Africa, nfd",Angola,Botswana,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Lesotho,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Namibia,Reunion,Rwanda,St Helena,Seychelles,Somalia,South Africa,Swaziland,Tanzania,Uganda,Zambia,Zimbabwe,"Southern and East Africa, nec",Inadequately described,At sea,Not stated
Narromine (A),0,0,5965,0,0,40,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,3,11,3,0,0,3,0,0,0,0,19,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,3,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,370
Newcastle (C),0,0,122228,3,0,1560,0,3,120,8,14,0,0,0,0,0,0,0,0,0,3,109,3,3,62,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3066,0,73,662,151,3,15,274,0,110,14,82,598,0,0,0,238,39,0,48,0,25,0,3,33,45,0,0,0,0,0,0,745,38,30,0,62,183,5,150,10,210,34,714,415,0,48,27,10,84,10,18,8,29,8,63,25,27,318,45,7,90,0,0,5,86,18,4,153,0,0,0,10,0,0,4,137,49,11,6,18,23,0,4,294,10,34,7,0,0,0,46,32,15,179,193,3,6,172,509,644,104,3,0,0,900,161,0,0,80,0,89,0,424,0,0,106,9,657,0,42,91,174,0,23,0,0,0,5,0,0,0,0,0,0,6,262,0,448,0,44,0,67,72,28,5,0,0,0,0,32,0,11,19,0,0,0,0,25,0,8,24,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,57,3,0,0,0,13,5,0,33,0,9,0,23,0,16,12,0,0,0,9,33,0,0,0,12,52,0,3,7,47,0,3,0,0,11,0,3,3,399,3,46,31,25,85,0,33,0,7826
North Sydney (A),0,0,34067,0,0,2058,0,5,108,5,7,0,0,0,0,0,5,0,0,0,0,167,5,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4335,0,76,470,120,0,3,435,0,77,37,318,444,0,0,0,192,107,0,63,0,48,0,7,26,74,0,0,0,0,3,0,233,31,18,0,56,43,0,18,18,69,19,45,83,8,61,13,5,48,0,40,11,79,16,138,25,10,215,179,67,48,0,0,5,105,0,15,6,6,0,0,0,3,7,9,253,29,56,18,14,69,0,0,8,12,54,23,3,0,0,32,14,3,367,183,0,3,228,557,489,317,9,0,0,1382,887,24,6,234,0,1041,0,498,0,0,68,0,925,0,333,46,168,0,3,9,0,0,8,0,0,0,3,0,0,3,383,0,911,0,86,3,173,90,178,5,0,0,3,0,96,0,30,42,0,0,0,5,4,4,0,57,0,0,0,0,0,0,3,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,3,0,0,0,4,3,0,0,0,0,0,31,0,0,0,38,0,6,9,0,0,0,0,0,959,0,6,10,33,97,0,33,0,5486
Oberon (A),3,0,4318,0,0,123,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,11,0,0,0,10,0,8,0,0,23,0,0,0,10,3,0,6,0,7,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,5,0,13,0,3,0,0,3,0,0,5,0,6,0,5,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,3,3,8,0,0,0,0,3,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,232
Orange (C),0,0,32454,0,0,401,0,3,12,3,0,0,0,0,0,0,0,0,0,0,0,37,0,0,5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,0,16,97,20,0,0,43,0,19,3,5,111,0,0,0,89,10,0,8,0,3,0,0,7,3,0,0,0,0,0,0,106,8,8,0,10,16,0,3,0,29,4,8,30,0,11,9,0,8,0,0,0,9,3,19,3,3,44,22,3,18,0,0,0,31,0,3,70,0,0,0,52,3,0,4,13,16,0,3,0,5,0,0,4,3,19,0,0,0,0,10,0,0,37,12,0,0,30,28,138,16,0,0,0,104,26,0,0,12,0,7,0,29,0,0,4,0,137,0,12,17,30,0,0,0,0,0,3,7,0,0,0,0,0,0,26,0,63,0,0,3,12,10,6,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,3,0,0,0,0,0,0,123,0,0,0,3,108,0,5,0,2360
Palerang (A),0,0,11556,0,0,185,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,11,82,24,0,3,28,0,24,4,16,88,0,0,0,56,6,0,16,0,20,0,0,0,6,0,0,0,0,0,0,51,19,3,0,9,17,0,12,0,19,5,11,4,0,0,8,0,12,0,9,0,6,0,11,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,0,4,3,0,0,15,24,21,6,0,0,0,18,7,0,0,0,0,0,0,12,0,0,0,0,10,0,6,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,75,0,7,0,4,10,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,48,0,8,3,3,9,0,0,0,883
Parkes (A),0,0,12848,0,0,78,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,9,39,5,0,0,23,0,0,0,0,26,0,0,0,27,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,3,0,9,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,9,3,0,0,6,4,59,0,0,0,0,23,0,0,0,0,0,4,0,3,0,0,0,0,18,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1051
Parramatta (C),9,0,81142,3,0,2746,0,12,99,9,9,0,0,0,0,0,5,0,0,0,63,1383,5,9,163,5,0,321,4,0,0,0,0,0,0,0,0,0,0,0,0,8,2636,3,88,520,72,0,6,341,0,97,39,115,447,0,0,0,209,59,0,42,0,47,0,0,13,38,0,0,0,0,0,0,838,364,95,0,76,200,5,264,22,379,108,73,541,11,122,29,16,132,6,44,10,57,20,127,37,24,457,170,46,133,5,0,16,501,26,11,216,3,0,0,38,23,10,73,1484,943,60,171,129,6322,20,21,261,328,851,93,4,0,0,422,163,65,398,1611,0,20,795,1163,2682,392,58,0,0,11369,2206,49,10,467,0,254,4,3593,3,4,769,3,13596,0,1000,818,2106,0,1316,69,5,18,9,3,0,0,12,0,0,0,209,0,375,0,161,16,78,365,98,21,0,0,0,8,252,3,162,28,0,0,0,8,45,4,4,29,13,0,0,0,0,0,3,0,0,4,0,0,3,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,11,15,0,0,0,3,111,8,0,27,0,0,0,80,0,0,178,0,0,6,14,3,0,0,4,48,176,3,3,9,213,0,7,3,0,3,0,8,64,559,0,19,33,25,128,0,97,0,10820
Penrith (C),17,0,132673,0,0,3243,0,7,83,4,5,0,0,4,0,0,0,0,0,0,69,1082,0,7,448,4,72,140,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6651,10,345,1238,199,3,3,602,0,155,25,89,940,0,0,0,619,40,0,53,0,69,0,10,10,31,0,0,0,0,0,0,942,1336,99,0,118,247,3,215,11,634,209,122,472,0,90,69,0,186,0,37,0,81,0,203,23,20,368,57,29,81,0,0,9,616,10,7,268,3,0,0,68,0,3,27,259,328,20,93,59,637,6,0,19,89,215,51,0,0,0,38,100,15,246,247,3,17,258,310,3069,149,31,0,0,708,122,13,0,95,0,45,0,154,0,0,154,63,2251,4,156,441,712,0,205,3,5,5,0,0,0,0,4,0,0,3,150,0,312,3,125,16,48,276,30,39,0,0,0,0,115,0,205,8,0,0,0,7,85,0,3,8,4,3,0,0,0,0,0,0,0,3,0,0,0,0,3,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,15,0,0,0,0,49,5,0,15,0,0,0,49,0,0,27,0,4,0,0,0,0,0,4,3,36,0,4,0,223,0,0,10,4,6,0,3,0,705,0,11,21,15,194,0,31,0,8513
Pittwater (A),0,0,41670,3,0,1178,0,4,60,6,6,0,0,0,0,0,0,0,0,0,4,62,3,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4751,3,81,390,125,5,9,203,0,90,31,123,520,0,0,0,376,103,0,77,0,37,0,0,20,84,0,0,0,0,0,0,278,23,9,0,34,120,0,20,3,230,13,4,27,0,11,13,0,57,0,19,0,46,4,55,15,5,73,47,17,9,0,0,3,48,0,4,0,0,0,0,0,0,3,9,56,5,18,0,3,35,0,0,10,0,18,3,7,0,0,17,9,4,83,61,0,0,60,78,134,83,0,0,0,191,84,0,0,8,0,87,0,56,0,0,7,0,178,0,4,11,32,0,13,0,0,0,0,0,0,0,0,0,0,3,234,0,566,0,40,0,155,54,31,0,0,0,0,0,45,0,12,8,0,0,0,4,6,3,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,6,0,0,0,0,0,0,0,24,0,0,0,14,0,3,7,0,0,0,0,0,609,0,8,3,15,77,0,15,0,2518
Port Macquarie-Hastings (A),0,0,61026,0,0,1012,0,6,38,0,4,0,0,0,0,0,0,0,0,0,3,52,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3255,3,80,439,64,0,3,158,0,58,16,52,317,0,0,0,312,29,0,31,0,21,0,3,6,19,0,0,0,0,0,0,108,68,3,0,16,20,0,6,0,45,4,6,15,0,9,7,0,9,0,6,0,14,12,45,12,3,37,6,3,9,0,0,0,34,0,4,5,0,0,0,0,0,7,3,9,0,6,3,0,13,0,0,10,4,11,3,0,0,0,5,0,3,56,30,0,4,36,53,168,23,0,0,0,96,34,0,0,5,0,27,0,18,0,0,12,0,133,0,0,6,24,0,0,0,0,0,0,0,0,0,0,0,0,11,97,0,169,0,10,3,7,16,4,0,0,0,4,0,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,11,0,0,0,0,0,0,3,0,238,0,3,7,15,51,0,12,0,3622
Port Stephens (A),0,0,53874,0,0,805,0,4,41,3,4,0,0,0,0,0,0,0,0,0,0,45,0,0,20,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2525,3,70,388,126,4,5,108,0,57,11,48,306,0,0,0,250,29,0,24,0,17,0,0,10,14,0,0,0,0,0,0,134,68,23,0,14,32,0,13,0,71,16,26,49,0,6,7,0,15,0,6,0,14,3,28,0,3,48,18,8,14,0,0,0,24,0,0,4,0,0,0,0,0,0,4,7,14,7,0,0,11,3,0,4,0,7,5,0,0,0,3,5,0,57,20,0,0,17,126,192,21,0,0,0,68,23,0,0,12,0,34,0,29,0,0,0,0,83,0,32,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,197,0,9,0,3,20,0,0,4,0,0,0,6,0,18,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,29,0,0,5,0,0,0,3,0,212,0,3,0,12,40,0,11,0,3816
Queanbeyan (C),0,0,28824,0,0,622,0,0,53,3,0,0,0,0,0,0,0,0,0,0,14,133,0,0,45,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1009,0,24,183,26,0,0,62,0,37,17,35,223,0,0,0,81,22,0,8,0,23,0,0,9,10,0,0,0,0,0,0,394,73,37,0,23,61,0,44,19,194,13,552,166,0,20,23,0,139,0,11,0,17,3,49,7,3,104,15,6,34,0,0,0,38,3,0,5,0,0,0,0,0,0,0,25,11,4,3,4,16,0,0,6,4,14,6,0,0,0,22,13,7,66,68,0,0,84,92,305,35,0,0,0,183,37,3,0,3,0,18,0,36,0,0,82,0,478,0,11,76,77,0,3,0,0,0,0,0,3,0,3,0,0,0,82,0,183,0,17,0,7,27,4,3,0,0,0,0,9,0,9,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,23,0,0,0,0,0,3,0,0,0,0,0,5,10,0,0,0,13,0,0,3,0,0,0,3,8,104,0,0,0,10,48,0,15,0,2011
Randwick (C),40,0,69562,0,0,2788,0,49,133,16,39,0,0,5,0,0,3,0,0,0,18,326,13,25,43,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5556,0,210,778,177,0,6,1896,0,133,70,762,751,0,9,0,228,143,0,53,0,35,0,12,45,112,0,0,0,0,3,0,994,318,263,0,185,119,11,94,48,227,304,36,1701,33,151,35,9,143,3,88,40,194,19,402,42,21,590,687,133,608,0,0,16,636,17,36,38,9,0,0,0,7,5,15,360,222,311,22,18,397,18,6,193,32,188,37,0,0,0,60,75,33,582,632,3,54,2617,1903,984,784,82,0,0,5828,1821,72,25,447,0,438,7,599,0,0,366,3,1053,10,112,125,269,0,21,4,9,24,12,3,0,0,55,0,0,3,444,0,928,0,205,22,558,401,366,50,0,0,3,3,151,0,141,54,0,0,0,10,19,6,3,63,7,9,0,0,0,0,0,3,0,16,0,6,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,19,0,0,0,0,0,0,23,0,7,0,0,8,4,5,3,0,3,3,15,69,0,3,6,138,0,0,9,3,3,0,15,11,1677,3,11,15,32,128,0,210,0,9779
Richmond Valley (A),0,0,19599,0,0,179,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,8,61,11,0,0,21,0,8,3,4,54,0,0,0,66,4,0,11,0,6,0,0,0,3,0,0,0,0,0,0,31,8,3,0,3,3,0,0,0,7,0,3,11,0,4,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,4,79,4,0,0,0,20,0,0,0,0,0,5,0,3,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,25,0,58,0,8,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,9,0,0,0,1227
Rockdale (C),0,0,48405,0,0,1817,0,6,76,23,7,0,0,0,0,0,0,0,0,0,32,606,7,8,93,0,7,79,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1497,0,45,264,50,0,3,274,0,56,19,85,271,0,0,0,101,23,0,22,0,15,0,0,18,31,0,0,0,0,0,0,1245,330,419,0,147,200,28,254,46,360,413,2957,3103,3,87,48,9,283,4,30,6,81,11,138,30,12,240,260,72,141,0,0,11,1383,4,13,65,3,0,0,7,0,5,25,151,165,28,44,52,2875,0,0,51,77,299,28,0,0,0,78,48,29,510,733,0,4,886,503,1484,172,28,0,0,6163,967,30,19,175,0,296,0,262,3,0,1569,0,1366,0,2088,170,128,0,23,6,12,3,16,8,0,0,17,0,0,0,99,0,226,5,168,13,232,422,257,82,0,0,0,3,165,0,297,22,0,0,0,3,20,3,0,21,8,0,0,0,0,0,0,0,0,6,0,3,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,20,4,0,3,0,0,0,24,0,4,6,3,0,3,0,0,0,0,4,14,37,0,0,3,104,0,5,0,0,10,0,9,0,306,3,7,13,11,48,0,75,0,6541
Ryde (C),0,0,54661,0,0,1437,0,8,121,19,3,0,3,0,0,0,3,0,0,0,12,341,0,0,18,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2363,0,64,407,94,3,6,343,0,46,25,129,379,0,0,0,172,62,0,38,0,34,0,8,34,35,0,0,0,0,0,0,1701,158,61,0,72,117,3,117,41,300,110,98,411,4,72,31,10,124,0,19,8,56,21,130,25,11,298,170,49,76,0,0,3,349,7,7,14,0,0,0,0,0,5,43,1064,131,146,95,28,830,3,3,44,223,171,34,0,0,0,164,60,44,361,638,0,9,1008,1384,1557,443,21,0,0,9793,2664,82,10,410,0,475,0,3458,0,0,248,0,2661,14,194,227,991,0,243,176,7,12,9,0,0,0,6,0,0,4,190,0,430,0,97,7,79,178,101,25,0,0,0,3,153,0,54,23,0,0,0,3,12,10,0,35,8,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,16,0,3,7,0,0,3,3,0,0,0,0,8,39,0,0,0,117,0,0,4,0,0,0,3,0,546,0,15,10,16,105,0,45,0,4840
Shellharbour (C),0,0,49741,0,0,560,0,0,24,0,0,0,0,0,0,0,0,0,0,0,5,45,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3434,3,57,563,227,4,3,105,0,126,14,36,612,0,0,0,281,13,0,18,0,34,0,0,14,19,0,0,0,0,3,0,407,269,236,0,420,162,0,65,0,225,61,839,146,0,5,58,0,93,0,7,0,9,8,78,12,3,108,5,6,8,0,0,0,59,0,0,8,4,0,0,0,0,0,0,22,12,0,0,0,35,0,3,4,9,141,3,0,0,0,8,21,19,89,66,0,0,31,33,243,24,4,0,0,71,28,0,0,14,0,16,0,20,0,0,6,0,76,0,0,28,25,0,0,0,0,0,3,0,0,0,0,0,0,0,66,0,108,0,26,0,10,210,6,5,0,0,0,0,9,0,55,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,139,0,0,3,0,14,0,12,0,2558
Shoalhaven (C),3,0,75201,0,0,1083,0,4,62,0,0,0,0,3,0,0,0,0,0,0,3,56,3,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4592,0,91,592,182,3,9,173,0,98,28,54,589,0,0,0,436,25,0,67,0,38,0,0,4,26,0,0,0,0,0,0,323,224,27,0,30,63,0,9,3,133,35,29,138,0,12,30,0,39,4,27,4,15,7,64,23,14,86,23,11,30,0,0,0,65,0,4,3,0,0,0,0,0,0,0,24,12,4,3,0,26,0,0,0,5,13,0,0,0,0,14,9,8,69,53,0,0,49,58,266,39,6,0,0,165,36,3,0,6,0,35,0,34,0,0,5,0,133,0,9,12,33,0,3,0,0,0,0,0,0,0,0,0,0,0,109,0,243,0,16,0,15,51,8,3,0,0,0,0,13,0,52,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,28,0,0,3,36,0,0,0,0,0,0,0,0,184,0,4,3,9,21,3,17,0,5864
