lga,"Oceanian, nfd","Australian Peoples, nfd",Australian,Australian Aboriginal,Australian South Sea Islander,Torres Strait Islander,"New Zealand Peoples, nfd",Maori,New Zealander,"Melanesian and Papuan, nfd",New Caledonian,Ni-Vanuatu,Papua New Guinean,Solomon Islander,"Melanesian and Papuan, nec","Micronesian, nfd",I-Kiribati,Nauruan,"Micronesian, nec","Polynesian, nfd",Cook Islander,Fijian,Niuean,Samoan,Tongan,Hawaiian,Tahitian,Tokelauan,Tuvaluan,"Polynesian, nec","North-West European, nfd","British, nfd",English,Scottish,Welsh,Channel Islander,Manx,"British, nec",Irish,"Western European, nfd",Austrian,Dutch,Flemish,French,German,Swiss,Belgian,Frisian,Luxembourg,"Western European, nec","Northern European, nfd",Danish,Finnish,Icelandic,Norwegian,Swedish,"Northern European, nec","Southern and Eastern European, nfd","Southern European, nfd",Basque,Catalan,Italian,Maltese,Portuguese,Spanish,Gibraltarian,"Southern European, nec","South Eastern European, nfd",Albanian,Bosnian,Bulgarian,Croatian,Greek,Macedonian,Moldovan,Montenegrin,Romanian,Roma/Gypsy,Serbian,Slovene,Cypriot,Vlach,"South Eastern European, nec","Eastern European, nfd",Belarusan,Czech,Estonian,Hungarian,Latvian,Lithuanian,Polish,Russian,Slovak,Ukrainian,Sorb/Wend,"Eastern European, nec","North African and Middle Eastern, nfd","Arab, nfd",Algerian,Egyptian,Iraqi,Jordanian,Kuwaiti,Lebanese,Libyan,Moroccan,Palestinian,Saudi Arabian,Syrian,Tunisian,Yemeni,Bahraini,Emirati,Omani,Qatari,"Arab, nec",Jewish,"Peoples of the Sudan, nfd",Bari,Darfu/Darfurian,Dinka,Nuer,South Sudanese,Sudanese,"Peoples of the Sudan, nec","Other North African and Middle Eastern, nfd",Berber,Coptic,Iranian,Kurdish,Turkish,Assyrian,Chaldean,Mandaean,Nubian,"Other North African and Middle Eastern, nec","South-East Asian, nfd","Mainland South-East Asian, nfd",Anglo-Burmese,Burmese,Hmong,Khmer (Cambodian),Lao,Thai,Vietnamese,Karen,Mon,Chin,Rohingya,"Mainland South-East Asian, nec","Maritime South-East Asian, nfd",Filipino,Indonesian,Javanese,Madurese,Malay,Sundanese,Timorese,Acehnese,Balinese,Bruneian,Kadazan,Singaporean,Temoq,"Maritime South-East Asian, nec","North-East Asian, nfd","Chinese Asian, nfd",Chinese,Taiwanese,"Chinese Asian, nec","Other North-East Asian, nfd",Japanese,Korean,Mongolian,Tibetan,"Other North-East Asian, nec","Southern and Central Asian, nfd","Southern Asian, nfd",Anglo-Indian,Bengali,Burgher,Gujarati,Indian,Malayali,Nepalese,Pakistani,Punjabi,Sikh,Sinhalese,Maldivian,Bangladeshi,Bhutanese,Fijian Indian,Kashmiri,Parsi,Sindhi,Sri Lankan,Sri Lankan Tamil,Indian Tamil,"Tamil, nfd",Telugu,"Southern Asian, nec","Central Asian, nfd",Afghan,Armenian,Georgian,Kazakh,Pathan,Uzbek,Azeri,Hazara,Tajik,Tatar,Turkmen,Uighur,Kyrgyz,"Central Asian, nec","Peoples of the Americas, nfd","North American, nfd",African American,American,Canadian,French Canadian,Hispanic (North American),Native North American Indian,Bermudan,"North American, nec","South American, nfd",Argentinian,Bolivian,Brazilian,Chilean,Colombian,Ecuadorian,Guyanese,Peruvian,Uruguayan,Venezuelan,Paraguayan,"South American, nec","Central American, nfd",Mexican,Nicaraguan,Salvadoran,Costa Rican,Guatemalan,Mayan,"Central American, nec","Caribbean Islander, nfd",Cuban,Jamaican,Trinidadian (Tobagonian),Barbadian,Puerto Rican,"Caribbean Islander, nec","Sub-Saharan African, nfd","Central and West African, nfd",Akan,Fulani,Ghanaian,Nigerian,Yoruba,Ivorean,Liberian,Sierra Leonean,Acholi,Cameroonian,Congolese,Gio,Igbo,Krahn,Mandinka,Senegalese,Themne,Togolese,"Central and West African, nec","Southern and East African, nfd",Afrikaner,Angolan,Eritrean,Ethiopian,Kenyan,Malawian,Mauritian,Mozambican,Namibian,Oromo,Seychellois,Somali,South African,Tanzanian,Ugandan,Zambian,Zimbabwean,Amhara,Batswana,Hutu,Masai,Tigrayan,Tigre,Zulu,Burundian,Kunama,Madi (Ma'di),Ogaden,Rwandan,Shona,Swahili,Swazilander,"Southern and East African, nec",Inadequately described,"Eurasian, so described","Asian, so described","African, so described","European, so described","Caucasian, so described","Creole, so described",Not stated
Bass Coast (S),0,0,7740,18,0,0,0,41,83,0,0,0,6,0,0,0,0,0,0,0,0,7,0,8,10,0,0,0,0,0,3,3,12405,1530,79,3,3,0,2081,0,33,488,0,51,564,26,8,0,0,0,4,17,4,0,13,20,0,0,0,0,0,1057,94,10,29,0,0,17,0,5,0,39,136,16,0,0,3,0,14,6,4,0,0,3,0,16,0,46,23,16,71,24,0,22,0,0,0,0,0,10,0,0,0,15,0,0,4,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,16,0,0,0,0,6,0,5,4,0,0,0,0,0,0,0,5,0,0,3,24,20,23,0,0,0,0,0,79,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,123,3,0,0,14,3,0,0,0,0,0,6,3,0,0,72,0,0,0,0,0,4,0,0,0,0,0,0,0,19,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,16,10,3,0,0,0,0,9,0,0,21,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,4,7,3,0,3,2021
Baw Baw (S),0,0,13310,18,0,0,0,20,87,0,0,0,3,0,0,0,0,0,0,0,13,9,0,3,0,0,0,0,0,0,0,0,17925,1782,63,0,0,0,2716,0,40,809,0,53,905,30,4,0,0,0,9,46,11,0,16,8,0,0,0,0,0,1085,116,10,29,0,0,19,6,12,3,70,88,13,0,0,10,0,29,24,5,0,0,0,0,10,3,78,11,4,114,25,10,50,0,0,3,0,0,12,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,0,0,0,0,0,0,0,0,7,0,3,0,11,6,0,0,0,0,0,0,88,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,155,11,0,0,9,5,0,0,0,0,0,7,0,0,0,88,0,0,0,4,0,3,0,9,0,0,0,0,0,34,3,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,13,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,3,0,63,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,13,6,0,0,2443
Bayside (C),3,0,20336,3,0,0,0,59,375,0,0,0,7,0,0,0,0,0,0,0,3,5,3,26,3,0,0,0,0,0,0,24,33458,3945,183,4,3,0,6549,0,171,674,3,358,2198,98,40,0,0,0,9,118,37,0,54,107,0,16,0,0,6,3481,159,88,144,0,0,63,36,47,14,316,2651,102,3,3,117,0,203,60,103,0,0,55,21,160,23,330,95,61,1168,873,18,201,0,0,11,24,5,130,14,3,0,238,0,17,9,3,12,0,0,0,0,0,0,0,565,0,0,0,0,0,4,29,0,0,0,3,80,3,198,6,0,0,0,176,0,0,0,24,0,30,6,88,125,0,0,0,0,0,0,160,50,0,0,37,0,0,0,0,0,0,17,0,6,0,0,2042,14,0,0,328,119,0,13,0,0,10,41,3,5,0,685,0,10,18,13,0,27,0,7,0,9,0,0,0,238,3,3,3,0,0,0,0,44,8,0,0,4,4,0,0,0,0,0,0,0,4,0,3,227,102,0,3,3,0,0,15,24,3,40,67,49,4,0,17,5,15,0,0,0,23,0,0,3,0,0,0,4,3,4,0,3,0,6,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,6,11,8,0,83,0,0,0,10,3,558,0,3,4,10,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,91,20,3,29,101,5,0,5052
Benalla (RC),0,0,4072,0,0,0,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,5,5752,658,23,0,0,0,1119,0,24,132,0,9,384,7,0,0,0,0,0,6,0,0,0,7,0,3,0,0,0,196,16,0,0,0,0,8,0,0,0,5,20,0,0,0,0,0,10,3,0,0,0,0,0,3,0,15,6,3,64,6,6,21,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,26,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,62,0,0,0,6,3,0,0,0,0,3,0,0,0,0,68,0,0,0,0,0,0,0,4,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,8,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,4,5,0,0,707
Boroondara (C),19,0,30369,3,0,0,0,55,501,0,0,3,22,0,0,0,4,0,0,3,9,13,0,36,18,0,4,0,0,0,16,34,47451,5486,227,0,8,0,11319,3,253,895,6,425,2902,140,34,0,0,0,12,100,59,3,35,89,0,11,0,0,3,8065,337,73,249,0,0,95,36,36,32,451,6228,448,3,3,120,6,233,152,247,0,0,42,18,152,43,454,224,136,1010,418,50,178,0,3,15,86,7,223,23,7,10,350,3,12,14,48,30,7,4,0,0,3,0,0,205,0,0,0,0,0,11,15,0,0,0,4,454,19,173,7,10,0,0,79,0,0,0,47,4,42,24,383,1474,0,0,0,0,0,0,373,274,3,0,283,0,20,0,3,0,0,47,0,61,0,0,17185,168,3,0,427,755,22,25,0,0,91,67,27,10,24,4114,0,60,122,44,38,212,0,84,0,27,0,3,16,962,54,10,106,0,10,0,41,82,3,0,4,3,6,3,0,7,0,3,0,0,23,7,9,273,112,6,14,5,0,0,21,34,0,51,82,118,0,8,30,6,21,0,0,0,37,0,21,0,7,3,3,14,4,9,3,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,12,14,17,3,160,0,0,5,12,5,428,0,5,5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,147,36,21,70,99,0,3,7361
Brimbank (C),79,0,17203,50,8,0,0,538,268,0,0,3,68,6,0,0,6,20,0,21,159,178,28,858,330,0,0,4,3,0,0,23,21525,2148,76,0,0,0,3500,0,190,505,0,159,2224,32,13,0,0,3,0,52,61,0,10,24,0,22,0,0,0,11794,9944,419,1118,0,0,430,963,1179,54,4692,6221,5550,3,61,346,40,1795,394,1005,6,5,27,37,58,16,430,44,52,2392,278,230,706,0,7,29,299,8,958,111,32,0,1633,13,4,67,12,243,0,3,0,0,0,0,0,9,141,0,0,149,0,296,862,4,0,0,25,115,90,2533,169,11,0,4,11,0,0,0,273,30,60,392,260,21768,92,0,168,0,4,0,6003,150,5,0,174,0,413,0,4,0,0,11,0,8,0,0,10289,18,7,0,79,136,6,5,0,6,199,302,77,3,7,7404,8,311,705,445,194,490,0,330,0,148,0,4,3,899,54,6,157,8,8,0,175,49,5,3,5,0,0,10,0,4,0,0,0,0,101,3,8,77,16,0,25,4,0,0,100,165,4,32,789,92,9,5,63,132,3,12,0,12,27,3,374,0,7,9,6,5,0,5,0,0,0,5,0,0,3,0,37,41,3,0,107,46,3,0,83,7,4,0,13,0,0,0,23,9,11,0,250,649,17,0,205,0,0,79,5,204,97,14,26,0,31,33,5,0,0,3,0,6,29,0,0,0,11,0,9,0,12,203,14,102,417,101,0,3,16793
Buloke (S),0,0,2148,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2515,282,12,0,0,0,690,0,0,48,0,6,104,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,46,8,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,355
Campaspe (S),0,0,11655,36,0,0,0,33,58,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,3,0,0,0,0,0,0,3,15191,1514,38,0,0,0,2645,0,15,231,0,18,667,9,0,0,0,0,0,8,6,0,7,7,0,0,0,0,0,888,42,6,26,0,0,16,45,0,4,21,51,18,0,0,4,0,5,6,0,0,0,0,0,4,0,30,9,7,52,6,7,7,0,0,0,7,0,8,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,11,7,0,0,0,0,0,0,129,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,5,4,0,0,0,0,0,0,0,0,0,40,0,0,9,0,3,3,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,7,0,0,0,2457
Cardinia (S),29,0,20866,3,7,0,0,211,256,0,0,0,0,3,0,0,6,3,0,3,51,27,0,101,26,0,0,0,0,0,0,23,29520,3020,172,0,0,0,3875,0,82,1686,0,129,1705,56,20,0,0,0,0,55,31,0,18,28,0,0,0,0,0,2081,237,69,94,0,0,65,12,35,8,270,279,51,0,0,160,0,120,41,23,0,0,12,5,39,3,246,25,12,271,102,19,53,0,0,0,8,0,53,0,0,0,88,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,3,0,8,89,0,0,0,0,20,0,77,0,0,0,0,0,7,0,0,0,0,60,10,60,53,0,0,3,0,0,0,292,47,0,0,36,0,4,0,0,0,0,7,0,0,0,0,419,0,0,0,14,15,0,0,0,0,11,52,4,0,0,527,0,7,28,29,17,71,0,36,0,30,0,0,0,348,6,0,16,0,0,0,44,8,0,0,0,0,0,8,0,0,0,0,0,0,10,0,7,68,27,0,3,0,0,0,9,24,0,30,83,0,0,0,12,12,0,0,0,5,3,0,27,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,7,6,0,219,0,0,14,25,5,168,0,0,5,37,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,11,73,11,5,52,11,0,3,4168
Casey (C),174,0,47771,48,3,3,0,1356,834,0,0,0,18,0,0,0,0,0,0,22,732,338,31,1734,157,0,9,7,0,0,7,67,67006,7952,368,3,3,3,8961,0,296,3652,4,954,4292,78,45,4,0,0,17,122,91,0,41,69,0,28,0,4,0,8426,1105,527,1179,0,0,421,552,679,39,2013,2969,484,4,10,1793,10,2470,161,151,0,0,47,9,189,28,1639,62,40,1905,764,100,215,0,3,49,290,0,972,250,65,0,1202,0,15,214,0,160,7,0,0,0,0,0,0,27,108,0,0,0,44,242,509,0,0,0,18,290,42,1557,30,56,4,0,33,6,0,6,78,8,1809,246,287,1459,0,3,10,0,0,0,3748,428,14,0,258,0,461,0,3,0,0,90,0,35,0,0,7452,18,3,0,101,167,3,3,0,3,271,1005,55,29,14,11379,29,141,768,337,288,2482,3,211,0,579,3,7,8,5493,176,5,655,18,40,3,4641,414,9,0,55,3,7,939,5,0,3,53,0,0,126,0,6,168,65,4,57,9,0,0,149,184,3,17,1168,102,7,10,65,112,17,3,12,5,29,5,410,0,0,0,7,9,8,9,0,4,0,0,0,0,0,0,25,86,30,0,15,20,4,0,12,0,0,0,9,0,0,0,12,0,48,0,87,162,58,15,3048,0,0,100,168,60,1221,0,12,9,154,5,3,0,0,0,0,4,3,0,0,0,0,18,0,0,27,337,69,151,422,86,3,44,14788
Central Goldfields (S),0,0,3868,3,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5613,507,18,0,0,0,774,0,5,130,0,14,193,3,5,0,0,0,0,9,3,0,0,3,0,0,0,0,0,188,29,7,6,0,0,3,0,0,3,8,27,5,0,0,4,0,3,3,0,0,0,0,0,4,0,29,4,0,12,10,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,817
Colac-Otway (S),0,0,6479,4,0,0,0,28,28,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,8067,974,29,0,0,0,1850,0,11,184,0,33,339,9,4,0,0,0,0,12,3,0,3,6,0,0,0,0,0,363,35,0,4,0,0,10,4,0,0,19,45,11,0,0,0,0,3,4,4,0,0,0,0,0,3,22,7,4,33,10,0,12,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,26,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,0,0,0,0,0,34,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,5,5,0,0,0,0,0,0,3,0,0,23,0,9,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,3,0,0,1274
Corangamite (S),0,0,5537,0,0,0,0,11,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6509,753,22,0,0,0,1598,0,13,280,0,15,253,4,0,0,0,0,0,8,0,0,0,7,0,0,0,0,0,96,12,0,3,0,0,0,0,0,3,8,22,0,0,0,0,0,3,3,0,0,0,0,0,3,0,13,3,0,10,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,23,0,0,0,0,3,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3,0,0,935
Darebin (C),37,0,19474,127,0,6,0,163,322,0,0,0,23,3,0,0,3,0,0,7,19,53,12,110,29,6,0,0,0,0,10,6,28285,3120,140,0,3,0,7427,0,93,566,0,236,1730,44,29,0,0,0,8,50,33,0,53,48,0,14,0,0,4,18443,879,244,446,0,0,123,296,116,31,771,10902,2930,3,19,55,3,414,118,347,3,0,9,17,69,26,168,85,45,453,159,12,103,0,0,36,470,8,308,163,28,10,2687,76,29,62,239,179,0,16,0,9,8,0,0,42,8,0,0,0,0,5,96,4,0,0,10,253,104,430,122,29,0,0,22,3,0,0,21,0,92,19,272,2512,0,0,8,0,0,0,743,191,3,0,274,0,39,0,0,0,0,23,0,28,0,0,7339,24,0,0,228,153,7,3,0,0,147,42,70,0,14,4363,4,383,291,181,112,212,7,216,10,67,0,0,0,615,16,3,100,3,12,0,87,40,6,0,0,0,0,9,3,0,0,4,0,0,27,3,7,128,64,6,14,0,0,0,41,45,0,36,134,140,8,7,45,9,35,0,0,0,41,4,19,3,4,0,0,6,16,3,0,0,0,0,0,0,0,0,16,27,7,0,5,8,0,4,5,0,3,0,0,0,0,0,18,3,3,0,18,27,28,0,210,0,0,17,9,416,114,9,12,8,35,0,11,0,0,0,0,0,14,0,0,0,3,0,3,0,16,164,10,33,213,40,3,3,10045
East Gippsland (S),4,0,12701,81,0,0,0,25,76,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,0,0,3,0,0,0,0,9,18021,1840,88,0,0,0,2564,0,51,601,0,41,1064,30,4,0,0,0,3,22,16,0,18,24,0,3,0,0,3,963,92,20,26,0,0,24,3,0,0,30,96,7,0,0,3,0,10,13,0,0,0,10,0,10,10,44,13,13,95,22,3,32,0,0,4,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,10,20,0,0,0,0,0,0,120,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,226,0,0,0,15,4,0,4,0,0,3,0,0,0,0,78,0,0,3,5,0,0,0,0,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,5,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11,0,0,0,0,0,31,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,3,0,7,0,0,2577
Frankston (C),35,0,30375,27,3,0,0,634,507,0,0,3,29,0,0,0,0,20,0,13,189,88,10,183,47,0,13,0,0,0,0,21,49780,6007,352,6,5,0,7005,0,162,1737,0,245,2770,60,25,0,0,0,12,100,43,0,49,45,0,16,0,3,0,3118,343,61,270,0,0,102,18,256,24,456,1348,62,0,8,140,0,302,77,68,0,0,26,13,119,11,362,90,43,682,381,43,124,0,0,6,48,0,76,24,3,0,341,0,0,19,0,32,0,0,0,0,0,0,0,62,10,0,0,0,0,52,131,0,0,0,6,88,16,173,9,5,0,0,15,0,0,0,38,0,104,14,144,130,0,0,0,0,0,0,905,85,0,0,63,0,5,0,6,3,3,12,0,3,0,0,1379,6,0,0,62,51,0,8,0,0,32,81,4,3,3,1560,8,16,63,9,12,106,7,22,0,81,0,0,0,489,9,0,55,0,3,0,230,46,9,6,0,11,4,0,0,0,0,0,4,0,15,0,0,125,71,8,9,6,0,0,26,59,0,24,138,19,0,0,37,22,6,0,0,0,12,0,13,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,7,3,6,0,6,18,0,0,5,0,8,0,0,0,0,0,0,0,19,0,3,10,12,0,313,0,0,0,41,0,417,0,0,0,95,0,15,0,0,0,0,0,0,0,0,0,0,6,0,0,6,149,16,12,123,52,3,0,8304
Gannawarra (S),0,0,3504,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4392,430,18,0,0,0,636,0,3,74,0,8,204,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,119,19,0,6,0,0,0,0,0,0,4,18,5,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,745
Glen Eira (C),9,0,23485,4,3,3,0,89,393,0,0,0,7,0,0,0,0,0,0,0,22,31,3,18,5,0,4,0,0,0,3,26,30391,3454,136,0,0,0,6775,0,346,799,0,572,2725,105,37,0,0,3,4,60,37,0,30,90,0,26,0,0,0,4685,240,118,239,0,0,107,43,56,47,354,6499,114,28,13,329,6,381,57,221,0,0,376,46,227,27,1066,129,270,4345,3356,98,626,0,0,39,54,3,154,42,9,0,296,7,80,20,10,31,10,13,0,0,5,0,3,5782,0,0,0,0,12,0,15,0,0,0,0,157,3,148,15,3,0,0,1369,0,3,0,33,0,66,17,222,577,0,0,0,0,8,0,487,181,0,0,123,0,6,0,8,0,0,30,0,23,0,0,7482,37,0,0,555,744,4,5,0,0,106,162,25,4,26,4936,3,114,79,55,17,144,3,67,3,30,0,0,6,801,9,3,45,13,18,0,12,117,32,9,0,9,0,0,0,5,0,0,3,0,12,3,0,273,97,3,6,0,0,0,29,77,4,66,106,99,0,0,35,6,27,0,3,0,28,3,12,0,6,0,0,3,0,8,3,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,6,3,19,0,3,19,33,0,197,0,0,3,18,24,1842,0,3,9,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,147,47,16,108,631,0,0,7345
