lga,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,No Religion,Supplementary codes,Not stated
Palmerston (C),503,14851,208,210,13,131,8040,283,3464
Roper Gulf (S),4,2809,0,0,0,413,1335,20,1542
Tiwi Islands (S),5,2313,0,3,0,10,158,11,82
Victoria-Daly (S),10,4289,4,0,0,224,968,17,408
Wagait (S),7,204,0,0,0,0,116,10,31
West Arnhem (S),25,3333,12,12,0,951,903,40,949
Unincorporated NT,143,3819,56,54,9,49,2140,113,1707
No Usual Address (NT),31,880,5,13,3,10,547,17,363
Unincorporated ACT,9328,196762,6039,7422,670,2767,103022,3653,26924
No Usual Address (ACT),13,256,4,9,0,8,225,14,104
Unincorp. Other Territories,353,589,7,729,4,59,337,19,911
No Usual Address (OT),0,13,0,0,0,0,19,0,0
