lga,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,No Religion,Supplementary codes,Not stated
Wyndham (C),4150,94316,6909,8350,98,2404,31098,1199,13036
Yarra (C),3911,28504,472,1609,442,449,29436,1261,8004
Yarra Ranges (S),1457,77942,269,303,188,1014,48836,1700,12837
Yarriambiack (S),18,5128,9,26,0,24,1124,29,718
Unincorporated Vic,14,313,3,0,6,3,298,39,127
No Usual Address (Vic.),196,3131,80,233,19,109,2353,152,2030
Aurukun (S),0,677,0,0,0,93,226,0,298
Balonne (S),12,3751,0,0,0,9,482,14,445
Banana (S),104,10822,27,31,0,15,2231,59,1158
Barcaldine (R),10,2459,4,0,0,3,471,13,255
Barcoo (S),0,282,0,0,0,0,42,4,28
Blackall Tambo (R),0,1779,0,0,0,3,263,6,147
Boulia (S),0,339,0,0,0,14,77,0,55
Brisbane (C),30808,628698,16373,18112,1642,10577,242876,9585,83173
Bulloo (S),4,280,0,0,0,0,79,0,48
Bundaberg (R),646,60705,202,334,32,336,18633,551,8370
Burdekin (S),82,13840,14,24,4,30,2015,53,1298
Burke (S),0,290,0,0,0,0,102,0,121
Cairns (R),2629,92268,674,521,151,1211,39116,1586,18016
Carpentaria (S),7,1290,0,16,0,0,323,7,410
Cassowary Coast (R),228,18974,39,27,7,647,5089,193,2466
Central Highlands (R),155,19276,89,71,3,66,5692,133,3224
Charters Towers (R),59,8362,5,25,0,26,2323,81,1282
Cherbourg (S),0,1000,0,0,0,0,172,9,48
Cloncurry (S),11,2167,11,13,0,11,481,25,499
Cook (S),43,2129,7,4,0,25,947,26,969
Croydon (S),0,197,0,0,0,0,53,0,56
Diamantina (S),0,200,0,0,0,0,64,0,22
Doomadgee (S),0,901,0,0,0,38,206,3,138
Etheridge (S),7,605,0,0,0,4,167,8,104
Flinders (S),3,1364,3,0,0,3,218,9,186
Fraser Coast (R),641,63103,188,155,34,412,20852,724,9195
Gladstone (R),390,35961,197,172,20,212,14077,402,6454
Gold Coast (C),7949,313094,2597,4035,1344,2701,110287,4768,47737
Goondiwindi (R),25,8312,8,12,4,12,1220,36,1004
Gympie (R),379,28795,43,77,14,232,10899,397,4919
Hinchinbrook (S),56,9427,14,8,0,16,1268,48,726
Hope Vale (S),0,898,0,0,0,3,47,0,29
Ipswich (C),2355,108849,1086,682,74,895,36425,1313,15214
Isaac (R),123,14841,77,39,0,47,4469,126,2869
Kowanyama (S),3,966,0,0,0,0,53,3,9
Lockhart River (S),0,408,0,0,0,8,62,0,9
Lockyer Valley (R),261,23903,102,267,19,184,6377,234,3608
Logan (C),4429,174505,1729,4809,187,1964,62846,2106,25469
Longreach (R),13,3188,3,0,0,3,616,19,348
Mackay (R),648,77522,277,280,31,309,22056,765,10899
McKinlay (S),3,724,0,0,0,0,169,10,147
Mapoon (S),0,160,0,0,0,0,56,0,49
Maranoa (R),40,9647,21,3,3,22,1789,32,1516
Moreton Bay (R),2963,247558,1756,840,175,1865,87516,2980,32384
Mornington (S),0,602,0,0,0,104,362,4,63
Mount Isa (C),116,12521,121,51,5,47,4264,166,3946
Murweh (S),40,3568,13,8,0,0,524,20,437
Napranum (S),0,695,0,0,0,0,150,8,6
North Burnett (R),38,7157,20,16,0,25,1721,43,1123
Northern Peninsula Area (R),6,1692,0,0,0,14,330,15,237
Palm Island (S),0,2043,0,0,0,9,248,0,31
Paroo (S),3,1441,0,0,0,14,225,3,173
Pormpuraaw (S),3,525,0,0,0,3,69,0,63
Quilpie (S),4,770,0,0,0,0,128,6,66
Redland (C),1241,95203,423,474,108,678,29665,938,9940
Richmond (S),0,619,4,7,0,8,104,4,90
