lga,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650 and over,Not stated,Not applicable,
Esperance (S),189,58,93,128,107,162,73,175,75,125,65,111,41,64,15,24,13,27,3,12,91,4835,
Exmouth (S),39,35,32,31,22,23,15,27,15,20,8,34,10,28,15,31,8,44,19,75,58,1510,
Fremantle (C),113,227,385,150,133,122,91,155,107,193,134,313,165,280,146,223,112,456,185,212,201,9440,
Geraldton-Greenough (C),204,113,222,216,208,294,298,406,241,394,209,375,142,295,120,194,37,123,19,28,195,11368,
Gingin (S),67,16,10,25,8,28,18,33,8,33,14,37,6,21,0,3,3,3,0,0,19,3285,
Gnowangerup (S),52,14,5,12,21,13,3,7,0,0,0,0,0,0,0,0,0,0,0,3,13,575,
Goomalling (S),20,13,3,13,16,15,8,0,0,6,0,0,0,0,0,0,0,0,0,3,9,399,
Gosnells (C),221,157,259,263,248,295,179,399,203,514,496,1302,639,879,400,584,271,524,59,68,309,32107,
Halls Creek (S),134,306,46,57,15,11,8,15,7,5,8,5,0,3,0,0,0,3,0,9,49,620,
Harvey (S),89,37,66,92,64,136,102,163,94,208,131,241,109,178,65,72,12,28,10,11,61,7710,
Irwin (S),32,10,25,48,26,44,18,33,20,59,35,26,4,19,0,4,0,0,0,15,29,1456,
Jerramungup (S),32,12,15,17,17,11,9,14,3,3,0,0,0,0,0,0,0,0,0,0,14,743,
Joondalup (C),308,84,143,135,131,167,112,224,110,318,217,932,658,1468,786,1158,376,1193,458,470,231,48883,
Kalamunda (S),170,51,79,106,84,93,62,137,61,161,112,405,190,403,189,257,105,234,46,39,107,18082,
Kalgoorlie/Boulder (C),169,138,165,218,202,263,188,240,145,306,192,385,185,317,136,150,47,223,87,37,165,8657,
Katanning (S),35,35,41,64,88,95,58,39,16,25,5,8,3,0,0,0,0,0,0,3,23,1353,
Kellerberrin (S),16,26,13,23,15,14,4,3,3,0,0,0,0,0,0,0,0,0,0,0,3,443,
Kent (S),21,5,6,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,259,
Kojonup (S),50,11,17,30,26,21,17,20,6,3,0,0,0,0,0,0,0,0,0,3,26,789,
Kondinin (S),26,11,10,34,5,16,4,8,0,0,0,0,0,0,0,0,0,0,0,0,9,395,
Koorda (S),14,6,10,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,225,
Kulin (S),30,8,10,10,5,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,360,
Kwinana (T),57,67,135,88,140,124,79,231,196,394,246,283,182,311,85,43,5,35,9,14,93,8658,
Lake Grace (S),57,24,9,29,30,9,4,8,5,5,0,3,0,0,0,0,0,0,0,0,26,564,
Laverton (S),35,45,13,23,6,3,0,6,0,3,0,3,0,0,0,0,0,0,0,0,4,235,
Leonora (S),175,16,9,19,11,8,0,8,3,5,0,3,0,0,0,0,0,0,0,6,39,404,
