lga,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650 and over,Not stated,Not applicable,
Cootamundra (A),61,33,62,82,70,100,85,58,25,17,10,21,0,0,0,4,0,0,0,7,32,2869,
Corowa Shire (A),65,24,34,90,94,141,108,129,95,95,33,29,3,7,0,0,0,10,3,7,42,4629,
Cowra (A),94,55,95,105,165,239,175,130,63,22,15,14,0,4,4,0,0,3,3,10,36,4657,
Deniliquin (A),30,22,47,145,124,170,89,61,27,34,6,12,3,5,0,0,0,3,3,3,32,2735,
Dubbo (C),148,108,233,300,367,468,396,545,386,437,220,199,83,118,43,37,8,14,8,28,163,11733,
Dungog (A),68,34,19,35,29,54,59,69,40,55,28,14,4,5,3,10,0,5,0,3,31,3253,
Eurobodalla (A),193,82,144,200,205,296,319,495,374,477,252,294,78,110,52,49,3,25,4,37,131,18600,
Fairfield (C),450,438,1000,539,817,796,577,1093,752,1610,1049,1740,788,1608,855,1158,326,717,142,124,727,42922,
Forbes (A),106,55,83,125,107,187,153,77,13,30,10,10,7,0,0,0,0,0,0,11,61,3180,
Gilgandra (A),53,25,51,76,72,94,26,20,0,4,0,0,0,3,0,0,0,0,0,7,16,1534,
Glen Innes Severn (A),78,24,42,115,122,142,113,115,40,36,5,10,0,0,0,0,0,0,3,10,54,3403,
Gloucester (A),54,21,18,51,47,64,38,66,24,43,17,18,7,6,0,0,0,0,0,3,24,2044,
Gosford (C),417,268,781,379,585,678,624,1061,820,1608,1396,1959,983,1304,608,644,254,770,233,192,485,57769,
Goulburn Mulwaree (A),139,92,220,207,254,361,281,383,207,297,142,135,47,43,18,18,3,10,6,22,120,9765,
Great Lakes (A),188,65,107,137,217,383,401,429,279,407,295,328,118,156,42,42,9,30,16,37,145,17161,
Greater Hume Shire (A),115,17,31,77,68,104,56,68,28,27,10,18,9,3,0,0,0,0,0,8,48,3745,
Greater Taree (C),218,106,227,221,395,545,561,607,426,621,257,267,84,86,27,29,3,9,8,40,168,16888,
Griffith (C),183,100,118,156,276,375,259,373,220,224,77,74,37,56,30,18,0,9,4,12,115,7283,
Gundagai (A),65,19,20,36,13,53,27,46,10,10,0,0,0,0,0,0,0,0,0,3,17,1429,
Gunnedah (A),123,45,48,98,116,165,125,184,87,111,53,50,16,28,11,23,3,14,6,16,74,3875,
Guyra (A),57,18,10,44,41,62,35,44,10,16,0,3,0,0,0,0,0,0,0,3,28,1573,
Gwydir (A),145,47,32,71,56,72,15,22,4,5,0,0,0,0,0,0,0,0,0,0,39,2198,
Harden (A),66,15,14,38,45,64,16,23,7,4,0,3,0,0,0,0,0,0,0,4,18,1437,
Hawkesbury (C),228,90,105,112,225,202,257,462,237,443,347,674,343,480,185,230,71,202,80,65,201,18161,
Hay (A),45,31,25,67,67,69,14,11,4,4,0,0,0,3,0,0,0,0,3,4,23,1186,
Holroyd (C),221,267,728,278,315,369,215,365,228,478,495,1293,1064,1748,805,956,274,784,158,100,431,24928,
Hornsby (A),427,149,264,168,168,180,155,233,188,271,201,490,339,798,721,1050,582,2388,942,728,402,46357,
Hunters Hill (A),43,43,138,21,34,25,22,19,19,40,16,42,44,38,41,55,29,144,115,207,40,3918,
Hurstville (C),207,153,403,132,169,197,128,216,155,325,287,607,486,815,477,737,306,1172,376,216,332,22082,
Inverell (A),154,103,102,133,184,211,154,175,112,170,45,48,3,19,14,11,0,11,4,14,82,5413,
Jerilderie (A),36,12,10,17,11,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,674,
Junee (A),40,32,25,47,39,83,26,62,29,15,9,8,0,0,0,0,0,0,0,3,23,1806,
Kempsey (A),161,79,112,172,231,385,373,475,270,282,119,109,41,46,17,17,0,41,7,27,113,10379,
Kiama (A),81,19,27,29,26,64,46,111,73,127,94,176,101,160,100,94,42,100,25,28,51,7843,
Kogarah (C),194,47,73,41,50,66,67,98,72,157,143,395,287,630,407,586,228,982,328,199,208,16032,
Ku-ring-gai (A),249,24,63,45,34,42,23,46,41,64,36,112,78,142,102,216,128,877,836,2133,181,34232,
Kyogle (A),93,38,21,86,64,93,70,78,44,104,29,26,3,7,0,0,0,3,0,0,32,3606,
Lachlan (A),131,94,45,162,106,93,24,20,3,11,4,0,0,0,0,0,0,0,0,8,38,2496,
Lake Macquarie (C),478,393,1028,591,896,1037,744,1122,912,1711,1405,1725,834,922,504,493,211,607,116,140,600,62365,
Lane Cove (A),97,53,114,42,40,33,29,39,40,46,67,155,132,284,263,432,195,624,340,562,100,9617,
Leeton (A),91,48,60,101,99,194,138,168,46,31,7,28,3,3,0,3,0,0,0,6,43,3470,
Leichhardt (A),150,154,398,102,139,134,123,192,133,266,184,369,223,331,233,416,210,1417,1414,1951,245,15933,
Lismore (C),198,108,235,203,285,428,345,538,311,479,347,492,221,205,71,73,6,41,5,23,151,13794,
Lithgow (C),103,66,124,164,169,329,242,281,94,126,38,34,8,26,3,11,3,6,0,20,65,7547,
Liverpool (C),381,579,1095,493,666,578,463,915,538,1261,920,1496,777,1428,826,1123,397,1423,241,152,697,42446,
Liverpool Plains (A),139,47,41,118,73,119,95,68,23,42,18,18,4,0,0,0,0,0,0,7,55,2826,
Lockhart (A),42,29,9,23,13,29,9,16,0,6,3,0,0,0,0,0,0,0,0,3,6,1150,
Maitland (C),122,145,376,228,355,419,352,534,312,638,476,734,367,440,215,262,95,172,16,35,227,19964,
Manly (A),126,45,107,62,32,43,47,75,41,56,73,151,96,236,196,339,182,1073,789,1722,165,12678,
Marrickville (A),225,152,301,153,214,271,221,477,361,674,536,1083,648,1057,663,941,424,2015,1229,1065,321,21600,
Mid-Western Regional (A),206,56,60,113,165,216,178,272,145,224,101,165,52,88,39,50,12,41,4,27,102,8588,
Moree Plains (A),259,178,72,265,229,308,105,122,87,105,37,40,11,18,3,18,0,7,4,11,93,4185,
Mosman (A),95,18,28,13,16,22,22,30,19,45,52,137,126,220,256,300,165,700,389,1021,98,9138,
Murray (A),70,54,17,39,23,52,68,66,59,79,34,30,11,14,4,7,0,3,3,9,31,2805,
Murrumbidgee (A),51,10,10,23,52,69,29,21,0,3,0,3,0,0,0,0,0,0,0,4,22,785,
Muswellbrook (A),134,34,58,73,138,159,158,216,124,172,98,177,61,129,63,108,15,48,10,19,109,4616,
Nambucca (A),111,54,129,160,165,215,169,275,133,209,122,115,34,35,16,13,0,9,6,12,69,7133,
Narrabri (A),180,81,87,185,209,218,77,114,45,62,34,57,5,41,3,11,3,18,0,14,83,4420,
Narrandera (A),56,40,36,78,89,100,47,37,16,15,3,3,0,0,3,0,0,0,0,6,37,2247,
Narromine (A),78,39,49,103,80,106,79,77,21,16,3,5,3,0,0,0,0,0,0,11,39,2223,
Newcastle (C),403,611,1451,639,737,982,869,1232,875,1800,1500,2169,1125,1409,779,818,299,975,374,406,733,45774,
North Sydney (A),277,108,228,70,51,88,45,147,88,168,241,474,404,813,740,1078,636,3329,2128,3089,376,20379,
Oberon (A),48,15,33,50,20,38,35,70,30,42,8,13,3,0,3,0,0,0,0,0,19,2118,
Orange (C),101,107,251,193,243,319,451,454,366,469,308,350,152,205,112,114,44,144,35,73,239,11291,
Palerang (A),100,20,23,25,9,31,29,54,32,65,29,63,15,35,22,42,12,51,43,18,21,5267,
Parkes (A),120,91,135,208,176,228,158,115,74,85,45,27,14,21,5,12,0,3,0,7,72,4962,
Parramatta (C),390,671,1452,548,754,614,455,614,405,861,898,2087,1476,2665,1581,2270,826,2207,534,355,889,41001,
Penrith (C),368,330,725,313,442,545,482,1116,719,1436,1183,2444,1336,1653,658,667,184,542,146,121,588,48840,
Pittwater (A),214,30,4,24,13,34,21,100,40,96,72,155,82,170,129,228,98,602,470,1074,139,19668,
Port Macquarie-Hastings (A),272,117,383,224,320,550,503,739,537,804,551,773,445,490,247,259,104,215,44,69,276,26200,
Port Stephens (A),191,117,311,231,231,357,386,766,536,730,509,693,302,427,193,192,42,166,45,77,225,23839,
Queanbeyan (C),103,77,177,124,140,202,255,389,209,400,266,465,188,337,196,268,110,368,117,77,165,11475,
Randwick (C),458,486,1192,329,450,363,280,388,250,395,307,747,455,1013,812,1732,919,4790,2558,3084,768,33784,
Richmond Valley (A),128,57,101,103,202,249,215,277,170,350,187,184,46,57,6,12,0,19,0,25,108,7529,
Rockdale (C),335,127,290,137,136,159,124,255,161,366,356,921,632,1306,733,1154,479,1882,599,399,386,27916,
Ryde (C),321,239,525,229,288,231,200,291,245,423,474,1002,758,1297,853,1098,514,1965,919,699,466,28725,
Shellharbour (C),117,151,429,214,320,373,288,481,346,544,404,610,321,453,169,201,79,199,28,41,203,18528,
Shoalhaven (C),362,205,364,378,579,774,720,1235,834,1114,647,652,264,333,90,100,16,56,26,86,289,42359,
Singleton (A),109,62,123,92,85,111,73,174,107,192,108,199,97,159,123,107,38,90,12,19,116,6864,
Snowy River (A),81,12,10,44,21,64,34,70,37,56,32,45,14,40,20,19,0,42,32,181,61,4452,
Strathfield (A),122,65,198,55,65,66,47,82,45,70,97,239,153,338,251,538,253,902,288,177,165,8544,
Sutherland Shire (A),404,262,653,257,275,321,249,505,266,592,519,1143,787,1587,1067,1421,596,2380,1148,926,478,66939,
Sydney (C),702,1178,2637,691,761,760,436,816,611,1109,924,1701,1048,1717,1247,2361,1260,7735,6540,9392,1591,49558,
Tamworth Regional (A),312,153,257,301,469,639,561,766,432,670,425,431,156,170,81,75,11,38,7,39,230,18097,
Temora (A),59,47,41,80,57,105,57,40,8,5,0,3,0,0,0,0,0,0,0,4,17,2244,
Tenterfield (A),64,29,29,73,85,131,75,71,21,15,6,3,0,0,0,0,0,0,0,7,23,2948,
The Hills Shire (A),404,70,112,116,97,116,95,206,87,154,98,282,151,368,320,839,447,2167,1042,888,338,48809,
Tumbarumba (A),49,23,20,37,28,57,37,33,11,10,3,6,0,0,0,0,0,0,0,0,14,1398,
Tumut Shire (A),81,95,68,122,98,162,126,139,44,84,28,41,6,9,3,0,0,5,0,16,45,4214,
Tweed (A),313,123,373,290,351,441,339,589,373,808,699,1087,667,1022,447,528,196,522,142,152,341,30339,
Upper Hunter Shire (A),277,55,59,103,114,150,124,176,75,100,48,98,12,34,11,20,5,4,6,12,111,4892,
Upper Lachlan Shire (A),111,29,25,46,24,53,38,60,18,19,14,8,0,3,0,3,0,9,0,9,29,3414,
Uralla (A),75,25,15,42,48,67,39,45,10,28,6,10,3,11,5,0,3,0,4,3,18,2165,
Urana (A),20,23,13,6,9,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,557,
Wagga Wagga (C),236,199,345,330,389,683,513,785,452,810,519,587,229,300,148,123,44,133,28,44,264,17602,
Wakool (A),66,34,20,64,50,61,22,15,3,8,3,3,0,4,0,0,0,3,0,5,26,1752,
Walcha (A),96,17,17,48,33,41,17,22,3,3,0,0,0,0,0,0,0,0,0,3,21,1246,
Walgett (A),194,153,76,133,117,98,43,29,9,8,0,0,0,0,3,4,0,3,0,3,80,2903,
Warren (A),80,26,42,60,82,35,11,10,0,0,0,0,0,0,0,0,0,0,0,3,27,1069,
Warringah (A),349,218,390,191,213,153,104,211,123,248,201,558,377,796,718,1153,582,2547,1446,2265,453,42721,
Warrumbungle Shire (A),170,72,60,177,113,176,56,25,9,6,0,0,0,0,0,4,0,0,3,3,52,3857,
Waverley (A),267,97,209,70,93,82,44,125,103,222,194,429,233,466,401,774,426,2492,1792,3005,385,18960,
Weddin (A),50,34,36,63,38,46,16,9,0,0,0,0,0,0,0,0,0,0,0,3,11,1523,
Wellington (A),79,52,78,159,124,142,73,71,32,30,0,6,0,0,0,0,0,6,0,4,37,2930,
Wentworth (A),70,65,27,82,70,152,49,45,17,24,5,9,0,12,0,0,3,3,3,3,24,2451,
Willoughby (C),277,67,164,69,70,64,58,88,50,87,55,151,118,305,281,576,380,2363,1201,1958,303,19359,
Wingecarribee (A),233,49,37,93,179,199,232,277,202,385,250,344,122,205,129,155,54,186,72,67,141,16742,
Wollondilly (A),186,59,25,57,59,95,87,173,119,249,154,252,89,163,56,105,25,129,51,47,111,13181,
Wollongong (C),479,760,1917,848,1091,1419,1108,1631,1084,1895,1328,1927,920,1259,619,792,268,1036,358,284,792,58625,
Woollahra (A),273,48,39,34,35,34,33,98,73,160,145,223,144,305,202,394,212,1330,1139,2767,261,17960,
Wyong (A),378,264,624,346,615,830,752,1342,1154,2114,1536,2076,824,952,437,523,153,328,96,109,481,49740,
Yass Valley (A),106,54,10,33,48,68,42,84,52,81,66,75,39,47,30,23,18,57,13,8,47,5107,
Young (A),106,42,47,107,98,175,181,188,105,86,41,27,7,5,0,0,0,4,0,6,43,4257,
Unincorporated NSW,31,26,8,9,12,6,5,9,0,3,0,0,0,0,0,4,0,0,0,0,15,556,
Alpine (S),110,27,69,87,89,166,150,143,59,67,35,30,5,6,4,8,0,10,12,57,70,5732,
Ararat (RC),81,44,73,92,102,190,102,84,31,49,16,24,10,7,3,3,0,6,3,6,58,4244,
Ballarat (C),261,228,573,615,837,1042,1095,1417,1105,1249,574,515,212,223,81,96,25,67,31,59,385,29797,
Banyule (C),311,202,549,293,291,293,277,494,434,823,830,1446,814,958,501,469,216,545,153,176,435,37686,
Bass Coast (S),215,42,141,120,112,248,231,407,253,372,164,228,95,169,74,122,15,163,36,73,204,20683,
Baw Baw (S),232,75,157,220,209,317,270,418,331,342,172,220,64,51,15,6,3,8,8,19,158,15406,
Bayside (C),305,123,352,176,187,145,101,157,167,193,256,418,309,459,345,462,202,907,564,1320,264,30555,
Benalla (RC),67,36,101,121,121,226,173,212,94,76,36,32,3,7,0,6,0,4,0,4,40,5269,
Boroondara (C),591,145,271,225,203,283,271,446,424,688,764,1417,1147,1600,1068,1137,494,2047,999,1670,500,48766,
Brimbank (C),493,170,302,313,374,648,667,1184,979,1919,1680,2101,832,640,187,169,29,136,41,184,691,51689,
Buloke (S),83,82,37,95,32,61,11,6,0,3,0,3,0,0,0,0,0,0,0,8,28,2814,
Campaspe (S),242,119,273,321,309,421,395,425,262,229,104,76,19,28,3,13,0,7,8,22,144,12935,
Cardinia (S),209,82,91,142,91,158,180,325,345,667,646,978,376,366,87,98,25,68,28,47,197,22959,
Casey (C),416,169,397,330,305,431,389,835,904,1814,1844,2847,1370,1351,566,542,119,328,69,203,662,71500,
Central Goldfields (S),53,60,90,100,135,245,155,112,52,31,7,11,0,4,0,0,0,3,0,8,57,5192,
Colac-Otway (S),106,67,94,154,128,270,219,242,127,127,47,35,6,11,6,7,0,3,5,20,102,9531,
Corangamite (S),281,50,100,161,103,219,123,118,40,39,13,13,3,8,0,8,0,5,0,12,99,6266,
Darebin (C),417,312,883,414,456,579,582,1160,1090,1651,1419,2182,1179,1409,729,813,380,1225,384,386,696,40163,
East Gippsland (S),291,172,271,326,254,521,429,530,304,299,124,150,46,53,15,22,12,18,4,42,159,18717,
Frankston (C),256,183,529,311,344,541,618,1165,1090,1906,1524,1741,734,694,296,235,78,260,61,140,433,40197,
Gannawarra (S),142,75,73,140,168,160,67,31,9,8,3,7,3,0,0,0,0,3,0,10,64,4252,
Glen Eira (C),492,146,224,210,246,297,362,845,952,1119,981,1420,995,1354,973,1048,494,1713,702,799,506,40419,
Glenelg (S),119,71,147,164,152,258,174,251,96,101,37,51,13,15,6,4,0,5,0,21,84,7801,
Golden Plains (S),85,15,12,49,29,34,31,54,33,60,27,42,16,21,3,9,0,3,0,0,41,6758,
Greater Bendigo (C),311,239,590,542,664,1185,1012,1293,1042,1124,580,611,201,210,87,93,33,71,28,79,363,33292,
Greater Dandenong (C),378,224,624,380,486,722,861,1450,1529,1887,1508,2015,803,669,176,164,39,114,46,224,658,35144,
Greater Geelong (C),700,431,956,954,1135,1580,1540,2266,1676,2557,1660,1726,755,877,443,410,138,396,79,181,781,74521,
Greater Shepparton (C),238,181,373,427,493,789,823,842,434,583,237,254,108,90,39,48,4,33,5,37,281,18970,
Hepburn (S),89,39,80,81,70,95,100,140,89,99,64,48,11,12,3,4,0,5,4,11,42,6994,
Hindmarsh (S),61,32,44,68,85,74,20,9,3,3,3,0,0,0,0,0,0,3,0,4,21,2609,
Hobsons Bay (C),248,119,287,204,178,320,300,561,561,1067,867,1137,489,511,270,349,141,487,153,200,344,26600,
Horsham (RC),121,109,134,126,191,376,223,161,121,142,44,56,25,28,10,14,3,12,3,15,104,6879,
Hume (C),320,168,304,269,266,380,360,682,712,1088,1194,2004,898,874,259,183,43,139,45,109,475,46835,
Indigo (S),83,30,55,75,83,131,112,153,70,91,37,32,14,9,0,8,0,9,3,9,59,5560,
Kingston (C),389,143,424,301,268,354,430,787,746,1124,1054,1467,876,1067,594,647,247,886,274,248,425,47101,
Knox (C),260,137,346,232,175,275,214,380,434,751,711,1369,884,1088,508,377,144,313,74,92,378,47019,
Latrobe (C),203,265,624,714,920,1218,861,662,351,415,173,234,108,97,31,25,4,18,15,41,284,25234,
Loddon (S),127,57,46,99,39,71,12,12,8,8,3,0,0,0,0,0,0,0,0,0,40,3621,
Macedon Ranges (S),157,56,87,75,102,134,121,208,137,237,158,191,100,113,49,65,20,74,9,24,91,14831,
Manningham (C),334,44,71,68,66,76,74,148,113,215,259,562,514,721,508,531,257,830,269,227,272,36452,
Mansfield (S),78,20,22,33,56,71,54,68,46,55,19,21,5,4,0,0,0,6,0,11,57,4903,
Maribyrnong (C),233,212,559,290,319,448,569,779,650,881,714,1157,609,818,482,558,155,545,135,154,372,20449,
Maroondah (C),201,117,303,186,225,293,219,446,598,962,958,1276,684,710,351,322,108,234,56,91,292,33303,
Melbourne (C),667,261,681,333,346,417,362,519,596,952,960,1767,1220,1877,1586,2168,1116,4969,2343,2586,927,26780,
Melton (S),184,51,106,125,117,257,303,663,691,1051,793,981,450,497,171,134,23,86,31,57,236,31726,
Mildura (RC),281,272,356,497,564,881,705,795,440,397,159,151,32,46,14,20,7,23,14,41,238,16841,
Mitchell (S),120,62,130,135,135,286,232,321,180,296,144,207,51,73,35,42,5,19,9,13,103,11237,
Moira (S),254,93,157,227,232,381,312,298,113,149,71,70,12,22,3,12,0,12,7,11,129,10660,
Monash (C),513,170,417,340,298,329,238,411,422,706,866,1735,1179,1702,1120,1289,544,1655,465,405,606,50205,
Moonee Valley (C),342,280,642,367,326,407,389,695,604,838,777,1422,790,1100,617,636,231,772,263,229,437,33957,
Moorabool (S),110,45,87,103,94,151,152,211,139,169,105,134,78,47,6,7,0,5,3,14,91,9812,
Moreland (C),643,222,569,311,319,468,580,1109,1004,1472,1326,2251,1347,1802,951,1114,497,1465,444,393,671,44407,
Mornington Peninsula (S),579,156,399,316,303,534,538,1095,792,1409,925,1230,553,645,300,351,121,357,128,184,447,72274,
Mount Alexander (S),92,49,96,89,67,147,123,166,113,144,76,54,22,23,4,5,0,4,0,3,48,7482,
Moyne (S),281,48,56,97,59,125,84,123,64,72,36,35,6,30,5,7,3,8,4,13,57,6392,
Murrindindi (S),87,51,51,63,56,117,79,100,57,58,22,22,7,11,4,6,0,7,0,7,73,6358,
Nillumbik (S),129,23,64,73,52,61,32,74,46,108,109,195,122,164,115,135,37,169,44,56,91,19105,
Northern Grampians (S),78,30,82,152,209,207,81,81,17,24,9,13,0,0,0,5,0,4,0,21,69,5065,
Port Phillip (C),412,251,921,341,324,495,404,712,881,1205,1094,1734,1213,1794,1463,1589,763,3102,1598,2118,621,29390,
Pyrenees (S),64,29,28,71,51,62,30,22,9,4,0,7,0,0,0,0,0,0,0,5,29,3131,
Queenscliffe (B),28,7,11,6,13,11,13,39,17,32,17,34,13,14,3,3,0,8,0,4,10,2482,
South Gippsland (S),249,84,111,134,98,214,198,302,132,165,65,57,12,26,0,4,0,4,0,18,115,13153,
Southern Grampians (S),167,94,132,194,122,191,117,166,69,84,24,40,7,9,3,4,4,11,0,8,78,6394,
Stonnington (C),429,136,515,185,276,285,259,436,689,1122,959,1467,992,1525,1091,1158,555,2096,1143,1545,501,29746,
Strathbogie (S),101,34,29,71,72,115,76,97,28,42,13,14,5,8,0,3,0,0,3,6,55,4283,
Surf Coast (S),166,37,35,55,46,96,82,169,89,184,87,212,104,168,84,137,64,160,39,35,62,14580,
Swan Hill (RC),190,147,184,236,197,362,231,296,129,98,37,58,10,12,4,8,3,5,3,14,120,6846,
Towong (S),78,32,30,62,52,71,30,37,15,19,0,6,3,3,0,0,0,0,0,0,28,2553,
Wangaratta (RC),142,89,175,150,230,348,325,305,159,157,91,55,15,19,3,7,0,7,3,15,136,9976,
Warrnambool (C),100,95,199,200,173,323,342,392,265,419,249,302,136,190,66,69,13,61,14,38,135,10201,
Wellington (S),302,118,204,306,360,536,402,408,198,257,126,128,43,49,16,16,3,20,8,25,144,17341,
West Wimmera (S),110,51,26,56,21,20,5,4,0,0,0,0,0,0,0,0,0,0,0,0,31,1982,
Whitehorse (C),547,218,462,332,355,365,277,480,545,792,803,1511,1087,1358,972,866,388,1049,280,310,556,48040,
Whittlesea (C),336,101,114,134,161,218,247,447,518,986,1024,1881,979,1173,453,339,53,207,47,146,430,45120,
Wodonga (RC),68,133,295,236,285,412,491,649,424,546,315,246,121,114,52,41,8,39,16,33,187,10039,
Wyndham (C),246,94,150,184,177,345,453,953,1098,2121,2035,2335,832,837,331,292,88,228,71,154,416,45781,
Yarra (C),298,367,990,490,549,511,322,480,577,738,598,783,484,815,705,998,577,2864,1430,1209,546,20601,
Yarra Ranges (S),419,142,248,205,196,358,354,636,439,772,643,954,501,551,239,207,60,167,46,56,307,49053,
Yarriambiack (S),95,65,47,94,80,66,15,3,7,3,0,0,0,0,0,0,0,0,0,3,33,3110,
Unincorporated Vic,25,0,0,3,0,3,5,0,3,3,3,7,0,0,0,3,0,0,3,167,37,1383,
Aurukun (S),10,66,63,37,13,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,47,
Balonne (S),151,67,36,65,47,65,43,48,26,30,3,10,0,8,0,0,0,0,3,6,48,1733,
Banana (S),277,151,145,159,109,107,66,134,50,108,70,91,27,69,26,37,9,52,8,15,161,4975,
Barcaldine (R),119,64,44,43,10,32,8,17,4,4,0,4,0,0,0,0,0,0,0,3,48,1484,
Barcoo (S),17,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,212,
Blackall Tambo (R),67,44,16,32,39,33,7,14,0,7,0,3,0,0,0,0,0,0,0,3,19,958,
Boulia (S),35,13,7,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,149,
Brisbane (C),2754,3749,3896,2999,2775,3756,2992,4794,3307,5962,5606,11571,9600,15804,11080,11804,5208,15140,5808,5591,3993,289380,
Bulloo (S),22,4,5,23,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,185,
Bundaberg (R),415,289,337,428,423,825,754,1047,1010,1626,869,801,249,192,54,83,31,72,17,73,352,31120,
Burdekin (S),202,95,81,118,115,234,200,240,140,154,64,66,18,23,7,7,0,8,3,5,82,6210,
Burke (S),24,9,6,8,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,291,
Cairns (R),547,666,672,681,854,1617,1560,2406,1347,2449,1958,2672,1146,1499,705,642,186,621,214,388,771,47537,
Carpentaria (S),73,54,25,38,12,23,33,30,6,10,3,6,3,8,0,3,0,3,0,12,41,1025,
Cassowary Coast (R),245,108,109,197,211,432,335,438,220,379,164,205,38,97,40,55,8,45,27,76,199,10053,
Central Highlands (R),620,1022,190,220,99,116,71,99,58,129,67,149,45,123,82,154,55,379,189,206,403,8983,
Charters Towers (R),180,73,61,83,89,146,98,147,72,112,40,55,16,13,4,3,0,12,3,11,72,4283,
Cherbourg (S),4,114,108,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,
Cloncurry (S),112,86,34,32,33,31,16,15,4,20,21,28,4,15,0,17,3,10,3,7,57,949,
Cook (S),116,94,25,50,22,38,44,38,16,37,17,34,6,14,7,6,0,17,4,9,52,1687,
Croydon (S),12,6,4,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,171,
Diamantina (S),20,18,3,14,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,143,
Doomadgee (S),23,45,23,39,14,26,7,10,5,4,0,0,0,0,3,0,0,0,0,0,6,89,
Etheridge (S),46,17,7,10,4,7,3,5,0,0,0,0,0,0,0,0,0,4,5,3,26,607,
Flinders (S),53,46,17,31,33,22,3,4,3,0,0,0,0,0,0,0,0,0,3,0,16,773,
Fraser Coast (R),397,290,335,359,441,789,741,1393,1259,1819,1079,1072,256,183,68,77,21,90,31,110,384,33872,
Gladstone (R),398,181,228,224,206,255,157,302,207,421,276,521,244,543,316,435,141,561,201,151,433,18643,
Gold Coast (C),1447,963,953,825,799,1226,940,1861,1440,3703,3558,6705,4910,8288,5702,6656,2599,7454,2393,2254,1805,154873,
Goondiwindi (R),219,107,45,107,112,177,75,123,65,100,54,54,21,16,6,5,0,3,3,13,84,3426,
Gympie (R),274,141,168,211,205,429,336,615,490,742,323,378,86,70,20,27,5,26,15,31,180,17013,
Hinchinbrook (S),130,66,49,126,121,178,114,123,54,108,29,38,7,11,3,3,0,3,3,3,56,4433,
Hope Vale (S),8,66,43,30,28,21,12,3,0,0,0,0,0,0,0,0,0,0,0,0,7,36,
Ipswich (C),336,463,524,584,561,677,659,1460,1345,2760,2124,3533,2302,1483,551,412,88,277,67,119,627,42179,
Isaac (R),490,1981,347,212,52,107,35,64,36,49,15,63,5,48,27,41,3,71,29,401,400,5640,
Kowanyama (S),18,214,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,21,
Lockhart River (S),9,20,15,15,27,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,
Lockyer Valley (R),166,49,92,105,101,163,180,284,265,438,358,341,139,136,36,32,8,27,17,20,132,10469,
Logan (C),479,807,850,853,750,802,590,1212,1277,2151,2316,4795,2730,3342,1832,1326,413,984,203,179,960,71721,
Longreach (R),105,94,37,50,34,57,36,41,16,52,17,18,9,13,4,10,0,4,3,21,67,1688,
Mackay (R),553,350,347,376,329,456,321,565,321,739,507,1059,493,1069,620,907,311,1431,298,210,517,33904,
McKinlay (S),51,3,3,12,10,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,374,
Mapoon (S),3,60,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,
Maranoa (R),283,123,63,121,110,96,61,86,35,84,41,86,36,46,25,44,0,45,21,19,138,4624,
Moreton Bay (R),689,913,979,974,915,1159,1071,2144,1559,3269,3581,5488,4341,4216,2250,1943,545,1333,401,338,1178,109509,
Mornington (S),31,109,30,31,14,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,90,
Mount Isa (C),269,288,143,146,93,104,66,173,81,172,85,165,63,163,75,143,49,327,125,62,217,5851,
Murweh (S),101,84,24,50,40,75,60,51,26,16,4,4,0,3,0,0,0,0,0,3,41,1743,
Napranum (S),8,46,51,32,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,
North Burnett (R),202,117,96,165,99,176,80,62,22,22,7,4,0,4,0,0,0,4,0,8,78,4327,
Northern Peninsula Area (R),30,299,102,66,12,9,3,3,0,0,0,0,0,0,0,0,0,0,0,8,21,252,
Palm Island (S),16,83,61,86,56,32,17,3,0,0,0,0,0,0,0,0,0,0,0,0,14,61,
Paroo (S),60,49,47,58,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,844,
Pormpuraaw (S),12,69,9,35,10,28,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,33,
Quilpie (S),49,15,12,42,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,502,
