lga,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate Level,Level of education inadequately described,Level of education not stated,Not applicable
Doomadgee (S),11,10,22,21,83,0,68,1192
Douglas (S),189,139,979,844,2349,64,1708,5444
Etheridge (S),5,0,32,37,120,4,93,512
Flinders (S),9,7,75,60,235,0,153,991
Fraser Coast (R),993,1001,5677,6057,20531,601,10575,56073
Gladstone (R),681,554,4099,3149,13651,309,4925,34261
Gold Coast (C),14602,6697,57114,46802,99371,4064,47781,279291
Goondiwindi (R),73,77,728,588,1614,31,1154,6365
Gympie (R),411,424,2596,3009,9905,263,4956,27981
Hinchinbrook (S),64,60,555,458,2198,46,1109,6402
Hope Vale (S),0,9,13,20,187,5,100,587
Ipswich (C),2902,1836,12990,12792,36054,852,13995,112305
Isaac (R),167,144,1305,797,4126,66,2921,11414
Kowanyama (S),5,6,15,7,114,3,79,720
Livingstone (S),517,454,2624,2008,7187,157,3963,19359
Lockhart River (S),0,3,16,13,64,0,123,491
Lockyer Valley (R),471,294,2183,2141,6783,199,4018,22509
Logan (C),4272,2585,19650,19391,56674,1674,21437,177696
Longreach (R),49,56,305,234,607,13,409,1994
Mackay (R),1143,1048,7503,5768,24390,496,10568,64055
McKinlay (S),5,5,59,32,154,9,81,449
Mapoon (S),0,3,5,8,65,3,20,205
Maranoa (R),109,96,903,770,2146,46,1295,7300
Mareeba (S),262,166,1385,1174,3599,117,3409,11439
Moreton Bay (R),7303,5396,34204,32197,81491,2347,29698,232677
Mornington (S),8,6,46,20,105,0,205,754
Mount Isa (C),265,183,1333,764,3671,64,2067,10330
Murweh (S),32,39,289,205,617,17,413,2704
Napranum (S),0,0,5,10,101,4,36,788
Noosa (S),1329,876,5606,4792,9985,389,4384,24788
North Burnett (R),60,71,501,474,1627,52,1421,6281
Northern Peninsula Area (R),15,18,92,130,456,11,201,1882
Palm Island (S),16,11,54,41,264,6,113,1945
Paroo (S),14,18,68,90,253,9,154,1039
Pormpuraaw (S),5,4,10,22,94,0,42,578
Quilpie (S),5,7,48,42,136,0,50,528
Redland (C),3111,2022,13382,12332,29489,887,8716,77073
Richmond (S),8,9,45,45,130,0,81,475
Rockhampton (R),1112,848,5528,3809,14395,353,7143,46542
Scenic Rim (R),663,461,2882,2784,7376,206,3925,21780
Somerset (R),197,204,1228,1411,4666,100,2399,14381
South Burnett (R),250,248,1713,1755,5896,143,3301,18876
Southern Downs (R),391,325,2184,1965,6250,136,3134,20726
Sunshine Coast (R),6521,4605,29623,24466,57540,1960,21830,147829
Tablelands (R),367,265,1753,1574,4663,134,2679,13397
Toowoomba (R),3771,2127,14737,10223,28227,713,13108,87874
Torres (S),60,47,226,181,529,11,660,1909
Torres Strait Island (R),9,26,75,128,817,10,575,2879
Townsville (C),4050,2275,17090,11676,34770,848,15745,100300
Weipa (T),62,51,290,194,931,13,373,1991
Western Downs (R),207,214,1964,1684,5698,109,3995,19573
Whitsunday (R),296,259,2030,2117,6929,163,4669,17326
Winton (S),13,13,66,52,192,3,123,669
Woorabinda (S),3,4,20,23,74,4,121,718
Wujal Wujal (S),0,0,3,4,49,0,22,193
Yarrabah (S),5,12,38,56,260,5,224,1953
No usual address (Qld),266,118,1148,781,2217,113,2765,5107
Migratory - Offshore - Shipping (Qld),0,0,3,15,23,0,25,82
Adelaide (C),2188,494,5082,1689,1690,163,2719,8040
Adelaide Hills (DC),1993,1045,6162,3314,5899,240,2156,18052
Alexandrina (DC),370,351,1978,2055,5332,185,2343,13256
Anangu Pitjantjatjara (AC),20,11,81,40,166,7,394,1550
Barossa (DC),361,299,1887,1761,4627,157,1722,12756
Barunga West (DC),15,12,122,147,432,9,251,1550
Berri and Barmera (DC),84,74,587,565,1857,63,963,6350
Burnside (C),4003,1363,9987,3465,3363,385,2208,19128
Campbelltown (C),2340,925,7403,3746,6710,403,2440,26195
Ceduna (DC),20,24,181,165,512,21,474,2017
Charles Sturt (C),3609,1715,13838,8107,17396,785,7220,59098
Clare and Gilbert Valleys (DC),117,133,775,607,1681,38,748,4927
Cleve (DC),16,12,98,96,307,10,150,1079
Coober Pedy (DC),34,14,116,101,271,13,330,890
Copper Coast (DC),75,110,660,713,2715,63,1499,8302
Elliston (DC),3,17,70,49,171,8,91,633
Flinders Ranges (DC),15,22,98,84,307,8,174,924
Franklin Harbour (DC),4,11,42,61,257,0,135,790
Gawler (T),290,241,1456,1646,4570,144,1650,13041
Goyder (DC),31,31,216,258,734,22,381,2467
Grant (DC),68,80,417,419,1609,24,1059,4531
Holdfast Bay (C),1707,870,5754,3215,5216,295,2627,15675
Kangaroo Island (DC),87,67,378,275,819,33,543,2510
Karoonda East Murray (DC),5,5,53,51,170,8,88,708
Kimba (DC),9,7,55,62,165,3,81,672
Kingston (DC),12,22,117,123,415,17,234,1395
Light (RegC),156,167,1008,989,3062,62,882,8412
Lower Eyre Peninsula (DC),55,61,360,339,1014,28,652,3006
Loxton Waikerie (DC),70,112,599,677,2034,56,961,6982
Mallala (DC),50,50,326,446,1779,41,732,5374
Maralinga Tjarutja (AC),0,0,6,0,5,0,34,15
Marion (C),3188,1497,11717,7097,14601,634,5193,44677
Mid Murray (DC),63,60,385,423,1749,43,1082,4844
Mitcham (C),4256,1998,12495,5332,7658,452,3106,29519
Mount Barker (DC),796,576,3456,2713,6347,201,2132,17184
Mount Gambier (C),269,233,1503,1256,5237,118,1914,15752
Mount Remarkable (DC),14,38,170,194,528,23,264,1633
Murray Bridge (RC),152,142,917,1025,3890,120,2066,12547
Naracoorte and Lucindale (DC),56,71,555,478,1448,45,606,5021
Northern Areas (DC),39,45,311,272,818,21,367,2655
Norwood Payneham St Peters (C),2730,1046,7327,2668,3606,270,2050,15659
Onkaparinga (C),2713,2090,13345,12367,34971,1058,10496,89732
Orroroo/Carrieton (DC),0,13,59,54,147,7,90,524
Peterborough (DC),9,14,60,55,259,5,180,1090
Playford (C),562,418,3371,4334,16453,459,6863,56909
Port Adelaide Enfield (C),4339,1653,13988,8072,17886,845,8911,65533
Port Augusta (C),108,122,661,574,2489,68,2012,7789
Port Lincoln (C),115,144,884,719,2760,88,1291,8060
Port Pirie City and Dists (M),104,124,789,768,3262,89,1369,10858
Prospect (C),1259,563,3874,1579,2401,151,1080,9622
Renmark Paringa (DC),64,70,462,528,1588,38,952,5776
Robe (DC),12,20,103,93,307,11,147,682
Roxby Downs (M),59,37,299,172,951,12,318,2032
Salisbury (C),2581,983,9310,7772,24146,847,8448,83892
Southern Mallee (DC),12,15,125,100,315,6,202,1248
Streaky Bay (DC),5,17,130,95,385,3,182,1243
Tatiara (DC),30,49,368,403,1141,37,663,3935
Tea Tree Gully (C),2291,1486,9938,8011,18873,689,4827,51629
The Coorong (DC),24,34,220,284,931,16,453,3421
Tumby Bay (DC),17,22,152,143,447,17,232,1568
Unley (C),3209,1287,8397,2852,3336,302,2175,16163
Victor Harbor (C),226,181,1113,1149,2941,116,1291,7652
Wakefield (DC),31,50,348,330,1178,39,570,4246
Walkerville (M),624,215,1639,605,695,62,457,3257
Wattle Range (DC),76,89,591,539,2221,50,1010,7106
West Torrens (C),2742,1056,8834,4407,8125,374,3719,28655
Whyalla (C),192,130,1191,966,4618,88,1936,12711
Wudinna (DC),3,3,71,55,178,8,109,816
Yankalilla (DC),93,70,383,417,1026,30,470,2665
Yorke Peninsula (DC),52,81,556,622,2108,57,988,6583
Unincorporated SA,23,25,176,164,695,19,667,1757
No usual address (SA),59,23,214,145,476,22,649,1264
Migratory - Offshore - Shipping (SA),0,0,0,0,0,0,0,3
Albany (C),507,506,2854,2640,7049,234,3388,19407
Armadale (C),1855,836,7193,5639,14593,498,5452,43522
Ashburton (S),186,94,968,754,3908,54,2211,4844
Augusta-Margaret River (S),241,236,1756,1071,2674,81,1277,6923
Bassendean (T),470,328,1938,1139,2497,94,1087,7546
Bayswater (C),2631,1292,10074,5172,9571,487,5121,30332
Belmont (C),1394,532,5115,2882,5937,289,4384,19156
Beverley (S),15,14,105,99,293,11,250,957
Boddington (S),23,18,119,113,334,7,184,1053
Boyup Brook (S),14,14,120,106,271,12,178,1004
Bridgetown-Greenbushes (S),50,57,372,326,966,40,477,2378
Brookton (S),8,13,47,43,128,7,134,590
Broome (S),312,250,1541,1015,2799,61,2083,8166
Broomehill-Tambellup (S),9,9,65,52,171,11,144,687
Bruce Rock (S),0,12,66,49,143,10,87,561
Bunbury (C),501,409,2600,1995,6285,205,3111,16810
Busselton (C),483,479,3252,2635,7246,231,3206,19168
Cambridge (T),2314,889,6707,2001,1784,189,1646,11245
Canning (C),4939,1597,15247,7162,11177,748,5436,43884
Capel (S),261,223,1484,1142,3440,94,1128,9349
Carnamah (S),3,10,27,31,95,5,57,326
