lga,"Oceanian, nfd","Australian Peoples, nfd",Australian,Australian Aboriginal,Australian South Sea Islander,Torres Strait Islander,"New Zealand Peoples, nfd",Maori,New Zealander,"Melanesian and Papuan, nfd",New Caledonian,Ni-Vanuatu,Papua New Guinean,Solomon Islander,"Melanesian and Papuan, nec","Micronesian, nfd",I-Kiribati,Nauruan,"Micronesian, nec","Polynesian, nfd",Cook Islander,Fijian,Niuean,Samoan,Tongan,Hawaiian,Tahitian,Tokelauan,Tuvaluan,Pitcairn,"Polynesian, nec","North-West European, nfd","British, nfd",English,Scottish,Welsh,Channel Islander,Manx,"British, nec",Irish,"Western European, nfd",Austrian,Dutch,Flemish,French,German,Swiss,Belgian,Frisian,Luxembourg,"Western European, nec","Northern European, nfd",Danish,Finnish,Icelandic,Norwegian,Swedish,"Northern European, nec","Southern and Eastern European, nfd","Southern European, nfd",Basque,Catalan,Italian,Maltese,Portuguese,Spanish,Gibraltarian,"Southern European, nec","South Eastern European, nfd",Albanian,Bosnian,Bulgarian,Croatian,Greek,Macedonian,Moldovan,Montenegrin,Romanian,Roma Gypsy,Serbian,Slovene,Cypriot,Vlach,"South Eastern European, nec","Eastern European, nfd",Belarusan,Czech,Estonian,Hungarian,Latvian,Lithuanian,Polish,Russian,Slovak,Ukrainian,Sorb/Wend,"Eastern European, nec","North African and Middle Eastern, nfd","Arab, nfd",Algerian,Egyptian,Iraqi,Jordanian,Kuwaiti,Lebanese,Libyan,Moroccan,Palestinian,Saudi Arabian,Syrian,Tunisian,Yemeni,Bahraini,Emirati,Omani,Qatari,"Arab, nec",Jewish,"Peoples of the Sudan, nfd",Bari,Darfur,Dinka,Nuer,South Sudanese,Sudanese,"Peoples of the Sudan, nec","Other North African and Middle Eastern, nfd",Berber,Coptic,Iranian,Kurdish,Turkish,Assyrian,Chaldean,Mandaean,Nubian,Yezidi,"Other North African and Middle Eastern, nec","South-East Asian, nfd","Mainland South-East Asian, nfd",Anglo-Burmese,Burmese,Hmong,Khmer (Cambodian),Lao,Thai,Vietnamese,Karen,Mon,Chin,Rohingya,"Mainland South-East Asian, nec","Maritime South-East Asian, nfd",Filipino,Indonesian,Javanese,Madurese,Malay,Sundanese,Timorese,Acehnese,Balinese,Bruneian,Kadazan,Singaporean,Temoq,"Maritime South-East Asian, nec","North-East Asian, nfd","Chinese Asian, nfd",Chinese,Taiwanese,"Chinese Asian, nec","Other North-East Asian, nfd",Japanese,Korean,Mongolian,Tibetan,"Other North-East Asian, nec","Southern and Central Asian, nfd","Southern Asian, nfd",Anglo-Indian,Bengali,Burgher,Gujarati,Indian,Malayali,Nepalese,Pakistani,Punjabi,Sikh,Sinhalese,Maldivian,Bangladeshi,Bhutanese,Fijian Indian,Kashmiri,Parsi,Sindhi,Sri Lankan,Sri Lankan Tamil,Indian Tamil,"Tamil, nfd",Telugu,"Southern Asian, nec","Central Asian, nfd",Afghan,Armenian,Georgian,Kazakh,Pathan,Uzbek,Azeri,Hazara,Tajik,Tatar,Turkmen,Uighur,Kyrgyz,"Central Asian, nec","Peoples of the Americas, nfd","North American, nfd",African American,American,Canadian,French Canadian,Hispanic North American,Native North American Indian,Bermudan,"North American, nec","South American, nfd",Argentinian,Bolivian,Brazilian,Chilean,Colombian,Ecuadorian,Guyanese,Peruvian,Uruguayan,Venezuelan,Paraguayan,"South American, nec","Central American, nfd",Mexican,Nicaraguan,Salvadoran,Costa Rican,Guatemalan,Mayan,"Central American, nec","Caribbean Islander, nfd",Cuban,Jamaican,Trinidadian Tobagonian,Barbadian,Puerto Rican,"Caribbean Islander, nec","Sub-Saharan African, nfd","Central and West African, nfd",Akan,Fulani,Ghanaian,Nigerian,Yoruba,Ivorean,Liberian,Sierra Leonean,Acholi,Cameroonian,Congolese,Gio,Igbo,Krahn,Mandinka,Senegalese,Themne,Togolese,"Central and West African, nec","Southern and East African, nfd",Afrikaner,Angolan,Eritrean,Ethiopian,Kenyan,Malawian,Mauritian,Mozambican,Namibian,Oromo,Seychellois,Somali,South African,Tanzanian,Ugandan,Zambian,Zimbabwean,Amhara,Batswana,Hutu,Masai,Tigrayan,Tigre,Zulu,Burundian,Kunama,Madi,Ogaden,Rwandan,Shona,Swahili,Swazilander,"Southern and East African, nec",Inadequately described,"Eurasian, so described","Asian, so described","African, so described","European, so described","Caucasian, so described","Creole, so described",Not stated
Richmond Valley (A),0,0,7756,97,0,0,0,30,35,0,0,0,4,0,0,0,0,0,0,0,4,3,0,5,0,0,0,0,0,0,0,0,3,9251,879,25,0,0,0,1462,0,7,93,0,17,359,3,5,0,0,0,0,12,3,0,0,10,0,0,0,0,0,311,16,5,14,0,0,5,0,0,0,3,30,4,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,13,4,0,0,0,0,0,0,96,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,3,0,0,0,0,0,0,0,0,0,26,0,0,4,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,4,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,4,0,3,0,0,0,1921
Rockdale (C),23,0,10246,50,11,4,0,417,238,0,0,5,17,0,0,0,0,0,0,15,56,288,23,201,191,0,3,4,0,0,0,9,8,14651,1668,82,0,0,0,3151,0,57,175,0,205,821,28,25,0,0,0,4,36,27,0,15,36,0,30,0,4,0,4175,662,880,895,0,0,147,41,135,69,693,9849,4964,0,17,90,6,768,65,468,0,0,29,15,163,19,241,23,51,400,536,133,162,0,0,89,521,16,1520,104,73,0,6381,4,21,113,16,105,4,0,8,0,0,0,0,41,10,0,0,0,0,9,18,0,0,5,36,245,30,527,133,3,0,0,0,8,7,0,0,48,0,38,43,729,1213,0,0,0,0,0,0,2142,536,4,0,87,0,15,0,0,0,0,27,0,12,0,0,14455,103,0,0,392,397,625,10,0,0,114,28,339,0,6,2464,8,3999,260,29,11,24,0,1680,0,77,4,0,0,101,0,0,10,18,29,0,30,74,15,3,5,7,0,0,0,0,0,0,0,5,50,0,5,44,23,0,39,0,0,4,160,97,9,495,363,439,65,0,145,118,17,0,9,0,47,6,17,3,4,3,0,6,3,9,0,0,0,3,0,0,0,0,21,23,5,0,0,6,0,0,0,0,0,0,0,0,0,3,4,0,0,0,14,10,21,0,87,0,0,0,0,3,139,0,18,11,33,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,153,6,140,114,59,5,4,7575
Ryde (C),12,0,13063,22,3,0,0,96,213,0,0,0,11,0,0,0,0,0,0,8,14,113,6,35,66,0,0,0,0,0,0,0,15,21843,2609,131,0,0,0,4379,0,74,297,5,208,1150,54,31,0,0,0,8,66,63,5,20,45,0,8,0,0,0,6311,288,156,415,0,0,81,7,55,66,595,1488,217,3,11,92,0,348,51,136,0,0,33,18,92,22,221,19,45,471,385,75,123,0,5,47,212,0,365,66,63,12,1629,0,6,163,45,72,3,0,0,0,3,0,5,81,0,0,0,0,0,0,7,0,0,5,8,1150,38,232,62,16,3,0,0,47,7,0,0,139,0,50,43,456,841,0,0,0,0,5,0,2105,501,11,0,226,0,9,0,5,0,0,39,0,0,0,0,27033,185,4,0,611,5506,15,8,0,0,78,39,92,0,4,5111,9,496,386,48,24,112,13,332,3,41,8,0,0,837,93,0,181,10,9,0,342,2139,0,7,7,3,14,3,9,0,0,14,0,3,24,0,5,94,41,5,22,3,0,0,65,40,4,75,136,147,12,3,142,23,40,0,3,0,65,0,13,0,0,0,4,3,3,0,4,0,0,0,3,0,0,0,16,20,4,0,0,0,0,5,10,0,3,0,0,0,0,0,9,0,11,0,0,0,29,0,73,0,0,0,3,0,231,0,5,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,162,21,95,96,48,0,0,5283
Shellharbour (C),0,0,17728,109,0,5,0,123,111,0,0,0,8,0,0,0,5,0,0,0,6,24,6,31,15,0,0,0,0,0,0,0,13,26508,3051,265,3,0,0,3299,0,136,499,0,85,1706,13,13,0,0,0,12,32,73,0,15,30,0,0,0,0,0,2063,666,474,841,0,0,121,14,27,7,404,480,1857,0,0,6,0,320,91,80,0,0,20,0,21,16,187,13,7,274,55,11,33,0,0,12,11,0,80,24,9,0,116,0,0,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,8,326,3,0,8,0,0,0,0,0,0,3,0,13,27,105,135,0,0,0,0,0,0,294,19,0,0,22,0,0,0,0,0,0,0,0,0,0,0,388,4,0,0,20,56,0,0,0,0,4,3,0,0,0,233,0,4,63,0,0,7,0,8,0,9,0,0,0,33,0,0,0,0,0,0,5,6,0,0,4,0,0,0,0,0,0,3,0,0,4,0,6,40,21,4,0,3,0,0,27,13,0,11,192,10,0,0,12,36,0,0,0,3,4,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,82,0,0,3,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,79,4,20,21,31,0,0,3617
Shoalhaven (C),0,0,28479,200,0,3,0,76,183,0,0,0,5,0,0,0,0,0,0,8,4,24,0,17,7,0,0,0,0,0,0,3,16,42736,4639,224,0,0,0,5821,0,116,692,0,130,1722,27,19,0,0,0,12,110,68,5,31,47,0,4,0,0,0,1422,412,75,149,0,0,60,3,8,6,251,377,51,0,0,8,0,80,38,27,0,0,17,0,47,24,161,39,28,270,124,19,64,0,9,5,14,0,26,11,4,0,68,0,0,3,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,10,0,30,0,0,0,0,0,0,0,0,0,9,0,13,12,117,74,0,0,0,0,0,0,315,42,0,0,13,0,0,0,5,0,0,7,0,0,0,0,567,8,0,0,41,44,0,31,0,0,6,3,6,0,0,294,0,45,16,3,3,6,0,14,0,4,0,0,0,40,6,0,0,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,83,32,0,0,5,0,0,20,12,0,9,42,5,0,0,13,26,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,32,0,0,0,4,0,101,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,152,4,9,20,42,0,0,7827
Singleton (A),0,0,7523,19,0,0,0,48,52,3,0,0,11,0,0,0,0,0,0,0,5,7,0,0,3,0,0,0,0,0,0,0,0,9559,969,27,0,0,0,1358,0,10,127,0,27,386,10,0,0,0,0,5,6,0,0,3,9,0,0,0,0,0,170,41,3,21,0,0,8,0,0,4,9,19,0,0,0,0,0,7,0,0,0,0,0,0,6,3,21,5,0,31,17,3,4,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27,0,0,0,0,0,0,122,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,11,0,0,0,9,0,0,0,0,0,0,0,0,0,52,0,0,10,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,11,3,4,0,0,1872
Snowy Monaro Regional (A),0,0,5604,11,0,0,0,10,56,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7893,1037,36,0,0,0,1287,0,72,161,0,35,543,38,7,0,0,0,0,14,27,0,12,19,0,0,0,0,0,310,27,5,25,0,0,11,0,6,0,35,45,19,0,0,13,0,13,20,9,0,0,0,0,42,10,39,12,11,79,38,4,19,0,0,0,0,0,3,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,37,13,0,0,0,0,0,0,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,14,0,0,10,24,0,0,0,0,0,0,0,0,0,33,0,0,8,0,0,9,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,14,0,0,1970
Snowy Valleys (A),6,0,4704,37,0,0,0,28,37,0,0,0,0,6,0,0,0,0,0,0,0,11,0,3,4,0,0,0,0,0,0,0,0,5580,615,9,0,0,0,912,0,6,66,0,15,266,4,3,0,0,0,0,5,36,0,3,0,0,0,0,0,0,69,5,0,4,0,0,4,0,0,6,15,17,4,0,0,3,0,6,10,0,0,0,0,0,9,6,11,0,0,21,4,3,8,0,0,0,0,0,7,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,21,6,0,0,0,0,0,0,39,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,78,17,0,0,4,5,0,0,0,0,0,0,0,0,0,32,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,1473
Strathfield (A),14,0,2376,3,0,0,0,43,46,0,0,0,10,0,0,0,0,0,0,0,14,75,0,41,64,0,0,0,0,0,4,0,10,3565,372,11,0,0,0,905,0,12,38,0,54,190,10,4,0,0,0,0,5,13,0,4,4,0,0,0,0,0,1727,85,81,134,0,0,25,0,19,3,200,717,32,0,0,36,0,84,30,78,0,0,7,0,10,3,63,11,4,127,182,12,36,0,0,22,90,8,314,34,16,0,2120,0,0,63,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,9,74,8,140,39,3,0,0,0,10,0,0,3,91,0,32,16,200,815,0,0,0,0,5,0,547,71,0,0,62,0,4,0,0,0,0,7,0,0,0,0,8006,90,0,0,84,3528,33,0,0,0,96,8,35,0,13,4963,0,1181,250,20,5,96,0,109,0,25,0,0,5,812,352,0,589,41,26,0,15,18,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,23,7,0,10,4,0,0,16,7,0,25,48,34,9,0,51,12,0,0,0,0,3,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,5,0,37,0,0,0,0,11,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,61,3,69,33,6,0,0,2848
Sutherland Shire (A),25,0,52884,95,15,0,0,531,581,4,0,0,21,5,0,0,0,0,0,4,40,135,21,104,116,3,0,0,0,0,0,7,52,83469,8980,480,0,5,0,14539,0,204,1188,4,479,3275,125,44,0,0,0,16,161,92,0,63,153,0,27,0,0,0,6952,1097,564,664,0,0,135,54,184,38,1119,5589,1464,9,15,91,0,419,114,401,0,0,37,20,204,43,361,78,80,809,889,86,316,0,3,31,157,9,911,31,18,0,1731,0,6,69,0,119,0,0,0,0,0,0,0,56,5,0,0,0,0,8,5,0,0,0,20,154,7,194,36,5,4,0,0,16,0,0,0,34,0,77,31,380,443,0,0,0,0,0,0,1189,255,0,0,113,0,8,0,0,0,0,27,0,0,0,0,6819,46,0,0,271,270,8,0,0,0,51,41,33,0,0,1647,3,244,122,33,14,20,3,86,0,48,0,0,0,157,10,0,9,8,0,0,7,87,0,5,7,0,4,5,0,11,0,0,0,0,45,0,8,176,125,5,20,5,0,0,141,96,3,217,282,192,21,3,93,84,28,0,0,0,37,0,13,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,13,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,13,0,0,9,32,0,166,0,0,4,7,0,522,0,0,4,57,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,259,13,33,99,99,3,0,9455
Sydney (C),31,0,19804,225,43,6,0,323,770,4,0,4,37,6,0,0,0,0,0,12,43,162,14,88,113,4,0,0,3,0,0,10,59,48437,5965,334,0,6,0,11764,6,226,917,7,1864,3222,190,151,0,4,0,26,185,144,20,140,323,0,38,0,12,9,5381,380,650,1371,0,0,145,38,114,99,509,2604,323,9,9,195,3,557,58,199,0,0,100,31,317,79,489,94,141,1129,1538,228,475,0,0,81,248,25,267,61,68,5,1006,0,57,51,129,69,12,18,0,8,8,0,9,347,4,0,0,0,0,5,20,0,0,4,0,757,48,614,79,6,0,0,0,85,4,5,0,132,6,93,108,6027,2352,0,0,0,0,0,0,1718,2121,5,0,393,0,9,3,16,0,0,84,0,6,0,0,34327,485,11,0,1777,3711,322,0,0,0,43,23,54,0,5,3742,6,327,204,27,9,49,4,225,6,49,0,5,8,494,10,4,55,0,13,0,43,131,23,8,6,15,10,0,4,11,0,18,7,0,106,8,38,531,200,17,48,17,0,4,119,134,25,730,361,719,50,6,143,58,76,5,13,0,252,12,13,8,3,0,3,15,23,17,3,5,14,13,11,5,0,0,23,52,0,3,0,6,0,3,12,0,0,0,0,9,0,0,12,0,15,0,5,32,29,0,101,4,0,0,4,5,421,9,15,10,34,0,6,0,0,0,0,7,0,0,0,0,3,5,0,0,9,347,22,94,158,140,4,0,26452
Tamworth Regional (A),10,0,20316,163,0,5,0,62,72,3,0,0,14,0,0,0,0,0,0,0,3,34,0,3,4,0,0,0,0,0,0,0,3,24038,2428,57,0,0,0,3556,0,14,217,0,56,873,16,4,0,0,0,6,25,13,0,5,14,0,3,0,0,0,373,74,7,25,0,0,12,0,0,0,25,46,3,0,0,0,0,9,4,0,0,0,0,0,8,0,27,8,0,43,35,0,11,0,0,0,10,0,12,6,0,0,47,0,0,0,0,4,0,0,0,0,0,0,0,4,17,0,0,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,5,0,0,14,0,0,19,36,60,22,0,0,3,0,0,368,10,0,0,6,0,0,0,0,0,0,9,0,0,0,0,477,49,0,0,11,159,0,0,0,0,3,0,8,0,0,295,0,37,30,15,4,11,0,27,0,3,0,0,0,37,4,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,35,13,4,0,4,0,0,3,7,0,5,0,4,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,87,0,0,0,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,11,17,5,0,0,4755
Temora (A),0,0,2020,5,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2541,256,4,0,0,0,416,0,0,19,0,0,246,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,32,0,0,5,0,0,5,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,392
Tenterfield (A),0,0,1920,118,0,3,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2518,272,11,0,0,0,489,0,0,42,0,12,190,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,98,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,7,0,0,0,0,0,0,0,5,0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,18,0,0,0,3,0,0,758
The Hills Shire (A),18,0,26332,27,0,0,0,132,372,0,0,0,11,11,0,0,0,0,0,0,10,163,7,70,77,0,0,0,0,0,0,6,41,41882,4689,232,0,3,4,6834,0,130,865,0,241,2040,98,35,0,0,0,11,105,79,3,44,88,0,13,0,3,0,6190,1664,281,595,0,0,106,9,55,28,1086,1480,113,5,8,131,0,380,112,157,0,0,25,9,92,52,312,75,35,853,505,58,169,0,0,70,196,0,865,88,70,0,2535,0,5,133,16,172,0,0,0,0,0,0,0,38,9,0,0,0,0,10,14,0,0,8,69,1945,107,495,116,5,7,0,0,25,20,6,0,134,0,60,33,298,592,3,0,0,0,0,0,2818,317,0,0,186,0,7,0,0,0,0,65,0,0,0,0,18831,172,0,0,194,3244,0,0,0,3,132,96,108,0,7,9006,3,192,807,156,84,442,0,355,0,162,12,0,8,2079,266,13,427,0,18,0,550,334,0,0,8,0,29,0,11,0,0,0,0,0,44,0,0,191,64,0,16,5,0,0,87,61,7,91,222,97,23,7,126,91,35,5,3,0,66,0,25,8,5,0,3,10,11,0,9,0,0,10,4,3,0,0,86,40,0,0,0,3,0,0,5,0,9,0,0,0,0,0,3,3,29,0,0,7,28,0,182,0,0,0,0,0,1027,0,10,9,85,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,215,6,131,153,78,3,3,5209
Tweed (A),12,7,24375,130,102,12,0,185,354,0,0,11,19,0,0,0,0,0,0,7,6,27,4,36,8,4,0,0,0,5,6,0,9,39270,4578,217,0,7,0,6757,0,71,597,0,179,1648,56,23,0,0,0,9,87,55,0,28,59,0,7,0,0,0,1258,156,43,109,0,0,53,0,11,5,88,209,12,0,0,27,4,32,16,20,0,0,9,3,29,18,102,26,22,177,70,10,53,0,0,0,6,0,21,4,0,0,41,0,0,3,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,13,0,20,9,0,0,0,0,23,0,0,0,5,0,4,0,135,37,0,0,0,0,0,0,407,41,0,0,17,0,0,0,0,0,0,9,0,3,0,0,561,12,0,0,181,37,0,4,0,0,13,0,0,0,0,462,0,24,12,22,10,9,0,0,0,4,0,0,0,26,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,84,66,4,8,7,0,0,11,8,0,80,16,17,0,0,4,17,3,0,0,0,9,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,23,0,0,0,0,0,117,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,6,23,32,0,0,6932
Upper Hunter Shire (A),4,0,4613,13,0,0,0,21,23,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,5681,633,12,0,0,0,892,0,0,44,0,9,198,5,0,0,0,0,4,8,4,0,0,0,0,0,0,0,0,95,16,4,4,0,0,0,0,0,0,3,3,0,0,0,3,0,3,0,0,0,0,4,0,0,0,3,0,0,13,3,0,9,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,36,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,6,0,0,0,0,0,0,0,0,0,32,0,9,7,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,1393
