lga,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated
Balonne (S),18,3331,0,4,0,3,613,6,402
Banana (S),118,10283,55,81,0,50,2281,52,1397
Barcaldine (R),6,2052,11,14,0,15,509,3,249
Barcoo (S),0,217,0,0,0,0,32,0,20
Blackall-Tambo (R),4,1515,5,0,4,0,239,3,128
Boulia (S),5,275,0,0,0,0,74,0,73
Brisbane (C),31342,568015,25141,22500,1537,13864,364085,6175,98490
Bulloo (S),0,234,0,0,0,0,78,0,34
Bundaberg (R),766,57606,239,307,48,329,24457,348,8807
Burdekin (S),69,12868,25,16,7,44,2558,33,1448
Burke (S),3,161,0,0,0,3,97,0,71
Cairns (R),2759,80968,1272,563,155,1621,50558,933,18063
Carpentaria (S),5,1074,5,0,0,0,648,3,219
Cassowary Coast (R),244,17148,88,23,8,849,6921,82,3363
Central Highlands (R),178,17536,118,71,0,126,5972,104,3892
Charters Towers (R),46,7603,21,7,6,46,2755,30,1374
Cherbourg (S),0,787,0,0,0,31,366,4,85
Cloncurry (S),21,1804,12,10,0,14,640,7,517
Cook (S),55,1996,16,3,0,60,1272,28,784
Croydon (S),0,152,0,0,0,0,61,0,78
Diamantina (S),8,148,0,0,0,0,90,0,44
Doomadgee (S),0,1102,6,0,0,9,190,0,92
Douglas (S),176,5246,32,13,14,70,4205,80,1877
Etheridge (S),3,502,0,5,0,0,190,0,97
Flinders (S),8,1111,4,0,0,0,266,0,148
Fraser Coast (R),793,60115,301,164,37,429,28687,384,10600
Gladstone (R),625,35377,466,306,28,274,18466,238,5865
Gold Coast (C),8793,296713,4011,4401,1203,3412,179480,2742,54962
Goondiwindi (R),41,7489,10,0,3,49,1783,21,1225
Gympie (R),391,28262,61,52,35,272,14914,238,5335
Hinchinbrook (S),35,8342,16,5,0,37,1487,19,945
Hope Vale (S),0,797,0,0,0,0,47,0,72
Ipswich (C),2496,109370,2084,1193,88,1251,58452,1015,17791
Isaac (R),148,12481,102,67,3,67,4728,77,3268
Kowanyama (S),3,781,0,0,0,9,125,0,31
Livingstone (S),221,22465,39,17,5,119,9090,112,4204
Lockhart River (S),0,568,0,0,0,3,55,0,80
Lockyer Valley (R),313,24099,154,383,10,222,9182,122,4115
Logan (C),5081,165762,2706,8600,184,2939,88974,1550,27578
Longreach (R),23,2578,14,8,0,13,629,13,383
Mackay (R),757,74024,536,308,25,409,27674,400,10835
McKinlay (S),0,550,7,0,0,5,157,4,75
Mapoon (S),0,161,0,0,0,0,135,0,18
Maranoa (R),23,8814,50,17,8,78,2170,34,1471
Mareeba (S),231,11645,45,146,11,143,5665,84,3584
Moreton Bay (R),3796,243162,2861,1039,257,2413,133422,2193,36162
Mornington (S),0,463,0,0,0,117,441,0,117
Mount Isa (C),103,10311,151,70,5,69,5281,74,2607
Murweh (S),55,3134,3,13,0,0,703,8,391
Napranum (S),0,431,0,0,0,0,414,0,111
Noosa (S),748,26118,121,28,52,242,19677,298,4853
North Burnett (R),48,6698,43,19,0,37,2219,27,1392
Northern Peninsula Area (R),0,2282,4,0,0,8,293,14,193
Palm Island (S),0,2163,0,0,0,9,196,0,70
Paroo (S),4,1177,0,0,0,4,295,8,158
Pormpuraaw (S),6,613,0,0,0,7,94,0,35
Quilpie (S),3,584,0,0,0,0,172,0,56
Redland (C),1306,88138,632,412,110,797,44527,683,10416
Richmond (S),0,583,3,0,0,5,131,0,60
Rockhampton (R),677,51480,605,476,19,453,18418,308,7292
Scenic Rim (R),279,24056,62,23,33,238,10954,187,4238
Somerset (R),217,14839,20,40,6,103,6679,71,2611
South Burnett (R),174,20090,43,22,15,166,8226,142,3297
Southern Downs (R),170,23562,85,49,15,162,7938,107,3032
Sunshine Coast (R),3515,160634,1100,597,262,1300,100513,1496,24946
Tablelands (R),192,14125,37,16,10,129,7430,105,2781
Toowoomba (R),1294,108185,1224,1595,56,827,32806,617,14173
Torres (S),15,2366,11,14,0,35,529,13,635
Torres Strait Island (R),3,3487,0,0,9,213,341,32,433
Townsville (C),1583,109023,1017,965,83,878,53939,1039,18231
Weipa (T),47,2189,7,0,0,18,1154,28,451
Western Downs (R),131,22933,123,64,10,144,5820,83,4133
Whitsunday (R),421,18378,85,65,17,93,9693,145,4882
Winton (S),0,769,0,0,5,13,214,5,122
Woorabinda (S),0,690,0,0,0,11,187,0,73
Wujal Wujal (S),0,249,0,0,0,0,19,0,11
Yarrabah (S),0,2251,0,0,0,21,183,0,96
No usual address (Qld),175,5143,61,67,18,77,3904,113,2945
Migratory - Offshore - Shipping (Qld),6,91,0,0,0,0,33,0,27
Adelaide (C),911,6821,453,600,28,127,9910,116,3105
Adelaide Hills (DC),434,17919,39,36,41,166,16704,221,3308
Alexandrina (DC),193,12501,28,25,14,119,10365,128,2498
Anangu Pitjantjatjara (AC),6,1104,0,10,0,131,615,0,407
Barossa (DC),97,13244,32,8,7,70,8038,110,1949
Barunga West (DC),10,1504,0,0,0,11,784,8,229
Berri and Barmera (DC),54,5527,22,28,0,189,3722,53,954
Burnside (C),1173,21538,858,561,116,354,15842,163,3305
Campbelltown (C),1178,29299,1230,776,63,1036,13138,183,3255
Ceduna (DC),18,1710,7,0,0,23,1117,6,523
Charles Sturt (C),3089,61200,1479,2547,52,1314,33023,501,8552
Clare and Gilbert Valleys (DC),34,5201,4,9,0,47,2889,36,795
Cleve (DC),5,1115,4,0,0,3,475,4,164
