lga,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable
Townsville (C),423,221,283,787,420,804,760,1665,1689,3060,2049,3653,1965,2797,1341,1285,358,1020,301,95,41,29,71,663,54363
Weipa (T),67,125,7,11,5,7,6,6,3,22,6,25,8,7,3,13,5,75,87,85,57,31,3,60,926
Western Downs (R),485,90,78,248,135,386,312,620,293,550,251,343,63,98,28,42,3,19,3,3,3,3,11,201,11330
Whitsunday (R),197,73,65,163,104,248,172,354,225,498,245,555,159,339,121,219,79,213,62,22,19,13,28,170,11906
Winton (S),40,19,10,17,8,18,8,16,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,708
Woorabinda (S),5,45,23,88,27,39,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,48
Wujal Wujal (S),4,16,17,22,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Yarrabah (S),8,20,32,116,23,149,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,112
Migratory - Offshore - Shipping (Qld),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
Adelaide (C),114,72,123,156,81,143,136,151,127,159,205,353,292,408,383,482,273,935,300,124,60,36,49,152,6364
Adelaide Hills (DC),119,17,16,42,38,57,35,85,47,102,107,192,104,134,89,95,25,116,46,20,11,6,12,63,13897
Alexandrina (DC),117,30,43,79,52,118,117,203,177,332,263,227,147,110,20,13,8,21,4,3,0,0,8,63,13238
Anangu Pitjantjatjara (AC),128,80,210,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,337
Barossa (DC),97,26,30,69,42,98,81,184,149,201,191,234,104,95,36,32,4,16,4,0,0,0,4,72,8496
Barunga West (DC),28,7,9,17,13,24,26,34,12,14,5,9,0,0,0,0,0,0,0,3,0,0,0,9,1653
Berri and Barmera (DC),62,34,66,122,84,205,223,182,86,97,29,23,9,14,4,5,0,0,3,5,0,0,3,68,3789
Burnside (C),144,30,64,91,66,83,67,126,143,312,302,471,239,279,153,188,110,453,194,93,49,20,38,95,15520
Campbelltown (C),158,51,168,274,127,167,137,225,229,429,403,646,377,460,259,315,123,240,60,16,9,5,10,178,16565
Ceduna (DC),36,36,48,40,18,39,33,49,28,60,29,44,4,9,7,6,0,4,0,3,3,0,6,97,1481
Charles Sturt (C),290,289,766,1056,405,609,434,707,696,1179,1024,1469,862,1233,747,807,301,760,250,104,38,28,29,483,36650
Clare and Gilbert Valleys (DC),66,10,28,57,35,69,58,113,87,89,57,56,12,24,10,4,0,9,0,3,0,0,0,44,3594
Cleve (DC),29,10,6,20,5,23,20,19,0,6,0,0,0,0,0,0,0,6,3,3,4,0,9,14,902
Coober Pedy (DC),30,12,16,43,20,42,20,29,3,13,0,3,0,0,0,0,0,0,0,0,0,0,0,37,1131
