lga,"Oceania and Antarctica, nfd","Australia (includes External Territories), nfd",Australia,Norfolk Island,"Australian External Territories, nec",New Zealand,"Melanesia, nfd",New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,"Micronesia, nfd",Guam,Kiribati,Marshall Islands,"Micronesia, Federated States of",Nauru,Northern Mariana Islands,Palau,"Polynesia (excludes Hawaii), nfd",Cook Islands,Fiji,French Polynesia,Niue,Samoa,"Samoa, American",Tokelau,Tonga,Tuvalu,Wallis and Futuna,Pitcairn Islands,"Polynesia (excludes Hawaii), nec","Antarctica, nfd",Adelie Land (France),Argentinian Antarctic Territory,Australian Antarctic Territory,British Antarctic Territory,Chilean Antarctic Territory,Queen Maud Land (Norway),Ross Dependency (New Zealand),"North-West Europe, nfd","United Kingdom, Channel Islands and Isle of Man, nfd",England,Isle of Man,Northern Ireland,Scotland,Wales,Guernsey,Jersey,Ireland,"Western Europe, nfd",Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,"Northern Europe, nfd",Denmark,Faroe Islands,Finland,Greenland,Iceland,Norway,Sweden,Aland Islands,"Southern and Eastern Europe, nfd","Southern Europe, nfd",Andorra,Gibraltar,Holy See,Italy,Malta,Portugal,San Marino,Spain,"South Eastern Europe, nfd",Albania,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,The former Yugoslav Republic of Macedonia,Greece,Moldova,Romania,Slovenia,Montenegro,Serbia,Kosovo,"Eastern Europe, nfd",Belarus,Czech Republic,Estonia,Hungary,Latvia,Lithuania,Poland,Russian Federation,Slovakia,Ukraine,"North Africa and the Middle East, nfd","North Africa, nfd",Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Spanish North Africa,South Sudan,"Middle East, nfd",Bahrain,Gaza Strip and West Bank,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Syria,Turkey,United Arab Emirates,Yemen,"South-East Asia, nfd","Mainland South-East Asia, nfd",Myanmar,Cambodia,Laos,Thailand,Vietnam,"Maritime South-East Asia, nfd",Brunei Darussalam,Indonesia,Malaysia,Philippines,Singapore,Timor-Leste,"North-East Asia, nfd","Chinese Asia (includes Mongolia), nfd",China (excludes SARs and Taiwan),Hong Kong (SAR of China),Macau (SAR of China),Mongolia,Taiwan,"Japan and the Koreas, nfd",Japan,"Korea, Democratic People's Republic of (North)","Korea, Republic of (South)","Southern and Central Asia, nfd","Southern Asia, nfd",Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Sri Lanka,"Central Asia, nfd",Afghanistan,Armenia,Azerbaijan,Georgia,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,"Americas, nfd","Northern America, nfd",Bermuda,Canada,St Pierre and Miquelon,United States of America,"South America, nfd",Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Falkland Islands,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela,"South America, nec","Central America, nfd",Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,"Caribbean, nfd",Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,Cayman Islands,Cuba,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,St Kitts and Nevis,St Lucia,St Vincent and the Grenadines,Trinidad and Tobago,Turks and Caicos Islands,"Virgin Islands, British","Virgin Islands, United States",St Barthelemy,St Martin (French part),"Bonaire, Sint Eustatius and Saba",Curacao,Sint Maarten (Dutch part),"Sub-Saharan Africa, nfd","Central and West Africa, nfd",Benin,Burkina Faso,Cameroon,Cabo Verde,Central African Republic,Chad,"Congo, Republic of","Congo, Democratic Republic of",Cote d'Ivoire,Equatorial Guinea,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Sao Tome and Principe,Senegal,Sierra Leone,Togo,"Southern and East Africa, nfd",Angola,Botswana,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Lesotho,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Namibia,Reunion,Rwanda,St Helena,Seychelles,Somalia,South Africa,Swaziland,Tanzania,Uganda,Zambia,Zimbabwe,"Southern and East Africa, nec",Inadequately described,At sea,Not stated
Bass Coast (S),0,0,25150,0,0,506,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1697,5,47,220,48,4,0,82,0,15,7,22,191,0,0,0,258,15,0,11,0,3,0,0,8,14,0,0,0,0,0,0,234,65,3,0,14,23,0,0,0,21,7,4,65,0,7,12,0,9,0,5,0,10,0,11,10,0,24,14,0,3,0,0,0,20,0,0,6,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,17,5,0,58,35,0,0,23,38,82,8,0,0,0,68,22,0,0,5,0,16,0,4,0,0,0,0,127,0,23,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,81,0,9,0,11,20,0,0,0,0,0,0,5,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,10,0,0,0,26,0,0,0,0,0,0,5,0,74,0,0,0,3,15,0,8,0,2913
Baw Baw (S),0,0,39413,0,0,528,0,0,24,0,5,0,0,0,3,0,0,0,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1723,0,63,227,52,0,0,81,0,31,6,15,240,0,0,0,372,21,0,19,0,4,0,0,3,11,0,0,0,0,0,0,181,35,0,0,6,27,0,10,0,44,8,7,25,0,8,8,0,17,0,8,0,9,0,27,6,4,51,3,4,23,0,0,0,20,4,4,12,0,0,0,10,0,3,4,7,0,0,0,0,3,0,0,5,0,6,0,0,0,0,4,7,0,34,26,0,0,13,38,124,23,4,0,0,75,17,0,0,52,0,20,0,11,0,0,10,0,166,0,0,11,74,0,0,5,0,4,0,0,0,0,8,0,0,0,40,0,98,0,6,0,5,15,3,0,0,0,0,0,4,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,0,0,0,40,0,0,0,0,0,0,10,0,128,0,5,0,5,25,0,16,0,3814
Bayside (C),0,0,66946,0,0,1793,0,5,42,0,3,0,0,6,0,0,4,0,0,0,0,69,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,65,5857,5,143,784,155,9,10,561,0,108,65,282,736,0,3,3,330,92,0,65,0,21,0,5,18,96,0,0,0,0,3,0,720,74,38,0,78,121,18,49,18,154,108,36,687,33,106,27,10,82,6,55,66,53,9,160,46,20,476,344,20,379,0,0,4,204,4,18,18,0,0,0,4,0,13,5,99,22,226,9,5,104,0,6,3,7,127,34,5,0,0,19,41,5,144,170,0,7,96,393,216,272,12,0,0,1794,217,9,3,69,0,308,0,105,0,0,16,0,808,0,20,49,257,0,10,3,14,19,16,6,0,0,20,0,0,3,382,0,866,0,70,3,101,88,67,7,0,0,3,3,19,0,18,38,0,0,0,0,3,3,0,34,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,15,0,0,0,0,0,4,0,0,0,0,4,27,48,0,0,0,96,0,4,8,0,0,0,13,13,1162,0,8,13,30,73,0,258,0,5309
Benalla (RC),0,0,11455,0,0,92,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,15,41,10,0,0,18,0,16,0,12,98,0,0,0,74,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,27,6,0,0,0,8,0,0,0,0,0,3,9,0,0,4,0,0,0,3,0,0,0,10,3,0,10,4,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,10,3,0,0,4,9,37,5,7,0,0,31,4,0,0,0,0,6,0,0,0,0,0,0,53,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,8,0,3,0,1313
Boroondara (C),0,0,107409,0,0,2648,0,4,98,12,7,0,0,0,0,0,3,0,0,0,0,190,3,0,16,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4965,0,118,610,115,0,0,489,0,135,48,379,670,0,9,0,313,110,0,56,0,31,0,3,19,88,0,0,0,0,0,0,1529,108,38,0,90,111,16,46,36,190,145,138,1606,5,86,48,12,89,0,57,16,63,16,194,55,38,369,147,21,71,0,0,8,261,21,11,21,8,0,0,4,4,26,14,651,179,123,10,50,136,48,13,251,47,174,75,0,0,0,70,88,28,467,1977,0,29,745,3329,564,966,56,0,0,11066,1766,46,5,815,0,400,0,697,0,0,144,0,4047,6,122,227,1237,0,25,12,9,9,3,0,3,0,7,0,0,4,405,0,1087,0,70,6,145,89,305,8,0,0,9,0,47,0,10,84,0,0,0,0,31,3,0,68,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,19,0,0,0,0,0,0,24,0,0,5,0,0,0,13,0,0,0,5,32,83,0,0,7,156,0,7,3,0,3,0,9,0,1015,0,23,16,50,131,0,100,0,8078
Brimbank (C),0,0,87157,0,0,3272,0,4,92,12,0,0,0,0,0,0,5,0,0,0,123,602,0,6,821,24,3,237,10,0,0,0,0,0,0,0,0,0,0,0,0,18,1650,0,110,350,47,0,0,201,0,167,24,116,936,0,0,0,199,46,0,26,0,37,0,0,13,25,0,0,0,0,0,0,3192,4522,241,0,152,718,166,1223,51,2282,1341,3068,2216,0,242,213,106,721,113,27,12,31,9,114,12,26,1063,107,17,187,0,5,7,1012,103,13,865,6,0,0,291,3,11,40,602,471,19,34,45,786,14,10,54,231,661,85,14,0,0,1463,221,343,535,21702,0,5,391,925,5746,230,894,0,0,2394,515,30,5,150,0,97,0,152,0,36,485,0,9279,0,598,1817,1909,0,476,6,6,11,11,0,0,0,6,0,0,0,105,0,252,0,304,0,48,756,131,4,0,0,4,22,57,0,231,9,0,0,0,3,506,13,8,31,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,41,70,31,0,0,0,67,31,0,223,0,0,0,147,0,4,57,4,4,5,11,45,0,9,358,964,170,0,0,6,216,0,7,0,0,23,0,24,215,183,0,30,87,11,71,0,175,0,14158
Buloke (S),0,0,5201,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,4,16,0,0,0,9,0,0,0,0,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,8,29,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,661
Campaspe (S),0,0,31243,0,0,383,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,0,15,96,18,0,0,48,0,16,0,15,84,0,0,0,109,9,0,9,0,3,0,0,4,6,0,0,0,0,0,0,155,15,6,0,9,11,5,0,4,9,0,9,18,0,6,5,0,9,0,0,0,0,3,16,8,0,9,5,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,5,0,9,0,0,0,0,0,4,5,26,5,0,0,13,21,203,5,0,0,0,41,11,0,0,3,0,6,0,31,0,0,0,0,81,0,3,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,56,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,33,0,3,0,0,13,0,6,0,3312
Cardinia (S),0,0,70371,0,0,1643,0,0,35,5,0,0,0,4,0,0,3,0,0,0,44,162,0,0,73,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,37,4133,0,97,596,121,4,0,217,0,74,18,57,430,0,0,0,618,42,0,29,0,15,0,0,10,18,0,0,0,0,0,0,362,92,35,0,28,106,8,76,13,168,31,26,85,0,159,29,7,82,4,13,0,27,6,58,8,3,124,38,17,22,0,0,0,214,5,4,166,0,0,0,148,0,8,5,49,15,15,12,10,37,7,0,10,5,39,21,0,0,0,34,76,4,120,91,0,4,109,182,612,126,24,0,0,278,53,0,5,76,0,48,0,60,0,5,93,0,1668,0,29,142,880,0,124,3,0,0,11,0,0,0,0,0,0,3,115,0,204,0,72,0,38,127,22,0,0,0,5,0,14,0,31,4,0,0,0,0,61,4,0,5,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,5,0,0,21,0,0,0,36,0,0,4,0,0,0,12,0,0,0,0,62,93,0,0,7,417,0,3,0,0,3,0,45,0,456,0,8,5,16,115,0,47,0,5909
Casey (C),0,0,168032,0,0,7113,0,3,67,4,6,0,0,0,0,0,13,4,0,0,492,1929,9,15,1362,12,3,85,3,0,0,0,0,0,0,0,0,0,0,0,0,52,8502,0,359,1586,217,3,9,546,0,201,60,178,1030,0,0,0,1239,75,0,63,0,39,0,0,23,33,0,0,0,0,3,0,1657,388,206,0,106,939,83,1129,69,1265,172,515,789,13,1380,91,15,800,46,37,23,114,7,481,21,25,1262,222,42,148,0,0,9,1187,31,31,677,11,0,0,440,3,33,90,882,652,99,88,105,703,50,21,123,175,797,319,5,0,0,179,1658,176,656,1659,0,25,836,1529,4694,742,865,0,0,4265,455,34,4,226,0,119,0,416,4,25,399,0,17937,4,305,2396,11282,0,8528,42,12,4,23,10,0,0,13,0,0,4,233,0,574,3,327,0,54,1034,154,8,0,0,4,7,87,0,178,27,0,0,0,9,592,3,6,50,10,0,0,0,0,0,0,0,4,8,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,15,0,0,0,59,21,0,66,0,0,0,153,0,0,38,0,7,8,10,13,0,0,58,290,362,3,3,32,3171,0,18,6,0,3,0,217,56,2061,0,22,39,52,494,0,208,0,16846
Central Goldfields (S),0,0,10654,0,0,99,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,16,56,12,0,0,10,0,7,0,3,40,0,0,0,79,0,0,0,0,11,0,0,0,4,0,0,0,0,0,0,21,16,0,0,0,3,0,0,0,10,0,3,6,0,5,0,0,0,0,4,0,0,0,5,4,0,8,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,0,7,0,0,0,9,5,63,0,3,0,0,19,0,0,0,4,0,0,0,0,0,0,0,0,34,0,7,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,23,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,5,0,6,0,1182
Colac-Otway (S),0,0,17456,0,0,243,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,472,0,7,80,15,0,0,29,0,10,3,8,67,0,0,0,72,10,0,4,0,4,0,0,8,3,0,0,0,0,0,0,62,11,0,0,10,8,3,0,0,12,4,0,20,0,4,0,0,0,0,5,0,0,0,3,4,3,7,3,0,6,0,0,0,13,0,0,33,0,0,0,19,0,0,3,11,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,13,16,0,0,9,19,63,5,3,0,0,61,7,0,0,24,0,6,0,8,0,0,0,0,61,0,10,10,14,0,42,0,0,0,0,0,0,0,0,0,0,0,9,0,36,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,4,0,0,0,0,0,19,0,0,0,0,14,0,0,0,1715
Corangamite (S),0,0,13539,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,3,41,4,0,0,13,0,8,0,9,32,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,5,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,5,6,67,9,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,18,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,1491
Darebin (C),0,0,86912,0,0,2193,0,5,66,14,4,0,0,0,0,0,4,0,0,0,23,195,0,0,54,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2815,4,83,424,81,0,4,466,0,59,30,235,437,0,0,0,176,66,0,23,0,32,0,0,22,71,0,0,0,0,0,0,6132,355,124,0,163,159,69,162,33,370,285,1148,4552,4,73,51,18,177,8,19,11,21,21,58,30,10,213,66,7,31,3,0,13,362,103,32,71,7,0,0,5,3,12,17,578,328,37,45,72,1171,41,14,916,135,249,52,0,0,0,44,95,26,407,2796,0,16,295,912,920,301,62,0,0,4816,325,16,12,237,0,296,0,184,5,0,357,17,4565,6,864,547,838,0,93,5,9,9,3,0,0,0,3,0,0,0,297,0,558,0,117,0,110,163,295,19,0,0,3,0,59,0,20,66,0,0,0,0,32,9,0,65,3,0,0,0,0,0,0,6,0,15,0,3,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,46,0,0,5,0,0,0,62,0,3,20,3,0,4,9,0,0,0,25,90,127,0,0,7,240,0,11,6,0,0,0,16,319,344,0,29,27,31,85,0,99,0,10964
East Gippsland (S),0,0,35616,0,0,440,0,0,30,0,3,0,0,0,0,0,0,0,0,0,0,30,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1695,0,47,236,50,0,4,68,0,45,10,17,292,0,0,0,306,30,0,15,0,16,0,0,0,9,0,0,0,0,0,0,158,50,15,0,10,14,0,0,0,18,4,0,43,0,5,7,0,11,0,4,0,9,0,15,5,0,37,10,0,6,0,0,3,27,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,27,60,0,0,18,44,175,17,20,0,0,71,18,0,0,31,0,7,0,16,0,0,0,0,132,0,4,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,81,0,12,0,5,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,5,11,0,0,0,16,0,0,0,0,0,0,0,0,99,0,3,0,0,17,0,18,0,4534
Frankston (C),0,0,95934,0,0,3142,0,0,82,0,0,0,0,3,0,0,14,0,0,0,85,291,0,6,92,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,42,7506,3,237,1273,265,12,6,446,0,128,35,104,789,0,0,0,694,62,0,46,0,25,0,5,15,44,0,0,0,0,5,0,601,100,31,0,49,138,8,208,27,286,67,44,472,17,120,50,3,152,12,33,16,52,8,127,34,25,342,209,38,138,0,0,4,164,9,4,63,3,0,0,70,0,7,10,73,26,38,6,16,137,10,3,40,28,96,22,0,0,0,40,96,8,270,173,0,7,160,323,1076,136,23,0,0,885,154,3,0,65,0,75,0,66,0,0,39,0,1715,0,21,102,591,0,149,8,6,14,16,5,0,0,20,0,0,0,189,0,386,0,103,0,28,174,43,0,0,0,4,0,47,3,50,11,0,0,0,3,26,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,16,6,0,3,0,0,0,67,0,0,23,0,4,0,7,0,0,0,0,13,60,0,0,3,340,0,5,10,0,0,0,22,0,861,0,7,4,18,186,0,114,0,9355
Gannawarra (S),0,0,9118,0,0,66,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,14,0,0,0,0,0,5,0,0,22,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,3,0,0,0,3,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,52,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,38,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,879
Glen Eira (C),0,0,82025,0,0,2115,0,9,60,6,0,0,0,3,0,0,3,0,0,0,8,115,0,3,23,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3882,0,136,510,73,4,0,656,0,168,93,572,860,0,0,0,242,98,0,39,0,33,0,3,20,95,0,0,0,0,0,0,1077,83,39,0,75,147,13,77,36,183,194,65,2076,171,258,20,19,204,0,147,267,81,17,438,80,90,1440,1284,47,1340,0,0,7,305,13,47,13,3,0,0,8,4,9,28,210,53,2159,9,30,165,6,0,28,15,118,50,3,0,0,53,65,12,354,733,0,19,462,1117,710,484,8,0,0,7155,573,27,9,233,0,673,0,706,0,0,131,0,6258,3,270,144,954,0,13,21,33,41,67,11,7,0,132,0,0,0,320,0,982,0,162,8,173,125,188,14,0,0,8,0,46,0,21,56,0,0,0,0,20,3,0,55,3,4,0,0,0,0,3,4,0,3,0,3,0,0,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,19,0,0,0,0,0,0,17,0,3,0,0,4,0,9,0,0,0,3,35,86,0,0,4,242,0,0,3,0,0,0,26,6,3213,0,11,14,24,158,0,992,3,7102
Glenelg (S),0,0,16174,0,0,251,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,449,0,15,64,8,0,0,14,0,5,6,0,46,0,0,0,107,3,0,4,0,0,0,0,5,0,0,0,0,0,0,0,18,18,0,0,4,3,0,4,0,5,0,0,8,0,6,0,0,3,0,4,0,0,0,6,4,0,5,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,15,8,0,0,7,14,95,4,0,0,0,8,4,0,0,0,0,6,0,0,0,0,9,0,35,0,0,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,25,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,4,20,0,5,0,1885
